證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
1906,2015年第3季,,                 91061,,                 72183,                 18878,                 18878,,,                  9942,,                  7317,                 17259,                  1619,,,                  1368,,                 10416,,                  4489,,                -15403,                 -8108,                 -6489,,                              0,                 -6489,                 -6489,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -350704,,                 -7405,               -358109,               -358109,               -364598,,                 -6463,                    -26,,               -343222,                -21376,,                             -0.04,                             -0.04,,,,,,
1906,2015年第2季,,                 66274,,                 51726,                 14548,                 14548,,,                  7033,,                  9061,                 16094,                 -1546,,,                141195,,                 -3083,,                  4596,,                   -533,                132983,                131437,,                 15882,                115555,                115555,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -69937,,                 -9662,                -79599,                -79599,                 35956,,                107285,                  8270,,                 31860,                  4096,,                              0.72,                              0.72,,                              0.72,,,,
1906,2015年01月01日至2015年09月30日,,                244606,,                194305,                 50301,                 50301,,,                 26815,,                 24499,                 51314,                 -1013,,,                143902,,                  5093,,                 13684,,                -30904,                104407,                103394,,                 15882,                 87512,                 87512,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -622675,,                -32011,               -654686,               -654686,               -567174,,                 79308,                  8204,,               -537799,                -29375,,                              0.53,                              0.53,,,,,,
1906,2015年01月01日至2015年06月30日,,                153545,,                122122,                 31423,                 31423,,,                 16873,,                 17182,                 34055,                 -2632,,,                142534,,                 -5323,,                  9195,,                -15501,                112515,                109883,,                 15882,                 94001,                 94001,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -271971,,                -24606,               -296577,               -296577,               -202576,,                 85771,                  8230,,               -194577,                 -7999,,                              0.57,                              0.57,,                              0.57,,,,
1906,2015年01月01日至2015年03月31日,,                 87271,,                 70396,                 16875,                 16875,,,                  9840,,                  8121,                 17961,                 -1086,,,                  1339,,                 -2240,,                  4599,,                -14968,                -20468,                -21554,,,                -21554,                -21554,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -202034,,                -14944,               -216978,               -216978,               -238532,,                -21514,                    -40,,               -226437,                -12095,,                             -0.14,                             -0.14,,                             -0.14,,,,
1906,2014年第3季,,                109047,,                 88546,                 20501,                 20501,,,                 12999,,                  6422,                 19421,                  1080,,,                  1150,,                  3636,,                  4673,,                -18538,                -18425,                -17345,,                    -89,                -17256,                -17256,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 62041,,                 11516,                 73557,                 73557,                 56301,,                -17916,                    660,,                 53520,                  2781,,                             -0.12,                             -0.12,,,,,,
1906,2014年第2季,,                121555,,                100896,                 20659,                 20659,,,                 12623,,                  8999,                 21622,                   -963,,,                120263,,                 -5571,,                  4667,,                   -330,                109695,                108732,,                 10808,                 97924,                 97924,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                178582,,                  5237,                183819,                183819,                281743,,                 91432,                  6492,,                264123,                 17620,,                              0.61,                              0.61,,                              0.61,,,,
1906,2014年度,,                434047,,                355950,                 78097,                 78097,,,                 46652,,                 33109,                 79761,                 -1664,,,                126121,,                161699,,                 18378,,                -64746,                204696,                203032,,                 10713,                192319,                192319,,,,,,,,,,,,,,,,,,                -64531,                127788,,                175758,                 16561,,                127236,                    552,,                              1.18,                              1.18,,                              1.17,                -76053,                  1257,,                 10265
1906,2014年01月01日至2014年09月30日,,                327876,,                269007,                 58869,                 58869,,,                 35373,,                 24271,                 59644,                   -775,,,                123442,,                158481,,                 13888,,                -44557,                223478,                222703,,                 10719,                211984,                211984,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                141523,,                 15272,                156795,                156795,                368779,,                195390,                 16594,,                355212,                 13567,,                              1.31,                              1.31,,,,,,
1906,2014年01月01日至2014年06月30日,,                218829,,                180461,                 38368,                 38368,,,                 22374,,                 17849,                 40223,                 -1855,,,                122292,,                154845,,                  9215,,                -26019,                241903,                240048,,                 10808,                229240,                229240,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 79482,,                  3756,                 83238,                 83238,                312478,,                213306,                 15934,,                301692,                 10786,,                              1.42,                              1.42,,                              1.42,,,,
1906,2014年01月01日至2014年03月31日,,                 97274,,                 79565,                 17709,                 17709,,,                  9751,,                  8850,                 18601,                   -892,,,                  2029,,                160416,,                  4548,,                -25689,                132208,                131316,,,                131316,                131316,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -99100,,                 -1481,               -100581,               -100581,                 30735,,                121874,                  9442,,                 37569,                 -6834,,                              0.82,                              0.82,,                              0.82,,,,
1906,2013年第3季,,                113923,,                 94465,                 19458,                 19458,,,                 11677,,                  7708,                 19385,                     73,,,                  1488,,                 -2466,,                  2545,,                -12460,                -15983,                -15910,,                              0,                -15910,                -15910,,,,,,,,,,,,,,,,,,                 79160,                 63250,,                -15883,                    -27,,                 56415,                  6835,,                             -0.11,                             -0.11,,,                 75953,,,                  3207
1906,2013年第2季,,                166836,,                143971,                 22865,                 22865,,,                 15082,,                  7631,                 22713,                    152,,,                 48415,,                    213,,                  2560,,                 -8129,                 37939,                 38091,,                              0,                 38091,                 38091,,,,,,,,,,,,,,,,,,                170592,                208683,,                 33866,                  4225,,                190520,                 18163,,                              0.23,                              0.23,,,                154243,,,                 16349
