證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
6243,2015年第3季,,,,                137063,                137063,                137063,,                 98051,                 39012,                 39012,,,                 18732,,                 16639,,                 30447,                 65818,                -26806,,,                    353,,                 24498,,                              0,                              0,,                   -478,                 24373,                 -2433,,                              0,                 -2433,,                              0,                 -2433,,,                    211,                    211,                    211,                 -2222,,                 -2433,                              0,,                 -2222,                              0,,                             -0.03,,
6243,2015年第2季,,,,                 93020,                 93020,                 93020,,                 70265,                 22755,                 22755,,,                 18926,,                 19593,,                 31490,                 70009,                -47254,,,                    386,,                 -2790,,                              0,                              0,,                   -524,                 -2928,                -50182,,                              0,                -50182,,,                -50182,,,                   -159,                   -159,                   -159,                -50341,,                -50182,                              0,,                -50341,,,                             -0.67,,
6243,2015年01月01日至2015年09月30日,,,,                342748,                342748,                342748,,                253684,                 89064,                 89064,,,                 56187,,                 56804,,                 95775,                208766,               -119702,,,                  2267,,                 17392,,                              0,                              0,,                 -1518,                 18141,               -101561,,                              0,               -101561,,                              0,               -101561,,,                    713,                    713,                    713,               -100848,,               -101561,                              0,,               -100848,                              0,,                             -1.35,,
6243,2015年01月01日至2015年06月30日,,,,                205685,                205685,                205685,,                155633,                 50052,                 50052,,,                 37455,,                 40165,,                 65328,                142948,                -92896,,,                  1914,,                 -7106,,                              0,                              0,,                 -1040,                 -6232,                -99128,,                              0,                -99128,,,                -99128,,,                    502,                    502,                    502,                -98626,,                -99128,                              0,,                -98626,,,                             -1.32,,
6243,2015年01月01日至2015年03月31日,,,,                112665,                112665,                112665,,                 85368,                 27297,                 27297,,,                 18529,,                 20572,,                 33838,                 72939,                -45642,,,                  1528,,                 -4316,,                              0,                              0,,                   -516,                 -3304,                -48946,,                              0,                -48946,,,                -48946,,,                    661,                    661,                    661,                -48285,,                -48946,                              0,,                -48285,                              0,,                             -0.65,,
6243,2014年第3季,,,,                186618,                186618,                186618,,                140771,                 45847,                 45847,,,                 20265,,                 17348,,                 34403,                 72016,                -26169,,,                    546,,                  5598,,                    131,                    131,,                   -419,                  5594,                -20575,,                              0,                -20575,,                              0,                -20575,,,                   -632,                   -632,                   -632,                -21207,,                -20575,                              0,,                -21207,                              0,,                             -0.27,,
6243,2014年第2季,,,,                187828,                187828,                187828,,                136507,                 51321,                 51321,,,                 25751,,                 25400,,                 37831,                 88982,                -37661,,,                    784,,                 -7122,,                     56,                     56,,                   -472,                 -6866,                -44527,,                              0,                -44527,,,                -44527,,,                    561,                    561,                    561,                -43966,,                -44527,                              0,,                -43966,,,                             -0.60,,
6243,2014年度,,,,                705908,                705908,                705908,,                524241,                181667,                181667,,,                 85950,,                 79815,,                134818,                300583,               -118916,,,                  2541,,                 32380,,                    330,                    330,,                 -1994,                 32597,                -86319,,                  2128,                -88447,,,                -88447,,,,,                   -675,                -89122,,                -88447,                              0,,                -89122,                              0,,                             -1.19,                 -1866,                  1191
6243,2014年01月01日至2014年09月30日,,,,                540844,                540844,                540844,,                396096,                144748,                144748,,,                 65844,,                 62176,,                101095,                229115,                -84367,,,                  1950,,                 10956,,                    237,                    237,,                 -1625,                 11044,                -73323,,                              0,                -73323,,                              0,                -73323,,,                 -1667,                 -1667,                 -1667,                -74990,,                -73323,                              0,,                -74990,                              0,,                             -0.99,,
6243,2014年01月01日至2014年06月30日,,,,                354226,                354226,                354226,,                255325,                 98901,                 98901,,,                 45579,,                 44828,,                 66692,                157099,                -58198,,,                  1404,,                  5358,,                    106,                    106,,                 -1206,                  5450,                -52748,,                              0,                -52748,,,                -52748,,,                 -1035,                 -1035,                 -1035,                -53783,,                -52748,                              0,,                -53783,,,                             -0.71,,
6243,2014年01月01日至2014年03月31日,,,,                166398,                166398,                166398,,                118818,                 47580,                 47580,,,                 19828,,                 19428,,                 28861,                 68117,                -20537,,,                    620,,                 12480,,                     50,                     50,,                   -734,                 12316,                 -8221,,                              0,                 -8221,,,                 -8221,,,                 -1596,                 -1596,                 -1596,                 -9817,,                 -8221,                              0,,                 -9817,                              0,,                             -0.11,,
6243,2013年第3季,,,,                209304,                209304,                209304,,                151011,                 58293,                 58293,,,                 21868,,                 18496,,                 27028,                 67392,                 -9099,,,                  1156,,                 -8593,,                     58,                     58,,                   -562,                 -8057,                -17156,,                              0,                -17156,,                              0,                -17156,,,,,                 -1146,                -18302,,                -17014,                   -142,,                -18160,                   -142,,                             -0.23,                 -1146,
6243,2013年第2季,,,,                184594,                184594,                184594,,                139621,                 44973,                 44973,,,                 19933,,                 19040,,                 28230,                 67203,                -22230,,,                    831,,                  4503,,                     52,                     52,,                   -702,                  4580,                -17650,,                              0,                -17650,,,                -17650,,,,,                 -1338,                -18988,,                -17175,                   -475,,                -18513,                   -475,,                             -0.23,                 -1338,
6243,2013年度,,,,                762503,                762503,                762503,,                572591,                189912,                189912,,,                 89116,,                 74579,,                105069,                268764,                -78852,,,                  3502,,                  1982,,                    211,                    211,,                  2734,                  8007,                -70845,,                  5222,                -76067,,,                -76067,,,,,                  1204,                -74863,,                -73585,                 -2482,,                -72381,                 -2482,,                             -0.99,                    998,                    206
6243,2013年07月01日至2013年09月30日,,,,                209304,                209304,                209304,,                151011,                 58293,                 58293,,,                 21868,,                 18496,,                 27028,                 67392,                 -9099,,,                  1156,,                 -8593,,                     58,                     58,,                   -562,                 -8057,                -17156,,                              0,                -17156,,                              0,                -17156,,,,,                 -1146,                -18302,,                -17014,                   -142,,                -18160,                   -142,,                             -0.23,                 -1146,
6243,2013年04月01日至2013年06月30日,,,,                184594,                184594,                184594,,                139621,                 44973,                 44973,,,                 19933,,                 19040,,                 28230,                 67203,                -22230,,,                    831,,                  4503,,                     52,                     52,,                   -702,                  4580,                -17650,,                              0,                -17650,,,                -17650,,,,,                 -1338,                -18988,,                -17175,                   -475,,                -18513,                   -475,,                             -0.23,                 -1338,
6243,2013年01月01日至2013年12月31日,,,,                762503,                762503,                762503,,                572591,                189912,                189912,,,                 89116,,                 74579,,                105069,                268764,                -78852,,,                  3502,,                  1982,,                    211,                    211,,                  2734,                  8007,                -70845,,                  5222,                -76067,,,                -76067,,,,,                  1204,                -74863,,                -73585,                 -2482,,                -72381,                 -2482,,                             -0.99,                    998,                    206
6243,2013年01月01日至2013年09月30日,,,,                566838,                566838,                566838,,                422277,                144561,                144561,,,                 66218,,                 56439,,                 81231,                203888,                -59327,,,                  2763,,                 13996,,                    158,                    158,,                 -1982,                 14619,                -44708,,                              0,                -44708,,                              0,                -44708,,,,,                    432,                -44276,,                -43408,                 -1300,,                -42976,                 -1300,,                             -0.59,                    432,
6243,2013年01月01日至2013年06月30日,,,,                357534,                357534,                357534,,                271266,                 86268,                 86268,,,                 44350,,                 37943,,                 54203,                136496,                -50228,,,                  1607,,                 22589,,                    100,                    100,,                 -1420,                 22676,                -27552,,                              0,                -27552,,,                -27552,,,,,                  1578,                -25974,,                -26394,                 -1158,,                -24816,                 -1158,,                             -0.35,                  1578,
6243,2013年01月01日至2013年03月31日,,,,                172940,                172940,                172940,,                131645,                 41295,                 41295,,,                 24417,,                 18903,,                 25973,                 69293,                -27998,,,                    776,,                 18086,,                     48,                     48,,                   -718,                 18096,                 -9902,,                              0,                 -9902,,,                 -9902,,,,,                  2916,                 -6986,,                 -9219,                   -683,,                 -6303,                   -683,,                             -0.12,                  2916,
6243,2012年07月01日至2012年09月30日,,,,                259914,                259914,                259914,,                189671,                 70243,                 70243,,,                 32368,,                 23597,,                 26272,                 82237,                -11994,,,                  1251,,                -12666,,                     31,                     31,,                 -1426,                -12872,                -24866,,                  1858,                -26724,,                              0,                -26724,,,,,                  2445,                -24279,,                -25775,                   -949,,                -23330,                   -949,,                             -0.34,                  2445,
6243,2012年04月01日至2012年06月30日,,,,                224214,                224214,                224214,,                167146,                 57068,                 57068,,,                 31074,,                 24411,,                 30005,                 85490,                -28422,,,                    814,,                  6853,,                     36,                     36,,                 -2189,                  5442,                -22980,,                   -827,                -22153,,,                -22153,,,,,                   -637,                -22790,,                -21218,                   -935,,                -21855,                   -935,,                             -0.28,                   -637,
6243,2012年01月01日至2012年12月31日,,,,                912281,                912281,                912281,,                663575,                248706,                248706,,,                119776,,                 92481,,                112538,                324795,                -76089,,,                  3681,,                -47849,,                    113,                    113,,                 -8087,                -52368,               -128457,,                  3019,               -131476,,,               -131476,,,,,                  4950,               -126526,,               -128055,                 -3421,,               -123105,                 -3421,,                             -1.70,                  4070,                    880
6243,2012年01月01日至2012年09月30日,,,,                713222,                713222,                713222,,                508225,                204997,                204997,,,                 90902,,                 72633,,                 86909,                250444,                -45447,,,                  3041,,                -18466,,                     72,                     72,,                 -5017,                -20514,                -65961,,                              0,                -65961,,                              0,                -65961,,,,,                  4079,                -61882,,                -63287,                 -2674,,                -59208,                 -2674,,                             -0.84,                  4079,
6243,2012年01月01日至2012年06月30日,,,,                453308,                453308,                453308,,                318554,                134754,                134754,,,                 58534,,                 49036,,                 60637,                168207,                -33453,,,                  1790,,                 -5800,,                     41,                     41,,                 -3591,                 -7642,                -41095,,                 -1858,                -39237,,,                -39237,,,,,                  1634,                -37603,,                -37512,                 -1725,,                -35878,                 -1725,,                             -0.50,                  1634,
6243,2012年01月01日至2012年03月31日,,,,                229094,                229094,                229094,,                151408,                 77686,                 77686,,,                 27460,,                 24625,,                 30632,                 82717,                 -5031,,,                    976,,                -12653,,                      5,                      5,,                 -1402,                -13084,                -18115,,                 -1031,                -17084,,,                -17084,,,,,                  2271,                -14813,,                -16294,                   -790,,                -14023,                   -790,,                             -0.22,                  2271,
