證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　　 其他收入－其他,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）,　　 共同控制下前手權益（淨利／損）
3305,2015年第3季,,,,              1122309,                    233,                  3909,              1118167,              1118167,,                938222,                179945,                179945,,,                 53754,,                 50662,,                 19275,                123691,,                 -4129,                 52125,,,                  5170,,                 -2166,,                  7290,,                   -135,                 -4421,                 47704,,                 11807,                 35897,                 35897,,,                 79142,                              0,                 13454,                 65688,                 65688,                101585,,                 35897,                              0,,                101585,                              0,,                              0.30,,                              0.30,,,,,,,,,,,,
3305,2015年第2季,,,,              1141439,                  1606,                  3152,              1136681,              1136681,,                990711,                145970,                145970,,,                 41875,,                 41344,,                 18257,                101476,,                  1716,                 46210,,,                  7564,,                 -7126,,                  5781,,                   -128,                 -5471,                 40739,,                 22471,                 18268,                 18268,,,                -40962,                              0,                 -6964,                -33998,                -33998,                -15730,,                 18268,                              0,,                -15730,                              0,,                              0.15,,                              0.15,,,,,,,,,,,,
3305,2015年01月01日至2015年09月30日,,,,              3568463,                  6521,                 12531,              3549411,              3549411,,              3044812,                504599,                504599,,,                138024,,                138994,,                 56073,                333091,,                 -2257,                169251,,,                 19670,,                -36825,,                 19052,,                   -486,                -36693,                132558,,                 47111,                 85447,                 85447,,,                -13169,                              0,                 -2239,                -10930,                -10930,                 74517,,                 85447,                              0,,                 74517,                              0,,                              0.71,,                              0.70,,,,,,,,,,,,
3305,2015年01月01日至2015年06月30日,,,,              2446154,                  6288,                  8622,              2431244,              2431244,,              2106590,                324654,                324654,,,                 84270,,                 88332,,                 36798,                209400,,                  1872,                117126,,,                 14500,,                -34659,,                 11762,,                   -351,                -32272,                 84854,,                 35304,                 49550,                 49550,,,                -92311,                              0,                -15693,                -76618,                -76618,                -27068,,                 49550,                              0,,                -27068,                              0,,                              0.41,,                              0.40,,,,,,,,,,,,
3305,2015年01月01日至2015年03月31日,,,,              1304715,                  4682,                  5470,              1294563,              1294563,,              1115879,                178684,                178684,,,                 42395,,                 46988,,                 18541,                107924,,                    156,                 70916,,,                  6936,,                -27533,,                  5981,,                   -223,                -26801,                 44115,,                 12833,                 31282,                 31282,,,                -51349,                              0,                 -8729,                -42620,                -42620,                -11338,,                 31282,                              0,,                -11338,                              0,,                              0.26,,                              0.26,,              1115879,                  6936,,,                              0,                              0,,,,,
3305,2014年第3季,,,,              1579795,                  4739,                  2304,              1572752,              1572752,,              1349138,                223614,                223614,,,                 45665,,                 52392,,                 19647,                117704,,                  4751,                110661,,,                  5897,,                  5169,,                  4550,,                   -178,                  6338,                116999,,                 36470,                 80529,                 80529,,,                 68066,                -10440,                 11570,                 46056,                 46056,                126585,,                 80529,                              0,,                126585,                              0,,                              0.67,,                              0.66,,,,,,,,,,,,
3305,2014年第2季,,,,              1430911,                 11986,                  2185,              1416740,              1416740,,              1182488,                234252,                234252,,,                 42385,,                 47659,,                 25687,                115731,,                  1582,                120103,,,                  6987,,                 -7732,,                  3619,,                   -525,                 -4889,                115214,,                 43724,                 71490,                 71490,,,                -55265,                              0,                 -9394,                -45871,                -45871,                 25619,,                 71490,                              0,,                 25619,                              0,,                              0.59,,                              0.59,,,,,,,,,,,,
3305,2014年度,,,,              5806146,                 22193,                  9453,              5774500,              5774500,,              4924425,                850075,                850075,,,                167084,,                201911,,                 86281,                455276,,                 25535,                420334,,,                 25432,,                 20464,,                 20026,,                 -3947,                 21923,                442257,,                136394,                305863,                305863,,,,,,,                119093,                424956,,                305863,,,                424956,,,                              2.53,,                              2.43,,              4924425,,,,,,                162717,                -15962,                 27662,,
3305,2014年01月01日至2014年09月30日,,,,              4398775,                 18419,                  6962,              4373394,              4373394,,              3705210,                668184,                668184,,,                127965,,                145558,,                 66491,                340014,,                 14482,                342652,,,                 18096,,                 15282,,                 13812,,                 -2450,                 17116,                359768,,                112552,                247216,                247216,,,                 58550,                -17239,                  9953,                 31358,                 31358,                278574,,                247216,                              0,,                278574,                              0,,                              2.06,,                              1.98,,,,,,,,,,,,
3305,2014年01月01日至2014年06月30日,,,,              2818980,                 13680,                  4658,              2800642,              2800642,,              2356072,                444570,                444570,,,                 82300,,                 93166,,                 46844,                222310,,                  9731,                231991,,,                 12199,,                 10113,,                  9262,,                 -2272,                 10778,                242769,,                 76082,                166687,                166687,,,                 -9516,                 -6799,                 -1617,                -14698,                -14698,                151989,,                166687,                              0,,                151989,                              0,,                              1.40,,                              1.35,,,,,,,,,,,,
