證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益
3011,2015年第3季,,                548647,,                533964,                 14683,                 14683,,,                 12565,,                 29287,,                 12415,                 54267,                -39584,,,                  8068,,                 -9545,,                    991,,                   -858,                 -3326,                -42910,,                 -5190,                -37720,                -37720,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 17344,                    -13,                 17331,                 17331,                -20389,,                -37720,                              0,                              0,,                -20389,                              0,                              0,,                             -0.33,                             -0.33,,                             -0.33,                             -0.33,,,,,,,,,
3011,2015年第2季,,                509847,,                499040,                 10807,                 10807,,,                 15770,,                 34553,,                 12846,                 63169,                -52362,,,                  9542,,                 -2489,,                  1276,,                   -172,                  5605,                -46757,,                 -5984,                -40773,                -40773,,,,,,,,,,,,,,                -21197,                    -12,                -22323,                -22323,                -63096,,                -40773,,,,                -63096,,,,                             -0.36,                             -0.36,,,,,                 -1114,,,,,,,
3011,2015年01月01日至2015年09月30日,,              1549455,,              1496052,                 53403,                 53403,,,                 46571,,                 90210,,                 35047,                171828,               -118425,,,                 22556,,                 -4757,,                  3345,,                 -1457,                 12997,               -105428,,                 -9582,                -95846,                -95846,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -19358,                    -21,                -19379,                -19379,               -115225,,                -95846,                              0,                              0,,               -115225,                              0,                              0,,                             -0.85,                             -0.85,,                             -0.85,                             -0.85,,,,,,,,,
3011,2015年01月01日至2015年06月30日,,              1000808,,                962088,                 38720,                 38720,,,                 34006,,                 60923,,                 22632,                117561,                -78841,,,                 17588,,                  1688,,                  2354,,                   -599,                 16323,                -62518,,                 -4392,                -58126,                -58126,,,,,,,,,,,,,,                -33817,                     -8,                -36710,                -36710,                -94836,,                -58126,,,,                -94836,,,,                             -0.52,                             -0.52,,,,,                 -2885,,,,,,,
3011,2015年01月01日至2015年03月31日,,                490961,,                463048,                 27913,                 27913,,,                 18236,,                 26370,,                  9786,                 54392,                -26479,,,                  8046,,                  4177,,                  1078,,                   -427,                 10718,                -15761,,                  1592,                -17353,                -17353,,,,,,,,,,,,,,                -12620,                      4,                -14387,                -14387,                -31740,,                -17353,,,,                -31740,,,,                             -0.15,                             -0.15,,                             -0.15,                             -0.15,,                 -1771,                  1078,,,,,,
3011,2014年第3季,,                609133,,                557630,                 51503,                 51503,,,                 19353,,                 36176,,                 14143,                 69672,                -18169,,,                  4004,,                  3575,,                  1060,,                 -1923,                  4596,                -13573,,                  1000,                -14573,                -14573,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 22808,                     -7,                 22801,                 22801,                  8228,,                -14573,                              0,                              0,,                  8228,                              0,                              0,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,,,,,,,,,
3011,2014年第2季,,                602952,,                557082,                 45870,                 45870,,,                 21847,,                 34807,,                 11200,                 67854,                -21984,,,                  6037,,                    505,,                    968,,                   -129,                  5445,                -16539,,                 -2828,                -13711,                -13711,,,,,,,,,,,,,,                -21937,                     -1,                -24274,                -24274,                -37985,,                -13711,,,,                -37985,,,,                             -0.12,                             -0.12,,,,,                 -2336,,,,,,,
3011,2014年度,,              2324378,,              2135477,                188901,                188901,,,                 76430,,                152087,,                 51882,                280399,                -91498,,,                 27763,,                -10375,,                  3898,,                 -1958,                 11532,                -79966,,                 -9743,                -70223,                -70223,,,,,,,,,,,,,,,,,                 68274,                 -1949,,                -70223,                              0,                              0,,                 -1949,                              0,                              0,,                             -0.62,                             -0.62,,                             -0.62,                             -0.62,,,                  3898,                 61455,                    -26,                    296,,                  6599,                    -50
3011,2014年01月01日至2014年09月30日,,              1772964,,              1626324,                146640,                146640,,,                 60274,,                107721,,                 39268,                207263,                -60623,,,                 12382,,                 11169,,                  2889,,                 -1553,                 19109,                -41514,,                 -2464,                -39050,                -39050,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 19269,                    -13,                 19256,                 19256,                -19794,,                -39050,                              0,                              0,,                -19794,                              0,                              0,,                             -0.35,                             -0.35,,                             -0.35,                             -0.35,,,,,,,,,
3011,2014年01月01日至2014年06月30日,,              1163831,,              1068694,                 95137,                 95137,,,                 40921,,                 71545,,                 25125,                137591,                -42454,,,                 10482,,                  5490,,                  1829,,                    370,                 14513,                -27941,,                 -3464,                -24477,                -24477,,,,,,,,,,,,,,                 -2718,                     -6,                 -3545,                 -3545,                -28022,,                -24477,,,,                -28022,,,,                             -0.22,                             -0.22,,,,,                   -821,,,,,,,
