證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6202,2015年第3季,,,              1013868,              1013868,,,                508550,                508550,                505318,                 -1109,,                506427,,,                 25953,,                 86131,,                176908,                288992,                217435,,,,                  5831,                  5831,,                 22031,,                 21186,                 49048,                266483,,                 39481,                227002,                227002,,,,,,,                 31041,                              0,                 31041,                 31041,                258043,,                219622,                  7380,,                250663,                  7380,,                              0.97,,                              0.96,,,
6202,2015年第2季,,,              1036154,              1036154,,,                534210,                534210,                501944,                  4079,,                497865,,,                 24148,,                 84171,,                158161,                266480,                231385,,,,                  7902,                  7902,,                  2796,,                 19045,                 29743,                261128,,                 38908,                222220,                222220,,,,,,,                -13279,,                -13279,                -13279,                208941,,                220005,                  2215,,                206726,                  2215,,                              0.97,,                              0.96,,,
6202,2015年度,,,              3967840,              3967840,,,              2019362,              2019362,              1948478,                   -258,                              0,              1948736,,,                 99150,,                343619,,                659417,              1102186,                846550,,,,                 26759,                 26759,,                 16300,,                 57094,                100153,                946703,,                128382,                818321,                818321,,,                -15066,                 -2562,                -12504,,                -16122,                 -2740,                -13382,                -25886,                792435,,                806806,                 11515,,                780920,                 11515,,                              3.57,,                              3.52,,,
6202,2015年01月01日至2015年09月30日,,,              2928263,              2928263,,,              1486412,              1486412,              1441851,                  8534,,              1433317,,,                 70723,,                247839,,                485847,                804409,                628908,,,,                 20404,                 20404,,                 21989,,                 46335,                 88728,                717636,,                106707,                610929,                610929,,,,,,,                 13316,                              0,                 13316,                 13316,                624245,,                600176,                 10753,,                613492,                 10753,,                              2.65,,                              2.62,,,
6202,2015年01月01日至2015年06月30日,,,              1914395,              1914395,,,                977862,                977862,                936533,                  9643,,                926890,,,                 44770,,                161708,,                308939,                515417,                411473,,,,                 14573,                 14573,,                    -42,,                 25149,                 39680,                451153,,                 67226,                383927,                383927,,,,,,,                -17725,,                -17725,                -17725,                366202,,                380554,                  3373,,                362829,                  3373,,                              1.68,,                              1.66,,,
6202,2015年01月01日至2015年03月31日,,,                878241,                878241,,,                443652,                443652,                434589,                  5564,,                429025,,,                 20622,,                 77537,,                150778,                248937,                180088,,,,                  6671,                  6671,,                 -2838,,                  6104,                  9937,                190025,,                 28318,                161707,                161707,,,,,,,                 -4446,,                 -4446,                 -4446,                157261,,                160549,                  1158,,                156103,                  1158,,                              0.71,,                              0.70,,,
6202,2014年第3季,,,                979845,                979845,,,                513871,                513871,                465974,                   -870,,                466844,,,                 22241,,                 79481,,                164215,                265937,                200907,,,,                  6421,                  6421,,                 19469,,                 18327,                 44217,                245124,,                 38433,                206691,                206691,,,,,,,                 18297,                              0,                 18297,                 18297,                224988,,                204412,                  2279,,                222735,                  2253,,                              0.90,,                              0.90,,,
6202,2014年第2季,,,              1031154,              1031154,,,                540111,                540111,                491043,                   -415,,                491458,,,                 20718,,                 75305,,                169835,                265858,                225600,,,,                  7037,                  7037,,                 -3045,,                 12233,                 16225,                241825,,                 32770,                209055,                209055,,,,,,,                -14901,,                -14901,                -14901,                194154,,                207224,                  1831,,                192516,                  1638,,                              0.92,,                              0.91,,,
6202,2014年度,,,              3930519,              3930519,,,              2041772,              2041772,              1888747,                  4815,                              0,              1883932,,,                 84369,,                324045,,                658023,              1066437,                817495,,,,                 26480,                 26480,,                 37104,,                 57440,                121024,                938519,,                139935,                798584,                798584,,,                    888,                    151,                    737,,                 35989,                  6130,                 29859,                 30596,                829180,,                791556,                  7028,,                822225,                  6955,,                              3.50,,                              3.46,                 35989,                    888,                  6281
6202,2014年01月01日至2014年09月30日,,,              2895214,              2895214,,,              1514112,              1514112,              1381102,                  6299,,              1374803,,,                 61473,,                230351,,                480452,                772276,                602527,,,,                 19829,                 19829,,                 18399,,                 37892,                 76120,                678647,,                 97068,                581579,                581579,,,,,,,                  1982,                              0,                  1982,                  1982,                583561,,                576737,                  4842,,                578792,                  4769,,                              2.55,,                              2.52,,,
