證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額
1236,2015年第3季,,,                567593,                567593,,                412451,                155142,                155142,,,                130191,,                 16001,                146192,                  8950,,,                  4013,,                    -50,,                  1017,                  2946,                 11896,,                  1888,                 10008,                 10008,,,                    118,                 31137,                     20,                 31235,                 31235,                 41243,,                 10008,                              0,,                 41243,,                              0.09,,,,,,,,,,,,,,,,
1236,2015年第2季,,,                412806,                412806,,                330971,                 81835,                 81835,,,                101825,,                 15874,                117699,                -35864,,,                  3229,,                  2775,,                    737,                  5267,                -30597,,                 -5571,                -25026,                -25026,,,                    -19,               -110172,                     -3,               -110188,               -110188,               -135214,,                -25026,,,               -135214,,                             -0.23,,                330971,                330971,,                              0,                              0,                              0,,,,,,,,,
1236,2015年01月01日至2015年09月30日,,,              1686359,              1686359,,              1236341,                450018,                450018,,,                343221,,                 46639,                389860,                 60158,,,                 11040,,                    530,,                  3055,                  8515,                 68673,,                 10631,                 58042,                 58042,,,                     81,               -110982,                     14,               -110915,               -110915,                -52873,,                 58042,                              0,,                -52873,,                              0.54,,,,,,,,,,,,,,,,
1236,2015年01月01日至2015年06月30日,,,              1118766,              1118766,,                823890,                294876,                294876,,,                213030,,                 30638,                243668,                 51208,,,                  7027,,                    580,,                  2038,                  5569,                 56777,,                  8743,                 48034,                 48034,,,                    -37,               -142119,                     -6,               -142150,               -142150,                -94116,,                 48034,,,                -94116,,                              0.44,,                823890,                823890,,                              0,                              0,                              0,,,,,,,,,
1236,2015年01月01日至2015年03月31日,,,                705960,                705960,,                492919,                213041,                213041,,,                111205,,                 14764,                125969,                 87072,,,                  3798,,                 -2195,,                  1301,                    302,                 87374,,                 14314,                 73060,                 73060,,,                    -18,                -31947,                     -3,                -31962,                -31962,                 41098,,                 73060,                              0,,                 41098,,                              0.67,,                492919,                492919,,                              0,                              0,                              0,,,,,,,,,
1236,2014年第3季,,,                621504,                621504,,                459705,                161799,                161799,,,                131419,,                 18065,                149484,                 12315,,,                  4436,,                 -1542,,                  1465,                  1429,                 13744,,                  2283,                 11461,                 11461,,,                     35,                -70488,                      5,                -70458,                -70458,                -58997,,                 11461,                              0,,                -58997,,                              0.11,,,,,,,,,,,,,,,,
1236,2014年第2季,,,                470184,                470184,,                369586,                100598,                100598,,,                110575,,                 15152,                125727,                -25129,,,                  3403,,                112025,,                  1613,                113815,                 88686,,                 -5254,                 93940,                 93940,,,                    -41,                 81796,                     -7,                 81762,                 81762,                175702,,                 93940,,,                175702,,                              0.87,,                369586,                369586,,                              0,                              0,                              0,,,,,,,,,
1236,2014年度,,,,              2371613,,              1737004,                634609,                634609,,,                511740,,                 68548,                580288,                 54321,,,                 16063,,                117949,,                  6401,                127611,                181932,,                 14468,                167464,                167464,,,,,,,                266347,                433811,,                167464,,,                433811,,                              1.55,,,,,,,,                    102,                269205,                 -3545,                   -585,,,,,
1236,2014年01月01日至2014年09月30日,,,              1753667,              1753667,,              1323523,                430144,                430144,,,                367375,,                 48958,                416333,                 13811,,,                 16002,,                109834,,                  4813,                121023,                134834,,                  6190,                128644,                128644,,,                     33,                344075,                      5,                344103,                344103,                472747,,                128644,                              0,,                472747,,                              1.19,,,,,,,,,,,,,,,,
1236,2014年01月01日至2014年06月30日,,,              1132163,              1132163,,                863818,                268345,                268345,,,                235956,,                 30893,                266849,                  1496,,,                 11566,,                111376,,                  3348,                119594,                121090,,                  3907,                117183,                117183,,,                     -2,                414563,                              0,                414561,                414561,                531744,,                117183,,,                531744,,                              1.08,,                863818,                863818,,                              0,                              0,                              0,,,,,,,,,
