證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
1442,2015年第3季,,                376087,,                237335,                138752,                138752,,,                 17538,,                 25566,                 43104,                 95648,,,                    413,,                 -1387,,                    138,                 -1112,                 94536,,                 -2071,                 96607,                 96607,,,                 -1178,                              0,                 -1178,                 -1178,                 95429,,                 96607,                              0,,                 95429,                              0,,                              0.43,,                              0.40,,,,,,,,,,,,,
1442,2015年第2季,,                859288,,                450251,                409037,                409037,,,                 39294,,                 28864,                 68158,                340879,,,                  1486,,                    -17,,                    142,                  1327,                342206,,                 35773,                306433,                306433,,,                   -890,                              0,                   -890,                   -890,                305543,,                306433,                              0,,                305543,                              0,,                              1.40,,                              1.28,,,                859288,                859288,                859288,,                450251,                450251,,,,,
1442,2015年01月01日至2015年09月30日,,              1430881,,                809503,                621378,                621378,,,                 70468,,                 72908,                143376,                478002,,,                  3245,,                 -2281,,                    426,                    538,                478540,,                 37739,                440801,                440801,,,                 -3523,                              0,                 -3523,                 -3523,                437278,,                440801,                              0,,                437278,                              0,,                              1.95,,                              1.86,,,,,,,,,,,,,
1442,2015年01月01日至2015年06月30日,,              1054794,,                572168,                482626,                482626,,,                 52930,,                 47342,                100272,                382354,,,                  2832,,                   -894,,                    288,                  1650,                384004,,                 39810,                344194,                344194,,,                 -2345,                              0,                 -2345,                 -2345,                341849,,                344194,                              0,,                341849,                              0,,                              1.57,,                              1.46,,,              1054794,              1054794,              1054794,,                572168,                572168,,,,,
1442,2015年01月01日至2015年03月31日,,                195506,,                121917,                 73589,                 73589,,,                 13636,,                 18478,                 32114,                 41475,,,                  1346,,                   -877,,                    146,                    323,                 41798,,                  4037,                 37761,                 37761,,,                 -1455,                              0,                 -1455,                 -1455,                 36306,,                 37761,                              0,,                 36306,                              0,,                              0.18,,                              0.18,,,,                195506,                195506,,,,,,,,
1442,2014年第3季,,                168173,,                 90567,                 77606,                 77606,,,                 22414,,                 21709,                 44123,                 33483,,,                    265,,                 16896,,                    148,                 17013,                 50496,,                  2816,                 47680,                 47680,,,                  7965,                              0,                  7965,                  7965,                 55645,,                 47680,                              0,,                 55645,                              0,,                              0.23,,                              0.14,,,,,,,,,,,,,
1442,2014年第2季,,                321437,,                178773,                142664,                142664,,,                 20078,,                 24448,                 44526,                 98138,,,                    933,,                  9115,,                    157,                  9891,                108029,,                 10766,                 97263,                 97263,,,                     31,                              0,                     31,                     31,                 97294,,                 97263,                              0,,                 97294,                              0,,                              0.46,,                              0.43,,,                321437,                321437,                321437,,                178773,                178773,,,,,
1442,2014年度,,              1455970,,                827137,                628833,                628833,,,                 79901,,                 84426,                164327,                464506,,,                  3125,,                 17843,,                    881,                 20087,                484593,,                 69489,                415104,                415104,,,,,,                  7888,                422992,,                415104,                              0,,                422992,                              0,,                              1.96,,                              1.74,,,,,,,,,                  7888,                              0,,,
1442,2014年01月01日至2014年09月30日,,                879881,,                450985,                428896,                428896,,,                 62360,,                 63500,                125860,                303036,,,                  1283,,                 24927,,                    727,                 25483,                328519,,                 57532,                270987,                270987,,,                  7952,                              0,                  7952,                  7952,                278939,,                270987,                              0,,                278939,                              0,,                              1.28,,                              1.10,,,,,,,,,,,,,
1442,2014年01月01日至2014年06月30日,,                711708,,                360418,                351290,                351290,,,                 39946,,                 41791,                 81737,                269553,,,                  1018,,                  8031,,                    579,                  8470,                278023,,                 54716,                223307,                223307,,,                    -13,                              0,                    -13,                    -13,                223294,,                223307,                              0,,                223294,                              0,,                              1.06,,                              0.97,,,                711708,                711708,                711708,,                360418,                360418,,,,,
1442,2014年01月01日至2014年03月31日,,                390271,,                181645,                208626,                208626,,,                 19868,,                 17343,                 37211,                171415,,,                     85,,                 -1084,,                    422,                 -1421,                169994,,                 43950,                126044,                126044,,,                    -44,                              0,                    -44,                    -44,                126000,,                126044,                              0,,                126000,                              0,,                              0.60,,                              0.55,,,,                390271,                390271,,,,,,,,
1442,2013年第3季,,                696989,,                365200,                331789,                331789,,,                 34619,,                 15766,                 50385,                281404,,,                  1304,,                  3881,,                    158,                  5027,                286431,,                 21070,                265361,                265361,,,,,,                     14,                265375,,                265361,                              0,,                265375,                              0,,                              1.29,,                              1.08,,,,,,,,,                     14,                              0,,,
1442,2013年第2季,,              1973173,,              1136944,                836229,                836229,,,                 85607,,                 21119,                106726,                729503,,,                    662,,                  1916,,                  4259,                 -1681,                727822,,                 51654,                676168,                676168,,,,,,                    -46,                676122,,                676168,                              0,,                676122,                              0,,                              3.28,,                              2.81,,,,,,,,,                    -46,                              0,,,
1442,2013年度,,              3996935,,              2272353,              1724582,              1724582,,,                242820,,                 87183,                330003,              1394579,,,                  3024,,                 10265,,                  8234,                  5055,              1399634,,                 97426,              1302208,              1302208,,,,,,                    -38,              1302170,,              1302208,                              0,,              1302170,                              0,,                              6.30,,                              5.41,,,,,,,,,                    -38,                              0,,,
1442,2013年07月01日至2013年09月30日,,                696989,,                365200,                331789,                331789,,,                 34619,,                 15766,                 50385,                281404,,,                  1304,,                  3881,,                    158,                  5027,                286431,,                 21070,                265361,                265361,,,,,,                     14,                265375,,                265361,                              0,,                265375,                              0,,                              1.29,,                              1.08,,,,,,,,,                     14,                              0,,,
1442,2013年04月01日至2013年06月30日,,              1973173,,              1136944,                836229,                836229,,,                 85607,,                 21119,                106726,                729503,,,                    662,,                  1916,,                  4259,                 -1681,                727822,,                 51654,                676168,                676168,,,,,,                    -46,                676122,,                676168,                              0,,                676122,                              0,,                              3.28,,                              2.81,,,,,,,,,                    -46,                              0,,,
1442,2013年01月01日至2013年12月31日,,              3996935,,              2272353,              1724582,              1724582,,,                242820,,                 87183,                330003,              1394579,,,                  3024,,                 10265,,                  8234,                  5055,              1399634,,                 97426,              1302208,              1302208,,,,,,                    -38,              1302170,,              1302208,                              0,,              1302170,                              0,,                              6.30,,                              5.41,,,,,,,,,                    -38,                              0,,                              0,                              0
1442,2013年01月01日至2013年09月30日,,              3644285,,              2073088,              1571197,              1571197,,,                171423,,                 51077,                222500,              1348697,,,                  2205,,                 10819,,                  8071,                  4953,              1353650,,                 93683,              1259967,              1259967,,,,,,                     -6,              1259961,,              1259967,                              0,,              1259961,                              0,,                              6.10,,                              5.20,,,,,,,,,                     -6,                              0,,,
1442,2013年01月01日至2013年06月30日,,              2947296,,              1707888,              1239408,              1239408,,,                136804,,                 35311,                172115,              1067293,,,                    882,,                  6957,,                  7913,                    -74,              1067219,,                 72613,                994606,                994606,,,,,,                    -20,                994586,,                994606,                              0,,                994586,                              0,,                              4.82,,                              4.13,,,,,,,,,                    -20,                              0,,,
1442,2013年01月01日至2013年03月31日,,                974123,,                570944,                403179,                403179,,,                 51197,,                 14192,                 65389,                337790,,,                    220,,                  5041,,                  3654,                  1607,                339397,,                 20959,                318438,                318438,,,,,,                     26,                318464,,                318438,                              0,,                318464,                              0,,                              1.54,,                              1.32,,,,                974123,                974123,,,,                     26,                              0,,,
1442,2012年07月01日至2012年09月30日,,                128516,,                 71249,                 57267,                 57267,,,                 18150,,                 17933,                 36083,                 21184,,,                  2280,,                   -103,,                  2172,                      5,                 21189,,                   -438,                 21627,                 21627,,,,,,                     42,                 21669,,                 21937,                   -310,,                 21979,                   -310,,                              0.11,,                              0.11,,,,,,,,,                     42,                              0,,,
1442,2012年04月01日至2012年06月30日,,                400326,,                233401,                166925,                166925,,,                 29713,,                 14259,                 43972,                122953,,,                    350,,                              0,,                    173,                    177,                123130,,                 19214,                103916,                103916,,,,,,                    -34,                103882,,                102828,                  1088,,                102794,                  1088,,                              0.50,,                              0.00,,,,,,,,,                    -34,                              0,,,
1442,2012年01月01日至2012年12月31日,,              1280535,,                769946,                510589,                510589,,,                 86266,,                 56866,                143132,                367457,,,                  3954,,                -35297,,                  6015,                -27227,                340230,,                 29059,                311171,                311171,,,,,,                     36,                311207,,                311171,                              0,,                311207,                              0,,                              1.51,,                              1.47,,,,,,,,,                     36,                              0,,                 10131,                 10131
1442,2012年01月01日至2012年09月30日,,              1111219,,                658924,                452295,                452295,,,                 72753,,                 47620,                120373,                331922,,,                  2924,,                -33169,,                  2523,                -32768,                299154,,                 29652,                269502,                269502,,,,,,                    -13,                269489,,                266967,                  2535,,                266954,                  2535,,                              1.29,,                              1.26,,,,,,,,,                    -13,                              0,,,
1442,2012年01月01日至2012年06月30日,,                982703,,                587675,                395028,                395028,,,                 54603,,                 29687,                 84290,                310738,,,                    644,,                -33066,,                    351,                -32773,                277965,,                 30090,                247875,                247875,,,,,,                    -55,                247820,,                245030,                  2845,,                244975,                  2845,,                              1.19,,                              0.00,,,,,,,,,                    -55,                              0,,,
1442,2012年01月01日至2012年03月31日,,                582377,,                354274,                228103,                228103,,,                 24890,,                 15428,                 40318,                187785,,,                    294,,                -33066,,                    178,                -32950,                154835,,                 10876,                143959,                143959,,,,,,                    -21,                143938,,                142202,                  1757,,                142181,                  1757,,                              0.69,,                              0.00,,,,                582377,                582377,,,,                    -21,                              0,,,
