證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 股利收入
4426,2015年第3季,,                539539,,                288139,                251400,                251400,,,                 25702,,                 31668,,                 20632,                 78002,                173398,,,                  2299,,                 33434,,                  2554,,                   -534,                 32645,                206043,,                 31710,                174333,                174333,,,                    619,                    -97,                    106,                    416,                    416,                174749,,                174333,,                174749,                              0,                              0,,                              1.91,,                              1.91,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2015年第2季,,                517861,,                260278,                257583,                257583,,,                 40390,,                 27315,,                 10042,                 77747,                179836,,,                  1146,,                 -5953,,                  2438,,                   -515,                 -7760,                172076,,                 30121,                141955,                141955,,,                   -136,                    -24,                    -60,                   -100,                   -100,                141855,,                141955,,                141855,,,,                              1.85,,                              1.85,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
4426,2015年01月01日至2015年09月30日,,              1551217,,                799413,                751804,                751804,,,                 97128,,                 86553,,                 44082,                227763,                524041,,,                  4920,,                 19249,,                  7469,,                 -1761,                 14939,                538980,,                 84813,                454167,                454167,,,                    376,                   -127,                     64,                    185,                    185,                454352,,                454167,,                454352,                              0,                              0,,                              4.98,,                              4.97,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2015年01月01日至2015年06月30日,,              1011678,,                511274,                500404,                500404,,,                 71426,,                 54885,,                 23450,                149761,                350643,,,                  2621,,                -14185,,                  4915,,                 -1227,                -17706,                332937,,                 53103,                279834,                279834,,,                   -243,                    -30,                    -42,                   -231,                   -231,                279603,,                279834,,                279603,,,,                              3.65,,                              3.64,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
4426,2015年01月01日至2015年03月31日,,                493817,,                250996,                242821,                242821,,,                 31036,,                 27570,,                 13408,                 72014,                170807,,,                  1475,,                 -8232,,                  2477,,                   -712,                 -9946,                160861,,                 22982,                137879,                137879,,,                   -107,                     -6,                     18,                   -131,                   -131,                137748,,                137879,,                137748,,,,                              1.80,,                              1.79,,,,,,,,,,,,,                493817,,                250996,                250996,                    712,,,,,,,,
4426,2014年第3季,,                371288,,                233505,                137783,                137783,,,                 13130,,                 27398,,                  9967,                 50495,                 87288,,,                  1446,,                  4688,,                  2234,,                   -545,                  3355,                 90643,,                 12593,                 78050,                 78050,,,                    170,                     16,                     29,                    157,                    157,                 78207,,                 78050,,                 78207,                              0,                              0,,                              0.86,,                              0.85,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2014年第2季,,                282177,,                184734,                 97443,                 97443,,,                 25731,,                 18459,,                 11027,                 55217,                 42226,,,                  1598,,                 -3859,,                  2127,,                   -549,                 -4937,                 37289,,                 12371,                 24918,                 24918,,,                   -186,                    -10,                    -32,                   -164,                   -164,                 24754,,                 24918,,                 24754,,,,                              0.33,,                              0.33,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
4426,2014年度,,              1380159,,                859103,                521056,                521056,,,                 87201,,                 87349,,                 41882,                216432,                304624,,,                  6278,,                 21212,,                  9220,,                 -2532,                 15738,                320362,,                 51171,                269191,                269191,,,,,,,                    506,                269697,,                269191,,                269697,,,,                              3.51,,                              3.48,,,,,,,,,,,,,,,,,                  2532,                    568,                    -12,                     47,                     97,,,,
4426,2014年01月01日至2014年09月30日,,                975453,,                628696,                346757,                346757,,,                 67417,,                 64224,,                 29087,                160728,                186029,,,                  4827,,                  4888,,                  6686,,                 -1486,                  1543,                187572,,                 33047,                154525,                154525,,,                    189,                    -18,                     32,                    139,                    139,                154664,,                154525,,                154664,                              0,                              0,,                              1.69,,                              1.68,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2014年01月01日至2014年06月30日,,                604165,,                395191,                208974,                208974,,,                 54287,,                 36826,,                 19120,                110233,                 98741,,,                  3381,,                    199,,                  4452,,                   -941,                 -1813,                 96928,,                 20454,                 76474,                 76474,,,                     19,                    -34,                      3,                    -18,                    -18,                 76456,,                 76474,,                 76456,,,,                              1.00,,                              0.99,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
