證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本
1316,2015年第3季,,                184808,,                154144,                 30664,                 30664,,,                 10561,,                 40603,,                  3269,                 54433,                -23769,,,                    660,,                  1618,,                  4081,                 -1803,                -25572,,                  1340,                -26912,                -26912,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,                  8508,                -27964,                              0,                              0,                              0,                              0,                              0,                              0,                -19456,                -19456,                -46368,,                -30315,                  3403,,                -34396,                -11972,,                             -0.19,,                             -0.19,,,,,,,,,,,
1316,2015年第2季,,                305244,,                267495,                 37749,                 37749,,,                 10181,,                 39074,,                  3527,                 52782,                -15033,,,                  1299,,                  6946,,                  4329,                  3916,                -11117,,                  1368,                -12485,                -12485,,,,,,,,,,,,,,,,,                 -5501,                -34212,,,,,,,                -39713,                -39713,                -52198,,                -17369,                  4884,,                -32345,                -19853,,                             -0.11,,                             -0.11,,,,,,,,,,,
1316,2015年01月01日至2015年09月30日,,                698438,,                592335,                106103,                106103,,,                 36529,,                135608,,                  9994,                182131,                -76028,,,                  2497,,                  3341,,                 13454,                 -7616,                -83644,,                  4832,                -88476,                -88476,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,                 -1155,                -41275,                              0,                              0,                              0,                              0,                              0,                              0,                -42430,                -42430,               -130906,,               -103905,                 15429,,               -119412,                -11494,,                             -0.68,,                             -0.68,,,,,,,,,,,
1316,2015年01月01日至2015年06月30日,,                513630,,                438191,                 75439,                 75439,,,                 25968,,                 95005,,                  6725,                127698,                -52259,,,                  1837,,                  1723,,                  9373,                 -5813,                -58072,,                  3492,                -61564,                -61564,,,,,,,,,,,,,,,,,                 -9663,                -13311,,,,,,,                -22974,                -22974,                -84538,,                -73590,                 12026,,                -85016,                    478,,                             -0.50,,                             -0.50,,,,,,,,,,,
1316,2015年01月01日至2015年03月31日,,                208386,,                170696,                 37690,                 37690,,,                 15787,,                 55931,,                  3198,                 74916,                -37226,,,                    538,,                 -5223,,                  5044,                 -9729,                -46955,,                  2124,                -49079,                -49079,,,,,,,,,,,,,,,,,                 -4162,                 20901,,,,,,,                 16739,                 16739,                -32340,,                -56221,                  7142,,                -52671,                 20331,,                             -0.43,,                             -0.43,,,,,,,,,,,
1316,2014年第3季,,                183008,,                173064,                  9944,                  9944,,,                 17457,,                 34783,,                  3255,                 55495,                -45551,,,                    235,,                    833,,                  3656,                 -2588,                -48139,,                    -58,                -48081,                -48081,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,                  4793,                 -2440,                              0,                              0,                              0,                              0,                              0,                              0,                  2353,                  2353,                -45728,,                -45640,                 -2441,,                -43999,                 -1729,,                             -0.35,,                             -0.35,,,,,,,,,,,
1316,2014年第2季,,                199677,,                168908,                 30769,                 30769,,,                 26051,,                 43554,,                  4164,                 73769,                -43000,,,                    660,,                   -454,,                  4025,                 -3819,                -46819,,                  2878,                -49697,                -49697,,,,,,,,,,,,,,,,,                 -6731,                  2194,,,,,,,                 -4537,                 -4537,                -54234,,                -47100,                 -2597,,                -49353,                 -4881,,                             -0.36,,                             -0.36,,,,,,,,,,,
1316,2014年度,,                793523,,                696335,                 97188,                 97188,,,                 93017,,                151254,,                 16929,                261200,               -164012,,,                  1508,,                185851,,                 16410,                170949,                  6937,,                 42404,                -35467,                -35467,,,,,,,,,,,,,,,,,,,,,,,,,,                 22649,                -12818,,                -43466,                  7999,,                -35635,                 22817,,                             -0.33,,                             -0.33,,                793523,,                696335,                 14893,                  7756,                              0,,,,
1316,2014年01月01日至2014年09月30日,,                627892,,                545734,                 82158,                 82158,,,                 70726,,                116530,,                 13264,                200520,               -118362,,,                  1110,,                  5327,,                 13169,                 -6732,               -125094,,                  6549,               -131643,               -131643,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,                  3836,                 -2362,                              0,                              0,                              0,                              0,                              0,                              0,                  1474,                  1474,               -130169,,               -138432,                  6789,,               -137078,                  6909,,                             -1.07,,                             -1.07,,,,,,,,,,,
1316,2014年01月01日至2014年06月30日,,                444884,,                372670,                 72214,                 72214,,,                 53269,,                 81747,,                 10009,                145025,                -72811,,,                    875,,                  4494,,                  9513,                 -4144,                -76955,,                  6607,                -83562,                -83562,,,,,,,,,,,,,,,,,                   -957,                     78,,,,,,,                   -879,                   -879,                -84441,,                -92792,                  9230,,                -93079,                  8638,,                             -0.72,,                             -0.72,,,,,,,,,,,
