證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
2457,2015年第3季,,              2936903,,              2648768,                288135,                288135,,,                163146,,                145743,,                128485,                437374,               -149239,,,                 35974,,                 64555,,                  8217,,                 -5358,                 86954,                -62285,,                  4629,                -66914,                -66914,,,                150885,,                  9594,                160479,                160479,                 93565,,                -66882,                    -32,,                 94195,                   -630,,                             -0.24,                             -0.24,,                              0.00,                              0.00,,,,,,,,,,
2457,2015年第2季,,              2674971,,              2511664,                163307,                163307,,,                173693,,                126707,,                129065,                429465,               -266158,,,                 36363,,                -14169,,                  7075,,                    266,                 15385,               -250773,,                  6156,               -256929,               -256929,,,                -27688,,                 21103,                 -6585,                 -6585,               -263514,,               -253625,                 -3304,,               -263409,                   -105,,                             -0.92,                             -0.92,,                              0.00,                              0.00,,,,,,,,,,
2457,2015年01月01日至2015年09月30日,,              8077641,,              7386755,                690886,                690886,,,                485395,,                403422,,                360313,              1249130,               -558244,,,                100584,,                 52151,,                 22124,,                 -5070,                125541,               -432703,,                 19989,               -452692,               -452692,,,                 42759,,                 32298,                 75057,                 75057,               -377635,,               -449274,                 -3418,,               -376945,                   -690,,                             -1.62,                             -1.62,,                              0.00,                              0.00,,,,,,,,,,
2457,2015年01月01日至2015年06月30日,,              5140738,,              4737987,                402751,                402751,,,                322249,,                257679,,                231828,                811756,               -409005,,,                 64610,,                -12404,,                 13907,,                    288,                 38587,               -370418,,                 15360,               -385778,               -385778,,,               -108126,,                 22704,                -85422,                -85422,               -471200,,               -382392,                 -3386,,               -471140,                    -60,,                             -1.38,                             -1.38,,                              0.00,                              0.00,,,,,,,,,,
2457,2015年01月01日至2015年03月31日,,              2465767,,              2226323,                239444,                239444,,,                148556,,                130972,,                102763,                382291,               -142847,,,                 28247,,                  1765,,                  6832,,                     22,                 23202,               -119645,,                  9204,               -128849,               -128849,,,                -80438,,                  1601,                -78837,                -78837,               -207686,,               -128767,                    -82,,               -207731,                     45,,                             -0.46,                             -0.46,,                              0.00,                              0.00,,,,,,,,,,
2457,2014年第3季,,              3363106,,              2871229,                491877,                491877,,,                172844,,                152605,,                116095,                441544,                 50333,,,                 38290,,                 21069,,                  6927,,                  2389,                 54821,                105154,,                 24986,                 80168,                 80168,,,                 81314,,                  9857,                 91171,                 91171,                171339,,                 80133,                     35,,                171473,                   -134,,                              0.29,                              0.29,,                              0.24,                              0.24,,,,,,,,,,
2457,2014年第2季,,              3291573,,              2810392,                481181,                481181,,,                172934,,                152257,,                109243,                434434,                 46747,,,                 54426,,                -25948,,                  6984,,                 -3573,                 17921,                 64668,,                 22817,                 41851,                 41851,,,                -92859,,                  3626,                -89233,                -89233,                -47382,,                 41972,                   -121,,                -47434,                     52,,                              0.15,                              0.15,,                              0.14,                              0.14,,,,,,,,,,
2457,2014年度,,             12435980,,             10705420,              1730560,              1730560,,,                652670,,                626501,,                434525,              1713696,                 16864,,,                156794,,                137825,,                 25513,,                 11794,                280900,                297764,,                150171,                147593,                147593,,,,,,,                252152,                399745,,                147847,                   -254,,                400549,                   -804,,                              0.53,                              0.53,,                              0.49,                              0.49,                272140,                              0,                -11105,,                -10771,                 -1888,,,,
2457,2014年01月01日至2014年09月30日,,              9431514,,              8066789,              1364725,              1364725,,,                503960,,                453987,,                322102,              1280049,                 84676,,,                123709,,                  2114,,                 18283,,                  4228,                111768,                196444,,                 68467,                127977,                127977,,,                 55133,,                  6286,                 61419,                 61419,                189396,,                128165,                   -188,,                189764,                   -368,,                              0.46,                              0.46,,                              0.43,                              0.43,,,,,,,,,,
2457,2014年01月01日至2014年06月30日,,              6068408,,              5195560,                872848,                872848,,,                331116,,                301382,,                206007,                838505,                 34343,,,                 85419,,                -18955,,                 11356,,                  1839,                 56947,                 91290,,                 43481,                 47809,                 47809,,,                -26181,,                 -3571,                -29752,                -29752,                 18057,,                 48032,                   -223,,                 18291,                   -234,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,,
