證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 壞帳轉回利益,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 其他綜合損益
2013,2015年第3季,,,                507007,,,              2729808,              2729808,,                121318,,                  1180,              3359313,,              3248547,                110766,                110766,,,                 33760,,                 58102,,                  1716,                 93578,                 17188,,,                 19824,                 19824,,                  4877,,                 17087,,                 24321,                 31935,                 49123,,                  3485,                 45638,                 45638,,,                 21026,                -59301,,                -15120,                  1035,                -54430,                -54430,                 -8792,,                 45638,,                 -8792,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,,,,,,,,,,,
2013,2015年第2季,,,                633373,,,              2874804,              2874804,,                117819,,                  1315,              3627311,,              3466466,                160845,                160845,,,                 31200,,                 57092,,                  1105,                 89397,                 71448,,,                 32370,                 32370,,                -43102,,                 17105,,                 24478,                 -3359,                 68089,,                 15794,                 52295,                 52295,,,                 -8927,                -22527,,                 -8646,                   -362,                -39738,                -39738,                 12557,,                 52295,,                 12557,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,,,,,,,,,,,,,,
2013,2015年01月01日至2015年09月30日,,,              1864028,,,              8916999,              8916999,,                355051,,                  4189,             11140267,,             10755704,                384563,                384563,,,                 95617,,                170115,,                  4455,                270187,                114376,,,                 54039,                 54039,,                -42077,,                 49607,,                 74229,                 36584,                150960,,                 21344,                129616,                129616,,,                  6269,                -89848,,                -24909,                    428,               -108916,               -108916,                 20700,,                129616,,                 20700,,                              0.67,                              0.67,,                              0.67,                              0.67,,,,,,,,,,,,,,,,,,
2013,2015年01月01日至2015年06月30日,,,              1357021,,,              6187191,              6187191,,                233733,,                  3009,              7780954,,              7507157,                273797,                273797,,,                 61857,,                112013,,                  2739,                176609,                 97188,,,                 34215,                 34215,,                -46954,,                 32520,,                 49908,                  4649,                101837,,                 17859,                 83978,                 83978,,,                -14757,                -30547,,                 -9789,                   -607,                -54486,                -54486,                 29492,,                 83978,,                 29492,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,,,,,,,,,,,,,,
2013,2015年01月01日至2015年03月31日,,,                723648,,,              3312387,              3312387,,                115914,,                  1694,              4153643,,              4040691,                112952,                112952,,,                 30657,,                 54921,,                  1634,                 87212,                 25740,,,                  1845,                  1845,,                 -3852,,                 15415,,                 25430,                  8008,                 33748,,                  2065,                 31683,                 31683,,,                 -5830,                 -8020,,                 -1143,                   -245,                -14748,                -14748,                 16935,,                 31683,,                 16935,,                              0.16,                              0.16,,                              0.16,                              0.16,                              0,,,,,,,,,,,,,,,,,
2013,2014年第3季,,,                757930,,,              3149731,              3149731,,                113875,,                  1299,              4022835,,              3975527,                 47308,                 47308,,,                 24561,,                 58045,,                              0,                 82606,                -35298,,,                 14013,                 14013,,                 71823,,                 14572,,                 29477,                100741,                 65443,,                  4593,                 60850,                 60850,,,                 13587,                  9207,,                  4311,                    627,                 26478,                 26478,                 87328,,                 60850,,                 87328,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,,,,,,
2013,2014年第2季,,,                802850,,,              3685679,              3685679,,                108012,,                  1707,              4598248,,              4456087,                142161,                142161,,,                 26785,,                 66658,,                              0,                 93443,                 48718,,,                  3496,                  3496,,                 -3792,,                 14447,,                 28150,                 13407,                 62125,,                 11970,                 50155,                 50155,,,                -13852,                    111,,                    695,                   -454,                -12592,                -12592,                 37563,,                 50155,,                 37563,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,,,,,,,,,,,,,
2013,2014年度,,,              2972347,,,             13861552,             13861552,,                442586,,                  6287,             17282772,,             16771011,                511761,                511761,,,                112500,,                262422,,                    664,                375586,                136175,,,                 39541,                 39541,,                 70921,,                 59367,,                108680,                159775,                295950,,                 40267,                255683,                255683,,,,,,,,,                 32414,                288097,,                255683,,                288097,,                              1.32,                              1.32,,                              1.32,                              1.32,                              0,,                              0,                 16304,                 11657,                  1986,,                  3687,                  1220,,,,,,,,,
2013,2014年01月01日至2014年09月30日,,,              2273903,,,             10366383,             10366383,,                321306,,                  4761,             12966353,,             12602331,                364022,                364022,,,                 78261,,                204377,,                              0,                282638,                 81384,,,                 21051,                 21051,,                 66012,,                 43417,,                 81439,                125085,                206469,,                 26975,                179494,                179494,,,                 -1359,                 -2271,,                    560,                     76,                 -3146,                 -3146,                176348,,                179494,,                176348,,                              0.93,                              0.93,,                              0.93,                              0.93,,,,,,,,,,,,,,,,,,
2013,2014年01月01日至2014年06月30日,,,              1515973,,,              7216652,              7216652,,                207431,,                  3462,              8943518,,              8626804,                316714,                316714,,,                 53700,,                146332,,                              0,                200032,                116682,,,                  7038,                  7038,,                 -5811,,                 28845,,                 51962,                 24344,                141026,,                 22382,                118644,                118644,,,                -14946,                -11478,,                 -3751,                   -551,                -29624,                -29624,                 89020,,                118644,,                 89020,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,,,,,,,,,,,,,,,
