證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
1217,2015年第3季,,,              1481732,              1481732,,,              1008888,              1008888,              1008888,                472844,                472844,,,                356618,,                119035,,                 10148,                485801,                -12957,,,                  8856,,                243600,,                 27784,                 27784,,                 -8335,                216337,                203380,,                  9362,                194018,,                 32430,                226448,,,                 69990,                 14521,,                 -8829,                 11406,                 64276,                 64276,                290724,,                212412,                 14036,,                272294,                 18430,,                              0.37,                              0.07,                              0.44,,                              0.35,                              0.07,                              0.42,,,,,,,,,
1217,2015年第2季,,,              1143423,              1143423,,,                755806,                755806,                755806,                387617,                387617,,,                316829,,                 84109,,                 10839,                411777,                -24160,,,                 12847,,                -11536,,                 40762,                 40762,,                  9767,                -29684,                -53844,,                 -1201,                -52643,,,                -52643,,,                -15293,                -26264,,                -18093,                    388,                -60038,                -60038,               -112681,,                -63976,                 11333,,               -110526,                 -2155,,                             -0.13,,                             -0.13,,                             -0.13,,                             -0.13,,,,,,,,,
1217,2015年第1季,,,              1016187,              1016187,,,                717928,                717928,                717928,                298259,                298259,,,                277652,,                 85169,,                 10963,                373784,                -75525,,,                 11991,,                 25220,,                 42516,                 42516,,                  1379,                 -3926,                -79451,,                 -2836,                -76615,,,                -76615,,,                 -4741,                -12356,,                 13856,                   -374,                 -2867,                 -2867,                -79482,,                -63155,                -13460,,                -65913,                -13569,,                             -0.13,,                             -0.13,,                             -0.15,,                             -0.15,                 -2836,                              0,,,,,,,
1217,2015年01月01日至2015年09月30日,,,              3291803,              3291803,,,              2231885,              2231885,              2231885,              1059918,              1059918,,,                889406,,                260460,,                 29168,              1179034,               -119116,,,                 27172,,                255841,,                 87485,                 87485,,                 -8218,                187310,                 68194,,                 13353,                 54841,,                 42349,                 97190,,,                 49956,                -24099,,                -13066,                 11420,                  1371,                  1371,                 98561,,                 85281,                 11909,,                 95855,                  2706,,                              0.09,                              0.09,                              0.18,,                              0.07,                              0.09,                              0.16,,,,,,,,,
1217,2015年01月01日至2015年06月30日,,,              2159610,              2159610,,,              1473734,              1473734,              1473734,                685876,                685876,,,                594481,,                169278,,                 21802,                785561,                -99685,,,                 24838,,                 13684,,                 83278,                 83278,,                 11146,                -33610,               -133295,,                 -4037,               -129258,,,               -129258,,,                -20034,                -38620,,                 -4237,                     14,                -62905,                -62905,               -192163,,               -127131,                 -2127,,               -176439,                -15724,,                             -0.26,,                             -0.26,,                             -0.26,,                             -0.26,,,,,,,,,
1217,2014年第3季,,,              1316425,              1316425,,,                904675,                904675,                904675,                411750,                411750,,,                348371,,                 86835,,                  8741,                443947,                -32197,,,                  8158,,                -24776,,                 31694,                 31694,,                 13447,                -34865,                -67062,,                  6188,                -73250,,                 35228,                -38022,,,                 31217,                -10435,,                -36935,                  4349,                -20502,                -20502,                -58524,,                -38369,                    347,,                -61240,                  2716,,                             -0.15,                              0.07,                             -0.08,,                             -0.15,                              0.07,                             -0.08,,,,,,,,,
1217,2014年第2季,,,              1103520,              1103520,,,                771541,                771541,                771541,                331979,                331979,,,                341836,,                 95451,,                  9512,                446799,               -114820,,,                 12765,,                  9797,,                 44922,                 44922,,                  3380,                -18980,               -133800,,                 21373,               -155173,,,               -155173,,,                -30791,                  8576,,                 -6895,                 -4452,                -24658,                -24658,               -179831,,               -140546,                -14627,,               -160071,                -19760,,                             -0.29,,                             -0.29,,                             -0.29,,                             -0.29,,,,,,,,,
1217,2014年第1季,,,                853255,                853255,,,                633639,                633639,                633639,                219616,                219616,,,                277268,,                 79063,,                 11572,                367903,               -148287,,,                 10003,,                  6900,,                 41326,                 41326,,                  4693,                -19730,               -168017,,                -11358,               -156659,,,               -156659,,,                 17100,                   -841,,                -15302,                  2921,                 -1964,                 -1964,               -158623,,               -135633,                -21026,,               -136408,                -22215,,                             -0.28,,                             -0.28,,                             -0.28,,                             -0.28,                -11358,                              0,,,,,,,
1217,2014年度,,,              4283751,              4283751,,,              3076451,              3076451,              3076451,              1207300,              1207300,,,              1080092,,                428522,,                 41872,              1550486,               -343186,,,                 59778,,                 42612,,                171248,                171248,,                 16647,                -52211,               -395397,,                 13825,               -409222,,,               -409222,,,,,,,,,                  8444,               -400778,,               -357794,                -51428,,               -359875,                -40903,,                             -0.73,,                             -0.73,,                             -0.73,,                             -0.73,,,                 96742,                 -2390,                 -1337,,                -75785,                  8786,
1217,2014年01月01日至2014年09月30日,,,              2957061,              2957061,,,              2036362,              2036362,              2036362,                920699,                920699,,,                931940,,                239809,,                 25078,              1196827,               -276128,,,                 26373,,                 -8058,,                 99936,                 99936,,                 21772,                -59849,               -335977,,                 20012,               -355989,,                  6135,               -349854,,,                 17526,                 -2700,,                -59132,                  2818,                -47124,                -47124,               -396978,,               -314548,                -35306,,               -357719,                -39259,,                             -0.66,                              0.01,                             -0.65,,                             -0.66,                              0.01,                             -0.65,,,,,,,,,
