證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 國外營運機構財務報表換算之兌換差額
2342,2015年第3季,,,                342241,                342241,,                396942,                -54701,                -54701,,,                  5674,,                 37923,,                 12919,                 56516,               -111217,,,                    -74,,                 78199,,                  7093,,                              0,                 71032,                -40185,,                  5469,                -45654,                -45654,,,                              0,                              0,                              0,,                -12204,,                              0,                              0,                              0,                -12204,                -12204,                -57858,,                -45442,                   -212,,                -57235,                   -623,,                             -0.12,,,,,,,
2342,2015年第2季,,,                396045,                396045,,                527887,               -131842,               -131842,,,                  5632,,                 46970,,                 26092,                 78694,               -210536,,,                136457,,               -306335,,                  7115,,                              0,               -176993,               -387529,,                  5708,               -393237,               -393237,,,                              0,                              0,                              0,,                 -8194,,                              0,                              0,                              0,                 -8194,                 -8194,               -401431,,               -391877,                 -1360,,               -399795,                 -1636,,                             -1.05,,,,,,,
2342,2015年第1季,,,                386339,                386339,,                482624,                -96285,                -96285,,,                  5558,,                 34109,,                 29985,                 69652,               -165937,,,                  2236,,               -301003,,                  8053,,                              0,               -306820,               -472757,,                -10783,               -461974,               -461974,,,                              0,                              0,                              0,,                -13584,,                              0,                              0,                              0,                -13584,                -13584,               -475558,,               -459357,                 -2617,,               -472484,                 -3074,,                             -1.23,,,,,,,
2342,2015年01月01日至2015年09月30日,,,              1124625,              1124625,,              1407453,               -282828,               -282828,,,                 16864,,                119002,,                 68996,                204862,               -487690,,,                138619,,               -529139,,                 22261,,                              0,               -412781,               -900471,,                    394,               -900865,               -900865,,,                              0,                              0,                              0,,                -33982,,                              0,                              0,                              0,                -33982,                -33982,               -934847,,               -896676,                 -4189,,               -929514,                 -5333,,                             -2.41,,,,,,,
2342,2015年01月01日至2015年06月30日,,,                782384,                782384,,              1010511,               -228127,               -228127,,,                 11190,,                 81079,,                 56077,                148346,               -376473,,,                138693,,               -607338,,                 15168,,                              0,               -483813,               -860286,,                 -5075,               -855211,               -855211,,,                              0,                              0,                              0,,                -21778,,                              0,                              0,                              0,                -21778,                -21778,               -876989,,               -851234,                 -3977,,               -872279,                 -4710,,                             -2.29,,,,,,,
2342,2014年第3季,,,                385152,                385152,,                545625,               -160473,               -160473,,,                  7874,,                 28057,,                 32006,                 67937,               -228410,,,                  4850,,                 26670,,                  8328,,                -12124,                 11068,               -217342,,                 -2908,               -214434,               -214434,,,                     53,                              0,                     53,,                -11367,,                  4077,                  4077,                              0,                 -7290,                 -7237,               -221671,,               -210641,                 -3793,,               -217801,                 -3870,,                             -0.57,,,,,,,
2342,2014年第2季,,,                515743,                515743,,                627831,               -112088,               -112088,,,                  4401,,                 32986,,                 30938,                 68325,               -180413,,,                  2761,,                 55367,,                  8571,,                 12715,                 62272,               -118141,,                    411,               -118552,               -118552,,,                     51,                              0,                     51,,                -48507,,                 -4492,                 -4492,                              0,                -52999,                -52948,               -171500,,               -115644,                 -2908,,               -169140,                 -2360,,                             -0.31,,,,,,,
2342,2014年第1季,,,                459673,                459673,,                550534,                -90861,                -90861,,,                  8953,,                 39719,,                 30230,                 78902,               -169763,,,                  6949,,                207920,,                  8927,,                 17962,                223904,                 54141,,                  6804,                 47337,                 47337,,,                     52,                              0,                     52,,               -115983,,                  4458,                  4458,                              0,               -111525,               -111473,                -64136,,                 49858,                 -2521,,                -61438,                 -2698,,                              0.13,,,,,,,
2342,2014年度,,,              1642003,              1642003,,              2166737,               -524734,               -524734,,,                 25098,,                140990,,                120409,                286497,               -811231,,,                 30500,,                402786,,                 34270,,                  4846,                403862,               -407369,,                  9881,               -417250,               -417250,,,,,,,,,,,,,               -257317,               -674567,,               -405874,                -11376,,               -663304,                -11263,,                             -1.09,               -267507,                  4462,,                  5728,                  5728,                              0,
2342,2014年01月01日至2014年09月30日,,,              1360568,              1360568,,              1723990,               -363422,               -363422,,,                 21228,,                100762,,                 93174,                215164,               -578586,,,                 14560,,                289957,,                 25826,,                 18553,                297244,               -281342,,                  4307,               -285649,               -285649,,,                    156,                              0,                    156,,               -175857,,                  4043,                  4043,                              0,               -171814,               -171658,               -457307,,               -276427,                 -9222,,               -448379,                 -8928,,                             -0.74,,,,,,,
