證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　 確定福利計畫精算利益（損失）
2496,2015年第3季,,                 33829,,                 27156,                  6673,                  6673,,,                  2276,,                  4211,,                  2924,                  9411,                 -2738,,,                    784,,                    116,,                              0,                    900,                 -1838,,                              0,                 -1838,                 -1838,                 -1838,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,,,,,,,,,,,
2496,2015年第2季,,                 25910,,                 22670,                  3240,                  3240,,,                  2740,,                  4519,,                  2280,                  9539,                 -6299,,,                    268,,                 -1388,,                              0,                 -1120,                 -7419,,                              0,                 -7419,                 -7419,                 -7419,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                              0,
2496,2015年01月01日至2015年09月30日,,                 89251,,                 68913,                 20338,                 20338,,,                  7869,,                 13412,,                  7458,                 28739,                 -8401,,,                  2421,,                 -1778,,                              0,                    643,                 -7758,,                              0,                 -7758,                 -7758,                 -7758,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,,,,,,,,,,,,
2496,2015年01月01日至2015年06月30日,,                 55422,,                 41757,                 13665,                 13665,,,                  5593,,                  9201,,                  4534,                 19328,                 -5663,,,                  1637,,                 -1894,,                              0,                   -257,                 -5920,,                              0,                 -5920,                 -5920,                 -5920,,                             -0.15,                             -0.15,,                             -0.15,                             -0.15,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                              0,
2496,2015年01月01日至2015年03月31日,,                 29512,,                 19087,                 10425,                 10425,,,                  2853,,                  4682,,                  2254,                  9789,                    636,,,                  1369,,                   -506,,                              0,                    863,                  1499,,                              0,                  1499,                  1499,                  1499,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,,,,,,,
2496,2014年第3季,,                 17405,,                 35044,                -17639,                -17639,,,                  3211,,                  6689,,                  3274,                 13174,                -30813,,,                    114,,                    266,,                     12,                    368,                -30445,,                    238,                -30683,                -30683,                -30683,,                             -0.78,                             -0.78,,                             -0.78,                             -0.78,,,,,,,,,,,,
2496,2014年第2季,,                 27680,,                 35112,                 -7432,                 -7432,,,                 12535,,                  7925,,                  2258,                 22718,                -30150,,,                    473,,                    121,,                     12,                    582,                -29568,,                              0,                -29568,                -29568,                -29568,,                             -0.76,                             -0.76,,                             -0.76,                             -0.76,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                              0,
2496,2014年度,,                108213,,                147035,                -38822,                -38822,,,                 22621,,                 26173,,                  6954,                 55748,                -94570,,,                    881,,                  3092,,                     46,                  3927,                -90643,,                    238,                -90881,                -90881,                -88365,,                             -2.32,                             -2.32,,                             -2.32,                             -2.32,,,,,,,,,,,                  2516,                  2516
2496,2014年01月01日至2014年09月30日,,                 78656,,                108105,                -29449,                -29449,,,                 19791,,                 20910,,                  5905,                 46606,                -76055,,,                    822,,                  2713,,                     46,                  3489,                -72566,,                    238,                -72804,                -72804,                -72804,,                             -1.86,                             -1.86,,                             -1.86,                             -1.86,,,,,,,,,,,,
2496,2014年01月01日至2014年06月30日,,                 61251,,                 73061,                -11810,                -11810,,,                 16580,,                 14221,,                  2631,                 33432,                -45242,,,                    708,,                  2447,,                     34,                  3121,                -42121,,                              0,                -42121,                -42121,                -42121,,                             -1.08,                             -1.08,,                             -1.08,                             -1.08,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                              0,
