證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 廉價購買利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益
2303,2014年01月01日至2014年03月31日,,,,             30828276,                 81557,             30746719,,                946866,             31693585,,,             25054897,                737310,             25792207,              5901378,,              5901378,,,                833578,,                847766,,              3334852,              5016196,,                 55457,                940639,,,                125606,                125606,,                415867,,                155148,,                -35381,                350944,              1291583,,                180776,              1110807,              1110807,,,              1444082,              2409477,,                350684,                 73963,              4130280,              4130280,              5241087,,              1179698,                -68891,,              5260712,                -19625,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,,
2303,2013年第3季,,,,             32742891,                260758,             32482133,,                924639,             33406772,,,             25384052,                685820,             26069872,              7336900,                              0,              7336900,,,                777733,,                854542,,              3262164,              4894439,,                -47683,              2394778,,,                798554,                798554,,                722734,,                175152,,                215504,              1561640,              3956418,,                590857,              3365561,              3365561,,,,,,,,,             -2248259,              1117302,,              3476095,               -110534,,              1254551,               -137249,,                              0.28,                              0.28,,                              0.26,                              0.26,                              0,               -840042,               -946278,,,               -486756,                -24817,
2303,2013年第2季,,,,             31115299,                153183,             30962116,,                942588,             31904704,,,             25107493,                619901,             25727394,              6177310,                              0,              6177310,,,                800224,,                966244,,              3250245,              5016713,,                -11128,              1149469,,,                136524,                149567,,                531137,,                179632,,                129633,                630705,              1780174,,                 42001,              1738173,              1738173,,,,,,,,,                350177,              2088350,,              1812000,                -73827,,              2160161,                -71811,,                              0.15,                              0.15,,                              0.14,                              0.14,                 13043,                368503,               -616743,,,                589048,                 -9369,
2303,2013年度,,,,            120503074,                602089,            119900985,,              3910651,            123811636,,,             97674976,              2573685,            100248661,             23562975,                              0,             23562975,,,              3247000,,              3665472,,             12493051,             19405523,,               -125332,              4032120,,,              1091309,              8244838,,              2014641,,                678406,,                748601,             10329674,             14361794,,              2256834,             12104960,             12104960,,,,,,,,,                154137,             12259097,,             12630203,               -525243,,             12773120,               -514023,,                              1.01,                              1.01,,                              0.95,                              0.95,              7153529,               -154613,               -856326,                456478,,                481381,               -227217,
2303,2013年07月01日至2013年09月30日,,,,             32742891,                260758,             32482133,,                924639,             33406772,,,             25384052,                685820,             26069872,              7336900,                              0,              7336900,,,                777733,,                854542,,              3262164,              4894439,,                -47683,              2394778,,,                798554,                798554,,                722734,,                175152,,                215504,              1561640,              3956418,,                590857,              3365561,              3365561,,,,,,,,,             -2248259,              1117302,,              3476095,               -110534,,              1254551,               -137249,,                              0.28,                              0.28,,                              0.26,                              0.26,                              0,               -840042,               -946278,,,               -486756,                -24817,                              0
2303,2013年04月01日至2013年06月30日,,,,             31115299,                153183,             30962116,,                942588,             31904704,,,             25107493,                619901,             25727394,              6177310,                              0,              6177310,,,                800224,,                966244,,              3250245,              5016713,,                -11128,              1149469,,,                136524,                149567,,                531137,,                179632,,                129633,                630705,              1780174,,                 42001,              1738173,              1738173,,,,,,,,,                350177,              2088350,,              1812000,                -73827,,              2160161,                -71811,,                              0.15,                              0.15,,                              0.14,                              0.14,                 13043,                368503,               -616743,,,                589048,                 -9369,                              0
2303,2013年01月01日至2013年12月31日,,,,            120503074,                602089,            119900985,,              3910651,            123811636,,,             97674976,              2573685,            100248661,             23562975,                              0,             23562975,,,              3247000,,              3665472,,             12493051,             19405523,,               -125332,              4032120,,,              1091309,              8244838,,              2014641,,                678406,,                748601,             10329674,             14361794,,              2256834,             12104960,             12104960,,,,,,,,,                154137,             12259097,,             12630203,               -525243,,             12773120,               -514023,,                              1.01,                              1.01,,                              0.95,                              0.95,              7153529,               -154613,               -856326,                456478,,                481381,               -227217,                              0
2303,2013年01月01日至2013年09月30日,,,,             90676001,                420523,             90255478,,              2837414,             93092892,,,             73264237,              1822938,             75087175,             18005717,                              0,             18005717,,,              2340716,,              2839526,,              8908320,             14088562,,                -78915,              3838240,,,                989942,              8143471,,              1288190,,                517128,,                526514,              9441047,             13279287,,              1761859,             11517428,             11517428,,,,,,,,,               -356019,             11161409,,             11880800,               -363372,,             11533563,               -372154,,                              0.95,                              0.95,,                              0.90,                              0.90,              7153529,                950033,             -1607599,,,                272398,                -29149,
2303,2013年01月01日至2013年06月30日,,,,             57933110,                159765,             57773345,,              1912775,             59686120,,,             47880185,              1137118,             49017303,             10668817,                              0,             10668817,,,              1562983,,              1984984,,              5646156,              9194123,,                -31232,              1443462,,,                191388,              7344917,,                565456,,                341976,,                311010,              7879407,              9322869,,              1171002,              8151867,              8151867,,,,,,,,,              1892240,             10044107,,              8404705,               -252838,,             10279012,               -234905,,                              0.67,                              0.67,,                              0.63,                              0.63,              7153529,              1790075,               -661321,,,                759154,                 -4332,
2303,2013年01月01日至2013年03月31日,,,,             26817811,                  6582,             26811229,,                970187,             27781416,,,             22772692,                517217,             23289909,              4491507,,              4491507,,,                762759,,              1018740,,              2395911,              4177410,,                -20104,                293993,,,                 54864,              7195350,,                 34319,,                162344,,                181377,              7248702,              7542695,,              1129001,              6413694,              6413694,,,,,,,,,              1542063,              7955757,,              6592705,               -179011,,              8118851,               -163094,,                              0.52,                              0.52,,                              0.49,                              0.49,              7140486,              1421572,                -44578,,,                170106,                  5037,
2303,2012年07月01日至2012年09月30日,,,,             29671455,                228247,             29443208,,                730438,             30173646,,,             23926577,                523167,             24449744,              5723902,                    208,              5724110,,,                686740,,                726803,,              2338294,              3751837,,             -2704771,               -732498,,,              1030672,              1030672,,              1340095,,                163304,,                273736,              2481199,              1748701,,              1330234,                418467,                418467,,,,,,,,,             -2412448,             -1993981,,              1492504,             -1074037,,               -919726,             -1074255,,                              0.12,                              0.12,,                              0.11,                              0.11,                              0,               -964421,               -858465,,,               -240198,                349364,                              0
2303,2012年04月01日至2012年06月30日,,,,             29944461,                202469,             29741992,,                635338,             30377330,,,             23516813,                521918,             24038731,              6338599,                    149,              6338748,,,                776324,,                840888,,              2555418,              4172630,,                  4146,              2170264,,,                 97653,                 97653,,                594839,,                106166,,                 68742,                655068,              2825332,,                484691,              2340641,              2340641,,,,,,,,,             -1089468,              1251173,,              2651026,               -310385,,              1561030,               -309857,,                              0.21,                              0.21,,                              0.20,                              0.20,                              0,                956987,             -1750078,,,               -299444,                 -3067,                              0
2303,2012年01月01日至2012年12月31日,,,,            113503713,              1030561,            112473152,,              3201611,            115674763,,,             93931976,              2433515,             96365491,             19309272,                    365,             19309548,,,              2748807,,              3130441,,              9786506,             15665754,,             -2790775,                853019,,,              1243822,              1243822,,              4103484,,                538269,,                715528,              5524565,              6377584,,              2145983,              4231601,              4231601,,,,,,,,,             -6553462,             -2321861,,              6177127,             -1945526,,               -371173,             -1950688,,                              0.49,                              0.49,,                              0.47,                              0.47,                              0,             -2802004,             -2589508,               -525243,,               -425307,                211400,                     89
2303,2012年01月01日至2012年09月30日,,,,             85244718,                516678,             84728040,,              2092370,             86820410,,,             69203258,              1532557,             70735815,             16084595,                    365,             16084871,,,              2175078,,              2347261,,              7193507,             11715846,,             -2666274,              1702751,,,              1188232,              1188232,,              2744599,,                388997,,                600847,              4144681,              5847432,,              2021546,              3825886,              3825886,,,,,,,,,             -1772248,              2053638,,              5437921,             -1612035,,              3670799,             -1617161,,                              0.43,                              0.43,,                              0.41,                              0.41,                              0,             -1999702,                811268,,,               -239928,                343886,                     89
2303,2012年01月01日至2012年06月30日,,,,             55573263,                288431,             55284832,,              1361932,             56646764,,,             45276681,              1009390,             46286071,             10360693,                    157,             10360761,,,              1488338,,              1620457,,              4855214,              7964009,,                 38497,              2435249,,,                157560,                157560,,              1404504,,                225693,,                327111,              1663482,              4098731,,                691312,              3407419,              3407419,,,,,,,,,                640200,              4047619,,              3945417,               -537998,,              4590525,               -542906,,                              0.31,                              0.31,,                              0.30,                              0.30,                              0,             -1035281,              1669733,,,                    270,                 -5478,                     89
2303,2012年01月01日至2012年03月31日,,,,             25628802,                 85962,             25542840,,                726594,             26269434,,,             21759868,                487472,             22247340,              4022094,                      8,              4022013,,,                712014,,                779569,,              2299796,              3791379,,                 34351,                264985,,,                 59907,                 59907,,                809665,,                119527,,                258369,              1008414,              1273399,,                206621,              1066778,              1066778,,,,,,,,,              1729668,              2796446,,              1294391,               -227613,,              3029495,               -233049,,                              0.10,                              0.10,,                              0.10,                              0.10,                              0,             -1992268,              3419811,,,                299714,                 -2411,                     89
