證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
5531,2014年01月01日至2014年03月31日,,                592759,,                273275,                319484,                319484,,,                181856,,                132191,                314047,                  5437,,,                 19638,,                -55260,,                 20595,                -56217,                -50780,,                 20863,                -71643,                -71643,,,                 -1967,,                 -1967,                 -1967,                -73610,,                -36262,                -35381,,                -38229,                -35381,,                             -0.06,,                             -0.06,,,,
5531,2013年第3季,,              1487324,,                742112,                745212,                745212,,,                129501,,                124373,                253874,                491338,,,                    386,,                 12653,,                 16349,                 -3310,                488028,,                 21760,                466268,                466268,,,,,,                -18374,                447894,,                490790,                -24522,,                472416,                -24522,,                              0.80,,                              0.80,                -22137,,,                 -3763
5531,2013年第2季,,              1161550,,                598702,                562848,                562848,,,                 76312,,                 87896,                164208,                398640,,,                  3558,,                 -4397,,                  9158,                 -9997,                388643,,                 38576,                350067,                350067,,,,,,                 42782,                392849,,                371377,                -21310,,                414159,                -21310,,                              0.60,,                              0.60,                 51545,,                 -8763,
5531,2013年度,,              7797418,,              3941153,              3856265,              3856265,,,                543413,,                421257,                964670,              2891595,,,                  9645,,               -108977,,                 47725,               -147057,              2744538,,                316850,              2427688,              2427688,,,,,,                 92604,              2520292,,              2483567,                -55879,,              2576267,                -55975,,                              4.03,,                              4.03,                 93482,                 -1057,                    179,
5531,2013年07月01日至2013年09月30日,,              1487324,,                742112,                745212,                745212,,,                129501,,                124373,                253874,                491338,,,                    386,,                 12653,,                 16349,                 -3310,                488028,,                 21760,                466268,                466268,,,,,,                -18374,                447894,,                490790,                -24522,,                472416,                -24522,,                              0.80,,                              0.80,                -22137,,                  3763,
5531,2013年04月01日至2013年06月30日,,              1161550,,                598702,                562848,                562848,,,                 76312,,                 87896,                164208,                398640,,,                  3558,,                 -4397,,                  9158,                 -9997,                388643,,                 38576,                350067,                350067,,,,,,                 42782,                392849,,                371377,                -21310,,                414159,                -21310,,                              0.60,,                              0.60,                 51545,,                 -8763,
5531,2013年01月01日至2013年12月31日,,              7797418,,              3941153,              3856265,              3856265,,,                543413,,                421257,                964670,              2891595,,,                  9645,,               -108977,,                 47725,               -147057,              2744538,,                316850,              2427688,              2427688,,,,,,                 92604,              2520292,,              2483567,                -55879,,              2576267,                -55975,,                              4.03,,                              4.03,                 93482,                 -1057,                    179,
5531,2013年01月01日至2013年09月30日,,              3094721,,              1570641,              1524080,              1524080,,,                287460,,                314068,                601528,                922552,,,                  4889,,                -64895,,                 32162,                -92168,                830384,,                 50694,                779690,                779690,,,,,,                 41956,                821646,,                840828,                -61138,,                882784,                -61138,,                              1.36,,                              1.36,                 50550,,,                  8594
5531,2013年01月01日至2013年06月30日,,              1607397,,                828529,                778868,                778868,,,                157959,,                189695,                347654,                431214,,,                  4503,,                -77548,,                 15813,                -88858,                342356,,                 28934,                313422,                313422,,,,,,                 60330,                373752,,                350038,                -36616,,                410368,                -36616,,                              0.57,,                              0.57,                 72687,,                -12357,
5531,2013年01月01日至2013年03月31日,,                445847,,                229827,                216020,                216020,,,                 66073,,                101799,                167872,                 48148,,,                    945,,                -73151,,                  6655,                -78861,                -30713,,                  5932,                -36645,                -36645,,,,,,                 21142,                -15503,,                -21339,                -15306,,                   -197,                -15306,,                             -0.04,,                             -0.04,                 21142,,,
5531,2012年07月01日至2012年09月30日,,                365240,,                164230,                201010,                201010,,,                 50799,,                 69139,                119938,                 81072,,,                  6519,,                 17194,,                 21698,                  2015,                 83087,,                   -413,                 83500,                 83500,,,,,,                -23067,                 60433,,                 87417,                 -3917,,                 64350,                 -3917,,                              0.16,,                              0.16,                -27792,,                  4725,
5531,2012年04月01日至2012年06月30日,,                237710,,                114393,                123317,                123317,,,                 79794,,                 60798,                140592,                -17275,,,                  5204,,                -11825,,                 24069,                -30690,                -47965,,                 -9487,                -38478,                -38478,,,,,,                 -1242,                -39720,,                -31840,                 -6638,,                -33082,                 -6638,,                             -0.06,,                             -0.06,                 -1496,,                    254,
5531,2012年01月01日至2012年12月31日,,              4498312,,              2469565,              2028747,              2028747,,,                320167,,                287267,                607434,              1421313,,,                 10516,,                 22098,,                 56439,                -23825,              1397488,,                 36450,              1361038,              1361038,,,,,,                -53008,              1308030,,              1377422,                -16384,,              1325160,                -17130,,                              2.46,,                              2.46,                -45358,                 -9217,                  1567,
5531,2012年01月01日至2012年09月30日,,              3233102,,              1832428,              1400674,              1400674,,,                231322,,                185146,                416468,                984206,,,                 11881,,                 24492,,                 57896,                -21523,                962683,,                 15547,                947136,                947136,,,,,,                -40366,                906770,,                957926,                -10790,,                917560,                -10790,,                              1.71,,                              1.71,                -48634,,                  8268,
5531,2012年01月01日至2012年06月30日,,              2867862,,              1668198,              1199664,              1199664,,,                180523,,                116007,                296530,                903134,,,                  5362,,                  7298,,                 36198,                -23538,                879596,,                 15960,                863636,                863636,,,,,,                -17299,                846337,,                870509,                 -6873,,                853210,                 -6873,,                              1.55,,                              1.55,                -20842,,                  3543,
5531,2012年01月01日至2012年03月31日,,              2630152,,              1553805,              1076347,              1076347,,,                100730,,                 55208,                155938,                920409,,,                     36,,                 19245,,                 12129,                  7152,                927561,,                 25447,                902114,                902114,,,,,,                -19347,                882767,,                902349,                   -235,,                883002,                   -235,,                              1.93,,                              1.93,                -19347,,,
