證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
3164,2013年度,,                308937,,                 94904,                214033,                214033,,,                 74975,,                 55362,,                 26795,                157132,                 56901,,,                 13300,,                -10387,,                 22957,                -20044,                 36857,,                  5966,                 30891,                 30891,,,,,,                -24770,                  6121,,                 30891,,                  6121,,                              0.51,                              0.51,                    329,                -25180,                     97,                     16,,,,,,,,,
3164,2013年07月01日至2013年09月30日,,                 72453,,                 24820,                 47633,                 47633,,,                 14416,,                 11471,,                  5515,                 31402,                 16231,,,                  4704,,                 -1739,,                  1640,                  1325,                 17556,,                  3035,                 14521,                 14521,,,,,,                -14021,                    500,,                 14521,,                    500,,,                              0.24,                   -144,                -13877,,                              0,,,                              0.24,,                              0,,                              0,                              0.24,                              0.24
3164,2013年04月01日至2013年06月30日,,                 91456,,                 26742,                 64714,                 64714,,,                 16299,,                 15599,,                  7225,                 39123,                 25591,,,                  3120,,                 -1455,,                  1641,                     24,                 25615,,                  2293,                 23322,                 23322,,,,,,                -11900,                 11422,,                 23322,,                 11422,,,                              0.38,                    233,                -12133,,                              0,,,                              0.37,,                              0,,                              0,                              0.38,                              0.37
3164,2013年01月01日至2013年12月31日,,                308937,,                 94904,                214033,                214033,,,                 74975,,                 55362,,                 26795,                157132,                 56901,,,                 13300,,                -10387,,                 22957,                -20044,                 36857,,                  5966,                 30891,                 30891,,,,,,                -24770,                  6121,,                 30891,,                  6121,,,                              0.51,                    329,                -25180,                     97,                     16,,,                              0.51,,                              0,,                              0,                              0.51,                              0.51
3164,2013年01月01日至2013年09月30日,,                239717,,                 72618,                167099,                167099,,,                 44496,,                 41235,,                 18102,                103833,                 63266,,,                  9804,,                 -5338,,                  4922,                   -456,                 62810,,                  3751,                 59059,                 59059,,,,,,                -25855,                 33204,,                 59059,,                 33204,,                              0.97,                              0.97,                    155,                -26010,,,,                              0.95,                              0.95,,,,,,
3164,2013年01月01日至2013年06月30日,,                167264,,                 47798,                119466,                119466,,,                 30080,,                 29764,,                 12587,                 72431,                 47035,,,                  5100,,                 -3599,,                  3282,                 -1781,                 45254,,                    716,                 44538,                 44538,,,,,,                -11834,                 32704,,                 44538,,                 32704,,,                              0.73,                    299,                -12133,,,,,                              0.71,                              0,                              0,                              0,                              0,                              0.73,                              0.71
3164,2013年01月01日至2013年03月31日,,                 75808,,                 21056,                 54752,                 54752,,,                 13781,,                 14165,,                  5362,                 33308,                 21444,,,                  1980,,                 -2144,,                  1641,                 -1805,                 19639,,                 -1577,                 21216,                 21216,,,,,,                     66,                 21282,,                 21216,,                 21282,,,                              0.35,                     66,                              0,,,,,                              0.34,                              0,                              0,                              0,                              0,                              0.35,                              0.34
3164,2012年07月01日至2012年09月30日,,                 55388,,                 22158,                 33230,                 33230,,,                 19096,,                 14311,,                  7893,                 41300,                 -8070,,,                  2701,,                 57698,,                  1919,                 58480,                 50410,,                 10327,                 40083,                 40083,,,,,,                    -13,                 40070,,                 42783,,                 42767,,,                              0.81,                    -23,                              0,,                    -10,,,                              0.77,,                 -2700,,                 -2697,                              0.81,                              0.77
3164,2012年04月01日至2012年06月30日,,                 61599,,                 19742,                 41857,                 41857,,,                 22111,,                 15204,,                 12277,                 49592,                 -7735,,,                  9118,,                 -1124,,                  1902,                  6092,                 -1643,,                  1357,                 -3000,                 -3000,,,,,,                     11,                 -2989,,                  1947,,                  1957,,,                              0.04,                     28,                              0,,                     17,,,                              0.04,,                 -4947,,                 -4946,                              0.04,                              0.04
3164,2012年01月01日至2012年12月31日,,                226821,,                 82675,                144146,                144146,,,                 80400,,                 57874,,                 35366,                173640,                -29494,,,                 17824,,                 52194,,                  7641,                 62377,                 32883,,                 13523,                 19360,                 19360,,,,,,                  2105,                 21465,,                 28430,,                 29833,,,                              0.52,                   -173,                  1470,                    942,                    134,,,                              0.52,,                 -9070,,                 -8368,                              0.52,                              0.52
3164,2012年01月01日至2012年09月30日,,                166376,,                 61126,                105250,                105250,,,                 59943,,                 43167,,                 28877,                131987,                -26737,,,                 15157,,                 56206,,                  5722,                 65641,                 38904,,                  9844,                 29060,                 29060,,,,,,                  1322,                 30382,,                 38130,,                 38750,,,                              0.72,                   -174,                  1470,,                    -26,,,                              0.69,,                 -9070,,                 -8368,                              0.72,                              0.69
3164,2012年01月01日至2012年06月30日,,                110988,,                 38968,                 72020,                 72020,,,                 40847,,                 28856,,                 20984,                 90687,                -18667,,,                 12456,,                 -1492,,                  3803,                  7161,                -11506,,                   -483,                -11023,                -11023,,,,,,                  1335,                 -9688,,                 -4653,,                 -4017,,,                             -0.09,                   -151,                  1470,,                    -16,,,                             -0.09,,                 -6370,,                 -5671,                             -0.09,                             -0.09
3164,2012年01月01日至2012年03月31日,,                 49389,,                 19226,                 30163,                 30163,,,                 18736,,                 13652,,                  8707,                 41095,                -10932,,,                  3338,,                   -368,,                  1901,                  1069,                 -9863,,                 -1840,                 -8023,                 -8023,,,,,,                  1324,                 -6699,,                 -6600,,                 -5974,,,                             -0.13,                   -179,                  1470,,                    -33,,,                             -0.13,,                 -1423,,                   -725,                             -0.13,                             -0.13
