證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 重估價之利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
1538,2015年第3季,,                168262,,                142515,                 25747,                 25747,,,                  9053,,                 22988,,                 10399,                 42440,                -16693,,,                    783,,                167603,,                  4656,                163730,                147037,,                              0,                147037,                147037,,,                 25914,                              0,                              0,                 25914,                 25914,                172951,,                147037,,                172951,,                              1.77,,,,,,,,,,,,,,,
1538,2015年第2季,,                239292,,                200548,                 38744,                 38744,,,                 13062,,                 28159,,                 10347,                 51568,                -12824,,,                     74,,                -54564,,                  7223,                -61713,                -74537,,                              0,                -74537,                -74537,,,                 -8583,                              0,                              0,                 -8583,                 -8583,                -83120,,                -74537,,                -83120,,                             -0.90,,,,,,,,,,,,,,,
1538,2015年01月01日至2015年09月30日,,                594611,,                504211,                 90400,                 90400,,,                 32715,,                 78287,,                 29237,                140239,                -49839,,,                    907,,                 51050,,                 16589,                 35368,                -14471,,                              0,                -14471,                -14471,,,                 12453,                              0,                              0,                 12453,                 12453,                 -2018,,                -14471,,                 -2018,,                             -0.17,,,,,,,,,,,,,,,
1538,2015年01月01日至2015年06月30日,,                426349,,                361696,                 64653,                 64653,,,                 23662,,                 55299,,                 18838,                 97799,                -33146,,,                    124,,               -116553,,                 11933,               -128362,               -161508,,                              0,               -161508,               -161508,,,                -13461,                              0,                              0,                -13461,                -13461,               -174969,,               -161508,,               -174969,,                             -1.94,,,,,,,,,,,,,,,
1538,2015年01月01日至2015年03月31日,,                187057,,                161148,                 25909,                 25909,,,                 10600,,                 27140,,                  8491,                 46231,                -20322,,,                     50,,                -61989,,                  4710,                -66649,                -86971,,                              0,                -86971,                -86971,,,                 -4878,                              0,                              0,                 -4878,                 -4878,                -91849,,                -86971,,                -91849,,                             -1.05,,,,,,,,,,,,,,,
1538,2014年第3季,,                230259,,                197606,                 32653,                 32653,,,                 12473,,                 31483,,                 10174,                 54130,                -21477,,,                     49,,                 -6446,,                  6376,                -12773,                -34250,,                              0,                -34250,                -34250,,,                 14466,                              0,                              0,                 14466,                 14466,                -19784,,                -34250,,                -19784,,                             -0.41,,,,,,,,,,,,,,,
1538,2014年第2季,,                225516,,                192576,                 32940,                 32940,,,                 13757,,                 27400,,                  9869,                 51026,                -18086,,,                     42,,                 18209,,                  4525,                 13726,                 -4360,,                              0,                 -4360,                 -4360,,,                -10630,                              0,                              0,                -10630,                -10630,                -14990,,                 -4360,,                -14990,,                             -0.05,,,,,,,,,,,,,,,
1538,2014年度,,                865699,,                745796,                119903,                119903,,,                 53338,,                116916,,                 39116,                209370,                -89467,,,                  1484,,                 56749,,                 21969,                 36264,                -53203,,                              0,                -53203,                -53203,,,,,,,                 14120,                -39083,,                -53203,,                -39083,,                             -0.64,,                745796,                 58598,                  4113,                  4422,                              0,                     44,                              0,,                  1496,                              0,                 21561,                 -7441,                              0,
1538,2014年01月01日至2014年09月30日,,                661699,,                567829,                 93870,                 93870,,,                 38920,,                 91546,,                 28606,                159072,                -65202,,,                    679,,                 66204,,                 16133,                 50750,                -14452,,                              0,                -14452,                -14452,,,                  2429,                 -7441,                              0,                 -5012,                 -5012,                -19464,,                -14452,,                -19464,,                             -0.17,,,,,,,,,,,,,,,
1538,2014年01月01日至2014年06月30日,,                431440,,                370223,                 61217,                 61217,,,                 26447,,                 60063,,                 18432,                104942,                -43725,,,                    630,,                 72650,,                  9757,                 63523,                 19798,,                              0,                 19798,                 19798,,,                -12037,                 -7441,                              0,                -19478,                -19478,                    320,,                 19798,,                    320,,                              0.24,,,,,,,,,,,,,,,
1538,2014年01月01日至2014年03月31日,,                205924,,                177647,                 28277,                 28277,,,                 12690,,                 32663,,                  8563,                 53916,                -25639,,,                    588,,                 54441,,                  5232,                 49797,                 24158,,                              0,                 24158,                 24158,,,                 -1407,                 -7441,                              0,                 -8848,                 -8848,                 15310,,                 24158,,                 15310,,                              0.29,,,,,,,,,,,,,,,
1538,2013年第3季,,                227925,,                200842,                 27083,                 27083,,,                 13708,,                 30146,,                 34138,                 77992,                -50909,,,                    874,,                  6193,,                  6481,                    586,                -50323,,                  1127,                -51450,                -51450,,,,,,,                 -5503,                -56953,,                -51450,,                -56953,,                             -0.62,,,,,,,,,,,                  1127,                 -5503,,                              0,                              0
1538,2013年第2季,,                206559,,                178327,                 28232,                 28232,,,                 13939,,                 31656,,                 33481,                 79076,                -50844,,,                    816,,                  3338,,                  6185,                 -2031,                -52875,,                 -4734,                -48141,                -48141,,,,,,,                  4974,                -43167,,                -48141,,                -43167,,                             -0.29,,,,,,,,,,,                 -4734,                  4977,,                              0,                     -3
1538,2013年度,,                776387,,                677580,                 98807,                 98807,,,                 53734,,                123983,,                136569,                314286,               -215479,,,                  3350,,               -230168,,                 24327,               -251145,               -466624,,                 -3276,               -463348,               -463348,,,,,,,                 27839,               -435509,,               -463348,,               -435509,,                             -2.83,,                677580,                  1163,                              0,                  2871,                              0,                              0,                 37829,,                190631,                 -3276,                 27842,                     -3,                              0,
1538,2013年07月01日至2013年09月30日,,                227925,,                200842,                 27083,                 27083,,,                 13708,,                 30146,,                 34138,                 77992,                -50909,,,                    874,,                  6193,,                  6481,                    586,                -50323,,                  1127,                -51450,                -51450,,,,,,,                 -5503,                -56953,,                -51450,,                -56953,,                             -0.31,,,,,,,,,,,,                 -5503,,                              0,                              0
1538,2013年04月01日至2013年06月30日,,                206559,,                178327,                 28232,                 28232,,,                 13939,,                 31656,,                 33481,                 79076,                -50844,,,                    816,,                  3338,,                  6185,                 -2031,                -52875,,                 -4734,                -48141,                -48141,,,,,,,                  4974,                -43167,,                -48141,,                -43167,,                             -0.29,,,,,,,,,,,,                  4977,,                              0,                     -3
1538,2013年01月01日至2013年12月31日,,                776387,,                677580,                 98807,                 98807,,,                 53734,,                123983,,                136569,                314286,               -215479,,,                  3350,,               -230168,,                 24327,               -251145,               -466624,,                 -3276,               -463348,               -463348,,,,,,,                 27839,               -435509,,               -463348,,               -435509,,                             -2.83,,,                  1163,,                  2871,                              0,,                 37829,,                190631,                 -3276,                 27842,                     -3,                              0,
1538,2013年01月01日至2013年09月30日,,                595360,,                518579,                 76781,                 76781,,,                 41912,,                 95117,,                105214,                242243,               -165462,,,                  2462,,                 -8122,,                 18176,                -23836,               -189298,,                 -3607,               -185691,               -185691,,,,,,,                 17605,               -168086,,               -185691,,               -168086,,                             -2.23,,,,,,,,,,,                 -3607,                 17608,,                              0,                     -3
1538,2013年01月01日至2013年06月30日,,                367435,,                317737,                 49698,                 49698,,,                 28204,,                 64971,,                 71076,                164251,               -114553,,,                  1588,,                -14315,,                 11695,                -24422,               -138975,,                 -4734,               -134241,               -134241,,,,,,,                 23108,               -111133,,               -134241,,               -111133,,                             -0.82,,,,,,,,,,,                 -4734,                 23111,,                              0,                     -3
1538,2013年01月01日至2013年03月31日,,                160876,,                139410,                 21466,                 21466,,,                 14265,,                 33315,,                 37595,                 85175,                -63709,,,                    772,,                -17653,,                  5510,                -22391,                -86100,,                              0,                -86100,                -86100,,,,,,,                 18134,                -67966,,                -86100,,                -67966,,                             -0.53,,,,,,,,,,,,                 18134,,                              0,                              0
1538,2012年07月01日至2012年09月30日,,                173246,,                144307,                 28939,                 28939,,,                 11938,,                 32183,,                 48364,                 92485,                -63546,,,                    791,,                 13339,,                  5646,                  8484,                -55062,,                    941,                -56003,                -56003,,,,,,,                 -4599,                -60602,,                -56003,,                -60602,,                             -0.34,,,,,,,,,,,,                 -4599,,                              0,                              0
1538,2012年04月01日至2012年06月30日,,                229636,,                190377,                 39259,                 39259,,,                 12693,,                 30429,,                 46847,                 89969,                -50710,,,                    802,,                 -2352,,                  4580,                 -6130,                -56840,,                  6713,                -63553,                -63553,,,,,,,                -32777,                -96330,,                -63553,,                -96330,,                             -0.39,,,,,,,,,,,,                -32777,,                              0,                              0
1538,2012年01月01日至2012年12月31日,,                773787,,                652180,                121607,                121607,,,                 47506,,                120820,,                188479,                356805,               -235198,,,                  3160,,                 29260,,                 19993,                 12427,               -222771,,                  3276,               -226047,               -226047,,,,,,,                 -8555,               -234602,,               -226047,,               -234602,,                             -1.38,,,                  1163,,                 -7191,                              0,,                -21363,,                    457,                  3276,                -15999,                  7444,                              0,
1538,2012年01月01日至2012年09月30日,,                597881,,                500895,                 96986,                 96986,,,                 35603,,                 94606,,                141702,                271911,               -174925,,,                  2368,,                 24604,,                 13974,                 12998,               -161927,,                  3254,               -165181,               -165181,,,,,,,                -15890,               -181071,,               -165181,,               -181071,,                             -1.01,,,,,,,,,,,,                -15890,,                              0,                              0
