證券代號,年季,　 收入,　　 利息收入,　　 手續費收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 備供出售金融資產已實現利益,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　 減損迴轉利益,　　 兌換利益,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 手續費用,　　 採用權益法認列之關聯企業及合資損失之份額,　　 呆帳費用及保證責任準備提存,　　 透過損益按公允價值衡量之金融資產及負債損失,　　 銷貨成本,　　 勞務成本,　　 營業費用,　　　 營業費用合計,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主[duplicate]43,　　 非控制股權[duplicate]44,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 減損損失,　　 兌換損失,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目,　　 母公司業主[duplicate]47,　　 非控制股權[duplicate]48,　　　 現金流量避險中屬有效避險部份之避險工具利益（損失）,　　　 國外營運機構淨投資避險屬有效避險部份之避險工具利益(損失) ,　　　 可能重分類至損益之其他項目,　　 母公司業主[duplicate]48,　　 非控制股權[duplicate]49,　　 再保佣金收入,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價利益（損失）,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額,　　 與其他綜合損益組成部分相關之所得稅,　　 母公司業主[duplicate]40,　　 非控制股權[duplicate]41,　　 母公司業主[duplicate]41,　　 非控制股權[duplicate]42,　　 營建工程收入,　　 處分投資利益,　　 外匯價格變動準備淨變動,　　 處分投資損失,　　 母公司業主[duplicate]45,　　 非控制股權[duplicate]46,　　 以成本衡量之金融資產及負債利益,　　 處分不動產、廠房及設備利益,　　 投資性不動產利益,　　 備供出售金融資產已實現損失,　　 處分不動產、廠房及設備損失,　　 出售承受擔保品損失,　　 母公司業主[duplicate]46,　　 非控制股權[duplicate]47,　　 保險費用,　　 保險負債淨變動,　　 分離帳戶保險商品收益,　　　 推銷費用,　　　 管理及總務費用,　　 違約證券評價損失,　　 投資性不動產費用及損失
1718,2015年第3季,,              2963663,                644125,                              0,                              0,                 36629,,              4791437,                 18771,                 23151,                227156,                123244,              8828176,,              1108732,                189681,                106223,                 94619,                124400,              4516614,                 16266,,              1647062,                  5241,              7808838,              1019338,                240921,                778417,                778417,,,                 51934,                -22157,                              0,                    729,                 29048,                 29048,                807465,,                176926,                601491,,                114414,                693051,,                              0.16,,                              0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2015年第2季,,              2876531,                605414,,                172796,                  7795,,              5056601,                 12937,                              0,                              0,                 24757,              8756831,,              1085075,                130326,                 55008,                  1682,,              4382326,                 11915,,              1558004,                    671,              7337369,              1419462,                296751,              1122711,              1122711,,,                -15591,                  7134,                              0,                    352,                 -8809,                 -8809,              1113902,,                348618,                774093,,,,,                              0.31,,                              0.30,                              0,                112362,,                              0,                              0,                              0,                332159,                781743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2015年第1季,,              2888401,                667973,                 23634,                143001,,,              4608985,                 16706,                 21603,                 24201,                 40170,              8434674,,              1073386,                193842,                              0,                 68014,                              0,              4108542,                 14006,,              1513530,                  3265,              6974585,              1460089,                277999,              1182090,              1182090,,,                -66099,                 45759,                              0,                   -135,                -20205,                -20205,              1161885,,                381981,                800109,,,,,                              0.34,,                              0.34,,,,                              0,,                              0,,,                              0,                              0,                              0,                377019,                784866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2015年01月01日至2015年09月30日,,              8728595,              1917512,                              0,                191397,                 44424,,             14457023,                 48414,                 44754,                138995,                188171,             25759285,,              3267193,                513849,                137597,                164315,                              0,             13007482,                 42187,,              4718596,                  9177,             21860396,              3898889,                815671,              3083218,              3083218,,,                -29756,                 30736,                              0,                    946,                     34,                     34,              3083252,,                907525,              2175693,,                823592,              2259660,,                              0.80,,                              0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2015年01月01日至2015年06月30日,,              5764932,              1273387,,                315797,                  7795,,              9665586,                 29643,                 21603,                              0,                 64927,             17143670,,              2158461,                324168,                 31374,                 69696,,              8490868,                 25921,,              3071534,                  3936,             14264119,              2879551,                574750,              2304801,              2304801,,,                -81690,                 52893,                              0,                    217,                -29014,                -29014,              2275787,,                730599,              1574202,,,,,                              0.65,,                              0.64,                              0,                 88161,,                              0,                              0,                              0,                709178,              1566609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2014年第3季,,              2846862,                629018,                 43633,                              0,                              0,,              5085519,                 21150,                 52791,                180167,                661877,              9521017,,              1051413,                146989,                              0,                 69264,                 80128,              4914109,                 17265,,              1504790,                  3116,              7787074,              1733943,                288279,              1445664,              1445664,,,                 29404,                -72718,               -442823,                    277,               -486414,               -486414,                959250,,                431589,              1014075,,                -45953,              1005203,,                              0.38,,                              0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2014年第2季,,              2741553,                610852,,                197814,                              0,,              5454204,                 20130,                              0,                              0,                 17729,              9042282,,              1055575,                108076,                 28633,                155674,,              5271147,                 21010,,              1381476,                  6849,              8141842,                900440,                216849,                683591,                683591,,,                -20692,                141927,                559228,                   -326,                680789,                680789,              1364380,,                -71331,                754922,,,,,                             -0.06,,                             -0.06,                  6881,                106521,,                              0,                              0,                              0,                575234,                789146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2014年第1季,,              2682294,                624158,                              0,                              0,,,              4920674,                 28855,                464080,                203701,                 84498,              9008260,,              1032914,                105660,                 19924,                608509,                  8630,              4694709,                 24281,,              1372833,                  1664,              7869124,              1139136,                102245,              1036891,              1036891,,,                    598,                 23108,                 33976,                   -763,                 58445,                 58445,              1095336,,                258633,                778258,,,,,                              0.23,,                              0.23,,,,                              0,,                              0,,,                              0,                              0,                              0,                288262,                807074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,2014年度,,             11157662,,                181762,                139964,,,             20370880,                 90060,                736600,                497663,              1292616,             36951240,,              4188195,                406849,                              0,              1982970,,             19856817,                 81520,,              5809226,                 10387,             32335964,              4615276,                530909,              4084367,              4084367,,,,,,,,                151626,              4235993,,              1084266,              3000101,,,,,                              0.96,,                              0.96,,,,,,,,,,,,,,              2484033,                 88781,                127760,               -164608,                 74851,                -24842,              1201025,              3034968,,,,,,,,,,,,,,,,,,,,,,,
1718,2014年01月01日至2014年09月30日,,              8270709,              1864028,                              0,                109056,                              0,,             15460397,                 70135,                509990,                277347,                761746,             27323408,,              3139902,                360725,                  4924,                833447,                              0,             14879965,                 62556,,              4259099,                  9271,             23549889,              3773519,                607373,              3166146,              3166146,,,                  9310,                 92317,                150381,                   -812,                252820,                252820,              3418966,,                618891,              2547255,,                817543,              2601423,,                              0.55,,                              0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
