證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8341,2015年第3季,,                407725,,                181387,                226338,                226338,,,                 11504,,                 63024,                 74528,                151810,,,                  2137,,                  8821,,                  1382,                  9576,                161386,,                 27785,                133601,                133601,,,                 14741,                              0,                 14741,                 14741,                148342,,                133601,                              0,,                148342,                              0,,                              1.20,                              1.20,,                              1.20,                              1.20,,,
8341,2015年第2季,,                389895,,                154989,                234906,                234906,,,                  9612,,                 64221,                 73833,                161073,,,                  2200,,                 -3686,,                  1597,                 -3083,                157990,,                 27032,                130958,                130958,,,                 -4898,                              0,                 -4898,                 -4898,                126060,,                130958,                              0,,                126060,                              0,,                              1.17,                              1.17,,                              1.17,                              1.17,,,
8341,2015年01月01日至2015年09月30日,,              1166939,,                518929,                648010,                648010,,,                 31545,,                184046,                215591,                432419,,,                  6986,,                  4011,,                  8021,                  2976,                435395,,                 78912,                356483,                356483,,,                  6653,                              0,                  6653,                  6653,                363136,,                356483,                              0,,                363136,                              0,,                              3.29,                              3.29,,                              3.28,                              3.28,,,
8341,2015年01月01日至2015年06月30日,,                759214,,                337542,                421672,                421672,,,                 20041,,                121022,                141063,                280609,,,                  4849,,                 -4810,,                  6639,                 -6600,                274009,,                 51127,                222882,                222882,,,                 -8088,                              0,                 -8088,                 -8088,                214794,,                222882,                              0,,                214794,                              0,,                              2.09,                              2.09,,                              2.09,                              2.09,,,
8341,2015年01月01日至2015年03月31日,,                369319,,                182553,                186766,                186766,,,                 10429,,                 56801,                 67230,                119536,,,                  2649,,                 -1124,,                  5042,                 -3517,                116019,,                 24095,                 91924,                 91924,,,                 -3190,,                 -3190,                 -3190,                 88734,,                 91924,                              0,,                 88734,                              0,,                              0.91,                              0.91,,                              0.90,                              0.90,,,
8341,2014年第3季,,                297819,,                133559,                164260,                164260,,,                 10484,,                 50519,                 61003,                103257,,,                  2269,,                  5146,,                  7856,                   -441,                102816,,                 15800,                 87016,                 87016,,,                  8062,                  1370,                  6692,                  6692,                 93708,,                 87016,                              0,,                 93708,                              0,,                              0.87,                              0.87,,                              0.86,                              0.86,,,
8341,2014年第2季,,                277996,,                138053,                139943,                139943,,,                  9077,,                 55441,                 64518,                 75425,,,                  3047,,                    780,,                  5590,                 -1763,                 73662,,                 19357,                 54305,                 54305,,,                 -5710,                 -1227,                 -4483,                 -4483,                 49822,,                 54305,                              0,,                 49822,                              0,,                              0.54,                              0.54,,                              0.54,                              0.54,,,
8341,2014年度,,              1246237,,                620959,                625278,                625278,,,                 39939,,                209655,                249594,                375684,,,                 10159,,                 10967,,                 22627,                 -1501,                374183,,                 69979,                304204,                304204,,,,,,                  3283,                307487,,                304204,                              0,,                307487,                              0,,                              3.04,                              3.04,,                              2.97,                              2.97,                 11158,                 -7875,                              0
8341,2014年01月01日至2014年09月30日,,                890528,,                436844,                453684,                453684,,,                 28974,,                152741,                181715,                271969,,,                  7037,,                  5071,,                 19091,                 -6983,                264986,,                 48199,                216787,                216787,,,                    844,                    143,                    701,                    701,                217488,,                216787,                              0,,                217488,                              0,,                              2.17,                              2.17,,                              2.13,                              2.13,,,
8341,2014年01月01日至2014年06月30日,,                592709,,                303285,                289424,                289424,,,                 18490,,                102222,                120712,                168712,,,                  4768,,                    -75,,                 11235,                 -6542,                162170,,                 32399,                129771,                129771,,,                 -7218,                 -1227,                 -5991,                 -5991,                123780,,                129771,                              0,,                123780,                              0,,                              1.30,                              1.30,,                              1.26,                              1.26,,,
