證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　　 其他綜合損益
4956,2015年第3季,,,,                315197,                315197,                315197,,                260726,                 54471,                 54471,,,                 10024,,                 15509,,                 29240,                 54773,                   -302,,,                  4784,,                 32155,                 32155,,                  2844,                 34095,                 33793,,                  8301,                 25492,                 25492,,,                    540,                     92,                    448,                    448,                 25940,,                 25492,,                 25940,,                              0.25,                              0.25,,                              0.24,                              0.24,,,,,,,,,
4956,2015年第2季,,,,                430663,                430663,                430663,,                333606,                 97057,                 97057,,,                 11364,,                 14299,,                 29404,                 55067,                 41990,,,                 -4490,,                              0,                 -7161,,                  3062,                -14713,                 27277,,                 16442,                 10835,                 10835,,,                   -182,                    -41,                   -141,                   -141,                 10694,,                 10835,,                 10694,,                              0.11,                              0.11,,                              0.11,                              0.11,                  7161,,,,,,,,
4956,2015年01月01日至2015年09月30日,,,,              1122495,              1122495,              1122495,,                897177,                225318,                225318,,,                 34074,,                 45275,,                 81272,                160621,                 64697,,,                  5559,,                 18601,                 18601,,                  8979,                 15181,                 79878,,                 27628,                 52250,                 52250,,,                    231,                     39,                    192,                    192,                 52442,,                 52250,,                 52442,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,,,,,
4956,2015年01月01日至2015年06月30日,,,,                807298,                807298,                807298,,                636451,                170847,                170847,,,                 24050,,                 29766,,                 52032,                105848,                 64999,,,                    775,,                              0,                -13554,,                  6135,                -18914,                 46085,,                 19327,                 26758,                 26758,,,                   -309,                    -53,                   -256,                   -256,                 26502,,                 26758,,                 26502,,                              0.27,                              0.27,,                              0.27,                              0.27,                 13554,,,,,,,,
4956,2015年01月01日至2015年03月31日,,,,,                376635,                376635,,                302845,                 73790,                 73790,,,                 12686,,                 15467,,                 22628,                 50781,                 23009,,,                  5265,,,                 -6393,,                  3073,                 -4201,                 18808,,                  2885,                 15923,                 15923,,,                   -127,                    -12,                   -115,                   -115,                 15808,,                 15923,,                 15808,,                              0.16,                              0.16,,                              0.15,                              0.15,                  6393,,                302845,,,,,,
4956,2014年第3季,,,,                409272,                409272,                409272,,                317395,                 91877,                 91877,,,                 12781,,                 15881,,                 27691,                 56353,                 35524,,,                    868,,                  2733,                  2733,,                  3169,                    432,                 35956,,                  5126,                 30830,                 30830,,,                    326,                     55,                    271,                    271,                 31101,,                 30830,,                 31101,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,
4956,2014年第2季,,,,                446751,                446751,                446751,,                353271,                 93480,                 93480,,,                 13242,,                 13354,,                 28148,                 54744,                 38736,,,                  1935,,                    441,                    441,,                  1787,                    589,                 39325,,                  5246,                 34079,                 34079,,,                   -205,                    -34,                   -171,                   -171,                 33908,,                 34079,,                 33908,,                              0.34,                              0.34,,                              0.33,                              0.33,                              0,,,,,,,,
4956,2014年度,,,,,              1560960,              1560960,,              1232478,                328482,                328482,,,                 46230,,                 62834,,                 99788,                208852,                119630,,,                  7988,,                 15639,                 15639,,                 10045,                 13582,                133212,,                 17813,                115399,                115399,,,,,,                    408,                115807,,                115399,,                115807,,                              1.15,                              1.15,,                              1.14,                              1.14,                              0,,,                    492,                     84,,,,
4956,2014年01月01日至2014年09月30日,,,,              1211687,              1211687,              1211687,,                951852,                259835,                259835,,,                 35292,,                 47750,,                 73829,                156871,                102964,,,                  4951,,                  2068,                  2068,,                  6804,                    215,                103179,,                 13762,                 89417,                 89417,,,                     71,                     12,                     59,                     59,                 89476,,                 89417,,                 89476,,                              0.89,                              0.89,,                              0.89,                              0.89,,,,,,,,,
4956,2014年01月01日至2014年06月30日,,,,                802415,                802415,                802415,,                634457,                167958,                167958,,,                 22511,,                 31869,,                 46138,                100518,                 67440,,,                  4083,,                              0,                   -665,,                  3635,                   -217,                 67223,,                  8636,                 58587,                 58587,,,                   -255,                    -43,                   -212,                   -212,                 58375,,                 58587,,                 58375,,                              0.58,                              0.58,,                              0.58,                              0.58,                    665,,,,,,,,
4956,2014年01月01日至2014年03月31日,,,,,                355664,                355664,,                281186,                 74478,                 74478,,,                  9269,,                 18515,,                 17990,                 45774,                 28704,,,                  2148,,,                 -1106,,                  1848,                   -806,                 27898,,                  3390,                 24508,                 24508,,,                    -50,                     -9,                    -41,                    -41,                 24467,,                 24508,,                 24467,,                              0.24,                              0.24,,                              0.24,                              0.24,                  1106,,                281186,,,,,,
4956,2013年第3季,,,,                322963,                322963,                322963,,                261958,                 61005,                 61005,,,                  4528,,                 16873,,                 16639,                 38040,                 22965,,,                  2608,,                 -2027,                 -2027,,                  2405,                 -1824,                 21141,,                  2892,                 18249,                 18249,,,,,,                   -105,                 18144,,                 18249,,                 18144,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,                   -126,                    -21,,,,
4956,2013年第2季,,,,                355851,                355851,                355851,,                296290,                 59561,                 59561,,,                  3341,,                 17868,,                 22995,                 44204,                 15357,,,                  2254,,                  1374,                  1374,,                  2228,                  1400,                 16757,,                  3476,                 13281,                 13281,,,,,,                    166,                 13447,,                 13281,,                 13447,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,                    199,                     33,,,,
4956,2013年度,,,,,              1322658,              1322658,,              1086624,                236034,                236034,,,                 18507,,                 67190,,                 78807,                164504,                 71530,,,                  9294,,                              0,                 -2992,,                  8764,                 -2462,                 69068,,                  8600,                 60468,                 60468,,,,,,                    587,                 61055,,                 60468,,                 61055,,                              0.60,                              0.60,,                              0.60,                              0.60,                  2992,,,                    707,                    120,,,,
4956,2013年07月01日至2013年09月30日,,,,                322963,                322963,                322963,,                261958,                 61005,                 61005,,,                  4528,,                 16873,,                 16639,                 38040,                 22965,,,                  2608,,,                 -2027,,                  2405,                 -1824,                 21141,,                  2892,                 18249,                 18249,,,,,,                   -105,                 18144,,                 18249,,                 18144,,,                              0.18,,,                              0.18,                  2027,,,                   -126,                    -21,,,                              0,                              0
4956,2013年04月01日至2013年06月30日,,,,                355851,                355851,                355851,,                296290,                 59561,                 59561,,,                  3341,,                 17868,,                 22995,                 44204,                 15357,,,                  2254,,                  1374,                  1374,,                  2228,                  1400,                 16757,,                  3476,                 13281,                 13281,,,,,,                    166,                 13447,,                 13281,,                 13447,,,                              0.13,,,                              0.13,,,,                    199,                     33,,,                              0,
4956,2013年01月01日至2013年12月31日,,,,,              1322658,              1322658,,              1086624,                236034,                236034,,,                 21164,,                 67190,,                 78807,                167161,                 71530,,,                  9294,,,                 -2992,,                  8764,                 -2462,                 69068,,                  8600,                 60468,                 60468,,,,,,                    587,                 61055,,                 60468,,                 61055,,                              0.60,                              0.60,,                              0.60,                              0.60,                  2992,,,                    707,                    120,,                  2657,                  2657,
4956,2013年01月01日至2013年09月30日,,,,                977872,                977872,                977872,,                806309,                171563,                171563,,,                 11157,,                 50444,,                 60342,                121943,                 49620,,,                  6779,,                 -3318,                 -3318,,                  6606,                 -3145,                 46475,,                  6729,                 39746,                 39746,,,,,,                    435,                 40181,,                 39746,,                 40181,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,                    524,                     89,,,,
4956,2013年01月01日至2013年06月30日,,,,                654909,                654909,                654909,,                544351,                110558,                110558,,,                  6629,,                 33571,,                 43703,                 83903,                 26655,,,                  4171,,                 -1291,                 -1291,,                  4201,                 -1321,                 25334,,                  3837,                 21497,                 21497,,,,,,                    540,                 22037,,                 21497,,                 22037,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,                    650,                    110,,,,
4956,2013年01月01日至2013年03月31日,,,,,                299058,                299058,,                248061,                 50997,                 50997,,,                  3288,,                 15703,,                 20708,                 39699,                 11298,,,                  1917,,,                 -2665,,                  1973,                 -2721,                  8577,,                    361,                  8216,                  8216,,,,,,                    374,                  8590,,                  8216,,                  8590,,                              0.08,                              0.08,,                              0.08,                              0.08,                  2665,,                248061,                    451,                     77,,,,
4956,2012年07月01日至2012年09月30日,,,,                323861,                323861,                323861,,                261621,                 62240,                 62240,,,                  4555,,                 14978,,                 18744,                 38277,                 23963,,,                  1867,,,                   -387,,                  1660,                   -180,                 23783,,                  2946,                 20837,                 20837,,,,,,                   -206,                 20631,,                 20837,,                 20631,,,                              0.21,,,                              0.21,                    387,,,                   -249,                    -43,,,                              0,                              0
4956,2012年04月01日至2012年06月30日,,,,                419436,                419436,                419436,,                317379,                102057,                102057,,,                  4039,,                 15017,,                 22215,                 41271,                 60786,,,                  1634,,                     43,                     43,,                  1498,                    179,                 60965,,                  8898,                 52067,                 52067,,,,,,                     69,                 52136,,                 52067,,                 52136,,,                              0.52,,,                              0.52,,,,                     83,                     14,,,                              0,
4956,2012年01月01日至2012年12月31日,,,,,              1351738,              1351738,,              1115402,                236336,                236336,,,                 18093,,                 61699,,                 68041,                147833,                 88495,,,                  7702,,,                    214,,                  6555,                  1361,                 89856,,                  6079,                 83777,                 83777,,,,,,                   -364,                 83413,,                 83777,,                 83413,,                              0.83,                              0.83,,                              0.83,                              0.83,                   -214,,,                   -416,                    -52,,                     -8,                     -8,
4956,2012年01月01日至2012年09月30日,,,,              1040122,              1040122,              1040122,,                832459,                207663,                207663,,,                 14912,,                 45715,,                 45775,                106402,                101253,,,                  5300,,,                   -421,,                  4653,                    226,                101479,,                 11077,                 90402,                 90402,,,,,,                   -362,                 90040,,                 90402,,                 90040,,,                              0.90,,,                              0.90,                    421,,,                   -415,                    -53,,,                     -8,                              0
4956,2012年01月01日至2012年06月30日,,,,                716261,                716261,                716261,,                570838,                145423,                145423,,,                 10357,,                 30737,,                 27031,                 68125,                 77290,,,                  3433,,                    -34,                    -34,,                  2993,                    406,                 77696,,                  8131,                 69565,                 69565,,,,,,                   -156,                 69409,,                 69565,,                 69409,,,                              0.69,,,                              0.69,,,,                   -166,                    -10,,,                     -8,
4956,2012年01月01日至2012年03月31日,,,,,                296825,                296825,,                253459,                 43366,                 43366,,,                  6318,,                 15720,,                  4816,                 26854,                 16504,,,                  1799,,,                    -77,,                  1495,                    227,                 16731,,                   -767,                 17498,                 17498,,,,,,                   -225,                 17273,,                 17498,,                 17273,,                              0.17,                              0.17,,                              0.17,                              0.17,                     77,,                253459,                   -249,                    -24,,,                     -8,
