證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息費用,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 利息收入,　　　　 利息收入合計
3557,2014年第3季,,,                270853,                270853,,                247935,                 22918,                 22918,,,                 16082,,                 15669,,                  4859,                 36610,,                  1140,                -12552,,,                    199,,                  7949,,                  2394,                  5754,                 -6798,,                              0,                 -6798,                 -6798,,                    781,                              0,                    781,                 -6017,,                 -6513,                   -285,,                 -5732,                   -285,,                             -0.06,,                             -0.06,,,,,
3557,2014年第2季,,,                199629,                199629,,                201310,                 -1681,                 -1681,,,                  9523,,                 14304,,                  6669,                 30496,,                    710,                -31467,,,                    934,,                 -5718,,                  2378,                 -7162,                -38629,,                 10000,                -48629,                -48629,,                   -885,                              0,                   -885,                -49514,,                -47779,                   -850,,                -48664,                   -850,,                             -0.44,,                             -0.44,,,,,
3557,2014年度,,,                862624,                862624,,                871611,                 -8987,                 -8987,,,                 52500,,                 63306,,                 26771,                142577,,                  3238,               -148326,,,                  1798,,               -157387,,                  9568,               -165157,               -313483,,                 78686,               -392169,               -392169,,                  2523,                              0,                  2523,               -389646,,               -387055,                 -5114,,               -384532,                 -5114,,                             -3.54,,                             -3.54,,,,,
3557,2014年01月01日至2014年09月30日,,,                621619,                621619,,                624967,                 -3348,                 -3348,,,                 39114,,                 44866,,                 22238,                106218,,                  2513,               -107053,,,                  1340,,                  8250,,                  7449,                  2141,               -104912,,                 10000,               -114912,               -114912,,                    528,                              0,                    528,               -114384,,               -111666,                 -3246,,               -111138,                 -3246,,                             -1.02,,                             -1.02,,,,,
3557,2014年01月01日至2014年06月30日,,,                350766,                350766,,                377032,                -26266,                -26266,,,                 23032,,                 29197,,                 17379,                 69608,,                  1373,                -94501,,,                  1141,,                    301,,                  5055,                 -3613,                -98114,,                 10000,               -108114,               -108114,,                   -253,                              0,                   -253,               -108367,,               -105153,                 -2961,,               -105406,                 -2961,,                             -0.96,,                             -0.96,,,,,
3557,2014年01月01日至2014年03月31日,,,                151137,                151137,,                175722,                -24585,                -24585,,,                 13509,,                 14893,,                 10710,                 39112,,                    663,                -63034,,,                    207,,                  6019,,                  2677,                  3549,                -59485,,                              0,                -59485,                -59485,,                    632,                              0,                    632,                -58853,,                -57374,                 -2111,,                -56742,                 -2111,,                             -0.52,,                             -0.52,                  2677,,,,
3557,2013年第3季,,,                243072,                243072,,                285165,                -42093,                -42093,,,                 16065,,                 17470,,                  9935,                 43470,,                  2108,                -83455,,,                    236,,                 -5000,,                  3682,                 -8446,                -91901,,                 17337,               -109238,               -109238,,                   -657,                              0,                   -657,               -109895,,               -101346,                 -7892,,               -102003,                 -7892,,                             -0.93,,                             -0.93,,,,,
3557,2013年第2季,,,                334115,                334115,,                303174,                 30941,                 30941,,,                 19576,,                 18027,,                 10422,                 48025,,                  2117,                -14967,,,                  2051,,                -23448,,                  4928,                -26325,                -41292,,                      2,                -41294,                -41294,,                  1407,                              0,                  1407,                -39887,,                -38830,                 -2464,,                -37423,                 -2464,,                             -0.36,,                             -0.36,,,,,
3557,2013年度,,,              1092677,              1092677,,              1146318,                -53641,                -53641,,,                 63699,,                 66062,,                 36404,                166165,,                  5789,               -214017,,,                  1943,,                -47382,,                 14584,                -60023,               -274040,,                 28265,               -302305,               -302305,,                  3775,                              0,                  3775,               -298530,,               -283428,                -18877,,               -279653,                -18877,,                             -2.59,,                             -2.59,,,,,
3557,2013年07月01日至2013年09月30日,,,,                243072,,                285165,                -42093,                -42093,,,                 16065,,                 17470,,                  9935,                 43470,,                  2108,                -83455,,,                    236,,                 -5000,,                  3682,                 -8446,                -91901,,                 17337,               -109238,               -109238,,                   -657,                              0,                   -657,               -109895,,               -101346,                 -7892,,               -102003,                 -7892,,                             -0.93,,                             -0.93,,,                              0,,                    236
