證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 與可能重分類之項目相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 當期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　 未實現銷貨（損）益,　 已實現銷貨（損）益
8411,2015年第3季,,,              1723970,              1723970,,,              1457652,              1457652,                266318,                266318,,,                 39425,,                 62142,,                 49100,                150667,                115651,,,,                  2969,                  1281,                  4250,,                  1513,                 33088,                  2008,                  8189,                              0,                              0,                              0,                 28420,,                 14533,                 14533,,                  1676,                 -1676,                 16461,                132112,,                 54578,                 54578,                 77534,                 77534,,,                257815,                257815,                257815,                335349,,                 77534,,                335349,,                              0.51,,                              0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,2015年第2季,,,              1416321,              1416321,,,              1234257,              1234257,                182064,                182064,,,                 35687,,                 60869,,                 36447,                133003,                 49061,,,,                  3445,                    171,                  3616,,                    203,                  7389,,                  2798,                              0,                              0,                  4500,                    294,,                 11548,                 11548,,                  2671,                 -2671,                -10309,                 38752,,                 13165,                 13165,                 25587,                 25587,,,                -81787,                -81787,                -81787,                -56200,,                 25587,,                -56200,,                              0.17,,                              0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,2015年01月01日至2015年09月30日,,,              4802898,              4802898,,,              4096927,              4096927,                705971,                705971,,,                122636,,                188156,,                123501,                434293,                271678,,,,                 12109,                  2445,                 14554,,                  1252,                 41892,                  1508,                 12416,                              0,                              0,                              0,                 32236,,                 35461,                 35461,,                  5329,                 -5329,                  6000,                277678,,                 98390,                 98390,                179288,                179288,,,                110084,                110084,                110084,                289372,,                179288,,                289372,,                              1.18,,                              1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,2015年01月01日至2015年06月30日,,,              3078928,              3078928,,,              2639275,              2639275,                439653,                439653,,,                 83211,,                126014,,                 74401,                283626,                156027,,,,                  9140,                  1164,                 10304,,                              0,                  8804,,                  4227,                    261,                              0,                    500,                  3816,,                 20928,                 20928,,                  3653,                 -3653,                -10461,                145566,,                 43812,                 43812,                101754,                101754,,,               -147731,               -147731,               -147731,                -45977,,                101754,,                -45977,,                              0.67,,                              0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,2015年01月01日至2015年03月31日,,,              1662607,              1662607,,,              1405018,              1405018,                257589,                257589,,,                 47524,,                 65145,,                 37955,                150624,                106965,,,,                  5695,                    993,                  6688,,                              0,                  1415,                  4000,                  1428,                    464,                              0,,                  3523,,                  9380,                  9380,,                    982,                   -982,                   -151,                106814,,                 30647,                 30647,                 76167,                 76167,,,                -65943,                -65943,                -65943,                 10224,,                 76167,,                 10224,,                              0.50,,                              0.45,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,
8411,2014年第3季,,,              1407176,              1407176,,,              1214798,              1214798,                192378,                192378,,,                 30479,,                 68672,,                 16092,                115243,                 77135,,,,                  7284,                  8609,                 15893,,                              0,                  4079,                              0,                  3890,                    155,                              0,                  4957,                 -4923,,                  8968,                  8968,,                  1559,                 -1559,                    443,                 77578,,                 30001,                 30001,                 47577,                 47577,,,                185205,                185205,                185205,                232782,,                 47577,,                232782,,                              0.31,,                              0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,2014年第2季,,,              1228394,              1228394,,,              1072627,              1072627,                155767,                155767,,,                 23772,,                 67374,,                 17246,                108392,                 47375,,,,                  7095,                  9479,                 16574,,                    335,                              0,,                  6680,                              0,                  4409,                  6800,                -17554,,                  7145,                  7145,,                              0,                              0,                 -8125,                 39250,,                  9566,                  9566,                 29684,                 29684,,,               -121219,               -121219,               -121219,                -91535,,                 29684,,                -91535,,                              0.20,,                              0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,2014年度,,,              5697131,              5697131,,,,              4817113,                880018,                880018,,,                114798,,                244804,,                132298,                491900,                388118,,,,                 27123,                 40701,                 67824,,,                              0,                  1601,                 15613,                  2768,                  9719,                 18400,                -44899,,                 33355,                 33355,,                  5724,                 -5724,                -16154,                371964,,,                159972,                211992,                211992,,,,,                235663,                447655,,                211992,,                447655,,                              1.40,,                              1.40,,                              0,,                              0,,,,,,,,,,,                              0,,,                              0,                159972,,                              0,                235663,                              0,                              0,,,
8411,2014年01月01日至2014年09月30日,,,              4514101,              4514101,,,              3849723,              3849723,                664378,                664378,,,                 88525,,                194910,,                 56366,                339801,                324577,,,,                 20316,                 35079,                 55395,,                    333,                              0,                              0,                 12097,                              0,                  2993,                  9257,                -24014,,                 25118,                 25118,,                  1559,                 -1559,                  4704,                329281,,                112412,                112412,                216869,                216869,,,                 26303,                 26303,                 26303,                243172,,                216869,,                243172,,                              1.43,,                              1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,2014年01月01日至2014年06月30日,,,              3106925,              3106925,,,              2634925,              2634925,                472000,                472000,,,                 58046,,                126238,,                 40274,                224558,                247442,,,,                 13032,                 26470,                 39502,,                    488,                              0,,                  8207,                              0,                  7072,                  4300,                -19091,,                 16150,                 16150,,                              0,                              0,                  4261,                251703,,                 82411,                 82411,                169292,                169292,,,               -158902,               -158902,               -158902,                 10390,,                169292,,                 10390,,                              1.12,,                              1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
