證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益
6177,2015年第3季,,                127856,,                 86148,                 41708,                 41708,,,                  9053,,                 36839,                 45892,                 -4184,,,                  8013,,                    263,,                 10351,                 -2075,                 -6259,,                    977,                 -7236,                 -7236,,,                    558,                    558,                    558,                 -6678,,                 -7236,,                 -6678,,                             -0.04,                             -0.04,,                              0.00,
6177,2015年第2季,,                522004,,                418117,                103887,                103887,,,                 13555,,                 36773,                 50328,                 53559,,,                  2888,,                    294,,                 11966,                 -8784,                 44775,,                  3361,                 41414,                 41414,,,                    222,                    222,                    222,                 41636,,                 41414,,                 41636,,                              0.24,                              0.24,,                              0.22,
6177,2015年01月01日至2015年09月30日,,              1977644,,              1546264,                431380,                431380,,,                 46236,,                117737,                163973,                267407,,,                 11299,,                    489,,                 33013,                -21225,                246182,,                 18975,                227207,                227207,,,                    645,                    645,                    645,                227852,,                227207,,                227852,,                              1.17,                              1.17,,                              1.09,
6177,2015年01月01日至2015年06月30日,,              1849788,,              1460116,                389672,                389672,,,                 37183,,                 80898,                118081,                271591,,,                  3285,,                    226,,                 22661,                -19150,                252441,,                 17998,                234443,                234443,,,                     87,                     87,                     87,                234530,,                234443,,                234530,,                              1.36,                              1.36,,                              1.25,
6177,2015年01月01日至2015年03月31日,,              1327784,,              1041999,                285785,                285785,,,                 23628,,                 44124,                 67752,                218033,,,                    397,,                    -68,,                 10696,                -10367,                207666,,                 14637,                193029,                193029,,,                   -135,                   -135,                   -135,                192894,,                193029,,                192894,,                              1.14,                              1.14,,                              1.02,
6177,2014年第3季,,              1670620,,                925462,                745158,                745158,,,                 93038,,                 50896,                143934,                601224,,,                    164,,                  8082,,                  7120,                  1126,                602350,,                 19758,                582592,                582592,,,                  1122,                  1122,                  1122,                583714,,                582592,,                583714,,                              3.07,                              3.07,,                              2.77,
6177,2014年第2季,,              2259353,,              1173756,              1085597,              1085597,,,                122960,,                 55842,                178802,                906795,,,                    928,,                   -321,,                  2415,                 -1808,                904987,,                 28079,                876908,                876908,,,                  2202,                  2202,                  2202,                879110,,                876908,,                879110,,                              5.20,                              5.20,,                              4.65,
6177,2014年度,,              4812063,,              2775288,              2036775,              2036775,,,                271459,,                183600,                455059,              1581716,,,                  9326,,                  8578,,                 24901,                 -6997,              1574719,,                 51302,              1523417,              1523417,,,,,                  1496,              1524913,,              1523417,,              1524913,,,                              9.02,,                              8.06,                  1496
6177,2014年01月01日至2014年09月30日,,              4006297,,              2156056,              1850241,              1850241,,,                240203,,                138980,                379183,              1471058,,,                  8291,,                  7396,,                 16138,                   -451,              1470607,,                 48507,              1422100,              1422100,,,                  4209,                  4209,                  4209,              1426309,,              1422100,,              1426309,,                              7.49,                              7.49,,                              6.76,
6177,2014年01月01日至2014年06月30日,,              2335677,,              1230594,              1105083,              1105083,,,                147165,,                 88084,                235249,                869834,,,                  8127,,                   -686,,                  9018,                 -1577,                868257,,                 28749,                839508,                839508,,,                  3086,                  3086,                  3086,                842594,,                839508,,                842594,,                              4.98,                              4.98,,                              4.45,
6177,2014年01月01日至2014年03月31日,,                 76324,,                 56838,                 19486,                 19486,,,                 24204,,                 32243,                 56447,                -36961,,,                  7198,,                   -365,,                  6601,                    232,                -36729,,                    671,                -37400,                -37400,,,                    884,                    884,                    884,                -36516,,                -37400,,                -36516,,                             -0.22,                             -0.22,,                             -0.22,
6177,2013年第3季,,                141691,,                108131,                 33560,                 33560,,,                 16616,,                 24844,                 41460,                 -7900,,,                    110,,                    511,,                  5172,                 -4551,                -12451,,                  1469,                -13920,                -13920,,,,,                  1408,                -12512,,                -13920,,                -12512,,,                             -0.08,,                              0.00,                  1408
6177,2013年第2季,,                319645,,                247788,                 71857,                 71857,,,                  9008,,                 23223,                 32231,                 39626,,,                  2441,,                   -421,,                  6004,                 -3984,                 35642,,                 58370,                -22728,                -22728,,,,,                 -1524,                -24252,,                -22728,,                -24252,,,                             -0.14,,                              0.00,                 -1524
6177,2013年度,,                960491,,                710402,                250089,                250089,,,                 43844,,                 90036,                133880,                116209,,,                  3587,,                  1936,,                 20320,                -14797,                101412,,                 63075,                 38337,                 38337,,,,,                  2189,                 40526,,                 38337,,                 40526,,,                              0.23,,                              0.23,                  2189
6177,2013年07月01日至2013年09月30日,,                141691,,                108131,                 33560,                 33560,,,                 16616,,                 24844,                 41460,                 -7900,,,                    110,,                    511,,                  5172,                 -4551,                -12451,,                  1469,                -13920,                -13920,,,,,                  1408,                -12512,,                -13920,,                -12512,,,                             -0.09,,                              0.00,                  1408
6177,2013年04月01日至2013年06月30日,,                319645,,                247788,                 71857,                 71857,,,                  9008,,                 23223,                 32231,                 39626,,,                  2441,,                   -421,,                  6004,                 -3984,                 35642,,                 58370,                -22728,                -22728,,,,,                 -1524,                -24252,,                -22728,,                -24252,,,                             -0.14,,                              0.00,                 -1524
6177,2013年01月01日至2013年12月31日,,                960491,,                710402,                250089,                250089,,,                 43844,,                 90036,                133880,                116209,,,                  3587,,                  1936,,                 20320,                -14797,                101412,,                 63075,                 38337,                 38337,,,,,                  2189,                 40526,,                 38337,,                 40526,,,                              0.23,,                              0.23,                  2189
6177,2013年01月01日至2013年09月30日,,                859495,,                632776,                226719,                226719,,,                 35339,,                 66308,                101647,                125072,,,                  2780,,                  1637,,                 15686,                -11269,                113803,,                 61546,                 52257,                 52257,,,,,                  1448,                 53705,,                 52257,,                 53705,,,                              0.31,,                              0.30,                  1448
6177,2013年01月01日至2013年06月30日,,                717803,,                524643,                193160,                193160,,,                 18723,,                 41466,                 60189,                132971,,,                  2670,,                  1127,,                 10514,                 -6717,                126254,,                 60077,                 66177,                 66177,,,,,                     40,                 66217,,                 66177,,                 66217,,,                              0.41,,                              0.38,                     40
6177,2013年01月01日至2013年03月31日,,                398158,,                276856,                121302,                121302,,,                  9714,,                 18242,                 27956,                 93346,,,                    229,,                  1548,,                  4511,                 -2734,                 90612,,                  1707,                 88905,                 88905,,,,,                  1565,                 90470,,                 88905,,                 90470,,,                              0.55,,                              0.50,                  1565
6177,2012年07月01日至2012年09月30日,,                103217,,                 80854,                 22363,                 22363,,,                  7568,,                 21837,                 29405,                 -7042,,,                  1220,,                 -3678,,                  3395,                 -5853,                -12895,,                     -4,                -12891,                -12891,,,,,                  2843,                -10048,,                -12891,,                -10048,,,                             -0.08,,                              0.00,                  2843
6177,2012年04月01日至2012年06月30日,,                    246,,                    277,                    -31,                    -31,,,                              0,,                 58429,                 58429,                -58460,,,                  1530,,                    628,,                  3087,                   -929,                -59389,,                  4816,                -64205,                -64205,,,,,                 -4887,                -69092,,                -64205,,                -69092,,,                             -0.42,,                              0.00,                 -4887
6177,2012年01月01日至2012年12月31日,,              1442652,,              1030078,                412574,                412574,,,                 79495,,                 81827,                161322,                251252,,,                  3832,,                -12006,,                 14263,                -22437,                228815,,                 24296,                204519,                204519,,,,,                  1424,                205943,,                204519,,                205943,,,                              1.32,,                              1.22,                  1424
6177,2012年01月01日至2012年09月30日,,                103868,,                 81377,                 22491,                 22491,,,                 43002,,                 59662,                102664,                -80173,,,                  3081,,                -12141,,                 10029,                -19089,                -99262,,                  4812,               -104074,               -104074,,,,,                  2683,               -101391,,               -104074,,               -101391,,,                             -0.68,,                              0.00,                  2683
6177,2012年01月01日至2012年06月30日,,                    651,,                    523,                    128,                    128,,,                              0,,                 73259,                 73259,                -73131,,,                  1861,,                 -8463,,                  6635,                -13237,                -86368,,                  4815,                -91183,                -91183,,,,,                   -160,                -91343,,                -91183,,                -91343,,,                             -0.59,,                              0.00,                   -160
6177,2012年01月01日至2012年03月31日,,                    406,,                    246,                    160,                    160,,,                              0,,                 14831,                 14831,                -14671,,,                    331,,                 -9091,,                  3547,                -12307,                -26978,,                              0,                -26978,                -26978,,,,,                  4726,                -22252,,                -26978,,                -22252,,,                             -0.22,,                              0.00,                  4726
