證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
3017,2013年第2季,,,,,,              4870615,,              4223160,                647455,                647455,,,                153458,,                112216,,                279640,                545314,                102141,,,                 46385,,                   -270,,                 16304,,                 -2990,                 26821,                128962,,                 55975,                 72987,                 72987,,,,,,,,                 92541,                165528,,                 76956,                 -3969,,,                165528,,                              0.22,,                              0.22,                100988,,,                  1028,,                  9475
3017,2013年度,,,,,             19989632,             19989632,,             17613925,              2375707,              2375707,,,                594834,,                383703,,              1069551,              2048088,                327619,,,                160862,,                -38139,,                 71860,,                 -9119,                 41744,                369363,,                131121,                238242,                238242,,,,,,,,                318128,                556370,,                245920,                 -7678,,                562396,                 -6026,,                              0.70,,                              0.69,                341800,                  8338,,                 -1865,                -30145,
3017,2013年07月01日至2013年09月30日,,,,              5159016,              5159016,              5159016,,              4500367,                658649,                658649,,,                164606,,                 78468,,                259359,                502433,                156216,,,                 17244,,                -51490,,                 20557,,                    667,                -54136,                102080,,                 23475,                 78605,                 78605,,,,,,,,                -82908,                 -4303,,                 75061,                  3544,,                 -7444,                  3141,,                              0.21,,                              0.21,                -96258,,,                    117,                 13233,
3017,2013年04月01日至2013年06月30日,,,,,              4870615,              4870615,,              4223160,                647455,                647455,,,                153458,,                112216,,                279640,                545314,                102141,,,                 46385,,                   -270,,                 16304,,                 -2990,                 26821,                128962,,                 55975,                 72987,                 72987,,,,,,,,                 92541,                165528,,                 76956,                 -3969,,                169024,                 -3496,,                              0.22,,                              0.22,                100988,,,                  1028,                 -9475,
3017,2013年01月01日至2013年12月31日,,,,,             19989632,             19989632,,             17613925,              2375707,              2375707,,,                594834,,                383703,,              1069551,              2048088,                327619,,,                160862,,                -38139,,                 71860,,                 -9119,                 41744,                369363,,                131121,                238242,                238242,,,,,,,,                318128,                556370,,                245920,                 -7678,,                562396,                 -6026,,                              0.70,,                              0.69,                341800,                  8338,,                 -1865,                -30145,
3017,2013年01月01日至2013年09月30日,,,,,,             14220976,,             12435608,              1785368,              1785368,,,                453236,,                290269,,                777140,              1520645,                264723,,,                 84318,,                -37693,,                 48989,,                  1358,                 -1006,                263717,,                 91926,                171791,                171791,,,,,,,,                199890,                371681,,                180232,                 -8441,,                378894,                 -7213,,                              0.51,,                              0.51,                219091,,,                 -3039,,                 16162
3017,2013年01月01日至2013年06月30日,,,,,,              9061960,,              7935241,              1126719,              1126719,,,                288630,,                211801,,                517781,              1018212,                108507,,,                 67074,,                 13797,,                 28432,,                    691,                 53130,                161637,,                 68451,                 93186,                 93186,,,,,,,,                282798,                375984,,                105171,                -11985,,,                375984,,                              0.30,,                              0.30,                315349,,,                 -3156,,                 29395
3017,2013年01月01日至2013年03月31日,,,,,              4191345,              4191345,,              3712081,                479264,                479264,,,                135172,,                 99585,,                238141,                472898,                  6366,,,                 20689,,                 14067,,                 12128,,                  3681,                 26309,                 32675,,                 12476,                 20199,                 20199,,,,,,,,                190257,                210456,,                 28215,                 -8016,,                217314,                 -6858,,                              0.08,,                              0.08,                214361,,,                 -4184,,                 19920
3017,2012年07月01日至2012年09月30日,,,,              4597963,              4597963,              4597963,,              4068843,                529120,                529120,,,                174499,,                120774,,                271332,                566605,                -37485,,,                 90256,,                -20094,,                 16739,,                 -6088,                 47335,                  9850,,                 29768,                -19918,                -19918,,,,,,,,                -57266,                -77184,,                 -2355,                -17563,,                -59280,                -17904,,                             -0.01,,                             -0.01,                -77710,,,                    636,                 19808,
3017,2012年04月01日至2012年06月30日,,,,,              4466072,              4466072,,              3925231,                540841,                540841,,,                143244,,                120326,,                296905,                560475,                -19634,,,                 14074,,                 12738,,                 14153,,                  5369,                 18028,                 -1606,,                 13756,                -15362,                -15362,,,,,,,,                 31993,                 16631,,                  5718,                -21080,,                 37347,                -20716,,                              0.01,,                              0.01,                 40494,,,                 -2770,                 -5731,
3017,2012年01月01日至2012年12月31日,,,,,             17855049,             17855049,,             15694477,              2160572,              2160572,,,                605714,,                427877,,              1084140,              2117731,                 42841,,,                140090,,                -90436,,                 59665,,                -13260,                -23271,                 19570,,                 76798,                -57228,                -57228,,,,,,,,               -182126,               -239354,,                 32099,                -89327,,               -157522,                -81832,,                              0.09,,                              0.09,               -205952,                -24603,,                  2628,                 45801,
3017,2012年01月01日至2012年09月30日,,,,             13100058,             13100058,             13100058,,             11552206,              1547852,              1547852,,,                469781,,                323065,,                793556,              1586402,                -38550,,,                142181,,                -44787,,                 44838,,                 -8946,                 43610,                  5060,,                 64860,                -59800,                -59800,,,,,,,,               -147760,               -207560,,                  8546,                -68346,,               -147513,                -60047,,                              0.02,,                              0.02,               -188837,,,                  1975,                 39102,
3017,2012年01月01日至2012年06月30日,,,,,              8502095,              8502095,,              7483363,              1018732,              1018732,,,                295282,,                202291,,                522224,              1019797,                 -1065,,,                 51925,,                -24693,,                 28099,,                 -2858,                 -3725,                 -4790,,                 35092,                -39882,                -39882,,,,,,,,                -90494,               -130376,,                 10901,                -50783,,                -88233,                -42143,,                              0.03,,                              0.03,               -111127,,,                  1339,                 19294,
3017,2012年01月01日至2012年03月31日,,,,,              4036023,              4036023,,              3558132,                477891,                477891,,,                152038,,                 81965,,                225319,                459322,                 18569,,,                 37851,,                -37431,,                 13946,,                 -8227,                -21753,                 -3184,,                 21336,                -24520,                -24520,,,,,,,,               -122487,               -147007,,                  5183,                -29703,,               -125580,                -21427,,                              0.02,,                              0.02,               -151621,,,                  4109,                 25025,
