證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備利益,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 處分投資損失
2344,2015年第3季,,              9533927,,              6849331,              2684596,              2684596,,,                307460,,                300030,,              1257602,              1865092,                819504,,,,                 41871,                 39114,                              0,                  8446,                 89431,,                              0,                227058,                  9828,                    -23,                173310,                 43943,,                 68654,                 68654,,                 14160,                 14160,                 78880,                898384,,                167816,                730568,                730568,,,,,,                162863,               -501531,               -338668,               -338668,                391900,,                672618,                 57950,,                316391,                 75509,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,,,
2344,2015年第2季,,              9252129,,              6298020,              2954109,              2954109,,,                292116,,                320864,,              1348048,              1961028,                993081,,,,                 43984,                 64858,                              0,                 19441,                128283,,                 23802,,                  8831,                  1512,,                  5450,,                 73858,                 73858,,                  1548,                  1548,                 61423,              1054504,,                191355,                863149,                863149,,,,,,                -26471,             -1079393,             -1105864,             -1105864,               -242715,,                800729,                 62420,,               -305771,                 63056,,                              0.22,                              0.22,,                              0.22,                              0.22,                 41551,                 49560,,,,,,,,,
2344,2015年度,,             38350315,,             26528662,             11821653,             11821653,,,              1193005,,              1257611,,              5262111,              7712727,              4108926,,,,                173461,                124449,                              0,                 53143,                351053,,                 32047,                162565,                 35172,                  8341,                121027,                 30072,,                263751,                263751,,                 21884,                 21884,                139258,              4248184,,                775311,              3472873,              3472873,,,                -97066,                -97066,,                 72285,             -1729602,             -1657317,             -1754383,              1718490,,              3291251,                181622,,              1541648,                176842,,                              0.90,                              0.90,,                              0.90,                              0.90,,,,,,,,,,,
2344,2015年01月01日至2015年09月30日,,             28509882,,             19739102,              8770780,              8770780,,,                881518,,                905836,,              3904304,              5691658,              3079122,,,,                128691,                116899,                              0,                 41002,                286592,,                 32047,                144393,                 27963,                  1042,                105376,                 42059,,                199569,                199569,,                 25796,                 25796,                154878,              3234000,,                603308,              2630692,              2630692,,,,,,                 96268,             -1900908,             -1804640,             -1804640,                826052,,              2473768,                156924,,                658121,                167931,,                              0.67,                              0.67,,                              0.67,                              0.67,,,,,,,,,,,
2344,2015年01月01日至2015年06月30日,,             18975955,,             12889771,              6086184,              6086184,,,                574058,,                605806,,              2646702,              3826566,              2259618,,,,                 86820,                 77785,                              0,                 32556,                197161,,                 32047,,                 18135,                  1065,,                 -1884,,                130915,                130915,,                 11636,                 11636,                 75998,              2335616,,                435492,              1900124,              1900124,,,,,,                -66595,             -1399377,             -1465972,             -1465972,                434152,,              1801150,                 98974,,                341730,                 92422,,                              0.49,                              0.49,,                              0.49,                              0.49,                 67934,                 82665,,,,,,,,,
2344,2015年01月01日至2015年03月31日,,              9723826,,              6591751,              3132075,              3132075,,,                281942,,                284942,,              1298654,              1865538,              1266537,,,,                 42836,                 12927,,                 13115,                 68878,,                  8245,,                  9304,,,                 -7334,,                 57057,                 57057,,                 10088,                 10088,                 14575,              1281112,,                244137,              1036975,              1036975,,,,,,                -40124,               -319984,               -360108,               -360108,                676867,,              1000421,                 36554,,                647501,                 29366,,                              0.27,                              0.27,,                              0.27,                              0.27,                 26383,                 33105,                    447,,,,,,,,
2344,2014年第3季,,              9931448,,              7126697,              2804751,              2804751,,,                294915,,                277190,,              1120165,              1692270,              1112481,,,,                 41095,                 27751,                              0,                  8649,                 77495,,                 29347,                 85350,                  8846,                  7842,                 70707,                 27302,,                 42603,                 42603,,                 16537,                 16537,                 78731,              1191212,,                229557,                961655,                961655,,,,,,                  8880,               -658137,               -649257,               -649257,                312398,,                927378,                 34277,,                280003,                 32395,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,,,,,,,
2344,2014年第2季,,              9742354,,              6970187,              2772167,              2772167,,,                296508,,                288365,,              1292669,              1877542,                894625,,,,                 40346,                 41625,                    902,                 12631,                 95504,,                     96,,                  8276,                    164,,                -18237,,                 35134,                 35134,,                 14303,                 14303,                 56436,                951061,,                166768,                784293,                784293,,,,,,                -45948,                639040,                593092,                593092,              1377385,,                713916,                 70377,,              1312865,                 64520,,                              0.19,                              0.19,,                              0.19,                              0.19,                 40419,                 50312,,,,,,,,,
2344,2014年度,,             37989660,,             27199199,             10790461,             10790461,,,              1127300,,              1112579,,              4892159,              7132038,              3658423,,,,                166289,                114709,                    902,                 43045,                324945,,                 40657,                250790,                 34162,                  7643,                129296,                120346,,                177339,                177339,,                 14663,                 14663,                282615,              3941038,,                730494,              3210544,              3210544,,,                -10274,                -10274,,                 90597,                213780,                304377,                294103,              3504647,,              3075969,                134575,,              3364700,                139947,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,,                              0,                              0,                 90597,                213780,                -10274,,
2344,2014年01月01日至2014年09月30日,,             28424824,,             20592871,              7831953,              7831953,,,                860292,,                816216,,              3627372,              5303880,              2528073,,,,                124099,                 69376,                    902,                 27241,                221618,,                 29443,                102243,                 24751,                  7839,                 86292,                 12804,,                126401,                126401,,                 14974,                 14974,                122995,              2651068,,                507776,              2143292,              2143292,,,,,,                 19268,                137056,                156324,                156324,              2299616,,              2021387,                121905,,              2178595,                121021,,                              0.55,                              0.55,,                              0.55,                              0.55,,,,,,,,,,,
