證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
4557,2015年第3季,,                379578,,                248589,                130989,                130989,,,                 29787,,                 29746,,                  6690,                 66223,                 64766,,,                  1202,,                 32444,,                              0,                 33646,                 98412,,                 21697,                 76715,                 76715,,,                 45020,                 45020,                 45020,                121735,,                 74461,                  2254,,                118841,                  2894,,                              2.40,                              2.40,,                              2.37,                              2.37,
4557,2015年上半年度,,                717209,,                477072,                240137,                240137,,,                 43643,,                 61133,,                 11635,                116411,                123726,,,                  3445,,                -10918,,                  1128,                 -8601,                115125,,                 38032,                 77093,                 77093,,,                -15143,                -15143,                -15143,                 61950,,                 72476,                  4617,,                 57570,                  4380,,                              2.34,                              2.34,,                              2.31,                              2.31,
4557,2015年01月01日至2015年09月30日,,              1096787,,                725661,                371126,                371126,,,                 73430,,                 90879,,                 18325,                182634,                188492,,,                  4647,,                 21526,,                  1128,                 25045,                213537,,                 59729,                153808,                153808,,,                 29877,                 29877,                 29877,                183685,,                146937,                  6871,,                176411,                  7274,,                              4.74,                              4.74,,                              4.67,                              4.67,
4557,2014年第3季,,                324703,,                205915,                118788,                118788,,,                 21574,,                 32766,,                  6136,                 60476,                 58312,,,                 10658,,                  1774,,                  2155,                 10277,                 68589,,                 17265,                 51324,                 51324,,,                 12728,                 12728,                 12728,                 64052,,                 50313,                  1011,,                 62896,                  1156,,                              1.62,                              1.62,,                              1.60,                              1.60,
4557,2014年度,,              1299069,,                870876,                428193,                428193,,,                 86439,,                100714,,                 22629,                209782,                218411,,,                 25908,,                 10945,,                  7872,                 28981,                247392,,                 63150,                184242,                184242,,,,,                 21262,                205504,,                175970,                  8272,,                196557,                  8947,,                              5.68,                              5.68,,                              5.61,                              5.61,                 21262
4557,2014年上半年度,,                650563,,                437559,                213004,                213004,,,                 43338,,                 44789,,                 10504,                 98631,                114373,,,                 10776,,                 -6802,,                  4924,                   -950,                113423,,                 30967,                 82456,                 82456,,,                -10422,                -10422,                -10422,                 72034,,                 78517,                  3939,,                 67936,                  4098,,                              2.53,                              2.53,,                              2.51,                              2.51,
4557,2014年01月01日至2014年09月30日,,                975266,,                643474,                331792,                331792,,,                 64912,,                 77555,,                 16640,                159107,                172685,,,                 21434,,                 -5028,,                  7079,                  9327,                182012,,                 48232,                133780,                133780,,,                  2306,                  2306,                  2306,                136086,,                128830,                  4950,,                130832,                  5254,,                              4.16,                              4.16,,                              4.11,                              4.11,
4557,2013年度,,              1246140,,                848907,                397233,                397233,,,                 76215,,                 85555,,                 19624,                181394,                215839,,,                 14307,,                 -7093,,                 18538,                -11324,                204515,,                 52277,                152238,                152238,,,,,                 22371,                174609,,                144258,                  7980,,                166137,                  8472,,                              5.51,                              5.51,,                              5.51,                              5.51,                 22371
4557,2013年01月01日至2013年12月31日,,              1246140,,                848907,                397233,                397233,,,                 76215,,                 85555,,                 19624,                181394,                215839,,,                 14307,,                 -7093,,                 18538,                -11324,                204515,,                 52277,                152238,                152238,,,,,                 22371,                174609,,                144258,                  7980,,                166137,                  8472,,                              5.51,                              5.51,,                              5.51,                              5.51,                 22371
4557,2012年01月01日至2012年12月31日,,              1204423,,                834884,                369539,                369539,,,                 70646,,                122811,,                 17895,                211352,                158187,,,                  3522,,                 -4797,,                 21867,                -23142,                135045,,                 44912,                 90133,                 90133,,,,,                 -9431,                 80702,,                 81033,                  9100,,                 72066,                  8636,,                              3.24,                              3.24,,                              3.24,                              3.24,                 -9431
