證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額
3032,2015年第3季,,,                998825,                998825,,,                818925,                818925,                179900,                179900,,,                 64284,,                 39593,,                 18314,                122191,                 57709,,,                 13370,,                 34851,,                    871,                    871,,                              0,                 47350,                105059,,                 18304,                 86755,                 86755,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 56731,                -19798,                    423,                 36510,                 36510,                123265,,                 86642,                    113,,                122088,                  1177,,                              0.84,,                              0.83,,,,,,,,,,,,,,,,
3032,2015年第2季,,,                704962,                704962,,,                562342,                562342,                142620,                142620,,,                 54783,,                 37380,,                 17175,                109338,                 33282,,,                  8105,,                 -2847,,                    275,                    275,,                              0,                  4983,                 38265,,                 10225,                 28040,                 28040,,,,,,,,,,,,,,                -15555,                 -4903,                    140,                -20598,                -20598,                  7442,,                 28389,                   -349,,                  7366,                     76,,                              0.27,,                              0.27,                              0,                              0,,                              0,,,,,,,,,,,,
3032,2015年01月01日至2015年09月30日,,,              2532241,              2532241,,,              2039052,              2039052,                493189,                493189,,,                177841,,                114818,,                 52630,                345289,                147900,,,                 30850,,                 39207,,                  1437,                  1437,,                              0,                 68620,                216520,,                 41354,                175166,                175166,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 12684,                -25791,                   -238,                -12869,                -12869,                162297,,                175187,                    -21,,                162794,                   -497,,                              1.70,,                              1.67,,,,,,,,,,,,,,,,
3032,2015年01月01日至2015年06月30日,,,              1533416,              1533416,,,              1220127,              1220127,                313289,                313289,,,                113557,,                 75225,,                 34316,                223098,                 90191,,,                 17480,,                  4356,,                    566,                    566,,                              0,                 21270,                111461,,                 23050,                 88411,                 88411,,,,,,,,,,,,,,                -44047,                 -5993,                   -661,                -49379,                -49379,                 39032,,                 88545,                   -134,,                 40706,                 -1674,,                              0.86,,                              0.86,                              0,                              0,,                              0,,,,,,,,,,,,
3032,2015年01月01日至2015年03月31日,,,                828454,                828454,,,                657785,                657785,                170669,                170669,,,                 58774,,                 37845,,                 17141,                113760,                 56909,,,                  9375,,                  7203,,                    291,                    291,,                              0,                 16287,                 73196,,                 12825,                 60371,                 60371,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -28492,                 -1090,                   -801,                -28781,                -28781,                 31590,,                 60156,                    215,,                 33340,                 -1750,,                              0.58,,                              0.58,                              0,                              0,,,,                              0,,,,,,,,,,
3032,2014年第3季,,,                838437,                838437,,,                680685,                680685,                157752,                157752,,,                 56644,,                 39652,,                 20285,                116581,                 41171,,,                  7353,,                  7049,,                    437,                    437,,                 -4843,                  9122,                 50293,,                  9916,                 40377,                 40377,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 19761,                  5057,                   -812,                 25630,                 25630,                 66007,,                 40206,                    171,,                 67150,                 -1143,,                              0.39,,                              0.39,,,,,,,,,,,,,,,,
3032,2014年第2季,,,                844998,                844998,,,                638817,                638817,                206181,                206181,,,                 66977,,                 44353,,                 21158,                132488,                 73693,,,                 11328,,                    541,,                    497,                    497,,                 -3096,                  8276,                 81969,,                 17026,                 64943,                 64943,,,,,,,,,,,,,,                -30508,                 -1959,                   -427,                -32040,                -32040,                 32903,,                 64160,                    783,,                 32838,                     65,,                              0.62,,                              0.62,                              0,                              0,,                              0,,,,,,,,,,,,
3032,2014年度,,,              3429139,              3429139,,,              2689087,              2689087,                740052,                740052,,,                251228,,                159932,,                 80369,                491529,                248523,,,                 19036,,                    920,,,                  1939,,                 -5978,                 12039,                260562,,                 50006,                210556,                210556,,,,,,,,,,,,,,,,,,                 78990,                289546,,                213202,                 -2646,,                293758,                 -4212,,                              2.06,,                              2.05,,,,,,,,              3429139,                              0,                              0,                 79653,                   -620,                   -954,                   -911,,
3032,2014年01月01日至2014年09月30日,,,              2520490,              2520490,,,              1969046,              1969046,                551444,                551444,,,                185210,,                115094,,                 60316,                360620,                190824,,,                 23694,,                   -409,,                  1540,                  1540,,                 -5978,                 15767,                206591,,                 44694,                161897,                161897,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 13771,                 -1710,                   -935,                 12996,                 12996,                174893,,                162524,                   -627,,                177052,                 -2159,,                              1.57,,                              1.56,,,,,,,,,,,,,,,,
3032,2014年01月01日至2014年06月30日,,,              1682053,              1682053,,,              1288361,              1288361,                393692,                393692,,,                128566,,                 75442,,                 40031,                244039,                149653,,,                 16341,,                 -7458,,                  1103,                  1103,,                 -1135,                  6645,                156298,,                 34778,                121520,                121520,,,,,,,,,,,,,,                 -5990,                 -6767,                   -123,                -12634,                -12634,                108886,,                122318,                   -798,,                109902,                 -1016,,                              1.18,,                              1.18,                              0,                              0,,                              0,,,,,,,,,,,,
