證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
6215,2015年第3季,,                383997,,                281510,                102487,                102487,,,                 42438,,                 27041,,                 25440,                 94919,                  7568,,,                  5491,,                  5726,,                  3286,,                  1617,                  9548,                 17116,,                  3862,                 13254,                 13254,,,                 21465,,                    670,                  3762,                 18373,                 18373,                 31627,,                 13345,                    -91,,                 31718,                    -91,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,
6215,2015年第2季,,                494496,,                383673,                110823,                110823,,,                 48800,,                 27256,,                 38327,                114383,                 -3560,,,                  7864,,                 -4642,,                  2843,,                  1364,                  1743,                 -1817,,                  5545,                 -7362,                 -7362,,,                 -7691,,                 -1432,                 -1551,                 -7572,                 -7572,                -14934,,                 -7092,                   -270,,                -14664,                   -270,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,,,,,
6215,2015年01月01日至2015年09月30日,,              1314251,,                996179,                318072,                318072,,,                128897,,                 81554,,                 88247,                298698,                 19374,,,                 18050,,                 -2930,,                  9030,,                  3274,                  9364,                 28738,,                 14542,                 14196,                 14196,,,                  8576,,                   -958,                  1294,                  6324,                  6324,                 20520,,                 14737,                   -541,,                 21061,                   -541,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,
6215,2015年01月01日至2015年06月30日,,                930254,,                706342,                223912,                223912,,,                 94786,,                 54513,,                 62807,                212106,                 11806,,,                 12559,,                 -8656,,                  5744,,                  1657,                   -184,                 11622,,                 10680,                    942,                    942,,,                -12889,,                 -1628,                 -2468,                -12049,                -12049,                -11107,,                  1392,                   -450,,                -10657,                   -450,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,
6215,2015年01月01日至2015年03月31日,,                435758,,                322669,                113089,                113089,,,                 45986,,                 27257,,                 24480,                 97723,                 15366,,,                  4695,,                 -4014,,                  2901,,                    293,                 -1927,                 13439,,                  5135,                  8304,                  8304,,,                 -5198,,                   -196,                   -917,                 -4477,                 -4477,                  3827,,                  8484,                   -180,,                  4007,                   -180,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,
6215,2014年第3季,,                577407,,                405751,                171656,                171656,,,                 60552,,                 28638,,                 22069,                111259,                 60397,,,                  5470,,                  4333,,                  2863,,                     64,                  7004,                 67401,,                 13230,                 54171,                 54171,,,                 12218,,                    869,                  2225,                 10862,                 10862,                 65033,,                 53991,                    180,,                 64853,                    180,,                              0.65,                              0.65,,                              0.65,                              0.65,,,,,
6215,2014年第2季,,                526161,,                395386,                130775,                130775,,,                 43435,,                 27936,,                 16581,                 87952,                 42823,,,                  9326,,                 -3588,,                  2729,,                  1412,                  4421,                 47244,,                  8904,                 38340,                 38340,,,                 -9125,,                   -741,                 -1677,                 -8189,                 -8189,                 30151,,                 38194,                    146,,                 30005,                    146,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,,
6215,2014年度,,              1998487,,              1468902,                529585,                529585,,,                200619,,                116301,,                 76238,                393158,                136427,,,                 24069,,                  6479,,                 11848,,                  4709,                 23409,                159836,,                 31732,                128104,                128104,,,,,,,,                 14736,                142840,,                127903,                    201,,                142639,                    201,,                              1.54,                              1.54,,                              1.54,                              1.54,                 17150,                 -1173,,                  1780,                  3021
6215,2014年01月01日至2014年09月30日,,              1494771,,              1102001,                392770,                392770,,,                139598,,                 85202,,                 54452,                279252,                113518,,,                 17862,,                  1024,,                  8827,,                  3190,                 13249,                126767,,                 24801,                101966,                101966,,,                  1136,,                    728,                    317,                  1547,                  1547,                103513,,                101647,                    319,,                103194,                    319,,                              1.23,                              1.23,,                              1.22,                              1.22,,,,,
6215,2014年01月01日至2014年06月30日,,                917364,,                696250,                221114,                221114,,,                 79046,,                 56564,,                 32383,                167993,                 53121,,,                 12392,,                 -3309,,                  5964,,                  3126,                  6245,                 59366,,                 11571,                 47795,                 47795,,,                -11082,,                   -141,                 -1908,                 -9315,                 -9315,                 38480,,                 47656,                    139,,                 38341,                    139,,                              0.58,                              0.58,,                              0.57,                              0.57,,,,,
6215,2014年01月01日至2014年03月31日,,                391203,,                300864,                 90339,                 90339,,,                 35611,,                 28628,,                 15802,                 80041,                 10298,,,                  3066,,                    279,,                  3235,,                  1714,                  1824,                 12122,,                  2667,                  9455,                  9455,,,                 -1957,,                    600,                   -231,                 -1126,                 -1126,                  8329,,                  9462,                     -7,,                  8336,                     -7,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,
6215,2013年第3季,,                368069,,                273653,                 94416,                 94416,,,                 39430,,                 26985,,                 15658,                 82073,                 12343,,,                  3183,,                 -3010,,                  3268,,                   -439,                 -3534,                  8809,,                  2078,                  6731,                  6731,,,,,,,,                 -5249,                  1482,,                  6641,                     90,,                  1392,                     90,,                              0.08,                              0.08,,                              0.08,                              0.08,                 -5609,,,                   -714,                 -1074
6215,2013年第2季,,                455786,,                353181,                102605,                102605,,,                 33199,,                 29203,,                 19561,                 81963,                 20642,,,                  7272,,                    917,,                  3494,,                  3264,                  7959,                 28601,,                  6111,                 22490,                 22490,,,,,,,,                  6875,                 29365,,                 22434,                     56,,                 29309,                     56,,                              0.27,                              0.27,,                              0.27,                              0.27,                  9104,,,                   -822,                  1407
6215,2013年度,,              1459418,,              1124062,                335356,                335356,,,                144616,,                111572,,                 63039,                319227,                 16129,,,                 20277,,                  7128,,                 13765,,                  7411,                 21051,                 37180,,                  9485,                 27695,                 27695,,,,,,,,                 25568,                 53263,,                 27610,                     85,,                 53178,                     85,,                              0.33,                              0.33,,                              0.33,                              0.33,                 27741,                  3068,,                     -2,                  5239
6215,2013年07月01日至2013年09月30日,,                368069,,                273653,                 94416,                 94416,,,                 39430,,                 26985,,                 15658,                 82073,                 12343,,,                  3183,,                 -3010,,                  3268,,                   -439,                 -3534,                  8809,,                  2078,                  6731,                  6731,,,,,,,,                 -5249,                  1482,,                  6641,                     90,,                  1392,                     90,,                              0.08,                              0.08,,                              0.08,                              0.08,                 -5609,,,                   -714,                 -1074
6215,2013年04月01日至2013年06月30日,,                455786,,                353181,                102605,                102605,,,                 33199,,                 29203,,                 19561,                 81963,                 20642,,,                  7272,,                    917,,                  3494,,                  3264,                  7959,                 28601,,                  6111,                 22490,                 22490,,,,,,,,                  6875,                 29365,,                 22434,                     56,,                 29309,                     56,,                              0.27,                              0.27,,                              0.27,                              0.27,                  9104,,,                   -822,                  1407
6215,2013年01月01日至2013年12月31日,,              1459418,,              1124062,                335356,                335356,,,                144616,,                111572,,                 63039,                319227,                 16129,,,                 20277,,                  7128,,                 13765,,                  7411,                 21051,                 37180,,                  9485,                 27695,                 27695,,,,,,,,                 25568,                 53263,,                 27610,                     85,,                 53178,                     85,,                              0.33,                              0.33,,                              0.33,                              0.33,                 27741,                  3068,,                     -2,                  5239
6215,2013年01月01日至2013年09月30日,,              1143252,,                874261,                268991,                268991,,,                108907,,                 84848,,                 50299,                244054,                 24937,,,                 12291,,                  4502,,                 10421,,                  5634,                 12006,                 36943,,                  8538,                 28405,                 28405,,,,,,,,                 15787,                 44192,,                 28195,                    210,,                 43982,                    210,,                              0.34,                              0.34,,                              0.34,                              0.34,                 18587,,,                    434,                  3234
6215,2013年01月01日至2013年06月30日,,                775183,,                600608,                174575,                174575,,,                 69477,,                 57863,,                 34641,                161981,                 12594,,,                  9108,,                  7512,,                  7153,,                  6073,                 15540,                 28134,,                  6460,                 21674,                 21674,,,,,,,,                 21036,                 42710,,                 21554,                    120,,                 42590,                    120,,                              0.26,                              0.26,,                              0.26,                              0.26,                 24196,,,                  1148,                  4308
6215,2013年01月01日至2013年03月31日,,                319397,,                247427,                 71970,                 71970,,,                 36278,,                 28660,,                 15080,                 80018,                 -8048,,,                  1836,,                  6595,,                  3659,,                  2809,                  7581,                   -467,,                    349,                   -816,                   -816,,,,,,,,                 14161,                 13345,,                   -880,                     64,,                 13281,                     64,,                             -0.01,                             -0.01,,                              0.00,                              0.00,                 15092,,,                  1970,                  2901
6215,2012年07月01日至2012年09月30日,,                526031,,                415715,                110316,                110316,,,                 42840,,                 28332,,                 13502,                 84674,                 25642,,,                 -1587,,                 -5957,,                  3610,,                    113,                -11041,                 14601,,                  4199,                 10402,                 10402,,,,,,,,                 -6991,                  3411,,                 10324,                     78,,                  3333,                     78,,                              0.12,                              0.12,,                              0.11,                              0.11,                 -8515,,,                     92,                 -1432
6215,2012年04月01日至2012年06月30日,,                415798,,                328535,                 87263,                 87263,,,                 33137,,                 28624,,                 14437,                 76198,                 11065,,,                  4494,,                 -1845,,                  3455,,                  2942,                  2136,                 13201,,                  1915,                 11286,                 11286,,,,,,,,                  1890,                 13176,,                 11105,                    181,,                 12995,                    181,,                              0.13,                              0.13,,                              0.13,                              0.13,                  2633,,,                   -355,                    388
6215,2012年01月01日至2012年12月31日,,              1631128,,              1291528,                339600,                339600,,,                140085,,                113484,,                 51905,                305474,                 34126,,,                 16329,,                -11287,,                 14511,,                  5330,                 -4139,                 29987,,                  9042,                 20945,                 20945,,,,,,,,                 -8574,                 12371,,                 20732,                    213,,                 12158,                    213,,                              0.25,                              0.25,,                              0.25,                              0.25,                -10874,                    935,,                   -394,                 -1759
6215,2012年01月01日至2012年09月30日,,              1231758,,                985244,                246514,                246514,,,                105655,,                 83495,,                 37922,                227072,                 19442,,,                  8298,,                 -6026,,                 10742,,                  4662,                 -3808,                 15634,,                  5078,                 10556,                 10556,,,,,,,,                -13421,                 -2865,,                 10460,                     96,,                 -2961,                     96,,                              0.13,                              0.13,,                              0.13,                              0.13,                -15709,,,                   -461,                 -2749
