證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
5007,2014年01月01日至2014年06月30日,,              3586566,,              2707216,                879350,                879350,,,                120892,,                 83285,,                 14975,                219152,                660198,,,                 10684,,                 13965,,                  4825,                 19824,                680022,,                113655,                566367,                566367,,,,,,,                  5515,                    543,                  4972,                  4972,                571339,,                557259,                  9108,,                559909,                 11430,,                              2.08,                              2.08,,                              2.08,                              2.08,,,
5007,2014年01月01日至2014年03月31日,,              1770702,,              1332748,                437954,                437954,,,                 60032,,                 42768,,                  6933,                109733,                328221,,,                  4890,,                 16603,,                  2769,                 18724,                346945,,                 57808,                289137,                289137,,,,,,,                  6034,                    594,                  5440,                  5440,                294577,,                286629,                  2508,,                289529,                  5048,,                              1.07,                              1.07,,                              1.07,                              1.07,,,
5007,2013年第3季,,              1743868,,              1345129,                398739,                398739,,,                 58364,,                 36978,,                  6848,                102190,                296549,,,                  3607,,                  4025,,                  2655,                  4977,                301526,,                 48974,                252552,                252552,,,,,,,,,,                -10852,                241700,,                243263,                  9289,,                237370,                  4330,,                              0.91,                              0.91,,                              0.91,                              0.91,                -12059,,                 -1207
5007,2013年第2季,,              1628542,,              1260001,                368541,                368541,,,                 55063,,                 37043,,                  5710,                 97816,                270725,,,                 13206,,                 10817,,                  2537,                 21486,                292211,,                 42525,                249686,                249686,,,,,,,,,,                 -6048,                243638,,                243882,                  5804,,                240767,                  2871,,                              0.91,                              0.91,,                              0.91,                              0.91,                 -6686,,                   -638
5007,2013年度,,              6450941,,              5025190,              1425751,              1425751,,,                223459,,                149317,,                 27252,                400028,              1025723,,,                 46920,,                 59325,,                 10217,                 96028,              1121751,,                182404,                939347,                939347,,,,,,,,,,                -10689,                928658,,                916978,                 22369,,                911380,                 17278,,                              3.43,                              3.43,,                              3.43,                              3.43,                -12092,                    257,                 -1146
5007,2013年07月01日至2013年09月30日,,              1743868,,              1345129,                398739,                398739,,,                 58364,,                 36978,,                  6848,                102190,                296549,,,                  3607,,                  4025,,                  2655,                  4977,                301526,,                 48974,                252552,                252552,,,,,,,,,,                -10852,                241700,,                243263,                  9289,,                237370,                  4330,,                              1.04,                              1.04,,                              1.04,                              1.04,                -12059,,                 -1207
5007,2013年04月01日至2013年06月30日,,              1628542,,              1260001,                368541,                368541,,,                 55063,,                 37043,,                  5710,                 97816,                270725,,,                 13206,,                 10817,,                  2537,                 21486,                292211,,                 42525,                249686,                249686,,,,,,,,,,                 -6048,                243638,,                243882,                  5804,,                240767,                  2871,,                              1.11,                              1.11,,                              1.11,                              1.11,                 -6686,,                   -638
5007,2013年01月01日至2013年12月31日,,              6450941,,              5025190,              1425751,              1425751,,,                223459,,                149317,,                 27252,                400028,              1025723,,,                 46920,,                 59325,,                 10217,                 96028,              1121751,,                182404,                939347,                939347,,,,,,,,,,                -10689,                928658,,                916978,                 22369,,                911380,                 17278,,                              3.95,                              3.95,,                              3.94,                              3.94,                -12092,                    257,                 -1146
5007,2013年01月01日至2013年09月30日,,              4784965,,              3729645,              1055320,              1055320,,,                162577,,                105489,,                 18423,                286489,                768831,,,                 34625,,                 48510,,                  7524,                 75611,                844442,,                134724,                709718,                709718,,,,,,,,,,                -12249,                697469,,                691361,                 18357,,                684832,                 12637,,                              2.59,                              2.59,,                              2.59,                              2.59,                -13586,,                 -1337
5007,2013年01月01日至2013年06月30日,,              3041097,,              2384516,                656581,                656581,,,                104213,,                 68511,,                 11575,                184299,                472282,,,                 31018,,                 44485,,                  4869,                 70634,                542916,,                 85750,                457166,                457166,,,,,,,,,,                 -1397,                455769,,                448098,                  9068,,                447462,                  8307,,                              1.68,                              1.68,,                              1.68,                              1.68,                 -1527,,                   -130
5007,2013年01月01日至2013年03月31日,,              1412555,,              1124515,                288040,                288040,,,                 49150,,                 31468,,                  5865,                 86483,                201557,,,                 17812,,                 33668,,                  2332,                 49148,                250705,,                 43225,                207480,                207480,,,,,,,,,,                  4651,                212131,,                204216,                  3264,,                206695,                  5436,,                              0.89,                              0.89,,                              0.89,                              0.89,                  5159,,                    508
5007,2012年07月01日至2012年09月30日,,              1306443,,              1080879,                225564,                225564,,,                 56993,,                 27492,,                  6485,                 90970,                134594,,,                  6968,,                 29935,,                  2699,                 34204,                168798,,                 23231,                145567,                145567,,,,,,,,,,                              0,                145567,,                144680,                    887,,                144680,                    887,,                              0.65,                              0.65,,                              0.65,                              0.65,                              0,,                              0
5007,2012年04月01日至2012年06月30日,,              1468877,,              1200540,                268337,                268337,,,                 52671,,                 27707,,                  6463,                 86841,                181496,,,                  3485,,                  3634,,                  2178,                  4941,                186437,,                 33482,                152955,                152955,,,,,,,,,,                              0,                152955,,                151922,                  1033,,                151922,                  1033,,                              0.74,                              0.74,,                              0.74,                              0.74,                              0,,                              0
5007,2012年01月01日至2012年12月31日,,              5224284,,              4332600,                891684,                891684,,,                201839,,                111812,,                 25408,                339059,                552625,,,                 25656,,                 42042,,                 10494,                 57204,                609829,,                 98514,                511315,                511315,,,,,,,,,,                -34235,                477080,,                507594,                  3721,,                473513,                  3567,,                              2.31,                              2.31,,                              2.30,                              2.30,                              0,                -41247,                 -7012
5007,2012年01月01日至2012年09月30日,,              4120299,,              3385087,                735212,                735212,,,                153336,,                 81608,,                 18853,                253797,                481415,,,                 13913,,                 37282,,                  7762,                 43433,                524848,,                 84947,                439901,                439901,,,,,,,,,,                              0,                439901,,                436911,                  2990,,                436911,                  2990,,                              1.99,                              1.99,,                              1.99,                              1.99,                              0,,                              0
5007,2012年01月01日至2012年06月30日,,              2813856,,              2304208,                509648,                509648,,,                 96343,,                 54116,,                 12368,                162827,                346821,,,                  6945,,                  7347,,                  5063,                  9229,                356050,,                 61716,                294334,                294334,,,,,,,,,,                              0,                294334,,                292231,                  2103,,                292231,                  2103,,                              1.43,                              1.43,,                              1.43,                              1.43,                              0,,                              0
5007,2012年01月01日至2012年03月31日,,              1344979,,              1105550,                239429,                239429,,,                 43752,,                 24414,,                  5938,                 74104,                165325,,,                  3460,,                  3713,,                  2885,                  4288,                169613,,                 28234,                141379,                141379,,,,,,,,,,                              0,                141379,,                140309,                  1070,,                140309,                  1070,,                              0.68,                              0.68,,                              0.68,                              0.68,                              0,,                              0
