證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1701,2015年第3季,,              1370991,,                996179,                374812,                374812,,,                209918,,                 47194,,                 84867,                341979,                 32833,,,                 62162,,                 28617,,                  9239,,                 26099,                107639,                140472,,                 19498,                120974,                120974,,,                 48999,                -96465,,                 -2243,                  8330,                -58039,                -58039,                 62935,,                118829,                  2145,,                 60790,                  2145,,                              0.40,                              0.40,,,,,,,,,
1701,2015年第2季,,              1410710,,                994641,                416069,                416069,,,                202661,,                 39906,,                 73487,                316054,                100015,,,                 36794,,                 -3912,,                  9867,,                 17252,                 40267,                140282,,                 38986,                101296,                101296,,,                -17648,                 12990,,                 -1279,                 -3000,                 -2937,                 -2937,                 98359,,                 99341,                  1955,,                 96404,                  1955,,                              0.33,                              0.33,,,,,,,,,
1701,2015年01月01日至2015年09月30日,,              4196604,,              2972512,              1224092,              1224092,,,                635694,,                137104,,                246406,              1019204,                204888,,,                107799,,                 23207,,                 28745,,                 96055,                198316,                403204,,                 74877,                328327,                328327,,,                 18564,               -182067,,                 -3566,                  3156,               -170225,               -170225,                158102,,                323659,                  4668,,                153434,                  4668,,                              1.09,                              1.09,,,,,,,,,
1701,2015年01月01日至2015年06月30日,,              2825613,,              1976333,                849280,                849280,,,                425776,,                 89910,,                161539,                677225,                172055,,,                 45637,,                 -5410,,                 19506,,                 69956,                 90677,                262732,,                 55379,                207353,                207353,,,                -30435,                -85602,,                 -1323,                 -5174,               -112186,               -112186,                 95167,,                204830,                  2523,,                 92644,                  2523,,                              0.69,                              0.69,,,,,,,,,
1701,2015年01月01日至2015年03月31日,,              1414903,,                981692,                433211,                433211,,,                223115,,                 50004,,                 88052,                361171,                 72040,,,                  8843,,                 -1498,,                  9639,,                 52704,                 50410,                122450,,                 16393,                106057,                106057,,,                -12787,                -98592,,                    -44,                 -2174,               -109249,               -109249,                 -3192,,                105489,                    568,,                 -3760,                    568,,                              0.35,                              0.35,,,,,,,,,
1701,2014年第3季,,              1274047,,                875869,                398178,                398178,,,                195309,,                 35486,,                 86716,                317511,                 80667,,,                  5506,,                 -3908,,                 11359,,                  7303,                 -2458,                 78209,,                 13177,                 65032,                 65032,,,                 26487,                  4651,,                 -2380,                  4503,                 24255,                 24255,                 89287,,                 63903,                  1129,,                 88592,                    695,,                              0.21,                              0.21,,,,,,,,,
1701,2014年第2季,,              1289792,,                872427,                417365,                417365,,,                200343,,                 33966,,                 82858,                317167,                100198,,,                 19651,,                    511,,                 11838,,                 18239,                 26563,                126761,,                 37300,                 89461,                 89461,,,                -21113,                 96180,,                   -448,                 -3590,                 78209,                 78209,                167670,,                 88466,                    995,,                166675,                    995,,                              0.30,                              0.30,,,,,,,,,
1701,2014年度,,              5297426,,              3674620,              1622806,              1622806,,,                825974,,                155945,,                362105,              1344024,                278782,,,                 58984,,                 85908,,                 44807,,                 54007,                154092,                432874,,                 82281,                350593,                350593,,,,,,,,,                194104,                544697,,                347723,                  2870,,                542044,                  2653,,                              1.17,                              1.17,                 52519,                157034,                 -3199,,                 -3865,                  8385,,                              1.17,                              1.17
1701,2014年01月01日至2014年09月30日,,              3926260,,              2690385,              1235875,              1235875,,,                602871,,                108725,,                262158,                973754,                262121,,,                 36131,,                 -8723,,                 34440,,                 38438,                 31406,                293527,,                 69756,                223771,                223771,,,                  7959,                 86685,,                 -2483,                  1353,                 90808,                 90808,                314579,,                221204,                  2567,,                312554,                  2025,,                              0.74,                              0.74,,,,,,,,,
1701,2014年01月01日至2014年06月30日,,              2652213,,              1814516,                837697,                837697,,,                407562,,                 73239,,                175442,                656243,                181454,,,                 30625,,                 -4815,,                 23081,,                 31135,                 33864,                215318,,                 56579,                158739,                158739,,,                -18528,                 82034,,                   -103,                 -3150,                 66553,                 66553,                225292,,                157301,                  1438,,                223962,                  1330,,                              0.53,                              0.53,,,,,,,,,
1701,2014年01月01日至2014年03月31日,,              1362421,,                942089,                420332,                420332,,,                207219,,                 39273,,                 92584,                339076,                 81256,,,                 10974,,                 -5326,,                 11243,,                 12896,                  7301,                 88557,,                 19279,                 69278,                 69278,,,                  2585,                -14146,,                    345,                    440,                -11656,                -11656,                 57622,,                 68835,                    443,,                 57287,                    335,,                              0.23,                              0.23,,,,,,,,,
1701,2013年第3季,,              1291484,,                897060,                394424,                394424,,,                195486,,                 36757,,                 87445,                319688,                 74736,,,                  8176,,                  2451,,                 11640,,                 14708,                 13695,                 88431,,                 17778,                 70653,                 70653,,,,,,,,,                 -1737,                 68916,,                 70388,                    265,,                 68129,                    787,,                              0.24,                              0.24,                 -9177,                  2313,                              0,,                  4447,                   -680,,,
1701,2013年第2季,,              1286532,,                896353,                390179,                390179,,,                206172,,                 35218,,                 76544,                317934,                 72245,,,                 19123,,                  1897,,                  9657,,                 23639,                 35002,                107247,,                 11930,                 95317,                 95317,,,,,,,,,                  7737,                103054,,                 94848,                    469,,                102585,                    469,,                              0.32,                              0.32,                  9662,                    -22,,,                   -260,                  1643,,,
