證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 其他營業收入,　　　 其他營業收入淨額,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
6192,2015年第3季,,,              1177446,,,                140481,                140481,              1317927,,,                888043,,,                 68088,                 68088,                956131,                361796,                361796,,,                128227,,                 45849,,                 16151,                190227,                171569,,,                 11345,,                 -1526,,                  1193,                  8626,                180195,,                 42573,                137622,                137622,,,                115895,                115895,                115895,                253517,,                137622,,                253517,,                              1.16,,                              1.15,,,,,,
6192,2015年第2季,,,              1011982,,,                179715,                179715,              1191697,,,                756171,,,                 87692,                 87692,                843863,                347834,                347834,,,                117934,,                 50475,,                 15863,                184272,                163562,,,                  6513,,                 -4492,,                  1186,                    835,                164397,,                 47588,                116809,                116809,,,                -30910,                -30910,                -30910,                 85899,,                116809,,                 85899,,                              0.98,,                              0.97,,                              0,,,,
6192,2015年01月01日至2015年09月30日,,,              3200960,,,                567123,                567123,              3768083,,,              2421686,,,                322458,                322458,              2744144,              1023939,              1023939,,,                384451,,                147618,,                 47326,                579395,                444544,,,                 23945,,                 -7009,,                  3819,                 13117,                457661,,                111155,                346506,                346506,,,                 57743,                 57743,                 57743,                404249,,                346506,,                404249,,                              2.92,,                              2.88,,,,,,
6192,2015年01月01日至2015年06月30日,,,              2023514,,,                426642,                426642,              2450156,,,              1533643,,,                254370,                254370,              1788013,                662143,                662143,,,                256224,,                101769,,                 31175,                389168,                272975,,,                 12600,,                 -5483,,                  2626,                  4491,                277466,,                 68582,                208884,                208884,,,                -58152,                -58152,                -58152,                150732,,                208884,,                150732,,                              1.76,,                              1.74,,                              0,,,,
6192,2015年01月01日至2015年03月31日,,,              1011532,,,                246927,                246927,              1258459,,,                777472,,,                166678,                166678,                944150,                314309,                314309,,,                138290,,                 51294,,                 15312,                204896,                109413,,,                  6087,,                   -991,,                  1440,                  3656,                113069,,                 20994,                 92075,                 92075,,,                -27241,                -27241,                -27241,                 64834,,                 92075,,                 64834,,                              0.78,,                              0.77,,                              0,,,,
6192,2014年第3季,,,              1279842,,,                171801,                171801,              1451643,,,                966003,,,                 88159,                 88159,              1054162,                397481,                397481,,,                138289,,                 48055,,                 16242,                202586,                194895,,,                  8051,,                   -119,,                  1467,                  6465,                201360,,                 47311,                154049,                154049,,,                 44883,                 44883,                 44883,                198932,,                154049,,                198932,,                              1.30,,                              1.29,,,,,,
6192,2014年第2季,,,              1302337,,,                196999,                196999,              1499336,,,              1022017,,,                101495,                101495,              1123512,                375824,                375824,,,                142571,,                 40809,,                 15360,                198740,                177084,,,                  7037,,                 -5981,,                  1854,                   -798,                176286,,                 58146,                118140,                118140,,,                -34274,                -34274,                -34274,                 83866,,                118140,,                 83866,,                              1.00,,                              0.99,,                              0,,,,
6192,2014年度,,,              5075218,,,                841182,                841182,              5916400,,,              3878113,,,                417365,                417365,              4295478,              1620922,              1620922,,,                553169,,                193228,,                 60123,                806520,                814402,,,                 30368,,                 -9885,,                  6655,                 13828,                828230,,                194030,                634200,                634200,,,,,                 85671,                719871,,                634200,,                719871,,                              5.34,,                              5.29,,,                 30368,                101819,                -19455,                  3307
6192,2014年01月01日至2014年09月30日,,,              3754918,,,                595299,                595299,              4350217,,,              2876670,,,                286300,                286300,              3162970,              1187247,              1187247,,,                407637,,                142524,,                 45044,                595205,                592042,,,                 21873,,                -10704,,                  4960,                  6209,                598251,,                147092,                451159,                451159,,,                 25639,                 25639,                 25639,                476798,,                451159,,                476798,,                              3.80,,                              3.77,,,,,,
6192,2014年01月01日至2014年06月30日,,,              2475076,,,                423498,                423498,              2898574,,,              1910667,,,                198141,                198141,              2108808,                789766,                789766,,,                269348,,                 94469,,                 28802,                392619,                397147,,,                 13822,,                -10585,,                  3493,                   -256,                396891,,                 99781,                297110,                297110,,,                -19244,                -19244,                -19244,                277866,,                297110,,                277866,,                              2.50,,                              2.48,,                              0,,,,
