證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入,　　　　 投資收入合計,　　　 投資收入（投資公司適用）合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 利息費用,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 銷貨退回,　　 其他費用,　 停業單位損益,　　 停業單位損益合計
2499,2015年第3季,,,,              1687185,                 70701,              1616484,,,                 28864,                 28864,              1645348,,              1336671,                308677,                    181,                308858,,,                 66113,,                154665,,                 59376,                280154,                 28704,,,                 21524,,                 55619,,                 32729,,                 -6419,                 37995,                 66699,,                  5325,                 61374,                 61374,,,,                              0,                              0,,                306015,               -316669,,                 -2211,                -12865,                -12865,                 48509,,                 63192,                 -1818,,                 49390,                   -881,,                              0.20,,                              0.20,,,,,,,,,,,,,,,
2499,2015年第2季,,,,              2278006,                 64154,              2213852,,,,                 14115,              2227967,,              1924478,                303489,                    182,                303671,,,                 53160,,                166985,,                 59026,                279171,                 24500,,,                 61637,,                 15373,,                 30804,,                -14068,                 32138,                 56638,,                 -7493,                 64131,                 64131,,,,                  5577,                  5577,,                -70257,               -164268,,,               -234525,               -228948,               -164817,,                 63981,                    150,,               -164597,                   -220,,                              0.20,,                              0.20,                              0,,                              0,,,,,,,,,,,,
2499,2015年01月01日至2015年09月30日,,,,              6340378,                185725,              6154653,,,                 46354,                 46354,              6201007,,              5183997,              1017010,                   -112,              1016898,,,                191563,,                469805,,                184360,                845728,                171170,,,                 88595,,                 40570,,                 93603,,                -12814,                 22748,                193918,,                  5318,                188600,                188600,,,,                              0,                              0,,                159388,               -569277,,                  1456,               -408433,               -408433,               -219833,,                190155,                 -1555,,               -218214,                 -1619,,                              0.60,,                              0.60,,,,,,,,,,,,,,,
2499,2015年01月01日至2015年06月30日,,,,              4653193,                115024,              4538169,,,,                 17490,              4555659,,              3847326,                708333,                   -293,                708040,,,                125450,,                315140,,                124984,                565574,                142466,,,                 67071,,                -15049,,                 60874,,                 -6395,                -15247,                127219,,                     -7,                127226,                127226,,,,                  3667,                  3667,,               -146627,               -252608,,,               -399235,               -395568,               -268342,,                126963,                    263,,               -267604,                   -738,,                              0.40,,                              0.39,                              0,,                              0,,,,,,,,,,,,
2499,2015年01月01日至2015年03月31日,,,,              2375187,                 50870,              2324317,,,,                  3375,              2327692,,              1922848,                404844,,                404369,,,                 72290,,                148155,,                 65958,                286403,                117966,,,                  5434,,                -30422,,                 30070,,                  7673,                -47385,                 70581,,                  7486,                 63095,                 63095,,,,,,,                -76370,                -88340,,                 -1910,               -166620,               -166620,               -103525,,                 62982,                    113,,               -103007,                   -518,,                              0.20,,,                    475,,,                 30070,                              0.20,                              0.00,,,,,,,,,
2499,2014年第3季,,,,              2726444,                 98467,              2627977,,,                 -7218,                 -7218,              2620759,,              2090186,                530573,                   -130,                530443,,,                 61522,,                100762,,                 59894,                222178,                308265,,,                 42498,,                  8372,,                 26883,,                -13929,                 10058,                318323,,                 35388,                282935,                282935,,,,                              0,                              0,,                 97619,               -158462,,                -69632,               -130475,               -130475,                152460,,                282982,                    -47,,                151721,                    739,,                              0.88,,                              0.87,,,,,,,,,,,,,,,
2499,2014年第2季,,,,              2049539,                 16815,              2032724,,,,                 18945,              2051669,,              1603016,                448653,                    706,                449359,,,                 76084,,                161877,,                 56662,                294623,                154736,,,                 33051,,                -14355,,                 23809,,                 -8964,                -14077,                140659,,                 12013,                128646,                128646,,,,               -125325,               -125325,,               -102374,                 55585,,,                -46789,               -172114,                -43468,,                128772,                   -126,,                -42470,                   -998,,                              0.40,,                              0.40,                              0,,                              0,,,,,,,,,,,,
2499,2014年度,,,,              9209162,                199630,              9009532,,,,                 18119,              9027651,,              7171280,              1856371,,              1855644,,,                340620,,                652494,,                226994,              1220108,                635536,,,                 57900,,               -166413,,                104757,,                 15848,               -197422,                438114,,                 65371,                372743,                372743,,,,,,,,,,,,                563753,                936496,,                386608,                -13865,,                948058,                -11562,,                              1.21,,,                    727,,,,                              1.21,                              0.00,                321749,                234845,                  1839,,                  5320,,,,
2499,2014年01月01日至2014年09月30日,,,,              6653289,                128393,              6524896,,,                 58607,                 58607,              6583503,,              5215736,              1367767,                    240,              1368007,,,                224649,,                400773,,                171183,                796605,                571402,,,                 77938,,                 76989,,                 74945,,                -13451,                 66531,                637933,,                 61922,                576011,                576011,,,,                              0,                              0,,                 95682,                -40994,,               -105285,                -50597,                -50597,                525414,,                582338,                 -6327,,                531257,                 -5843,,                              1.82,,                              1.80,,,,,,,,,,,,,,,
2499,2014年01月01日至2014年06月30日,,,,              3926845,                 29926,              3896919,,,,                 65825,              3962744,,              3125550,                837194,                    370,                837564,,,                163127,,                300011,,                111289,                574427,                263137,,,                 35440,,                 68617,,                 48062,,                    478,                 56473,                319610,,                 26534,                293076,                293076,,,,                -35653,                -35653,,                 -1937,                117468,,,                115531,                 79878,                372954,,                299356,                 -6280,,                379536,                 -6582,,                              0.93,,                              0.93,                              0,,                              0,,,,,,,,,,,,
