證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
1527,2013年07月01日至2013年09月30日,,,,,                792484,                  1694,                  3536,                787254,                787254,,                581145,                206109,                206109,,,                 24589,,                 19038,,                 27809,                 71436,                134673,,,,                 34866,                 34866,,               -115937,,                 24909,                 24909,               -105980,                 28693,,                  4878,                 23815,                 23815,,                              0,                -19195,,                 -3263,                -15932,                  7883,,                 23815,,                  7883,,                              0.16,,,,                              0,,                              0,,                              0,                              0,                              0
1527,2013年04月01日至2013年06月30日,,,,,                717925,                    304,                  2186,                715435,                715435,,                516967,                198468,                198468,,,                 24408,,                 16369,,                 27925,                 68702,                129766,,,,                 33098,                 33098,,                 47990,,                 23778,                 23778,                 57310,                187076,,                 31803,                155273,                155273,,                              0,               -107218,,                -18227,                -88991,                 66282,,                155273,,                 66282,,                              1.01,,                              1.00,,                              0,,                              0,,                              0,                              0,                              0
1527,2013年01月01日至2013年12月31日,,,,              2722742,              2722742,                  5874,                 12146,              2704722,              2704722,,              2009933,                694789,                694789,,,                105582,,                 65178,,                109732,                280492,                414297,,,,                137944,                137944,,                187973,,                 97939,                 97939,                227978,                642275,,                117166,                525109,                525109,,                              0,               -109623,                  5874,                -18636,                -85113,                439996,,                525109,,                439996,,                              3.43,,                              3.42,,,,,,,,
1527,2013年01月01日至2013年09月30日,,,,,              2059172,                  5060,                  8896,              2045216,              2045216,,              1523417,                521799,                521799,,,                 77038,,                 54269,,                 85769,                217076,                304723,,,,                100666,                100666,,                120110,,                 71613,                 71613,                149163,                453886,,                 77161,                376725,                376725,,                              0,                -86923,,                -14777,                -72146,                304579,,                376725,,                304579,,                              2.46,,,,                              0,,                              0,,                              0,                              0,                              0
1527,2013年01月01日至2013年06月30日,,,,,              1266688,                  3366,                  5360,              1257962,              1257962,,                942272,                315690,                315690,,,                 52449,,                 35231,,                 57960,                145640,                170050,,,,                 65800,                 65800,,                236047,,                 46704,                 46704,                255143,                425193,,                 72283,                352910,                352910,,                              0,                -67728,,                -11514,                -56214,                296696,,                352910,,                296696,,                              2.30,,                              2.29,,                              0,,                              0,,                              0,                              0,                              0
1527,2012年07月01日至2012年09月30日,,,,,                575905,                  3047,                  1839,                571019,                571019,,                418799,                152220,                152220,,,                 23572,,                 10987,,                 27692,                 62251,                 89969,,,,                 35043,                 35043,,               -149993,,                 21892,                 21892,               -136842,                -46873,,                 -8053,                -38820,                -38820,,                 -1000,                -10225,,                 -1908,                 -9317,                -48137,,                -38820,,                -48137,,                             -0.25,,,,                              0,,                              0,,                              0,                              0,                              0
1527,2012年04月01日至2012年06月30日,,,,,                727824,                    576,                   -460,                727708,                727708,,                544334,                183374,                183374,,,                 27023,,                 18693,,                 26757,                 72473,                110901,,,,                 33142,                 33142,,                 88969,,                 20414,                 20414,                101697,                212598,,                 44918,                167680,                167680,,                    548,                 17148,,                  3009,                 14687,                182367,,                167680,,                182367,,                              1.08,,                              1.07,,                              0,,                              0,,                              0,                              0,                              0
1527,2012年01月01日至2012年12月31日,,,,              2543106,              2543106,                 11506,                  2944,              2528656,              2528656,,              1900207,                628449,                628449,,,                103263,,                 55708,,                106162,                265133,                363316,,,,                134230,                134230,,               -334618,,                 85012,                 85012,               -285400,                 77916,,                 18729,                 59187,                 59187,,                  1467,                -20417,                 -3997,                 -3222,                -19725,                 39462,,                 59187,,                 39462,,                              0.38,,                              0.38,,,,,,,,
1527,2012年01月01日至2012年09月30日,,,,,              1993033,                  5814,                  2919,              1984300,              1984300,,              1487200,                497100,                497100,,,                 81434,,                 43019,,                 79947,                204400,                292700,,,,                 99533,                 99533,,               -263128,,                 62029,                 62029,               -225624,                 67076,,                 20069,                 47007,                 47007,,                 -1589,                  5477,,                    661,                  3227,                 50234,,                 47007,,                 50234,,                              0.30,,,,                              0,,                              0,,                              0,                              0,                              0
1527,2012年01月01日至2012年06月30日,,,,,              1417128,                  2767,                  1080,              1413281,              1413281,,              1068401,                344880,                344880,,,                 57862,,                 32032,,                 52255,                142149,                202731,,,,                 64490,                 64490,,               -113135,,                 40137,                 40137,                -88782,                113949,,                 28122,                 85827,                 85827,,                   -589,                 15702,,                  2569,                 12544,                 98371,,                 85827,,                 98371,,                              0.55,,                              0.55,,                              0,,                              0,,                              0,                              0,                              0
