證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額
3257,2015年第3季,,                204724,,                100884,                103840,                103840,,,                  7731,,                 15894,,                 47571,                 71196,                 32644,,,                  3646,,                 27475,,                     15,                 31106,                 63750,,                 10912,                 52838,                 52838,,,                    378,                    378,                    378,                 53216,,                 52838,,                 53216,,                              0.89,,                              0.87,,,,,,,,,,,
3257,2015年第2季,,                213162,,                110488,                102674,                102674,,,                  8302,,                 12917,,                 46685,                 67904,                 34770,,,                  3679,,                 -5654,,                      2,                 -1977,                 32793,,                  6575,                 26218,                 26218,,,                   -205,                   -205,                   -205,                 26013,,                 26218,,                 26013,,                              0.48,,                              0.47,,,,,,,,,,,
3257,2015年01月01日至2015年09月30日,,                617948,,                303987,                313961,                313961,,,                 25778,,                 44940,,                138557,                209275,                104686,,,                 10687,,                 24068,,                     50,                 34705,                139391,,                 27647,                111744,                111744,,,                   -189,                   -189,                   -189,                111555,,                111744,,                111555,,                              1.88,,                              1.83,,,,,,,,,,,
3257,2015年01月01日至2015年06月30日,,                413224,,                203103,                210121,                210121,,,                 18047,,                 29046,,                 90986,                138079,                 72042,,,                  7041,,                 -3407,,                     35,                  3599,                 75641,,                 16735,                 58906,                 58906,,,                   -567,                   -567,                   -567,                 58339,,                 58906,,                 58339,,                              1.08,,                              1.06,,,,,,,,,,,
3257,2015年01月01日至2015年03月31日,,                200062,,                 92615,                107447,                107447,,,                  9745,,                 16129,,                 44301,                 70175,                 37272,,,                  3362,,                  2247,,                     33,                  5576,                 42848,,                 10160,                 32688,                 32688,,,                   -362,                   -362,                   -362,                 32326,,                 32688,,                 32326,,                              0.60,,                              0.59,,,,,,,,,,,
3257,2014年第3季,,                286862,,                122073,                164789,                164789,,,                 12566,,                 17990,,                 44654,                 75210,                 89579,,,                  4807,,                 14438,,                     23,                 19222,                108801,,                 20430,                 88371,                 88371,,,                    537,                    537,                    537,                 88908,,                 88371,,                 88908,,                              1.50,,                              1.48,,,,,,,,,,,
3257,2014年第2季,,                259562,,                112767,                146795,                146795,,,                 11872,,                 15484,,                 34968,                 62324,                 84471,,,                  4226,,                 -8127,,                     23,                 -3924,                 80547,,                  5224,                 75323,                 75323,,,                   -695,                   -695,                   -695,                 74628,,                 75323,,                 74628,,                              1.39,,                              1.37,,,,,,,,,,,
3257,2014年度,,              1004640,,                428799,                575841,                575841,,,                 45741,,                 65301,,                153793,                264835,                311006,,,                 17004,,                 29273,,                    316,                 45961,                356967,,                 53825,                303142,                303142,,,,,                    515,                303657,,                303142,,                303657,,                              5.58,,                              5.46,                  1496,                              0,                   -981,                              0,                              0,,,,,,
3257,2014年01月01日至2014年09月30日,,                767031,,                326373,                440658,                440658,,,                 34957,,                 47631,,                110697,                193285,                247373,,,                 13697,,                 11196,,                    197,                 24696,                272069,,                 38128,                233941,                233941,,,                    375,                    375,                    375,                234316,,                233941,,                234316,,                              3.98,,                              3.90,,,,,,,,,,,
3257,2014年01月01日至2014年06月30日,,                480169,,                204300,                275869,                275869,,,                 22391,,                 29641,,                 66043,                118075,                157794,,,                  8890,,                 -3242,,                    174,                  5474,                163268,,                 17698,                145570,                145570,,,                   -162,                   -162,                   -162,                145408,,                145570,,                145408,,                              2.69,,                              2.64,,,,,,,,,,,
