證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6165,2015年第3季,,                 34846,,                 26615,                  8231,                  8231,,,                  6118,,                 25056,,                  5153,                 36327,                -28096,,,                  2385,,                  6855,,                      1,                  9239,                -18857,,                              0,                -18857,,                 40500,                 21643,,,                 18665,                 18665,                 18665,                 40308,,                 21643,,                 40308,,                             -0.38,                              0.82,                              0.44,,,,
6165,2015年第2季,,                 75460,,                 61256,                 14204,                 14204,,,                  7607,,                 20539,,                  1236,                 29382,                -15178,,,                  4002,,                 -3450,,                     -2,                    554,                -14624,,                    151,                -14775,,,                -14775,,,                 -2300,                 -2300,                 -2300,                -17075,,                -14775,,                -17075,,                             -0.16,,                             -0.16,,,,
6165,2015年01月01日至2015年09月30日,,                113985,,                 88428,                 25557,                 25557,,,                 19452,,                 55098,,                  8919,                 83469,                -57912,,,                  8359,,                 -1966,,                      4,                  6389,                -51523,,                              0,                -51523,,                 30883,                -20640,,,                  9677,                  9677,                  9677,                -10963,,                -20640,,                -10963,,                             -1.04,                              0.62,                             -0.42,,,,
6165,2015年01月01日至2015年06月30日,,                144187,,                120692,                 23495,                 23495,,,                 17572,,                 48036,,                  3766,                 69374,                -45879,,,                  9224,,                 -4747,,                    718,                  3759,                -42120,,                    163,                -42283,,,                -42283,,,                 -8987,                 -8987,                 -8987,                -51270,,                -42283,,                -51270,,                             -0.45,,                             -0.45,,,,
6165,2015年01月01日至2015年03月31日,,                 68727,,                 59436,                  9291,                  9291,,,                  9965,,                 27497,,                  2530,                 39992,                -30701,,,                  5222,,                 -1297,,                    720,                  3205,                -27496,,                     12,                -27508,,,                -27508,,,                 -6687,                 -6687,                 -6687,                -34195,,                -27508,,                -34195,,                             -0.29,,                             -0.29,,,,
6165,2014年第3季,,                 56235,,                 45408,                 10827,                 10827,,,                  6027,,                 78302,,                  1974,                 86303,                -75476,,,                  3185,,                  5673,,                    121,                  8737,                -66739,,                   -123,                -66616,,                -15229,                -81845,,,                  1006,                  1006,                  1006,                -80839,,                -81845,,                -80839,,                             -1.34,                             -0.31,                             -1.65,,,,
6165,2014年第2季,,                121614,,                 99762,                 21852,                 21852,,,                  8304,,                 23529,,                  1626,                 33459,                -11607,,,                 11935,,                 -7792,,                    276,                  3867,                 -7740,,                  2741,                -10481,,,                -10481,,,                   -492,                   -492,                   -492,                -10973,,                -10481,,                -10973,,                             -0.11,,                             -0.11,,,,
6165,2014年度,,                397012,,                337892,                 59120,                 59120,,,                 33807,,                174493,,                  6608,                214908,               -155788,,,                 33841,,                 -6332,,                  2782,                 24727,               -131061,,                    710,               -131771,,,               -131771,,,,,                 -2745,               -134516,,               -131771,,               -134516,,                             -1.39,,                             -1.39,                 -3613,                              0,                  1045,                    177
6165,2014年01月01日至2014年09月30日,,                204530,,                165912,                 38618,                 38618,,,                 19160,,                113678,,                  5189,                138027,                -99409,,,                 21300,,                  2390,,                    336,                 23354,                -76055,,                  3280,                -79335,,                -39289,               -118624,,,                    716,                    716,                    716,               -117908,,               -118624,,               -117908,,                             -1.60,                             -0.79,                             -2.39,,,,
6165,2014年01月01日至2014年06月30日,,                219333,,                186927,                 32406,                 32406,,,                 17640,,                 59262,,                  3215,                 80117,                -47711,,,                 21887,,                 -6522,,                    813,                 14552,                -33159,,                  3620,                -36779,,,                -36779,,,                   -290,                   -290,                   -290,                -37069,,                -36779,,                -37069,,                             -0.39,,                             -0.39,,,,
6165,2014年01月01日至2014年03月31日,,                 97719,,                 87165,                 10554,                 10554,,,                  9336,,                 35733,,                  1589,                 46658,                -36104,,,                  9952,,                  1270,,                    537,                 10685,                -25419,,                    879,                -26298,,,                -26298,,,                    202,                    202,                    202,                -26096,,                -26298,,                -26096,,                             -0.28,,                             -0.28,,,,
6165,2013年第3季,,                165488,,                146181,                 19307,                 19307,,,                 10431,,                 28158,,                  2915,                 41504,                -22197,,,                  6630,,                 -2346,,                    294,                  3990,                -18207,,                    178,                -18385,,,                -18385,,,,,                 -4321,                -22706,,                -18385,,                -22706,,                             -0.19,,                             -0.19,                 -4321,                              0,,
6165,2013年第2季,,                155894,,                146039,                  9855,                  9855,,,                  9709,,                 24835,,                  2882,                 37426,                -27571,,,                 17602,,                  1036,,                    398,                 18240,                 -9331,,                    154,                 -9485,,,                 -9485,,,,,                    684,                 -8801,,                 -9485,,                 -8801,,                             -0.10,,                             -0.10,                    684,                              0,,
6165,2013年度,,                620317,,                575405,                 44912,                 44912,,,                 39070,,                117718,,                 13113,                169901,               -124989,,,                 42306,,                  8150,,                  2897,                 47559,                -77430,,                  5825,                -83255,,,                -83255,,,,,                  3445,                -79810,,                -83255,,                -79810,,                             -0.88,,                             -0.88,                  2930,                   -655,                  1410,                    240
