證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額
1724,2015年第3季,,                462141,,                371506,                 90635,                 90635,,,                 33224,,                 13883,,                  6576,                 53683,,                  2005,                 38957,,,                    850,,                 22695,,                    662,,                  1904,                 24787,                 63744,,                  7649,                 56095,                 56095,,,,                  3727,                    633,                  3094,                  3094,                 59189,,                 56095,,                 59189,,                              0.44,,                              0.44,,,,,,,
1724,2015年第2季,,                427129,,                352894,                 74235,                 74235,,,                 23945,,                 14310,,                  5830,                 44085,,                  2302,                 32452,,,                    567,,                 -7151,,                    948,,                  2028,                 -5504,                 26948,,                  1672,                 25276,                 25276,,,,                   -791,                   -134,                   -657,                   -657,                 24619,,                 25276,,                 24619,,                              0.20,,                              0.20,,,,,,,
1724,2015年01月01日至2015年09月30日,,              1290597,,              1066042,                224555,                224555,,,                 86580,,                 38215,,                 18780,                143575,,                  6598,                 87578,,,                  1704,,                 11628,,                  2612,,                  4140,                 14860,                102438,,                 10730,                 91708,                 91708,,,,                   -382,                    -65,                   -317,                   -317,                 91391,,                 91708,,                 91391,,                              0.72,,                              0.72,,,,,,,
1724,2015年01月01日至2015年06月30日,,                828456,,                694536,                133920,                133920,,,                 53356,,                 24332,,                 12204,                 89892,,                  4593,                 48621,,,                    854,,                -11067,,                  1950,,                  2236,                 -9927,                 38694,,                  3081,                 35613,                 35613,,,,                 -4109,                   -698,                 -3411,                 -3411,                 32202,,                 35613,,                 32202,,                              0.28,,                              0.28,,,,,,,
1724,2015年01月01日至2015年03月31日,,                401327,,                341642,                 59685,                 59685,,,                 29411,,                 10022,,                  6374,                 45807,,                  2291,                 16169,,,                    287,,                 -3916,,                  1002,,                    208,                 -4423,                 11746,,                  1409,                 10337,                 10337,,,,                 -3318,                   -564,                 -2754,                 -2754,                  7583,,                 10337,,                  7583,,                              0.08,,                              0.08,,,,,,,
1724,2014年第3季,,                412822,,                336707,                 76115,                 76115,,,                 23658,,                  9615,,                  5336,                 38609,,                  2293,                 39799,,,                  2937,,                  2429,,                    946,,                  2562,                  6982,                 46781,,                 13332,                 33449,                 33449,,,,                  2379,                    405,                  1974,                  1974,                 35423,,                 33449,,                 35423,,                              0.26,,                              0.26,,,,,,,
1724,2014年第2季,,                346282,,                302632,                 43650,                 43650,,,                 22806,,                 11030,,                  5774,                 39610,,                  2279,                  6319,,,                  4925,,                 -6224,,                    820,,                -41956,                -44075,                -37756,,                 -9676,                -28080,                -28080,,,,                 -2549,                   -434,                 -2115,                 -2115,                -30195,,                -28080,,                -30195,,                             -0.22,,                             -0.22,,,,,,,
1724,2014年度,,              1350162,,              1170819,                179343,                179343,,,                 75627,,                 40491,,                 22585,                138703,,                  9246,                 49886,,,                  5483,,                 35922,,                  3551,,                -37452,                    402,                 50288,,                  9431,                 40857,                 40857,,,,,,,                    750,                 41607,,                 40857,,                 41607,,                              0.32,,                              0.32,                   -448,,                  1352,                    154,                              0,                              0,
1724,2014年01月01日至2014年09月30日,,                947531,,                826959,                120572,                120572,,,                 57246,,                 29726,,                 16892,                103864,,                  6953,                 23661,,,                  8962,,                 23470,,                  2579,,                -39747,                 -9894,                 13767,,                  4272,                  9495,                  9495,,,,                  1352,                    230,                  1122,                  1122,                 10617,,                  9495,,                 10617,,                              0.07,,                              0.07,,,,,,,
1724,2014年01月01日至2014年06月30日,,                534709,,                490252,                 44457,                 44457,,,                 33588,,                 20111,,                 11556,                 65255,,                  4660,                -16138,,,                  6025,,                 21041,,                  1633,,                -42309,                -16876,                -33014,,                 -9060,                -23954,                -23954,,,,                 -1027,                   -175,                   -852,                   -852,                -24806,,                -23954,,                -24806,,                             -0.19,,                             -0.19,,,,,,,
