證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3014,2015年第3季,,,                810691,                810691,,                418727,                391964,                391964,,,                 54483,,                 57871,,                149994,                262348,                129616,,,                  4847,,                  3435,,                              0,,                              0,                  8282,                137898,,                 23783,                114115,                114115,,,                    245,                 -2921,                 -2676,                 -2676,                111439,,                114115,                              0,,                111439,                              0,,                              0.74,,                              0.73,,,,
3014,2015年第2季,,,                693784,                693784,,                356968,                336816,                336816,,,                 55505,,                 56021,,                152279,                263805,                 73011,,,                  4855,,                -27837,,                              0,,                              0,                -22982,                 50029,,                 13665,                 36364,                 36364,,,                    -74,                 13509,                 13435,                 13435,                 49799,,                 36364,                              0,,                 49799,                              0,,                              0.23,,                              0.23,,,,
3014,2015年01月01日至2015年09月30日,,,              2297030,              2297030,,              1187115,              1109915,              1109915,,,                163027,,                177135,,                452986,                793148,                316767,,,                 14579,,                -26283,,                              0,,                              0,                -11704,                305063,,                 57966,                247097,                247097,,,                     94,                 10715,                 10809,                 10809,                257906,,                247097,                              0,,                257906,                              0,,                              1.60,,                              1.56,,,,
3014,2015年01月01日至2015年06月30日,,,              1486339,              1486339,,                768388,                717951,                717951,,,                108544,,                119264,,                302992,                530800,                187151,,,                  9732,,                -29718,,                              0,,                              0,                -19986,                167165,,                 34183,                132982,                132982,,,                   -151,                 13636,                 13485,                 13485,                146467,,                132982,                              0,,                146467,                              0,,                              0.86,,                              0.84,,,,
3014,2015年01月01日至2015年03月31日,,,                792555,                792555,,                411420,                381135,                381135,,,                 53039,,                 63243,,                150713,                266995,                114140,,,                  4877,,                 -1881,,,,,                  2996,                117136,,                 20518,                 96618,                 96618,,,                    -77,                    127,                     50,                     50,                 96668,,                 96618,                              0,,                 96668,                              0,,                              0.62,,                              0.61,,,,
3014,2014年第3季,,,                941480,                941480,,                515251,                426229,                426229,,,                 58390,,                 60886,,                150703,                269979,                156250,,,                  7370,,                 -6427,,                    167,,                              0,                    776,                157026,,                 31068,                125958,                125958,,,                    184,                -12905,                -12721,                -12721,                113237,,                125958,                              0,,                113237,                              0,,                              0.82,,                              0.80,,,,
3014,2014年第2季,,,                928084,                928084,,                502729,                425355,                425355,,,                 57144,,                 55323,,                151471,                263938,                161417,,,                  4617,,                -14522,,                    439,,                              0,                -10344,                151073,,                 39737,                111336,                111336,,,                   -166,                -20990,                -21156,                -21156,                 90180,,                111336,                              0,,                 90180,                              0,,                              0.73,,                              0.71,,,,
3014,2014年度,,,              3440965,              3440965,,              1870727,              1570238,              1570238,,,                220706,,                229634,,                618503,              1068843,                501395,,,                 25597,,                -52504,,                    606,,                              0,                -27513,                473882,,                105853,                368029,                368029,,,,,,                -46898,                321131,,                368029,                              0,,                321131,                              0,,                              2.40,,                              2.35,                    241,                -42985,                 -5005,                   -851
3014,2014年01月01日至2014年09月30日,,,              2710275,              2710275,,              1469372,              1240903,              1240903,,,                168282,,                171886,,                464029,                804197,                436706,,,                 16993,,                -25044,,                    606,,                              0,                 -8657,                428049,,                 92857,                335192,                335192,,,                     12,                -35748,                -35736,                -35736,                299456,,                335192,                              0,,                299456,                              0,,                              2.20,,                              2.14,,,,
3014,2014年01月01日至2014年06月30日,,,              1768795,              1768795,,                954121,                814674,                814674,,,                109892,,                111000,,                313326,                534218,                280456,,,                  9623,,                -18617,,                    439,,                              0,                 -9433,                271023,,                 61789,                209234,                209234,,,                   -172,                -22843,                -23015,                -23015,                186219,,                209234,                              0,,                186219,                              0,,                              1.38,,                              1.34,,,,
3014,2014年01月01日至2014年03月31日,,,                840711,                840711,,                451392,                389319,                389319,,,                 52748,,                 55677,,                161855,                270280,                119039,,,                  5006,,                 -4095,,,,,                    911,                119950,,                 22052,                 97898,                 97898,,,                     -6,                 -1853,                 -1859,                 -1859,                 96039,,                 97898,                              0,,                 96039,                              0,,                              0.65,,                              0.63,,,,
3014,2013年第3季,,,                948681,                948681,,                561206,                387475,                387475,,,                 67767,,                 71272,,                159820,                298859,                 88616,,,                 23459,,                 -4778,,                    559,,                              0,                 18122,                106738,,                 16195,                 90543,                 90543,,,,,,                     66,                 90609,,                 90543,                              0,,                 90609,                              0,,                              0.53,,                              0.52,                    -71,                    137,,
3014,2013年第2季,,,                893334,                893334,,                525523,                367811,                367811,,,                 59868,,                 75092,,                178946,                313906,                 53905,,,                  5809,,                    476,,                              0,,                   -224,                  6061,                 59966,,                 17780,                 42186,                 42186,,,,,,                 -1321,                 40865,,                 42186,                              0,,                 40865,                              0,,                              0.21,,                              0.21,                     89,                 -1410,,
3014,2013年度,,,              3561112,              3561112,,              2137568,              1423544,              1423544,,,                244114,,                285121,,                661300,              1190535,                233009,,,                 45538,,                    -11,,                    559,,                   -358,                 44610,                277619,,                 56596,                221023,                221023,,,,,,                 26088,                247111,,                221023,                              0,,                247111,                              0,,                              1.22,,                              1.20,                  1084,                 27133,                 -2565,                   -436
3014,2013年07月01日至2013年09月30日,,,                948681,                948681,,                561206,                387475,                387475,,,                 67767,,                 71272,,                159820,                298859,                 88616,,,                 23459,,                 -4778,,                    559,,                              0,                 18122,                106738,,                 16195,                 90543,                 90543,,,,,,                     66,                 90609,,                 90543,                              0,,                 90609,                              0,,                              0.53,,                              0.52,                    -71,                    137,,
3014,2013年04月01日至2013年06月30日,,,                893334,                893334,,                525523,                367811,                367811,,,                 59868,,                 75092,,                178946,                313906,                 53905,,,                  5809,,                    476,,,,                   -224,                  6061,                 59966,,                 17780,                 42186,                 42186,,,,,,                 -1321,                 40865,,                 42186,                              0,,                 40865,                              0,,                              0.21,,                              0.21,                     89,                 -1410,,
3014,2013年01月01日至2013年12月31日,,,              3561112,              3561112,,              2137568,              1423544,              1423544,,,                244114,,                285121,,                661300,              1190535,                233009,,,                 45538,,                    -11,,                    559,,                   -358,                 44610,                277619,,                 56596,                221023,                221023,,,,,,                 26088,                247111,,                221023,                              0,,                247111,                              0,,                              1.22,,                              1.20,                  1084,                 27133,                 -2565,                   -436
3014,2013年01月01日至2013年09月30日,,,              2655818,              2655818,,              1576997,              1078821,              1078821,,,                183435,,                211978,,                507319,                902732,                176089,,,                 35116,,                  2594,,                    559,,                   -358,                 36793,                212882,,                 47794,                165088,                165088,,,,,,                  1295,                166383,,                165088,                              0,,                166383,                              0,,                              0.86,,                              0.85,                    946,                    349,,
3014,2013年01月01日至2013年06月30日,,,              1707137,              1707137,,              1015791,                691346,                691346,,,                115668,,                140706,,                347499,                603873,                 87473,,,                 11657,,                  7372,,                              0,,                   -358,                 18671,                106144,,                 31599,                 74545,                 74545,,,,,,                  1229,                 75774,,                 74545,                              0,,                 75774,                              0,,                              0.37,,                              0.36,                  1017,                    212,,
3014,2013年01月01日至2013年03月31日,,,                813803,                813803,,                490268,                323535,                323535,,,                 55800,,                 65614,,                168553,                289967,                 33568,,,                  5848,,                  6896,,,,                   -134,                 12610,                 46178,,                 13819,                 32359,                 32359,,,,,,                  2550,                 34909,,                 32359,,,                 34909,,,                              0.16,,                              0.16,                    928,                  1622,,
3014,2012年07月01日至2012年09月30日,,,                958755,                958755,,                563569,                395186,                395186,,,                 58420,,                 76472,,                183834,                318726,                 76460,,,                 10782,,                 -5671,,                              0,,                   -432,                  4679,                 81139,,                 19055,                 62084,                 62084,,,,,,                  1711,                 63795,,                 62084,                              0,,                 63795,                              0,,                              0.31,,                              0.30,                   -405,                  2116,,
3014,2012年04月01日至2012年06月30日,,,                976223,                976223,,                584968,                391255,                391255,,,                 65041,,                 65321,,                177505,                307867,                 83388,,,                  6922,,                  3204,,,,                   -659,                  9467,                 92855,,                 23187,                 69668,                 69668,,,,,,                 -1580,                 68088,,                 69668,                              0,,                 68088,                              0,,                              0.34,,                              0.34,                    249,                 -1829,,
3014,2012年01月01日至2012年12月31日,,,              3656802,              3656802,,              2185209,              1471593,              1471593,,,                234286,,                297616,,                709439,              1241341,                230252,,,                 54478,,                -10095,,                              0,,                 -1323,                 43060,                273312,,                 54097,                219215,                219215,,,,,,                  8807,                228022,,                219215,                              0,,                228022,                              0,,                              1.08,,                              1.08,                   -902,                  1262,                 10177,                  1730
3014,2012年01月01日至2012年09月30日,,,              2848349,              2848349,,              1707735,              1140614,              1140614,,,                176187,,                222907,,                531215,                930309,                210305,,,                 29886,,                 -9853,,                              0,,                   -986,                 19047,                229352,,                 43363,                185989,                185989,,,,,,                    834,                186823,,                185989,                              0,,                186823,                              0,,                              0.92,,                              0.91,                   -743,                  1577,,
3014,2012年01月01日至2012年06月30日,,,              1889594,              1889594,,              1144166,                745428,                745428,,,                117767,,                146435,,                347381,                611583,                133845,,,                 19104,,                 -4182,,,,                   -554,                 14368,                148213,,                 24308,                123905,                123905,,,,,,                   -877,                123028,,                123905,                              0,,                123028,                              0,,                              0.61,,                              0.61,                   -338,                   -539,,
3014,2012年01月01日至2012年03月31日,,,                913371,                913371,,                559198,                354173,                354173,,,                 52726,,                 81114,,                169876,                303716,                 50457,,,                 12182,,                 -7386,,,,                    105,                  4901,                 55358,,                  1121,                 54237,                 54237,,,,,,                    703,                 54940,,                 54237,,,                 54940,,,                              0.27,,                              0.27,                   -587,                  1290,,
