證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 加工成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 銷貨折讓,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
1451,2015年第3季,,,,              3390726,                  6555,              3384171,,,                  4428,                  4428,              3388599,,,              2911669,,                  4663,                  4663,              2916332,                472267,                472267,,,                114774,,                 48868,,                  9378,                173020,                299247,,,                 28202,,                 72836,,                  4941,,                  3582,                 99679,                398926,,                 74417,                324509,                324509,,,                207504,                 -5036,,                 18203,                 36811,                183860,                183860,                508369,,                325023,                   -514,,                504561,                  3808,,                              0.81,                              0.81,,                              0.81,                              0.81,,,,,,,,
1451,2015年第2季,,,,              3502721,                  3731,              3497306,,,                  6033,                  6033,              3503339,,,              3243482,,                  9855,                  9855,              3253337,                250002,                250002,,,                158413,,                 47324,,                  7086,                212823,                 37179,,,                 30587,,                 -7569,,                  4854,,                  2486,                 20650,                 57829,,                 11459,                 46370,                 46370,,,                -95114,                -56316,,                   -800,                -16677,               -135553,               -135553,                -89183,,                 46369,                      1,,                -88361,                   -822,,                              0.12,                              0.12,,                              0.12,                              0.12,                  1684,,,,,,,
1451,2015年第1季,,,,              2736910,                  7423,              2726939,,,                 15256,                 15256,              2742195,,,              2509718,,                 20501,                 20501,              2530219,                211976,                211976,,,                106189,,                 40794,,                 10245,                157228,                 54748,,,                 39401,,                -32464,,                  5064,,                  1485,                  3358,                 58106,,                 11058,                 47048,                 47048,,,               -125789,               -100727,,                 -8003,                -22233,               -212286,               -212286,               -165238,,                 49151,                 -2103,,               -162569,                 -2669,,                              0.12,                              0.12,,                              0.12,                              0.12,                  2548,,,,,,,
1451,2015年01月01日至2015年09月30日,,,,              9630357,                 21941,              9608416,,,                 25717,                 25717,              9634133,,,              8664869,,                 35019,                 35019,              8699888,                934245,                934245,,,                379376,,                136986,,                 26709,                543071,                391174,,,                 98190,,                 32803,,                 14859,,                  7553,                123687,                514861,,                 96934,                417927,                417927,,,                -13399,               -162079,,                  9400,                 -2099,               -163979,               -163979,                253948,,                420543,                 -2616,,                253631,                    317,,                              1.05,                              1.05,,                              1.05,                              1.05,,,,,,,,
1451,2015年01月01日至2015年06月30日,,,,              6239631,                 11154,              6224245,,,                 21289,                 21289,              6245534,,,              5753200,,                 30356,                 30356,              5783556,                461978,                461978,,,                264602,,                 88118,,                 17331,                370051,                 91927,,,                 69988,,                -40033,,                  9918,,                  3971,                 24008,                115935,,                 22517,                 93418,                 93418,,,               -220903,               -157043,,                 -8803,                -38910,               -347839,               -347839,               -254421,,                 95520,                 -2102,,               -250930,                 -3491,,                              0.24,                              0.24,,                              0.24,                              0.24,                  4232,,,,,,,
1451,2014年第3季,,,,              3220835,                  6567,              3214268,,,                 10337,                 10337,              3224605,,,              2975941,,                 11675,                 11675,              2987616,                236989,                236989,,,                115030,,                 54086,,                 11643,                180759,                 56230,,,                 65206,,                 55834,,                  5621,,                  3113,                118532,                174762,,                 22756,                152006,                152006,,,                 33071,               -282936,,                  1466,                  5737,               -254136,               -254136,               -102130,,                152967,                   -961,,               -102866,                    736,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,
1451,2014年第2季,,,,              3652609,                  5837,              3645498,,,                  5522,                  5522,              3651020,,,              3332084,,                  5736,                  5736,              3337820,                313200,                313200,,,                152156,,                 50313,,                 13874,                216343,                 96857,,,                208661,,                -42777,,                  4726,,                  4420,                165578,                262435,,                107473,                154962,                154962,,,               -106007,                169668,,                -36110,                -18651,                 46202,                 46202,                201164,,                157352,                 -2390,,                205303,                 -4139,,                              0.39,                              0.39,,                              0.39,                              0.39,                  1274,,,,,,,
1451,2014年第1季,,,,              3073584,                  3692,              3068700,,,                  7029,                  7029,              3075729,,,              2782420,,                  7591,                  7591,              2790011,                285718,                285718,,,                125751,,                 53846,,                 13967,                193564,                 92154,,,                 47154,,                141921,,                  4498,,                 19984,                204561,                296715,,                 41713,                255002,                255002,,,                 84365,               -133110,,                 17725,                 14821,                -45841,                -45841,                209161,,                257726,                 -2724,,                210036,                   -875,,                              0.64,                              0.64,,                              0.64,                              0.64,                  1192,,,,,,,
1451,2014年度,,,,             13201883,                 16700,             13180477,,,                 32649,                 32649,             13213126,,,             12115833,,                 36016,                 36016,             12151849,              1061277,              1061277,,,                514374,,                202141,,                 50905,                767420,                293857,,,                376196,,                212765,,                 19942,,                 29066,                598085,                891942,,                199854,                692088,                692088,,,,,,,,,               -102352,                589736,,                699992,                 -7904,,                595294,                 -5558,,                              1.75,                              1.75,,                              1.75,                              1.75,                  4706,                160381,               -228064,                  1517,,                 -7098,                 29088,
1451,2014年01月01日至2014年09月30日,,,,              9947028,                 18562,              9928466,,,                 22888,                 22888,              9951354,,,              9090445,,                 25002,                 25002,              9115447,                835907,                835907,,,                392937,,                158245,,                 39484,                590666,                245241,,,                321021,,                154978,,                 14845,,                 27517,                488671,                733912,,                171942,                561970,                561970,,,                 11429,               -246378,,                -16919,                  1907,               -253775,               -253775,                308195,,                568045,                 -6075,,                312473,                 -4278,,                              1.42,                              1.42,,                              1.42,                              1.42,,,,,,,,
