證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
9939,2015年第3季,,,              4411398,              4411398,,              3597584,                813814,                813814,,,                201851,,                237370,,                 15518,                454739,                359075,,,                 28556,                 28556,,               -104633,               -104633,,                 57468,               -133545,                225530,,                 48489,                177041,,                              0,                177041,,,               -260014,                 -3820,               -263834,               -263834,                -86793,,                228624,                -51583,,                  9406,                -96199,,                              0.74,,                              0.73,,,,,,
9939,2015年第2季,,,              4995852,              4995852,,              3913813,              1082039,              1082039,,,                204263,,                292447,,                 18212,                514922,                567117,,,                 18921,                 18921,,                 -5912,                 -5912,,                 58879,                -45870,                521247,,                 87455,                433792,,,                433792,,,               -293920,                 -1155,               -295075,               -295075,                138717,,                412152,                 21640,,                133386,                  5331,,                              1.40,,                              1.37,,,,,,
9939,2015年01月01日至2015年09月30日,,,             13561017,             13561017,,             10910688,              2650329,              2650329,,,                583578,,                760698,,                 49533,              1393809,              1256520,,,                 62844,                 62844,,                -73283,                -73283,,                179883,               -190322,              1066198,,                196153,                870045,,                              0,                870045,,,               -844700,                 -3911,               -848611,               -848611,                 21434,,                893797,                -23752,,                125172,               -103738,,                              3.10,,                              3.04,,,,,,
9939,2015年01月01日至2015年06月30日,,,              9149619,              9149619,,              7313104,              1836515,              1836515,,,                381727,,                523328,,                 34015,                939070,                897445,,,                 34288,                 34288,,                 31350,                 31350,,                122415,                -56777,                840668,,                147664,                693004,,,                693004,,,               -584686,                    -91,               -584777,               -584777,                108227,,                665173,                 27831,,                115766,                 -7539,,                              2.40,,                              2.34,,,,,,
9939,2015年01月01日至2015年03月31日,,,              4153767,              4153767,,              3399291,                754476,                754476,,,                177464,,                230881,,                 15803,                424148,                330328,,,                 15367,                 15367,,                 37262,                 37262,,                 63536,                -10907,                319421,,                 60209,                259212,,                              0,                259212,,,               -290766,                  1064,               -289702,               -289702,                -30490,,                253021,                  6191,,                -17620,                -12870,,                              0.97,,                              0.97,,,,,,
9939,2014年第3季,,,              4797940,              4797940,,              3892813,                905127,                905127,,,                199710,,                219261,,                 16511,                435482,                469645,,,                 -7290,                 -7290,,                101529,                101529,,                 62643,                 31596,                501241,,                 80536,                420705,,                              0,                420705,,,                106241,                   -621,                105620,                105620,                526325,,                420125,                    580,,                506668,                 19657,,                              1.62,,                              1.57,,,,,,
9939,2014年第2季,,,              4849561,              4849561,,              4000143,                849418,                849418,,,                189353,,                226885,,                 15237,                431475,                417943,,,                 61210,                 61210,,                  7228,                  7228,,                 61141,                  7297,                425240,,                 98957,                326283,,,                326283,,,               -216651,                 11015,               -205636,               -205636,                120647,,                306086,                 20197,,                120628,                     19,,                              1.18,,                              1.14,,,,,,
9939,2014年度,,,             17226474,             17226474,,             14425540,              2800934,              2800934,,,                719613,,                868507,,                 63281,              1651401,              1149533,,,                102292,                102292,,                134595,                134595,,                245236,                 -8349,              1141184,,                205900,                935284,,                              0,                935284,,,,,,                415743,              1351027,,                966212,                -30928,,              1328095,                 22932,,                              3.72,,                              3.62,                              0,                              0,                411954,                  6769,                 -3591,                    611
9939,2014年01月01日至2014年09月30日,,,             13978703,             13978703,,             11548594,              2430109,              2430109,,,                557422,,                641258,,                 45871,              1244551,              1185558,,,                 86690,                 86690,,                104689,                104689,,                180145,                 11234,              1196792,,                226541,                970251,,                              0,                970251,,,                 83159,                 10394,                 93553,                 93553,              1063804,,                949798,                 20453,,              1039248,                 24556,,                              3.66,,                              3.54,,,,,,
9939,2014年01月01日至2014年06月30日,,,              9180763,              9180763,,              7655781,              1524982,              1524982,,,                357712,,                421997,,                 29360,                809069,                715913,,,                 93980,                 93980,,                  3160,                  3160,,                117502,                -20362,                695551,,                146005,                549546,,,                549546,,,                -23082,                 11015,                -12067,                -12067,                537479,,                529673,                 19873,,                532580,                  4899,,                              2.04,,                              1.97,,,,,,
9939,2014年01月01日至2014年03月31日,,,              4331202,              4331202,,              3655638,                675564,                675564,,,                168359,,                195112,,                 14123,                377594,                297970,,,                 32770,                 32770,,                 -4068,                 -4068,,                 56361,                -27659,                270311,,                 47048,                223263,,                              0,                223263,,,                193569,                              0,                193569,                193569,                416832,,                223587,                   -324,,                411952,                  4880,,                              0.86,,                              0.86,,,,,,
9939,2013年第3季,,,              4802503,              4802503,,              3925019,                877484,                877484,,,                192914,,                201550,,                  7698,                402162,                475322,,,                 25666,                 25666,,                -26487,                -26487,,                 49729,                -50550,                424772,,                 77708,                347064,,                              0,                347064,,,,,,               -187783,                159281,,                342460,                  4604,,                161361,                 -2080,,                              1.32,,                              1.26,,,               -187783,                              0,,
9939,2013年第2季,,,              4765801,              4765801,,              3833475,                932326,                932326,,,                187740,,                198860,,                  6655,                393255,                539071,,,                  1029,                  1029,,                 31748,                 31748,,                 46715,                -13938,                525133,,                107193,                417940,,                              0,                417940,,,,,,                 24359,                442299,,                396273,                 21667,,                396467,                 45832,,                              1.53,,                              1.47,,,                 24359,                              0,,
