證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 已實現銷貨（損）益
8033,2015年第3季,,                200942,,                131214,                 69728,                  1725,                 68003,,,                 61421,,                 40777,,                 10767,                112965,                -44962,,,                  4138,,                  9400,,                  6214,,                  1668,                  8992,                -35970,,                   -189,                -35781,                -35781,,,                 25474,                  4330,                 21144,                 21144,                -14637,,                -35055,                   -726,,                -13911,                   -726,,                             -0.27,                             -0.27,,,,
8033,2015年第2季,,                232760,,                141156,                 91604,                  3681,                 87923,,,                 71554,,                 39801,,                  9733,                121088,                -33165,,,                  3382,,                 64142,,                  5813,,                  1049,                 62760,                 29595,,                  3124,                 26471,                 26471,,,                 -9243,                 -1571,                 -7672,                 -7672,                 18799,,                 25778,                    693,,                 18106,                    693,,                              0.20,                              0.20,,,,
8033,2015年01月01日至2015年09月30日,,                668355,,                429660,                238695,                  7623,                231072,,,                207093,,                123129,,                 30197,                360419,               -129347,,,                 11053,,                 60874,,                 20021,,                  4157,                 56063,                -73284,,                  6860,                -80144,                -80144,,,                 12108,                  2058,                 10050,                 10050,                -70094,,                -77053,                 -3091,,                -67003,                 -3091,,                             -0.60,                             -0.60,,,,
8033,2015年01月01日至2015年06月30日,,                467413,,                298446,                168967,                  5898,                163069,,,                145672,,                 82352,,                 19430,                247454,                -84385,,,                  6915,,                 51474,,                 13807,,                  2489,                 47071,                -37314,,                  7049,                -44363,                -44363,,,                -13366,                 -2272,                -11094,                -11094,                -55457,,                -41998,                 -2365,,                -53092,                 -2365,,                             -0.34,                             -0.34,,,,
8033,2015年01月01日至2015年03月31日,,                234653,,                157290,                 77363,                  2217,                 75146,,,                 74118,,                 42551,,                  9697,                126366,                -51220,,,                  3533,,                -12668,,                  7994,,                  1440,                -15689,                -66909,,                  3925,                -70834,                -70834,,,                 -4123,                   -701,                 -3422,                 -3422,                -74256,,                -67776,                 -3058,,                -71198,                 -3058,,                             -0.59,                             -0.59,,,,
8033,2014年第3季,,                290305,,                222150,                 68155,                     23,                 68132,,,                 75396,,                 40001,,                 10368,                125765,                -57633,,,                  2050,,                  4034,,                  8405,,                  1359,                   -962,                -58595,,                 -2364,                -56231,                -56231,,,                 14091,                  2395,                 11696,                 11696,                -44535,,                -49938,                 -6293,,                -38242,                 -6293,,                             -0.50,                             -0.50,,,,
8033,2014年第2季,,                297749,,                203261,                 94488,                    -79,                 94567,,,                 64959,,                 39461,,                  8450,                112870,                -18303,,,                  4764,,                    264,,                  8205,,                  1226,                 -1951,                -20254,,                  4632,                -24886,                -24886,,,                -11374,                 -1933,                 -9441,                 -9441,                -34327,,                -20196,                 -4690,,                -29637,                 -4690,,                             -0.21,                             -0.21,,,,
8033,2014年度,,              1164885,,                849577,                315308,                 -2421,                317729,,,                261671,,                156234,,                 36395,                454300,               -136571,,,                 14826,,                -10620,,                 32990,,                  3296,                -25488,               -162059,,                 15362,               -177421,               -177421,,,,,,                 20292,               -157129,,               -158641,                -18780,,               -135326,                -21803,,                             -1.55,                             -1.55,                 24324,                    124,                  4156,
8033,2014年01月01日至2014年09月30日,,                896920,,                651182,                245738,                    565,                245173,,,                206976,,                115903,,                 28015,                350894,               -105721,,,                 10971,,                   -669,,                 24350,,                  3117,                -10931,               -116652,,                  8609,               -125261,               -125261,,,                  6266,                  1065,                  5201,                  5201,               -120060,,               -109246,                -16015,,               -104045,                -16015,,                             -1.09,                             -1.09,,,,
8033,2014年01月01日至2014年06月30日,,                606615,,                429032,                177583,                    542,                177041,,,                131580,,                 75902,,                 17647,                225129,                -48088,,,                  8921,,                 -4703,,                 15945,,                  1758,                 -9969,                -58057,,                 10973,                -69030,                -69030,,,                 -7825,                 -1330,                 -6495,                 -6495,                -75525,,                -59308,                 -9722,,                -65803,                 -9722,,                             -0.62,                             -0.62,,,,
8033,2014年01月01日至2014年03月31日,,                308867,,                225771,                 83096,                    621,                 82475,,,                 66621,,                 36441,,                  9197,                112259,                -29784,,,                  4157,,                 -4967,,                  7740,,                    532,                 -8018,                -37802,,                  6341,                -44143,                -44143,,,                  3549,                    603,                  2946,                  2946,                -41197,,                -39111,                 -5032,,                -36165,                 -5032,,                             -0.43,                             -0.43,,,,
8033,2013年第3季,,                254494,,                174591,                 79903,                              0,                 79903,,,                 56882,,                 38252,,                  9205,                104339,                -24436,,,                  6608,,                   -381,,                  8348,,                              0,                 -2121,                -26557,,                   -237,                -26320,                -26320,,,,,,                 -7881,                -34201,,                -23084,                 -3236,,                -30965,                 -3236,,                             -0.25,                             -0.25,                 -9495,,                 -1614,
8033,2013年第2季,,                276336,,                188301,                 88035,                              0,                 88035,,,                 67902,,                 35937,,                  8763,                112602,                -24567,,,                  6346,,                 -2004,,                  8432,,                              0,                 -4090,                -28657,,                  3603,                -32260,                -32260,,,,,,                 47191,                 14931,,                -28316,                 -3944,,                 18875,                 -3944,,                             -0.31,                             -0.31,                 56856,                              0,                  9665,                              0
8033,2013年度,,              1058859,,                741878,                316981,                    720,                316261,,,                256772,,                137644,,                 40344,                434760,               -118499,,,                 22836,,                167855,,                 33188,,                   -100,                157403,                 38904,,                 30265,                  8639,                  8639,,,,,,                 28159,                 36798,,                 19574,                -10935,,                 47732,                -10934,,                              0.21,                              0.21,                 29815,                 -1165,                    491,
8033,2013年07月01日至2013年09月30日,,                254494,,                174591,                 79903,,                 79903,,,                 56882,,                 38252,,                  9205,                104339,                -24436,,,                  6608,,                   -381,,                  8348,,,                 -2121,                -26557,,                   -237,                -26320,                -26320,,,,,,                 -7881,                -34201,,                -23084,                 -3236,,                -30965,                 -3236,,                             -0.25,                             -0.25,                 -9495,,                 -1614,
8033,2013年04月01日至2013年06月30日,,                276336,,                188301,                 88035,,                 88035,,,                 67902,,                 35937,,                  8763,                112602,                -24567,,,                  6346,,                 -2004,,                  8432,,,                 -4090,                -28657,,                  3603,                -32260,                -32260,,,,,,                 47191,                 14931,,                -28316,                 -3944,,                 18875,                 -3944,,                             -0.31,                             -0.31,                 56856,,                  9665,
8033,2013年01月01日至2013年12月31日,,              1058859,,                743253,                315606,                    720,                314886,,,                256772,,                143044,,                 40344,                440160,               -125274,,,                 29610,,                167856,,                 33188,,                   -100,                164178,                 38904,,                 30265,                  8639,                  8639,,,,,,                 28159,                 36798,,                 19574,                -10935,,                 47733,                -10935,,                              0.21,                              0.21,                 29815,                 -1165,                    491,
8033,2013年01月01日至2013年09月30日,,                780677,,                537691,                242986,                              0,                242986,,,                188057,,                111763,,                 29543,                329363,                -86377,,,                 15453,,                 -5447,,                 24280,,                              0,                -14274,               -100651,,                  9650,               -110301,               -110301,,,,,,                 20204,                -90097,,               -102309,                 -7992,,                -82105,                 -7992,,                             -1.12,                             -1.12,                 24342,,                  4138,
8033,2013年01月01日至2013年06月30日,,                526183,,                363100,                163083,                              0,                163083,,,                131175,,                 73511,,                 20338,                225024,                -61941,,,                  8845,,                 -5066,,                 15932,,                              0,                -12153,                -74094,,                  9887,                -83981,                -83981,,,,,,                 28085,                -55896,,                -79225,                 -4756,,                -51140,                 -4756,,                             -0.86,                             -0.86,                 33837,                              0,                  5752,                              0
8033,2013年01月01日至2013年03月31日,,                249847,,                174799,                 75048,                              0,                 75048,,,                 63273,,                 37574,,                 11575,                112422,                -37374,,,                  2499,,                 -3062,,                  7500,,                              0,                 -8063,                -45437,,                  6284,                -51721,                -51721,,,,,,                -19106,                -70827,,                -50909,                   -812,,                -70015,                   -812,,                             -0.55,                             -0.55,                -23019,,                 -3913,
8033,2012年07月01日至2012年09月30日,,                246341,,                158568,                 87773,,                 87773,,,                 71422,,                 34463,,                 10258,                116143,                -28370,,,                  2584,,                  1214,,                  7638,,,                 -3840,                -32210,,                 -6992,                -25218,                -25218,,,,,,                -16330,                -41548,,                -25218,                              0,,                -41548,                              0,,                             -0.29,                             -0.29,                -19675,,                 -3345,
8033,2012年04月01日至2012年06月30日,,                298906,,                210136,                 88770,,                 88770,,,                 77763,,                 29238,,                 12210,                119211,                -30441,,,                  4720,,                 -1105,,                  9773,,,                 -6158,                -36599,,                   -832,                -35767,                -35767,,,,,,                  7750,                -28017,,                -35767,                              0,,                -28017,                              0,,                             -0.41,                             -0.41,                  9337,,                  1587,
8033,2012年01月01日至2012年12月31日,,              1048899,,                704203,                344696,                              0,                344696,,,                286217,,                123998,,                 44060,                454275,               -109579,,,                 16676,,                -11364,,                 32294,,                              0,                -26982,               -136561,,                 32923,               -169484,               -169484,,,,,,                -25766,               -195250,,               -169484,                              0,,               -195250,                              0,,                             -1.96,                             -1.96,                -25627,                   -139,                              0,
8033,2012年01月01日至2012年09月30日,,                794970,,                517331,                277639,,                277639,,,                221414,,                 94919,,                 34624,                350957,                -73318,,,                 10164,,                -10056,,                 24020,,,                -23912,                -97230,,                   -170,                -97060,                -97060,,,,,,                -27840,               -124900,,                -97060,                              0,,               -124900,                              0,,                             -1.12,                             -1.12,                -33542,,                 -5702,
8033,2012年01月01日至2012年06月30日,,                548629,,                358763,                189866,,                189866,,,                149992,,                 60456,,                 24366,                234814,                -44948,,,                  7580,,                -11270,,                 16382,,,                -20072,                -65020,,                  6822,                -71842,                -71842,,,,,,                -11510,                -83352,,                -71842,                              0,,                -83352,                              0,,                             -0.83,                             -0.83,                -13867,,                 -2357,
