證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
1730,2014年01月01日至2014年03月31日,,,                350077,                350077,,,                193516,                193516,                156561,                156561,,,                111772,,                 19105,,                  3453,                134330,                 22231,,,,                    474,,                  7763,                  8237,,                     50,                    547,                    423,,                    837,                              0,                              0,                  3458,                 -3275,,                      5,                      5,                  4957,                 27188,,                  5789,                 21399,                 21399,,,                   -405,                   -405,,                  5939,                  5939,                  5534,                 26933,,                 21399,,                              0,,                 26933,,                              0,,                              0.40,
1730,2013年第3季,,,                374213,                374213,,,                201248,                201248,                172965,                172965,,,                116988,,                 19924,,                  3514,                140426,                 32539,,,,                     73,                              0,                  2368,                  2441,,,                    189,,                    715,                     19,                      5,                    173,                              0,                    707,,                    211,                    211,                  2937,                 35476,,                  6316,                 29160,                 29160,,,,,,,,                 -3554,                 25606,,                 29160,                              0,,,                 25606,                              0,,,                              0.55,                 -3554
1730,2013年第2季,,,                362146,                362146,,,                202327,                202327,                159819,                159819,,,                117591,,                 18077,,                  3423,                139091,                 20728,,,,                    178,                  2703,                  3581,                  6462,,,                              0,,                    182,                   -325,                     95,                  1769,                    -14,                 -1343,,                    272,                    272,                  4847,                 25575,,                  7460,                 18115,                 18115,,,,,,,,                  8045,                 26160,,                 18115,                              0,,,                 26160,                              0,,,                              0.34,                  8045
1730,2013年度,,,              1521004,              1521004,,,                839628,                839628,                681376,                681376,,,                488187,,                 75564,,                 13693,                577444,                103932,,,,                    646,                  1303,                 23495,                 25444,,                101235,                    518,,                  1860,                    279,                              0,                  1840,                              0,                101494,,                  1448,                  1448,                125490,                229422,,                 30730,                198692,                198692,,,,,,,,                 21524,                220216,,                198692,                              0,                              0,,                220216,                              0,                              0,,                              3.72,                 21524
1730,2013年07月01日至2013年09月30日,,,                374213,                374213,,,                201248,                201248,                172965,                172965,,,                116988,,                 19924,,                  3514,                140426,                 32539,,,,                     73,                              0,                  2368,                  2441,,,                    189,                              0,                    715,                     19,                      5,                    173,                              0,                    707,,                    211,                    211,                  2937,                 35476,,                  6316,                 29160,                 29160,,,,,,,,                 -3554,                 25606,,                 29160,                              0,,,                 25606,                              0,,,                              0.55,                 -3554
1730,2013年04月01日至2013年06月30日,,,                362146,                362146,,,                202327,                202327,                159819,                159819,,,                117591,,                 18077,,                  3423,                139091,                 20728,,,,                    178,                  2703,                  3906,                  6787,,,,                              0,                    196,                              0,                     95,                  1769,                              0,                 -1668,,                    272,                    272,                  4847,                 25575,,                  7460,                 18115,                 18115,,,,,,,,                  8045,                 26160,,                 18115,                              0,,,                 26160,                              0,,,                              0.34,                  8045
1730,2013年01月01日至2013年12月31日,,,              1521004,              1521004,,,                839628,                839628,                681376,                681376,,,                488187,,                 75564,,                 13693,                577444,                103932,,,,                    646,                  1303,                 23495,                 25444,,                101235,                    518,,                  1860,                    279,,                  1840,                              0,                101494,,                  1448,                  1448,                125490,                229422,,                 30730,                198692,                198692,,,,,,,,                 21524,                220216,,                198692,                              0,,,                220216,                              0,,,                              3.72,                 21524
1730,2013年01月01日至2013年09月30日,,,              1092922,              1092922,,,                599401,                599401,                493521,                493521,,,                349036,,                 55379,,                 10219,                414634,                 78887,,,,                    354,                  2703,                 11390,                 14447,,,                    189,,                    897,                    255,                    672,                  1984,                              0,                 -1825,,                    767,                    767,                 11855,                 90742,,                 20446,                 70296,                 70296,,,,,,,,                 16304,                 86600,,                 70296,                              0,,,                 86600,                              0,,,                              1.31,                 16304
1730,2013年01月01日至2013年06月30日,,,                718709,                718709,,,                398153,                398153,                320556,                320556,,,                232048,,                 35455,,                  6705,                274208,                 46348,,,,                    281,                  2703,                  9022,                 12006,,,                              0,,                    182,                    236,                    667,                  1811,                              0,                 -2532,,                    556,                    556,                  8918,                 55266,,                 14130,                 41136,                 41136,,,,,,,,                 19858,                 60994,,                 41136,                              0,,,                 60994,                              0,,,                              0.77,                 19858
1730,2013年01月01日至2013年03月31日,,,                356563,                356563,,,                195826,                195826,                160737,                160737,,,                114457,,                 17378,,                  3282,                135117,                 25620,,,,                    103,,                  5441,                  5544,,                              0,                              0,                              0,,                    561,                    572,                     42,                     14,                 -1189,,                    284,                    284,                  4071,                 29691,,                  6670,                 23021,                 23021,,,,,,,,                 11813,                 34834,,                 23021,                              0,,,                 34834,                              0,,,                              0.43,                 11813
1730,2012年07月01日至2012年09月30日,,,                328171,                328171,,,                178499,                178499,                149672,                149672,,,                 98427,,                 25032,,                  1982,                125441,                 24231,,,,                     23,                              0,                  4797,                  4820,,,                              0,                    851,                              0,                      3,                    719,                              0,                     39,                     90,,                    300,                    300,                  4610,                 28841,,                  5544,                 23297,                 23297,,,,,,,,                 -7510,                 15787,,                 23297,                              0,,,                 15787,                              0,,,                              0.44,                 -7510
1730,2012年04月01日至2012年06月30日,,,                319783,                319783,,,                171634,                171634,                148149,                148149,,,                108320,,                 17639,,                  4220,                130179,                 17970,,,,                    142,                    395,                  1079,                  1616,,,,                    248,                    459,                    750,                     27,                              0,                              0,                    -70,,                    337,                    337,                  1209,                 19179,,                  6464,                 12715,                 12715,,,,,,,,                  4578,                 17293,,                 12715,                              0,,,                 17293,                              0,,,                              0.24,                  4578
1730,2012年01月01日至2012年12月31日,,,              1351573,              1351573,,,                736103,                736103,                615470,                615470,,,                428216,,                 86742,,                 10659,                525617,                 89853,,,,                    343,                  2194,                 17828,                 20365,,                  6941,                              0,,                              0,                  1022,,                  3402,                    784,                  1733,,                  1418,                  1418,                 20680,                110533,,                 20820,                 89713,                 89713,,,,,,,,                 -8413,                 81300,,                 89713,                              0,,,                 81300,                              0,,,                              1.68,                 -8413
1730,2012年01月01日至2012年09月30日,,,                987951,                987951,,,                540354,                540354,                447597,                447597,,,                314538,,                 57116,,                  8296,                379950,                 67647,,,,                     85,                  2194,                  6951,                  9230,,,                              0,                  1665,                              0,                     41,                    746,                              0,                     73,                    805,,                  1000,                  1000,                  9035,                 76682,,                 17464,                 59218,                 59218,,,,,,,,                 -9112,                 50106,,                 59218,                              0,,,                 50106,                              0,,,                              1.11,                 -9112
1730,2012年01月01日至2012年06月30日,,,                659780,                659780,,,                361855,                361855,                297925,                297925,,,                216111,,                 32084,,                  6314,                254509,                 43416,,,,                    181,                  2194,                  2154,                  4529,,,,                    695,                              0,                    758,                     27,                              0,                     34,                   -124,,                    700,                    700,                  3705,                 47121,,                 11200,                 35921,                 35921,,,,,,,,                 -1603,                 34318,,                 35921,                              0,,,                 34318,                              0,,,                              0.67,                 -1603
1730,2012年01月01日至2012年03月31日,,,                339997,                339997,,,                190221,                190221,                149776,                149776,,,                107791,,                 14445,,                  2094,                124330,                 25446,,,,                     39,                  1799,                  1075,                  2913,,,,                    447,,                      8,                              0,                              0,                    493,                    -54,,                    363,                    363,                  2496,                 27942,,                  4736,                 23206,                 23206,,,,,,,,                 -6181,                 17025,,                 23206,,                              0,,                 17025,,                              0,,                              0.43,                 -6181
