證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額
6206,2015年第3季,,              1268457,,                824454,                444003,                444003,,,                 67056,,                 47459,,                 48182,                162697,                281306,,,                  4353,,                 66395,,                              0,,                              0,                 70748,                352054,,                 46912,                305142,                305142,,,                 15556,                              0,                 15556,                 15556,                320698,,                289148,                 15994,,                304820,                 15878,,                              1.98,,                              1.97,,,,,,
6206,2015年第2季,,              1397406,,                927062,                470344,                470344,,,                 71281,,                 49381,,                 49606,                170268,                300076,,,                  6081,,                -13163,,                    148,,                              0,                 -7230,                292846,,                 42593,                250253,                250253,,,                 -4131,                              0,                 -4131,                 -4131,                246122,,                245550,                  4703,,                241462,                  4660,,                              1.77,,                              1.75,,,,,,
6206,2015年01月01日至2015年09月30日,,              3844644,,              2531502,              1313142,              1313142,,,                204201,,                130856,,                150186,                485243,                827899,,,                 18112,,                 43560,,                  1255,,                 -1820,                 58597,                886496,,                121052,                765444,                765444,,,                  8639,                              0,                  8639,                  8639,                774083,,                743629,                 21815,,                752247,                 21836,,                              5.15,,                              5.05,,,,,,
6206,2015年01月01日至2015年06月30日,,              2576188,,              1707048,                869140,                869140,,,                137145,,                 83397,,                102005,                322547,                546593,,,                 13758,,                -22834,,                  1255,,                 -1820,                -12151,                534442,,                 74140,                460302,                460302,,,                 -6917,                              0,                 -6917,                 -6917,                453385,,                454481,                  5821,,                447427,                  5958,,                              3.33,,                              3.25,,,,,,
6206,2015年01月01日至2015年03月31日,,              1178782,,                779986,                398796,                398796,,,                 65864,,                 34016,,                 52399,                152279,                246517,,,                  7677,,                 -9671,,                  1107,,                 -1820,                 -4921,                241596,,                 31547,                210049,                210049,,,                 -2786,                              0,                 -2786,                 -2786,                207263,,                208931,                  1118,,                205965,                  1298,,                              1.56,,                              1.50,,,,,,
6206,2014年第3季,,              1319412,,                886241,                433171,                433171,,,                 59314,,                 35040,,                 39830,                134184,                298987,,,                  8497,,                 27233,,                  1524,,                              0,                 34206,                333193,,                 32619,                300574,                300574,,,                  4507,                              0,                  4507,                  4507,                305081,,                299778,                    796,,                304285,                    796,,                              2.15,,                              2.04,,,,,,
6206,2014年第2季,,              1188586,,                815369,                373217,                373217,,,                 56852,,                 30801,,                 36615,                124268,                248949,,,                  6467,,                -19408,,                  1534,,                              0,                -14475,                234474,,                 34682,                199792,                199792,,,                 -4054,                              0,                 -4054,                 -4054,                195738,,                198929,                    863,,                194875,                    863,,                              1.51,,                              1.43,,,,,,
6206,2014年度,,              4748478,,              3223533,              1524945,              1524945,,,                228801,,                117816,,                156637,                503254,              1021691,,,                 37820,,                 52225,,                  6127,,                   -604,                 83314,              1105005,,                140103,                964902,                964902,,,,,,                 13549,                978451,,                959324,                  5578,,                972873,                  5578,,                              7.25,,                              6.88,                   -604,                 13771,                   -268,                    -46,,
6206,2014年01月01日至2014年09月30日,,              3501302,,              2372775,              1128527,              1128527,,,                173199,,                 89124,,                115142,                377465,                751062,,,                 25580,,                 18547,,                  4634,,                              0,                 39493,                790555,,                 94355,                696200,                696200,,,                  3270,                              0,                  3270,                  3270,                699470,,                692342,                  3858,,                695612,                  3858,,                              4.98,,                              4.72,,,,,,
6206,2014年01月01日至2014年06月30日,,              2181890,,              1486534,                695356,                695356,,,                113885,,                 54084,,                 75312,                243281,                452075,,,                 17083,,                 -8686,,                  3110,,                              0,                  5287,                457362,,                 61736,                395626,                395626,,,                 -1237,                              0,                 -1237,                 -1237,                394389,,                392564,                  3062,,                391327,                  3062,,                              2.97,,                              2.83,,,,,,
6206,2014年01月01日至2014年03月31日,,                993304,,                671165,                322139,                322139,,,                 57033,,                 23283,,                 38697,                119013,                203126,,,                 10616,,                 10722,,                  1576,,                              0,                 19762,                222888,,                 27054,                195834,                195834,,,                  2817,                              0,                  2817,                  2817,                198651,,                193635,                  2199,,                196452,                  2199,,                              1.47,,                              1.39,,,,,,
6206,2013年第3季,,              1049864,,                708906,                340958,                340958,,,                 43092,,                 21446,,                 30546,                 95084,                245874,,,                 10049,,                -17093,,                  1770,,,                 -8814,                237060,,                 29849,                207211,                207211,,,,,,                 -3051,                204160,,                204932,                  2279,,                201881,                  2279,,                              1.57,,                              1.48,,                 -3051,,                              0,,
6206,2013年第2季,,              1069785,,                714421,                355364,                355364,,,                 50469,,                 26329,,                 34088,                110886,                244478,,,                  7380,,                 23177,,                  2640,,,                 27917,                272395,,                 40832,                231563,                231563,,,,,,                  2027,                233590,,                230429,                  1134,,                232456,                  1134,,                              2.00,,                              1.82,,                  2027,,                              0,,
6206,2013年度,,              4065218,,              2734249,              1330969,              1330969,,,                175872,,                105807,,                140505,                422184,                908785,,,                 41188,,                 64378,,                  9819,,                              0,                 95747,              1004532,,                136340,                868192,                868192,,,,,,                  9582,                877774,,                859686,                  8506,,                869268,                  8506,,                              6.69,,                              6.17,                              0,                  8537,                  1259,                    214,,
6206,2013年07月01日至2013年09月30日,,              1049864,,                708906,                340958,                340958,,,                 43092,,                 21446,,                 30546,                 95084,                245874,,,                 10049,,                -17093,,                  1770,,,                 -8814,                237060,,                 29849,                207211,                207211,,,,,,                 -3051,                204160,,                204932,                  2279,,                201881,                  2279,,                              1.73,,                              1.63,,                 -3051,,                              0,,
6206,2013年04月01日至2013年06月30日,,              1069785,,                714421,                355364,                355364,,,                 50469,,                 26329,,                 34088,                110886,                244486,,,                  7380,,                 23169,,                  2640,,,                 27909,                272395,,                 40832,                231563,                231563,,,,,,                  2027,                233590,,                230429,                  1134,,                232456,                  1134,,                              2.20,,                              2.01,,                  2027,,                              0,,                      8
6206,2013年01月01日至2013年12月31日,,              4065218,,              2734249,              1330969,              1330969,,,                175872,,                105807,,                140505,                422184,                908785,,,                 41188,,                 64378,,                  9819,,,                 95747,              1004532,,                136340,                868192,                868192,,,,,,                  9582,                877774,,                859686,                  8506,,                869268,                  8506,,                              7.38,,                              6.81,,                  8537,                  1259,                    214,,
6206,2013年01月01日至2013年09月30日,,              3073909,,              2046726,              1027183,              1027183,,,                138714,,                 74381,,                 96754,                309849,                717334,,,                 25623,,                 34132,,                  8122,,,                 51633,                768967,,                102574,                666393,                666393,,,,,,                  5666,                672059,,                661313,                  5080,,                666979,                  5080,,                              5.19,,                              4.77,,                  5666,,                              0,,
6206,2013年01月01日至2013年06月30日,,              2024045,,              1337820,                686225,                686225,,,                 95622,,                 52935,,                 66208,                214765,                471460,,,                 15574,,                 51225,,                  6352,,,                 60447,                531907,,                 72725,                459182,                459182,,,,,,                  8717,                467899,,                456381,                  2801,,                465098,                  2801,,                              4.01,,                              3.63,,                  8717,,                              0,,
6206,2013年01月01日至2013年03月31日,,                954260,,                623399,                330861,                330861,,,                 45153,,                 26606,,                 32120,                103879,                226982,,,                  8194,,                 28048,,                  3712,,,                 32530,                259512,,                 31893,                227619,                227619,,,,,,                  6690,                234309,,                225952,                  1667,,                232642,                  1667,,                              2.00,,                              1.80,,                  6690,,                              0,,
6206,2012年07月01日至2012年09月30日,,                900399,,                613856,                286543,                286543,,,                 41987,,                 25645,,                 30772,                 98404,                188139,,,                  6307,,                -13583,,                  3956,,,                -11232,                176907,,                 17974,                158933,                158933,,,,,,                 -3251,                155682,,                158580,                    353,,                155329,                    353,,                              1.43,,                              1.30,,                 -3251,,                              0,,
6206,2012年04月01日至2012年06月30日,,                935697,,                643496,                292201,                292201,,,                 48186,,                 28867,,                 32492,                109545,                182519,,,                  7155,,                  7163,,                  3994,,,                 10324,                192843,,                 39764,                153079,                153079,,,,,,                  1948,                155027,,                152874,                    205,,                154822,                    205,,                              1.52,,                              1.37,,                  1948,,                              0,,                   -137
6206,2012年01月01日至2012年12月31日,,              3578078,,              2457379,              1120699,              1120699,,,                184789,,                112039,,                128807,                425635,                695064,,,                 33648,,                -19512,,                 15908,,,                 -1772,                693292,,                 88269,                605023,                605023,,,,,,                 -7866,                597157,,                603675,                  1348,,                595809,                  1348,,                              5.45,,                              4.84,,                 -7866,                              0,                              0,,
6206,2012年01月01日至2012年09月30日,,              2668094,,              1827994,                840100,                840100,,,                135473,,                 81442,,                 98893,                315808,                524292,,,                 18191,,                -23516,,                 11917,,,                -17242,                507050,,                 71263,                435787,                435787,,,,,,                 -6668,                429119,,                435381,                    406,,                428713,                    406,,                              3.95,,                              3.51,,                 -6668,,                              0,,
6206,2012年01月01日至2012年06月30日,,              1767695,,              1214138,                553557,                553557,,,                 93486,,                 55797,,                 68121,                217404,                336016,,,                 11884,,                 -9796,,                  7961,,,                 -5873,                330143,,                 53289,                276854,                276854,,,,,,                 -3417,                273437,,                276801,                     53,,                273384,                     53,,                              2.76,,                              2.48,,                 -3417,,                              0,,                   -137
