證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 廉價購買利益,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他收益,　　 其他綜合損益
1464,2014年01月01日至2014年03月31日,,,              1115162,,                 60043,              1175205,,,              1013766,              1013766,                161439,                161439,,,                 80560,,                 44639,,                 34329,                159528,,                -10656,                 -8745,,,                 17755,,                 -1197,,                  8544,                  8544,,                  4941,                 12955,                  4210,,                  1842,                  2368,                  2368,,,                 28040,                 -1790,,                 -1372,                  4963,                 19915,                 19915,                 22283,,                  6568,                 -4200,,                 27946,                 -5663,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,
1464,2013年第3季,,,              1043200,,                 53851,              1097051,,,                964613,                964613,                132438,                132438,,,                 86249,,                 29722,,                 31215,                147186,,                              0,                -14748,,,                  5187,,                -10082,,                  6824,                  6824,,                  1315,                -10404,                -25152,,                   -693,                -24459,                -24459,,,,,,,,,                -15342,                -39801,,                -23684,                   -775,,                -37425,                 -2376,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,,,,,,,,,                -17359,                     82,,,                   -892,                 -2827,,
1464,2013年第2季,,,              1092674,,                  8775,              1101449,,,                977920,                977920,                123529,                123529,,,                 64177,,                 45345,,                 30953,                140475,,                   -502,                -17448,,,                 10577,,                  6794,,                  5489,                  5489,,                  9247,                 21129,                  3681,,                  1111,                  2570,                  2570,,,,,,,,,                 17510,                 20080,,                  2914,                   -344,,                 18630,                  1450,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,                 18645,                   -549,,,                  2424,                  3010,,
1464,2013年度,,,              4375864,,                213175,              4589039,,,              4049365,              4049365,                539674,                539674,,,                318126,,                151074,,                128828,                598028,,                -19541,                -77895,,,                 43243,,                  4371,,                 25523,                 25523,,                 22767,                 44858,                -33037,,                  6354,                -39391,                -39391,,,,,,,,,                 91360,                 51969,,                -38605,                   -786,,                 39226,                 12743,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,                              0,                 43243,                              0,                 40791,                     17,                  2161,                 34276,                              0,                105259,                 -3384,                 -6668,,                 11565,                 15412,,
1464,2013年07月01日至2013年09月30日,,,              1089872,,                  7179,              1097051,,,                964613,                964613,                132438,                132438,,,                 86249,,                 29722,,                 31215,                147186,,                              0,                -14748,,,                  5187,,                -10082,,                  6824,                  6824,,                  1315,                -10404,                -25152,,                   -693,                -24459,                -24459,,,,,,,,,                -15342,                -39801,,                -23684,                   -775,,                -37425,                 -2376,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,,,,,,,,,                -17359,                     82,,,                   -892,                 -2827,,
1464,2013年04月01日至2013年06月30日,,,              1092674,,                  8775,              1101449,,,                977920,                977920,                123529,                123529,,,                 64177,,                 45345,,                 30953,                140475,,                   -502,                -17448,,,                 10577,,                  6794,,                  5489,                  5489,,                  9247,                 21129,                  3681,,                  1111,                  2570,                  2570,,,,,,,,,                 17510,                 20080,,                  2914,                   -344,,                 18630,                  1450,,,                              0.01,,,                              0.01,,,,,,,,,                 18645,                  1015,,,                    860,                  3010,,
1464,2013年01月01日至2013年12月31日,,,              4560674,,                 28365,              4589039,,,              4049365,              4049365,                539674,                539674,,,                318126,,                151074,,                128828,                598028,,                -19541,                -77895,,,                 43243,,                  4371,,                 25523,                 25523,,                 22767,                 44858,                -33037,,                  6354,                -39391,                -39391,,,,,,,,,                 91360,                 51969,,                -38605,                   -786,,                 39226,                 12743,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,                              0,                 43243,,,,,,,                105259,                 -3384,                 -6668,,                 11565,,                -19541,                -15412
1464,2013年01月01日至2013年09月30日,,,              3029108,,                148301,              3177409,,,              2802177,              2802177,                375232,                375232,,,                213847,,                109676,,                 90787,                414310,,                    132,                -38946,,,                 21830,,                  2608,,                 18586,                 18586,,                 16455,                 22307,                -16639,,                  4804,                -21443,                -21443,,,,,,,,,                 62083,                 40640,,                -19837,                 -1606,,                 35668,                  4972,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,,,,,,,,,                 71830,                    412,,,                  1129,                 11288,,
1464,2013年01月01日至2013年06月30日,,,              2065449,,                 14909,              2080358,,,              1837564,              1837564,                242794,                242794,,,                127598,,                 79954,,                 59572,                267124,,                    132,                -24198,,,                 16643,,                 12690,,                 11762,                 11762,,                 15140,                 32711,                  8513,,                  5497,                  3016,                  3016,,,,,,,,,                 77425,                 80441,,                  3847,                   -831,,                 73093,                  7348,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,                 89189,                 -1071,,,                  3422,                 14115,,
1464,2013年01月01日至2013年03月31日,,,                972775,,                  6134,                978909,,,                859644,                859644,                119265,                119265,,,                 63421,,                 34609,,                 28619,                126649,,                    634,                 -6750,,,                  6066,,                  5896,,                  6273,                  6273,,                  5893,                 11582,                  4832,,                  4386,                    446,                    446,,,,,,,,,                 59915,                 60361,,                    933,                   -487,,                 54463,                  5898,,,                              0.00,,,,,,,,,,,,                 70544,                   -522,,,                    998,                 11105,,
1464,2012年07月01日至2012年09月30日,,,                954703,,                  3529,                958232,,,                826004,                826004,                132228,                132228,,,                 74672,,                 38921,,                 28558,                142151,,                    -55,                 -9978,,,                 13617,,                 -7673,,                  6553,                  6553,,                  3127,                  2518,                 -7460,,                   -429,                 -7031,                 -7031,,,,,,,,,                -28275,                -35306,,                 -3791,                 -3240,,                -28464,                 -6842,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,,,,,,,,,                -41199,                  6849,,,                    271,                 -5804,,
1464,2012年04月01日至2012年06月30日,,,              1192995,,                  4158,              1197153,,,              1029277,              1029277,                167876,                167876,,,                 94052,,                 53751,,                 27229,                175032,,                   -179,                 -7335,,,                 16987,,                  4493,,                  7296,                  7296,,                  3221,                 17405,                 10070,,                  4422,                  5648,                  5648,,,,,,,,,                  7133,                 12781,,                  4794,                    854,,                 12219,                    562,,,                              0.02,,,                              0.02,,,,,,,,,                 12386,                 -3405,,,                    357,                  2205,,
1464,2012年01月01日至2012年12月31日,,,              4412594,,                 14353,              4426947,,,              3768914,              3768914,                658033,                658033,,,                332960,,                168291,,                112543,                613794,,                  1327,                 45566,,,                 60227,,                -20447,,                 28977,                 28977,,                  6836,                 17639,                 63205,,                 12081,                 51124,                 51124,,,,,,,,,                -81749,                -30625,,                 52332,                 -1208,,                -22684,                 -7941,,                              0.24,                              0.24,,                              0.24,                              0.24,                  2033,                 58194,,,,,,,                -74809,                   -366,                -14904,,                 -2965,,                  1327,                 11295
1464,2012年01月01日至2012年09月30日,,,              3160560,,                 11457,              3172017,,,              2732661,              2732661,                439356,                439356,,,                242874,,                126959,,                 82794,                452627,,                   -234,                -13505,,,                 48603,,                -12945,,                 22740,                 22740,,                  5257,                 18175,                  4670,,                  6610,                 -1940,                 -1940,,,,,,,,,                -62215,                -64155,,                    278,                 -2218,,                -53950,                -10205,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,,,,                -77011,                  3491,,,                    129,                -11176,,
1464,2012年01月01日至2012年06月30日,,,              2205857,,                  7928,              2213785,,,              1906657,              1906657,                307128,                307128,,,                168202,,                 88038,,                 54236,                310476,,                   -179,                 -3527,,,                 34986,,                 -5272,,                 16187,                 16187,,                  2130,                 15657,                 12130,,                  7039,                  5091,                  5091,,,,,,,,,                -33940,                -28849,,                  4069,                  1022,,                -25486,                 -3363,,,                              0.02,,,                              0.02,,,,,,,,,                -35812,                 -3358,,,                   -142,                 -5372,,
1464,2012年01月01日至2012年03月31日,,,              1012862,,                  3770,              1016632,,,                877380,                877380,                139252,                139252,,,                 74150,,                 34287,,                 27007,                135444,,                              0,                  3808,,,                 17999,,                 -9765,,                  8891,                  8891,,                 -1091,                 -1748,                  2060,,                  2617,                   -557,                   -557,,,,,,,,,                -41073,                -41630,,                   -725,                    168,,                -37705,                 -3925,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,,,,                -48697,                     47,,,,                 -7577,,
