證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 其他綜合損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本
1308,2015年第3季,,              1234632,,              1106383,                128249,                128249,,,                 21878,,                 22518,,                  1555,                 45951,                 82298,,,                 57787,                 57787,,                -15229,,                  1313,                  1313,,                 -7340,                 33905,                116203,,                 11957,                104246,                104246,,,                 23643,               -101360,,                 -6251,                  2406,                -86374,                -86374,                 17872,,                104246,,                 17872,,                              0.21,,                              0.21,,,,,,,,,,,,,,,,,,
1308,2015年第2季,,              1256818,,              1078411,                178407,                178407,,,                 24572,,                 23634,,                  1665,                 49871,                128536,,,,                 61413,,                 12074,,                    337,                    337,,                 19315,                 92465,                221001,,                 41113,                179888,                179888,,,                 -9902,               -401610,,                -16967,                 -1468,               -427011,               -427011,               -247123,,                179888,,               -247123,,                              0.36,,                              0.36,,              1256818,,              1078411,,,,,,,,,,,,,,
1308,2015年01月01日至2015年09月30日,,              3722115,,              3289618,                432497,                432497,,,                 70366,,                 66326,,                  5128,                141820,                290677,,,                157256,                157256,,                 13248,,                  1711,                  1711,,                 18989,                187782,                478459,,                 73014,                405445,                405445,,,                  1332,               -621197,,                -36330,                   -677,               -655518,               -655518,               -250073,,                405445,,               -250073,,                              0.82,,                              0.82,,,,,,,,,,,,,,,,,,
1308,2015年01月01日至2015年06月30日,,              2487483,,              2183235,                304248,                304248,,,                 48488,,                 43808,,                  3573,                 95869,                208379,,,,                 99469,,                 28477,,                    398,                    398,,                 26329,                153877,                362256,,                 61057,                301199,                301199,,,                -22311,               -519837,,                -30079,                 -3083,               -569144,               -569144,               -267945,,                301199,,               -267945,,                              0.61,,                              0.61,,              2487483,,              2183235,,,,,,,,,,,,,,
1308,2015年01月01日至2015年03月31日,,              1230665,,              1104824,                125841,                125841,,,                 23916,,                 20174,,                  1908,                 45998,                 79843,,,,                 38056,,                 16403,,                     61,                     61,,                  7014,                 61412,                141255,,                 19944,                121311,                121311,,,                -12409,               -118227,,                -13112,                 -1615,               -142133,               -142133,                -20822,,                121311,,                -20822,,                              0.26,,                              0.26,,              1230665,,              1104824,,,,,,,,,,,,,,
1308,2014年第3季,,              1471854,,              1332531,                139323,                139323,,,                 22904,,                 23048,,                  2089,                 48041,                 91282,,,                 50460,                 50460,,                 19447,,                     11,                     11,,                  8758,                 78654,                169936,,                 19155,                150781,                150781,,,                  8802,               -368824,,                 -6394,                  1855,               -368271,               -368271,               -217490,,                150781,,               -217490,,                              0.31,,                              0.31,,,,,,,,,,,,,,,,,,
1308,2014年第2季,,              1567774,,              1401050,                166724,                166724,,,                 22745,,                 23012,,                  1995,                 47752,                118972,,,,                 77777,,                 -9857,,                     11,                     11,,                    -17,                 67892,                186864,,                 24359,                162505,                162505,,,                 -9819,                 46957,,                 -4754,                 -1665,                 34049,                 34049,                196554,,                162505,,                196554,,                              0.33,,                              0.33,,              1567774,,              1401050,,,,,,,,,,,,,,
1308,2014年度,,              5566285,,              4978473,                587812,                587812,,,                 87608,,                 84441,,                  7996,                180045,                407767,,,,                168353,,                 -2770,,                    101,                    101,,                 10664,                176146,                583913,,                 83980,                499933,                499933,,,,,,,,,               -155795,                344138,,                499933,,                344138,,                              1.06,,                              1.06,,              5566285,,              4978473,                 31728,               -172436,                  5743,,                -15593,                  5237,                              1.06,                              1.06,,,,,,
1308,2014年01月01日至2014年09月30日,,              4383988,,              3922829,                461159,                461159,,,                 67159,,                 66795,,                  6126,                140080,                321079,,,                147279,                147279,,                 -2399,,                     34,                     34,,                 18161,                163007,                484086,,                 65624,                418462,                418462,,,                 10073,               -438366,,                -20718,                  1915,               -450926,               -450926,                -32464,,                418462,,                -32464,,                              0.85,,                              0.85,,,,,,,,,,,,,,,,,,
1308,2014年01月01日至2014年06月30日,,              2912134,,              2590298,                321836,                321836,,,                 44255,,                 43747,,                  4037,                 92039,                229797,,,,                 96819,,                -21846,,                     23,                     23,,                  9403,                 84353,                314150,,                 46469,                267681,                267681,,,                  1271,                -69542,,                -14324,                     60,                -82655,                -82655,                185026,,                267681,,                185026,,                              0.54,,                              0.54,,              2912134,,              2590298,,,,,,,,,,,,,,
1308,2014年01月01日至2014年03月31日,,              1344360,,              1189248,                155112,                155112,,,                 21510,,                 20735,,                  2042,                 44287,                110825,,,,                 19042,,                -11989,,                     12,                     12,,                  9420,                 16461,                127286,,                 22110,                105176,                105176,,,                 11090,               -116499,,                 -9570,                  1725,               -116704,               -116704,                -11528,,                105176,,                -11528,,                              0.22,,                              0.22,,              1344360,,              1189248,,,,,,,,,,,,,,
1308,2013年第3季,,              1548361,,              1420402,                127959,                127959,,,                 32721,,                 20402,,                  1865,                 54988,                 72971,,,,                 65266,,                 -5858,,                     76,                     76,,                  8944,                 68276,                141247,,                 14603,                126644,                126644,,,,,,,,,                -30420,                 96224,,                126644,,                 96224,,                              0.27,,                              0.27,,,,,                 -7982,                 -4795,,,                -19508,,,,                  1865,,,,,
1308,2013年第2季,,              1349596,,              1264712,                 84884,                 84884,,,                 29858,,                 19768,,                  1904,                 51530,                 33354,,,                114959,                114959,,                  8756,,                     37,                     37,,                 17789,                141467,                174821,,                 16764,                158057,                158057,,,,,,,,,               -190114,                -32057,,                158057,,                -32057,,                              0.34,,                              0.34,,              1349596,,              1264712,                  2938,               -220910,,,                 28417,                    559,                              0.34,                              0.34,,,,,,
1308,2013年度,,              5804229,,              5312870,                491359,                491359,,,                119256,,                 85122,,                  7724,                212102,                279257,,,,                221093,,                 39295,,                    238,                    238,,                 66550,                326700,                605957,,                 69102,                536855,                536855,,,,,,,,,               -340879,                195976,,                536855,,                195976,,                              1.14,,                              1.14,,              5804229,,              5312870,                 15519,               -389177,                 -4568,,                 37671,                    324,                              1.14,                              1.14,,,,,,
1308,2013年07月01日至2013年09月30日,,              1548361,,              1420402,                127959,                127959,,,                 32721,,                 20402,,                  1865,                 54988,                 72971,,,                 65266,                 65266,,                 -5858,,                     76,                     76,,                  8944,                 68276,                141247,,                 14603,                126644,                126644,,,,,,,,,                -30420,                 96224,,                126644,,                 96224,,                              0.27,,                              0.27,,              1548361,,              1420402,                -13303,                -18982,,,,                 -1865,                              0.27,                              0.27,,,,,              1548361,              1420402
