證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 賠償損失,　　　 什項支出,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 不動產、廠房及設備減損損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
2325,2015年第3季,,             20029703,,             15090116,              4939587,                              0,              4939587,,,                243652,,                801151,,                965931,              2010734,              2928853,,,,                 36684,                  6030,                 25793,                 68507,,                    834,                              0,                              0,                477909,                222927,                  9948,                 35291,,                 16769,                193808,,                136900,,                 -3537,                121878,              3050731,,                368427,              2682304,              2682304,,,                258970,             -1655007,                -30363,             -1365674,             -1365674,              1316630,,              2682304,                              0,,              1316630,                              0,,                              0.86,,                              0.86,,,,,,,,,,,
2325,2015年第2季,,             21240037,,             15459056,              5780981,                              0,              5780981,,,                259626,,                941586,,                984176,              2185388,              3595593,,,,                 37543,                333011,                 27257,                397811,,                  4831,                              0,                              0,                558870,,                 74316,                  2184,,                  5639,                481562,,                133455,,                 -9093,                736825,              4332418,,                654928,              3677490,              3677490,,,                -97201,             -1364486,                -20610,             -1441077,             -1441077,              2236413,,              3677490,                              0,,              2236413,                              0,,                              1.18,,                              0.93,                  5639,,,,,,,,,,
2325,2015年第1季,,             20805242,,             15358793,              5446449,                              0,              5446449,,,                248448,,                819976,,                908788,              1977212,              3469237,,,,                 42272,                  8367,                 44791,                 95430,,                 28234,,                              0,,,                 37546,                 29208,,                 18320,               -372038,,                156907,,                -21570,               -455085,              3014152,,                399652,              2614500,              2614500,,,               -151472,                471451,                  6064,                313915,                313915,              2928415,,              2614500,                              0,,              2928415,                              0,,                              0.84,,                              0.83,                 18320,                315198,,,,,,,,,
2325,2015年01月01日至2015年09月30日,,             62074982,,             45907965,             16167017,                              0,             16167017,,,                751726,,              2562713,,              2858895,              6173334,              9993683,,,,                116499,                347408,                 97841,                561748,,                 33899,                              0,                              0,                721581,                334149,                 10588,                 66683,,                 40728,                303332,,                427262,,                -34200,                403618,             10397301,,              1423007,              8974294,              8974294,,,                 10297,             -2548042,                -44909,             -2492836,             -2492836,              6481458,,              8974294,                              0,,              6481458,                              0,,                              2.88,,                              2.63,,,,,,,,,,,
2325,2015年01月01日至2015年06月30日,,             42045279,,             30817849,             11227430,                              0,             11227430,,,                508074,,              1761562,,              1892964,              4162600,              7064830,,,,                 79815,                341378,                 72048,                493241,,                 33065,                              0,                              0,                243672,,                111862,                 31392,,                 23959,                109524,,                290362,,                -30663,                281740,              7346570,,              1054580,              6291990,              6291990,,,               -248673,               -893035,                -14546,             -1127162,             -1127162,              5164828,,              6291990,                              0,,              5164828,                              0,,                              2.02,,                              1.76,                 23959,,,,,,,,,,
2325,2014年第3季,,             21652107,,             16100965,              5551142,                              0,              5551142,,,                250950,,                708279,,                964576,              1923805,              3627337,,,,                 32738,                  5400,                 34158,                 72296,,                 50286,                635917,                216273,                              0,                 29627,                 20356,                              0,,                462343,                390150,,                 90838,,                -30601,                341007,              3968344,,                708168,              3260176,              3260176,,,                180012,             -1419352,               -120186,             -1119154,             -1119154,              2141022,,              3260176,                              0,,              2141022,                              0,,                              1.05,,                              1.04,,,,,,,,,,,
2325,2014年第2季,,             21928049,,             16258893,              5669156,                 -1938,              5667218,,,                229888,,                642151,,                852576,              1724615,              3942603,,,,                 38075,                205231,                 -7371,                235935,,                 66223,                              0,                              0,                              0,,                 18883,                  5214,,                 26123,                 16003,,                 88702,,                -44366,                118870,              4061473,,                686838,              3374635,              3374635,,,               -191223,              2691622,                 17348,              2483051,              2483051,              5857686,,              3374635,                              0,,              5857686,                              0,,                              1.08,,                              1.08,                 26123,,,,,,,,,,
2325,2014年第1季,,             18060370,,             14065444,              3994926,                  1938,              3996864,,,                209592,,                558248,,                833703,              1601543,              2395321,,,,                 39330,                 12604,                 84632,                136566,,                155464,,                 16412,,,                 14722,                              0,,                 11275,                145879,,                 87894,,                -35298,                159253,              2554574,,                460241,              2094333,              2094333,,,                125062,              1153417,                 39261,              1239218,              1239218,              3333551,,              2094333,                              0,,              3333551,                              0,,                              0.67,,                              0.67,                 11275,                              0,,,,,,,,,
2325,2014年度,,             83071441,,             62090060,             20981381,                              0,             20981381,,,                938522,,              2606970,,              3627958,              7173450,             13807931,,,,                155804,                223235,                185565,                564604,,                287947,                639103,                483325,,                              0,                125539,,,                506107,                457496,,                403468,,               -171591,                447041,             14254972,,              2523770,             11731202,             11731202,,,,,,,              3520940,             15252142,,             11731202,,,             15252142,,,                              3.76,,                              3.74,,                321233,                555285,              2948369,                -41749,                -59035,,,,,
2325,2014年01月01日至2014年09月30日,,             61640526,,             46425302,             15215224,                              0,             15215224,,,                690430,,              1908678,,              2650855,              5249963,              9965261,,,,                110143,                223235,                111419,                444797,,                271973,                639103,                227471,                              0,                 66203,                 20571,                              0,,                499741,                552032,,                267434,,               -110265,                619130,             10584391,,              1855247,              8729144,              8729144,,,                113851,              2425687,                -63577,              2603115,              2603115,             11332259,,              8729144,                              0,,             11332259,                              0,,                              2.80,,                              2.78,,,,,,,,,,,
