證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　 停業單位損益,　　 停業單位損益合計,　　 非控制權益（淨利／損）,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　 未實現銷貨（損）益
4935,2015年第3季,,,,              1994369,                 27187,              1967182,,,                  6746,                  6746,              1973928,,              1479414,                494514,                494514,,,                 62622,,                 90230,,                 44657,                197509,                297005,,,,                  5847,                  1969,                  7816,,                     49,                 52156,                              0,                 52205,,                  2625,                  2625,,                  5184,                 62580,                359585,,                 38305,                321280,                321280,,,                365175,                365175,,               -239271,               -239271,                125904,                447184,,                321280,,                447184,,                              2.48,,                              2.46,,,,,,,,,,,,,,,,,,
4935,2015年第2季,,,,              1766370,                 29314,              1737056,,,                  6432,                  6432,              1743488,,              1348478,                395010,                395010,,,                 58295,,                 76597,,                 41657,                176549,                218461,,,,                  5477,                  1377,                  6854,,                              0,,                              0,                 -8831,,                  1845,                  1845,,                    877,                 -2945,                215516,,                 59650,                155866,                155866,,,,,,                -37298,                -37298,                -37298,                118568,,                155866,,                118568,,                              1.20,,                              1.19,                      1,                  8830,,,,,,,,,,,,,,,,
4935,2015年01月01日至2015年09月30日,,,,              5320159,                 67827,              5252332,,,                 18551,                 18551,              5270883,,              4042770,              1228113,              1228113,,,                175926,,                241267,,                127667,                544860,                683253,,,,                 15569,                  4730,                 20299,,                    115,                 40432,                              0,                 40547,,                  5921,                  5921,,                  8806,                 63731,                746984,,                126393,                620591,                620591,,,                221221,                221221,,               -181457,               -181457,                 39764,                660355,,                620591,,                660355,,                              4.79,,                              4.72,,,,,,,,,,,,,,,,,,
4935,2015年01月01日至2015年06月30日,,,,              3325790,                 40640,              3285150,,,                 11805,                 11805,              3296955,,              2563356,                733599,                733599,,,                113304,,                151037,,                 83010,                347351,                386248,,,,                  9722,                  2761,                 12483,,                     66,,                              0,                -11658,,                  3296,                  3296,,                  3622,                  1151,                387399,,                 88088,                299311,                299311,,,,,,                -86140,                -86140,                -86140,                213171,,                299311,,                213171,,                              2.31,,                              2.28,                              0,                 11724,,,,,,,,,,,,,,,,
4935,2015年01月01日至2015年03月31日,,,,,,,,,,,              1553467,,              1214878,                338589,                338589,,,                 55009,,                 74440,,                 41353,                170802,                167787,,,,,,                  5629,,,,,                 -2827,,,                  1451,,                  2745,                  4096,                171883,,                 28438,                143445,                143445,,,,,,                -48842,                -48842,                -48842,                 94603,,                143445,,                 94603,,                              1.11,,                              1.10,,,,,,,,,,,,,,,,,,
4935,2014年第3季,,,,              1685867,                 17437,              1668430,,,                  8807,                  8807,              1677237,,              1307516,                369721,                369721,,,                 59130,,                 76184,,                 44439,                179753,                189968,,,,                  3594,                  1798,                  5392,,                     18,                  7232,                     -1,                  7251,,                  1610,                  1610,,                  7264,                 18297,                208265,,                 29144,                179121,                179121,,,                 96051,                 96051,,                -33611,                -33611,                 62440,                241561,,                179121,,                241561,,                              1.39,,                              1.37,,,,,,,,,,,,,,,,,,
4935,2014年第2季,,,,              1471239,                 14698,              1456541,,,                  7025,                  7025,              1463566,,              1156705,                306861,                306861,,,                 65995,,                 72581,,                 45920,                184496,                122365,,,,                  4187,                  3572,                  7759,,                     25,,                              0,                 -8680,,                  2129,                  2129,,                  2400,                   -650,                121715,,                 16841,                104874,                104874,,,,,,                -66597,                -66597,                -66597,                 38277,,                104874,,                 38277,,                              0.81,,                              0.81,                              0,                  8705,,,,,,,,,,,,,,,,
4935,2014年度,,,,,,,,,,,              6241573,,              4907707,              1333866,              1333866,,,                262414,,                301845,,                177980,                742239,                591627,,,,                 14892,                 12383,                 27275,,,,,                 30889,,                  7145,                  7145,,                 15655,                 66674,                658301,,                 75864,                582437,                582437,,,,,,,,                200476,                782913,,                582437,,                782913,,                              4.52,,                              4.47,,,                201890,                 -1704,                   -290,,,,,,,,,,,,,
4935,2014年01月01日至2014年09月30日,,,,              4467925,                 45078,              4422847,,,                 24399,                 24399,              4447246,,              3469720,                977526,                977526,,,                190008,,                223043,,                134421,                547472,                430054,,,,                 11594,                  9444,                 21038,,                  3015,                  5206,                     66,                  8155,,                  5477,                  5477,,                 13435,                 37151,                467205,,                 43259,                423946,                423946,,,                103833,                103833,,                -60229,                -60229,                 43604,                467550,,                423946,,                467550,,                              3.29,,                              3.25,,,,,,,,,,,,,,,,,,
4935,2014年01月01日至2014年06月30日,,,,              2782058,                 27641,              2754417,,,                 15592,                 15592,              2770009,,              2162204,                607805,                607805,,,                130878,,                146859,,                 89982,                367719,                240086,,,,                  8000,                  7646,                 15646,,                  2997,,                     67,                    904,,                  3867,                  3867,,                  6171,                 18854,                258940,,                 14115,                244825,                244825,,,,,,                -18836,                -18836,                -18836,                225989,,                244825,,                225989,,                              1.90,,                              1.88,                              0,                  2026,,,,,,,,,,,,,,,,
