證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換利益,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　 財務成本,　　　 財務成本淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2616,2013年第3季,,              5099600,,,              4795226,              4795226,              4795226,                304374,                304374,,,                 89859,,                142816,                232675,                 71699,,,                 29922,                 12039,                 41961,,                   -335,                  2535,                 -8175,                 33786,                105485,,                 19944,                 85541,                 85541,,,,,,,                  3703,                 89244,,                 83044,                  2497,,                 88096,                  1148,,                              0.74,,                              0.74,,                  5305,,,,,                 -3372,                  8030,,                    955
2616,2013年第2季,,              4752389,,,              4454255,              4454255,              4454255,                298134,                298134,,,                 88431,,                143047,                231478,                 66656,,,,                 10041,                 10041,,                  6495,                  4062,                  3335,                 13376,                 80032,,                 25731,                 54301,                 54301,,,,,,,                 12769,                 67070,,                 52390,                  1911,,                 63217,                  3853,,                              0.47,,                              0.47,                    902,,,,,,                  5826,                  8735,,                  1792
2616,2013年度,,             19815500,,,             18623319,             18623319,             18623319,              1192181,              1192181,,,                354687,,                580546,                935233,                256948,,,                 29922,                 53802,                 83724,,                  5398,                 11308,                 -8451,                 73291,                330239,,                 70870,                259369,                259369,,,,,,,                108237,                367606,,                248980,                 10389,,                350574,                 17032,,                              2.23,,                              2.22,,                  2541,,,,                  1982,                 16842,                110514,                 -4914,                 14205
2616,2013年07月01日至2013年09月30日,,              5099600,,,              4795226,              4795226,              4795226,                304374,                304374,,,                 89859,,                142816,                232675,                 71699,,,                 29922,                 12039,                 41961,,                   -335,                  2535,                 -8175,                 33786,                105485,,                 19944,                 85541,                 85541,,,,,,,                  3703,                 89244,,                 83044,                  2497,,                 88096,                  1148,,                              0.74,,                              0.74,,                  5305,,,,,                 -3372,                  8030,,                    955
2616,2013年04月01日至2013年06月30日,,              4752389,,,              4454255,              4454255,              4454255,                298134,                298134,,,                 88431,,                143047,                231478,                 66656,,,,                 10041,                 10041,,                  6495,                  4062,                  3335,                 13376,                 80032,,                 25731,                 54301,                 54301,,,,,,,                 12769,                 67070,,                 52390,                  1911,,                 63217,                  3853,,                              0.47,,                              0.47,                    902,,,,,,                  5826,                  8735,,                  1792
2616,2013年01月01日至2013年12月31日,,             19815500,,,             18623319,             18623319,             18623319,              1192181,              1192181,,,                354687,,                580546,                935233,                256948,,,                 29922,                 53802,                 83724,,                  5061,                 10971,                 -8451,                 73291,                330239,,                 70870,                259369,                259369,,,,,,,                108237,                367606,,                248980,                 10389,,                350574,                 17032,,                              2.23,,                              2.22,,                  2541,,,,                  1982,                 16842,                110514,                 -4914,                 14205
2616,2013年01月01日至2013年09月30日,,             14600721,,,             13700814,             13700814,             13700814,                899907,                899907,,,                268691,,                434710,                703401,                196506,,,                 29922,                 36255,                 66177,,                  8470,                  9603,                 -4084,                 62093,                258599,,                 59462,                199137,                199137,,,,,,,                 65972,                265109,,                191558,                  7579,,                253531,                 11578,,                              1.72,,                              1.70,,                  2951,,,,,                 10970,                 62143,,                  7141
2616,2013年01月01日至2013年06月30日,,              9501121,,,              8905588,              8905588,              8905588,                595533,                595533,,,                178832,,                291894,                470726,                124807,,,,                 24216,                 24216,,                  8805,                  7068,                  4091,                 28307,                153114,,                 39518,                113596,                113596,,,,,,,                 62269,                175865,,                108514,                  5082,,                165435,                 10430,,                              0.97,,                              0.97,                  2354,,,,,,                 14342,                 54113,,                  6186
2616,2013年01月01日至2013年03月31日,,              4748732,,,              4451333,              4451333,              4451333,                297399,                297399,,,                 90401,,                148847,                239248,                 58151,,,,                 14175,                 14175,,                  2310,                  3006,                    756,                 14931,                 73082,,                 13787,                 59295,                 59295,,,,,,,                 49500,                108795,,                 56124,                  3171,,                102218,                  6577,,                              0.50,,                              0.50,,,,                 -1452,,,                  8516,                 45378,,                  4394
2616,2012年07月01日至2012年09月30日,,              4943216,,,              4630059,              4630059,              4630059,                313157,                313157,,,                 86973,,                140672,                227645,                 85512,,,                 12969,                 10456,                 23425,,                  1771,                  2379,                     93,                 23518,                109030,,                 18656,                 90374,                 90374,,,,,,,                 11933,                102307,,                 87668,                  2706,,                100504,                  1803,,                              0.79,,                              0.78,,                   -701,,,,,                 -2674,                 16036,,                  1429
2616,2012年04月01日至2012年06月30日,,              4717115,,,              4402770,              4402770,              4402770,                314345,                314345,,,                 85011,,                139428,                224439,                 89906,,,,                 10150,                 10150,,                  2753,                  2590,                     70,                 10220,                100126,,                  1652,                 98474,                 98474,,,,,,,                -17076,                 81398,,                 96186,                  2288,,                 78750,                  2648,,                              0.86,,                              0.85,                    -93,,,,,,                    618,                -18350,,                   -656
2616,2012年01月01日至2012年12月31日,,             18929425,,,             17729221,             17729221,             17729221,              1200204,              1200204,,,                351259,,                566459,                917718,                282486,,,                 12969,                 41047,                 54016,,                  5149,                 12813,                 -8384,                 43770,                326256,,                 43979,                282277,                282277,,,,,,,                 -7273,                275004,,                270494,                 11783,,                266299,                  8705,,                              2.42,,                              2.41,,                    720,,,,                  1862,                 -8573,                 23002,                -23752,                 -2050
2616,2012年01月01日至2012年09月30日,,             13972024,,,             13066128,             13066128,             13066128,                905896,                905896,,,                259627,,                413434,                673061,                232835,,,                 12969,                 30283,                 43252,,                  4354,                  8347,                 -3588,                 39664,                272499,,                 31814,                240685,                240685,,,,,,,                 15326,                256011,,                233221,                  7464,,                251610,                  4401,,                              2.09,,                              2.08,,                   -405,,,,,                 -8355,                 23928,,                    247
2616,2012年01月01日至2012年06月30日,,              9028808,,,              8436069,              8436069,              8436069,                592739,                592739,,,                172654,,                272762,                445416,                147323,,,,                 19827,                 19827,,                  2583,                  5968,                 -3681,                 16146,                163469,,                 13158,                150311,                150311,,,,,,,                  3393,                153704,,                145553,                  4758,,                151106,                  2598,,                              1.30,,                              1.29,                   -296,,,,,,                 -5681,                  7892,,                 -1182
2616,2012年01月01日至2012年03月31日,,              4311693,,,              4033299,              4033299,              4033299,                278394,                278394,,,                 87643,,                133334,                220977,                 57417,,,,                  9677,                  9677,,                    -75,                  3473,                 -3751,                  5926,                 63343,,                 11506,                 51837,                 51837,,,,,,,                 20469,                 72306,,                 49367,                  2470,,                 72356,                    -50,,                              0.44,,                              0.44,,,,                    203,,,                 -6299,                 26242,,                   -526
