證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 現金流量避險
2481,2015年第3季,,              3221549,,              2551905,                669644,                669644,,,                168034,,                196824,,                112461,                477319,                192325,,,                376147,,               -185790,,                 72165,,                   -244,                117948,                310273,,                157329,                152944,                152944,,,                312815,                -58990,                 30898,                222927,                222927,                375871,,                190843,                -37899,,                305885,                 69986,,                              0.49,,                              0.48,,,,,,,
2481,2015年第2季,,              4486905,,              3681716,                805189,                805189,,,                189313,,                250840,,                150924,                591077,                214112,,,                 25875,,                -20401,,                100808,,                              0,                -95334,                118778,,                 58018,                 60760,                 60760,,,                -93346,                -12936,                -10546,                -95736,                -95736,                -34976,,                 77451,                -16691,,                 27964,                -62940,,                              0.20,,                              0.18,,,,,,,
2481,2015年01月01日至2015年09月30日,,             11557846,,              9368228,              2189618,              2189618,,,                523158,,                693232,,                396614,              1613004,                576614,,,                413704,,               -226132,,                273147,,                   -244,                -85819,                490795,,                282762,                208033,                208033,,,                 48000,                -86569,                 -5108,                -33461,                -33461,                174572,,                336076,               -128043,,                287242,               -112670,,                              0.87,,                              0.83,,,,,,,
2481,2015年01月01日至2015年06月30日,,              8336297,,              6816323,              1519974,              1519974,,,                355124,,                496408,,                284153,              1135685,                384289,,,                 37557,,                -40342,,                200982,,                              0,               -203767,                180522,,                125433,                 55089,                 55089,,,               -264815,                -27579,                -36006,               -256388,               -256388,               -201299,,                145233,                -90144,,                -18643,               -182656,,                              0.38,,                              0.35,,,,,,,
2481,2015年01月01日至2015年03月31日,,              3849392,,              3134607,                714785,                714785,,,                165811,,                245568,,                133229,                544608,                170177,,,                 10892,,                -19151,,                100174,,                              0,               -108433,                 61744,,                 67415,                 -5671,                 -5671,,,               -171469,                -14643,                -25460,               -160652,               -160652,               -166323,,                 67782,                -73453,,                -46607,               -119716,,                              0.18,,                              0.17,,,,,,,
2481,2014年第3季,,              4427178,,              3588109,                839069,                839069,,,                200324,,                275472,,                113302,                589098,                249971,,,                 28096,,                  3840,,                121448,,                    258,                -89254,                160717,,                 84536,                 76181,                 76181,,,                 54186,                 -6578,                  9305,                 38303,                 38303,                114484,,                 93933,                -17752,,                124508,                -10024,,                              0.25,,                              0.23,,,,,,,
2481,2014年第2季,,              4828860,,              3903379,                925481,                925481,,,                191674,,                254029,,                110709,                556412,                369069,,,                 24512,,               -157820,,                122701,,                   -491,               -256500,                112569,,                 68033,                 44536,                 44536,,,                -92867,                -21367,                -13982,               -100252,               -100252,                -55716,,                 16539,                 27997,,                -69113,                 13397,,                              0.04,,                              0.04,,,,,,,
2481,2014年度,,             17330551,,             14172908,              3157643,              3157643,,,                700031,,              1082204,,                438318,              2220553,                937090,,,                133625,,               -340700,,                467138,,                 -1957,               -676170,                260920,,                270922,                -10002,                -10002,,,,,,,                 13741,                  3739,,                107118,               -117120,,                132180,               -128441,,                              0.28,,                              0.28,                 24959,                 -8793,                  6963,                  9388,,,
2481,2014年01月01日至2014年09月30日,,             13043397,,             10627537,              2415860,              2415860,,,                543145,,                796250,,                307802,              1647197,                768663,,,                 77473,,               -161151,,                365333,,                    968,               -448043,                320620,,                190658,                129962,                129962,,,                -60690,                  2561,                 -6964,                -51165,                -51165,                 78797,,                182820,                -52858,,                146134,                -67337,,                              0.48,,                              0.46,,,,,,,
2481,2014年01月01日至2014年06月30日,,              8616219,,              7039428,              1576791,              1576791,,,                342821,,                520778,,                194500,              1058099,                518692,,,                 51019,,               -166633,,                243885,,                    710,               -358789,                159903,,                106122,                 53781,                 53781,,,               -114876,                  9139,                -16269,                -89468,                -89468,                -35687,,                 88887,                -35106,,                 21626,                -57313,,                              0.24,,                              0.23,,,,,,,
