證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額
2911,2015年第3季,,              2123915,,              1117965,              1005950,              1005950,,,                822631,,                225117,              1047748,                -41798,,,                 38431,,                 18908,,                 10625,,                 -8028,                 38686,                 -3112,,                  2995,                 -6107,                 -6107,,,                102078,                   -470,,                 -3739,                 16610,                 81259,                 81259,                 75152,,                 -4615,                 -1492,,                 76210,                 -1058,,                             -0.02,                             -0.02,,,,,,,,,,,
2911,2015年第2季,,              1986126,,              1028875,                957251,                957251,,,                881909,,                215970,              1097879,               -140628,,,                 30991,,                -18026,,                 12215,,                -11060,                -10310,               -150938,,                -47697,               -103241,               -103241,,,                -44193,                   -102,,                   -608,                 -7221,                -37682,                -37682,               -140923,,               -108503,                  5262,,               -143927,                  3004,,                             -0.51,                             -0.51,,,,,,,,,,,
2911,2015年01月01日至2015年09月30日,,              6670278,,              3441284,              3228994,              3228994,,,              2695185,,                655762,              3350947,               -121953,,,                 95445,,                 -8837,,                 37806,,                -22486,                 26316,                -95637,,                -21106,                -74531,                -74531,,,                 30882,                   -546,,                 -4789,                  4795,                 20752,                 20752,                -53779,,                -81578,                  7047,,                -58627,                  4848,,                             -0.39,                             -0.39,,,,,,,,,,,
2911,2015年01月01日至2015年06月30日,,              4546363,,              2323319,              2223044,              2223044,,,              1872554,,                430645,              2303199,                -80155,,,                 57014,,                -27745,,                 27181,,                -14458,                -12370,                -92525,,                -24101,                -68424,                -68424,,,                -71196,                    -76,,                 -1050,                -11815,                -60507,                -60507,               -128931,,                -76963,                  8539,,               -134837,                  5906,,                             -0.36,                             -0.36,,,,,,,,,,,
2911,2015年01月01日至2015年03月31日,,              2560237,,              1294444,              1265793,              1265793,,,                990645,,                214675,              1205320,                 60473,,,                 26023,,                 -9719,,                 14966,,                 -3398,                 -2060,                 58413,,                 23596,                 34817,                 34817,,,                -27003,                     26,,                   -442,                 -4594,                -22825,                -22825,                 11992,,                 31540,                  3277,,                  9090,                  2902,,                              0.15,                              0.15,,                              0.14,                              0.14,,,,,,,,
2911,2014年第3季,,              2246751,,              1166420,              1080331,              1080331,,,                876249,,                197123,              1073372,                  6959,,,                 20513,,                -23230,,                 14239,,                 -3561,                -20517,                -13558,,                  6610,                -20168,                -20168,,,                 74162,                      7,,                    832,                 11467,                 63534,                 63534,                 43366,,                -20742,                    574,,                 35367,                  7999,,                             -0.10,                             -0.10,,,,,,,,,,,
2911,2014年第2季,,              1903549,,                972534,                931015,                931015,,,                879030,,                205414,              1084444,               -153429,,,                 16103,,                 -7385,,                 14438,,                 -6675,                -12395,               -165824,,                -58741,               -107083,               -107083,,,                -52322,                    -51,,                   -792,                 -8744,                -44421,                -44421,               -151504,,               -107670,                    587,,               -150496,                 -1008,,                             -0.51,                             -0.51,,,,,,,,,,,
2911,2014年度,,              9329927,,              4741060,              4588867,              4588867,,,              3851349,,                821024,              4672373,                -83506,,,                 83143,,                -68756,,                 60976,,                -12433,                -59022,               -142528,,                -48264,                -94264,                -94264,,,,,,,,,                116863,                 22599,,               -105293,                 11029,,                  8361,                 14238,,                             -0.50,                             -0.50,,,,                109821,                   -525,                 30889,,                     48,                 23370,,
2911,2014年01月01日至2014年09月30日,,              6560918,,              3408725,              3152193,              3152193,,,              2766322,,                599843,              3366165,               -213972,,,                 50883,,                -55929,,                 44600,,                -12419,                -62065,               -276037,,                -98867,               -177170,               -177170,,,                 19630,                   -288,,                     27,                  3084,                 16285,                 16285,               -160885,,               -182638,                  5468,,               -167844,                  6959,,                             -0.86,                             -0.86,,,,,,,,,,,
2911,2014年01月01日至2014年06月30日,,              4314167,,              2242305,              2071862,              2071862,,,              1890073,,                402720,              2292793,               -220931,,,                 30370,,                -32699,,                 30361,,                 -8858,                -41548,               -262479,,               -105477,               -157002,               -157002,,,                -48358,                   -295,,                   -805,                 -8383,                -41075,                -41075,               -198077,,               -161896,                  4894,,               -203211,                  5134,,                             -0.77,                             -0.77,,,,,,,,,,,
