證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　 稀釋停業單位淨利（淨損）
6505,2015年第3季,,            140207369,,            133024157,              7183212,              7183212,,,              1338604,,                925799,,                 48065,              2312468,              4870744,,,              2132512,,              3372768,,                521932,,                497340,              5480688,             10351432,,              1384706,              8966726,              8966726,,,                 23958,             -9356710,                -65648,,              1147139,                -11161,             -8240100,             -8240100,                726626,,              8965211,                  1515,,                725102,                  1524,,                              0.94,                              0.94,,,,,,,,,,,,,,,,
6505,2015年第2季,,            183975641,,            153271914,             30703727,             30703727,,,              1533612,,                874018,,                 40098,              2447728,             28255999,,,                847666,,                 59286,,                582292,,                433490,                758150,             29014149,,              4322299,             24691850,             24691850,,,                 -3986,             -9773981,                 -2963,,               -479773,                   -504,            -10260199,            -10260199,             14431651,,             24690615,                  1235,,             14430407,                  1244,,                              2.59,                              2.59,,,,,,,,,,,,,,,,
6505,2015年01月01日至2015年09月30日,,            479217566,,            437736314,             41481252,             41481252,,,              4315319,,              2672708,,                122950,              7110977,             34370275,,,              3667957,,              3092711,,              1761369,,              1297340,              6296639,             40666914,,              5885411,             34781503,             34781503,,,                 16163,            -18396203,                100912,,                565702,                 17155,            -17730581,            -17730581,             17050922,,             34777773,                  3730,,             17047164,                  3758,,                              3.65,                              3.65,,,,,,,,,,,,,,,,
6505,2015年01月01日至2015年06月30日,,            339010197,,            304712157,             34298040,             34298040,,,              2976715,,              1746909,,                 74885,              4798509,             29499531,,,              1535445,,               -280057,,              1239437,,                800000,                815951,             30315482,,              4500705,             25814777,             25814777,,,                 -7795,             -9039493,                166560,,               -581437,                 28316,             -9490481,             -9490481,             16324296,,             25812562,                  2215,,             16322062,                  2234,,                              2.71,                              2.71,,,,,,,,,,,,,,,,
6505,2015年01月01日至2015年03月31日,,            155034556,,            151440243,              3594313,              3594313,,,              1443103,,                872891,,                 34787,              2350781,              1243532,,,                687779,,               -339343,,                657145,,                366510,                 57801,              1301333,,                178406,              1122927,              1122927,,,                 -3809,                734488,                169523,,               -101664,                 28820,                769718,                769718,              1892645,,              1121947,                    980,,              1891655,                    990,,                              0.12,                              0.12,,,,,,,,,,,,,,,,
6505,2014年第3季,,            236129988,,            229150403,              6979585,              6979585,,,              1438196,,                917711,,                 44549,              2400456,              4579129,,,              1657983,,              1722379,,                739137,,                665540,              3306765,              7885894,,              1074828,              6811066,              6811066,,,                  8856,             -8280631,                -13175,,                184721,                 -2240,             -8097989,             -8097989,             -1286923,,              6810682,                    384,,             -1287307,                    384,,                              0.72,                              0.72,,,,,,,,,,,,,,,,
6505,2014年第2季,,            219563722,,            211150832,              8412890,              8412890,,,              1373507,,                998929,,                 36520,              2408956,              6003934,,,                920577,,               -697158,,                748149,,                194060,               -330670,              5673264,,               -803732,              6476996,              6476996,,,                -10066,             15488732,                -13603,,                -94140,                 -2312,             15373235,             15373235,             21850231,,              6476610,                    386,,             21849836,                    395,,                              0.68,                              0.68,,,,,,,,,,,,,,,,
6505,2014年度,,            913085277,,            903507025,              9578252,              9578252,,,              5596779,,              3981083,,                174911,              9752773,               -174521,,,              4095666,,              6329914,,              2922684,,              1771164,              9274060,              9099539,,                 29962,              9069577,              9069577,,,,,,,,,,             13921463,             22991040,,              9065576,                  4001,,             22987003,                  4037,,                              0.95,                              0.95,                 21602,             12544200,                -21627,,              1373611,                 -3677,,,,,,,,,,
6505,2014年01月01日至2014年09月30日,,            719056827,,            693240739,             25816088,             25816088,,,              4249956,,              2974400,,                121367,              7345723,             18470365,,,              3299145,,              3129089,,              2188395,,              1291294,              5531133,             24001498,,              1930765,             22070733,             22070733,,,                  8246,              5465554,                -15930,,                399996,                 -2708,              5860574,              5860574,             27931307,,             22069410,                  1323,,             27929966,                  1341,,                              2.32,                              2.32,,,,,,,,,,,,,,,,
6505,2014年01月01日至2014年06月30日,,            482926839,,            464090336,             18836503,             18836503,,,              2811760,,              2056689,,                 76818,              4945267,             13891236,,,              1641162,,              1406710,,              1449258,,                625754,              2224368,             16115604,,                855937,             15259667,             15259667,,,                   -610,             13746185,                 -2755,,                215275,                   -468,             13958563,             13958563,             29218230,,             15258728,                    939,,             29217273,                    957,,                              1.60,                              1.60,,,,,,,,,,,,,,,,
6505,2014年01月01日至2014年03月31日,,            263363117,,            252939504,             10423613,             10423613,,,              1438253,,              1057760,,                 40298,              2536311,              7887302,,,                720585,,              2103868,,                701109,,                431694,              2555038,             10442340,,              1659669,              8782671,              8782671,,,                  9456,             -1742547,                 10848,,                309415,                  1844,             -1414672,             -1414672,              7367999,,              8782118,                    553,,              7367437,                    562,,                              0.92,                              0.92,,,,,,,,,,,,,,,,
6505,2013年第3季,,            235787805,,            221917404,             13870401,             13870401,,,              1396112,,                886805,,                 34841,              2317758,             11552643,,,              1030273,,               -729811,,                851281,,                721104,                170285,             11722928,,              1767807,              9955121,              9955121,,,,,,,,,,             -4216001,              5739120,,              9954843,                    278,,              5738831,                    289,,                              1.04,                              1.04,                 -8809,             -3911376,                -18192,,               -280717,                 -3093,,,,,,,,,,
6505,2013年第2季,,            200481652,,            200600481,               -118829,               -118829,,,              1300166,,                980059,,                 35697,              2315922,             -2434751,,,              1227823,,              1666995,,                862520,,                435252,              2467550,                 32799,,               -552591,                585390,                585390,,,,,,,,,,              9259208,              9844598,,                584994,                    396,,              9844191,                    407,,                              0.06,                              0.06,                  4817,              9432727,                 37293,,               -209289,                  6340,,,,,,,,,,
6505,2013年度,,            931333890,,            898078442,             33255448,             33255448,,,              5568457,,              4077306,,                156453,              9802216,             23453232,,,              3900657,,              4851896,,              3324671,,              2134760,              7562642,             31015874,,              4156573,             26859301,             26859301,,,,,,,,,,              9617350,             36476651,,             26858263,                  1038,,             36475571,                  1080,,                              2.82,                              2.82,                 16191,              9193855,                 70560,,                348739,                 11995,,,,,,,,,,
6505,2013年07月01日至2013年09月30日,,            235787805,,            221917404,             13870401,             13870401,,,              1396112,,                886805,,                 34841,              2317758,             11552643,,,              1030273,,               -729811,,                851281,,                721104,                170285,             11722928,,              1767807,              9955121,              9955121,,,,,,,,,,             -4216001,              5739120,,              9954843,                    278,,              5738831,                    289,,                              1.04,                              1.04,                 -8809,             -3911376,                -18192,,               -280717,                 -3093,,,,,,,,,,
6505,2013年04月01日至2013年06月30日,,            200481652,,            200600481,               -118829,               -118829,,,              1300166,,                980059,,                 35697,              2315922,             -2434751,,,              1227823,,              1666995,,                862520,,                435252,              2467550,                 32799,,               -552591,                585390,                585390,,,,,,,,,,              9259208,              9844598,,                584994,                    396,,              9844191,                    407,,                              0.06,                              0.06,                  4817,              9432727,                 37293,,               -209289,                  6340,,                              0.06,                              0.00,                              0.06,,,,,,
6505,2013年01月01日至2013年12月31日,,            931333890,,            898078442,             33255448,             33255448,,,              5568457,,              4077306,,                156453,              9802216,             23453232,,,              3900657,,              4851896,,              3324671,,              2134760,              7562642,             31015874,,              4156573,             26859301,             26859301,,,,,,,,,,              9617350,             36476651,,             26858263,                  1038,,             36475571,                  1080,,                              2.82,                              2.82,                 16191,              9193855,                 70560,,                348739,                 11995,,,,,,,,,,
6505,2013年01月01日至2013年09月30日,,            684086864,,            658958963,             25127901,             25127901,,,              4134220,,              2899187,,                112002,              7145409,             17982492,,,              3140239,,              3272684,,              2595994,,              1403467,              5220396,             23202888,,              3075088,             20127800,             20127800,,,,,,,,,,              9252186,             29379986,,             20127420,                    380,,             29379573,                    413,,                              2.11,                              2.11,                 11242,              8931257,                 73402,,                248763,                 12478,,,,,,,,,,
