證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 薪資支出,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 當期所得稅費用（利益）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）
4916,2015年第3季,,,                363302,                363302,,,                305356,                305356,                 57946,                 57946,,,                 13925,,                 21558,,                  9255,                 44738,                 13208,,,                  1947,,                 15074,,                  2507,,                    110,                 14624,                 27832,,                  8534,                 19298,                 19298,,,                 34061,,                   -183,                 33878,                 33878,                 53176,,                 19298,,                 53176,,                              0.28,,                              0.28,,,,,,,,,,,,,,,,,,
4916,2015年第2季,,,                323131,                323131,,,                269417,                269417,                 53714,                 53714,,,                  5970,,                 44129,,                 20148,                 70247,                -16533,,,                  2978,,                 -8332,,                  2487,,                  1096,                 -6745,                -23278,,                 -4272,                -19006,                -19006,,,                 -7191,,                   -158,                 -7349,                 -7349,                -26355,,                -19006,,                -26355,,                             -0.28,,                              0.00,,,,,,,,,,,,,,,,,,
4916,2015年01月01日至2015年09月30日,,,              1063888,              1063888,,,                920455,                920455,                143433,                143433,,,                 24068,,                100618,,                 30097,                154783,                -11350,,,                  6703,,                  6781,,                  7031,,                  1206,                  7659,                 -3691,,                  4568,                 -8259,                 -8259,,,                 21957,,                   -341,                 21616,                 21616,                 13357,,                 -8259,,                 13357,,                             -0.12,,                              0.00,,,,,,,,,,,,,,,,,,
4916,2015年01月01日至2015年06月30日,,,                700586,                700586,,,                615099,                615099,                 85487,                 85487,,,                 10143,,                 79060,,                 20842,                110045,                -24558,,,                  4756,,                 -8293,,                  4524,,                  1096,                 -6965,                -31523,,                 -3966,                -27557,                -27557,,,                -12104,,                   -158,                -12262,                -12262,                -39819,,                -27557,,                -39819,,                             -0.41,,                              0.00,,,,,,,,,,,,,,,,,,
4916,2015年01月01日至2015年03月31日,,,                377455,                377455,,,                345682,                345682,                 31773,                 31773,,,                  4173,,                 34931,,                    694,                 39798,                 -8025,,,                  1778,,                     39,,                  2037,,,                   -220,                 -8245,,                    306,                 -8551,                 -8551,,,                 -4913,,,                 -4913,                 -4913,                -13464,,                 -8551,,                -13464,,                             -0.13,,                              0.00,,,,,,,,,,,,,,,,,,
4916,2014年第3季,,,                273734,                273734,,,                268162,                268162,                  5572,                  5572,,,                  4030,,                 23759,,                  1690,                 29479,                -23907,,,                  1362,,                  5128,,                  1143,,                              0,                  5347,                -18560,,                   -605,                -17955,                -17955,,,                  5374,,                              0,                  5374,                  5374,                -12581,,                -17955,,                -12581,,                             -0.26,,                              0.00,,,,,,,,,,,,,,,,,,
4916,2014年第2季,,,                396856,                396856,,,                338319,                338319,                 58537,                 58537,,,                  6701,,                 26767,,                  1192,                 34660,                 23877,,,                  1610,,                 -8701,,                  1379,,                              0,                 -8470,                 15407,,                  6865,                  8542,                  8542,,,                 -5909,,                              0,                 -5909,                 -5909,                  2633,,                  8542,,                  2633,,                              0.13,,                              0.13,,,,,,,,,,,,,,,,,,
4916,2014年度,,,              1415828,              1415828,,,              1261831,              1261831,                153997,                153997,,,                 20308,,                124990,,                  6494,                151792,                  2205,,,                  9117,,                 12619,,                  5757,,,                 15979,                 18184,,                  7152,                 11032,                 11032,,,,,,,                 24162,                 35194,,                 11032,,                 35194,,                              0.16,,                              0.16,                 24332,                   -205,                    -35,,,,,,,,,,,,,,,
4916,2014年01月01日至2014年09月30日,,,              1068824,              1068824,,,                946686,                946686,                122138,                122138,,,                 17202,,                 78285,,                  5092,                100579,                 21559,,,                  3941,,                  5510,,                  4280,,                              0,                  5171,                 26730,,                 13751,                 12979,                 12979,,,                  5956,,                              0,                  5956,                  5956,                 18935,,                 12979,,                 18935,,                              0.19,,                              0.19,,,,,,,,,,,,,,,,,,
4916,2014年01月01日至2014年06月30日,,,                795090,                795090,,,                678524,                678524,                116566,                116566,,,                 13172,,                 54526,,                  3402,                 71100,                 45466,,,                  2579,,                    382,,                  3137,,                              0,                   -176,                 45290,,                 14356,                 30934,                 30934,,,                    582,,                              0,                    582,                    582,                 31516,,                 30934,,                 31516,,                              0.46,,                              0.45,,,,,,,,,,,,,,,,,,
