證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 利息收入合計
2601,2015年第3季,,              1881608,,                491483,              1390125,              1390125,,,              1275901,              1275901,                114224,,,                 51857,,             -1450866,,                 87133,,                  1607,             -1484535,             -1370311,,                 48870,             -1419181,             -1419181,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                716736,                              0,                              0,                              0,                              0,,                              0,                              0,                100503,                616233,                616233,               -802948,,             -1193494,               -225687,,               -702792,               -100156,,                             -3.22,,                             -3.22,,,,,
2601,2015年第2季,,              2007740,,                499078,              1508662,              1508662,,,              1173248,              1173248,                335414,,,                 45416,,                -89020,,                 69949,,                 29243,                -84310,                251104,,                 93648,                157456,                157456,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -216760,                              0,                              0,                              0,                              0,,                              0,                              0,                -28250,               -188510,               -188510,                -31054,,                 55355,                102101,,                -82579,                 51525,,                              0.15,,                              0.15,,,,,
2601,2015年01月01日至2015年09月30日,,              6339715,,              1624801,              4714914,              4714914,,,              3726204,              3726204,                988710,,,                132288,,             -1555183,,                226257,,                 52886,             -1596266,               -607556,,                356560,               -964116,               -964116,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                239654,                              0,                              0,                              0,                              0,,                              0,                              0,                 44183,                195471,                195471,               -768645,,             -1018134,                 54018,,               -802414,                 33769,,                             -2.75,,                             -2.75,,,,,
2601,2015年01月01日至2015年06月30日,,              4458107,,              1133318,              3324789,              3324789,,,              2450303,              2450303,                874486,,,                 80431,,               -104317,,                139124,,                 51279,               -111731,                762755,,                307690,                455065,                455065,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -477082,                              0,                              0,                              0,                              0,,                              0,                              0,                -56320,               -420762,               -420762,                 34303,,                175360,                279705,,                -99622,                133925,,                              0.47,,                              0.46,,,,,
2601,2015年01月01日至2015年03月31日,,              2450367,,                634240,              1816127,              1816127,,,              1277055,              1277055,                539072,,,                 35015,,                -15297,,                 69175,,                 22036,                -27421,                511651,,                214042,                297609,                297609,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -260322,                              0,                              0,                              0,                              0,,                              0,                              0,                -28070,               -232252,               -232252,                 65357,,                120005,                177604,,                -17043,                 82400,,                              0.32,,                              0.31,,,,,
2601,2014年第3季,,              1919439,,                507397,              1412042,              1412042,,,              1209024,              1209024,                203018,,,                 33711,,               -351945,,                 58050,,                 18859,               -357425,               -154407,,                119317,               -273724,               -273724,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                325468,                              0,                              0,                              0,                              0,,                              0,                              0,                 39782,                285686,                285686,                 11962,,               -309712,                 35988,,               -115478,                127440,,                             -0.84,,                             -0.84,,,,,
2601,2014年第2季,,              2009882,,                469400,              1540482,              1540482,,,              1252261,              1252261,                288221,,,                 40281,,                134600,,                 57479,,                 18606,                136008,                424229,,                151971,                272258,                272258,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -353022,                              0,                              0,                              0,                              0,,                              0,                              0,                -43050,               -309972,               -309972,                -37714,,                144971,                127287,,                -65216,                 27502,,                              0.39,,                              0.38,,,,,
2601,2014年度,,              8768625,,              2116514,              6652111,              6652111,,,              5070200,              5070200,              1581911,,,                133531,,               -518717,,                233771,,                 82232,               -536725,              1045186,,                559651,                485535,                485535,,,,,,,,,,,,,,,,,,,,,,,,                732523,              1218058,,                -19539,                505074,,                543248,                674810,,                             -0.05,,                             -0.05,                851306,                 -2916,                115867,,
2601,2014年01月01日至2014年09月30日,,              6204591,,              1506061,              4698530,              4698530,,,              3702879,              3702879,                995651,,,                112747,,               -138253,,                166081,,                 57244,               -134343,                861308,,                442833,                418475,                418475,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                203078,                              0,                              0,                              0,                              0,,                              0,                              0,                 27364,                175714,                175714,                594189,,                 82252,                336223,,                215855,                378334,,                              0.22,,                              0.22,,,,,
2601,2014年01月01日至2014年06月30日,,              4285152,,                998664,              3286488,              3286488,,,              2493855,              2493855,                792633,,,                 79036,,                213692,,                108031,,                 38385,                223082,              1015715,,                323516,                692199,                692199,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -122390,                              0,                              0,                              0,                              0,,                              0,                              0,                -12418,               -109972,               -109972,                582227,,                391964,                300235,,                331333,                250894,,                              1.05,,                              1.04,,,,,
