證券代號,年季,　 營業收入,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益
9940,2015年第3季,,,,              1685123,              1685123,              1685123,,              1367917,                317206,                317206,,                290131,                 27075,,,,                 10824,                 32577,                 15522,                 58923,,                  4682,                -37178,                -43136,                 75632,,                 16429,                118126,                145201,,                 30376,                114825,                114825,,,                256563,               -106949,,                    349,                149963,                149963,                264788,,                109951,                  4874,,                259907,                  4881,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,
9940,2015年第2季,,,,              2151887,              2151887,              2151887,,              1564584,                587303,                587303,,                299839,                287464,,,,                 14558,                 32179,                 14625,                 61362,,,,,                  8396,,                 17320,                 52438,                339902,,                 87670,                252232,                252232,,,                -87137,                 57856,,                   -920,                -30201,                -30201,                222031,,                242311,                  9921,,                212117,                  9914,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,
9940,2015年01月01日至2015年09月30日,,,,              5646641,              5646641,              5646641,,              4357117,              1289524,              1289524,,                888148,                401376,,,,                 37593,                 97879,                 30300,                165772,,                -12838,                -63466,                -25614,                101918,,                 52040,                215650,                617026,,                164701,                452325,                452325,,,                110138,                -86761,,                 -1057,                 22320,                 22320,                474645,,                433285,                 19040,,                455553,                 19092,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,,,
9940,2015年01月01日至2015年06月30日,,,,              3961518,              3961518,              3961518,,              2989200,                972318,                972318,,                598017,                374301,,,,                 26769,                 65302,                 14778,                106849,,,,,                 26286,,                 35611,                 97524,                471825,,                134325,                337500,                337500,,,               -146425,                 20188,,                 -1406,               -127643,               -127643,                209857,,                323334,                 14166,,                195646,                 14211,,                              0.51,                              0.51,,                              0.51,                              0.51,,,,,,
9940,2015年01月01日至2015年03月31日,,,,              1809631,              1809631,              1809631,,              1424616,                385015,                385015,,                298178,                 86837,,,,                 12211,                 33123,                    153,                 45487,,,,,                 17890,,                 18291,                 45086,                131923,,                 46655,                 85268,                 85268,,,                -59288,                -37668,,                   -486,                -97442,                -97442,                -12174,,                 81023,                  4245,,                -16471,                  4297,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,
9940,2014年第3季,,,,              2022525,              2022525,              2022525,,              1508047,                514478,                514478,,                349637,                164841,,,,                  9640,                 31619,                  4943,                 46202,,                 12234,                   -209,                 -8620,                 -3405,,                 20352,                 22445,                187286,,                 48096,                139190,                139190,,,                 83725,                -49439,,                   -780,                 33506,                 33506,                172696,,                126176,                 13014,,                160146,                 12550,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,
9940,2014年第2季,,,,              2452832,              2452832,              2452832,,              1800025,                652807,                652807,,                325900,                326907,,,,                 14597,                 31473,                 16579,                 62649,,,,,                 23005,,                 20538,                 65116,                392023,,                 78362,                313661,                313661,,,               -114729,                 92043,,                   -164,                -22850,                -22850,                290811,,                305554,                  8107,,                282748,                  8063,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,
9940,2014年度,,,,              8899215,              8899215,              8899215,,              6447786,              2451429,              2451429,,              1281946,              1169483,,,,                 60338,                126594,                 21603,                208535,,,,,                 76505,,                 71847,                213193,              1382676,,                273266,              1109410,              1109410,,,,,,,,                136918,              1246328,,              1072157,                 37253,,              1208802,                 37526,,                              1.75,                              1.75,,                              1.75,                              1.75,                226158,                -82135,                 -7527,,                   -858,                  1280
9940,2014年01月01日至2014年09月30日,,,,              6680533,              6680533,              6680533,,              4928903,              1751630,              1751630,,                980046,                771584,,,,                 42564,                 94838,                 21522,                158924,,                -27521,                 -7548,                  4878,                 30191,,                 55664,                133451,                905035,,                206674,                698361,                698361,,,                 49877,                -96805,,                   -802,                -47730,                -47730,                650631,,                671182,                 27179,,                623149,                 27482,,                              1.06,                              1.06,,                              1.06,                              1.06,,,,,,
9940,2014年01月01日至2014年06月30日,,,,              4658008,              4658008,              4658008,,              3420856,              1237152,              1237152,,                630409,                606743,,,,                 32924,                 63219,                 16579,                112722,,,,,                 33596,,                 35312,                111006,                717749,,                158578,                559171,                559171,,,                -33848,                -47366,,                    -22,                -81236,                -81236,                477935,,                545006,                 14165,,                463003,                 14932,,                              0.86,                              0.86,,                              0.86,                              0.86,,,,,,
9940,2014年01月01日至2014年03月31日,,,,              2205176,              2205176,              2205176,,              1620831,                584345,                584345,,                304509,                279836,,,,                 18327,                 31746,                              0,                 50073,,,,,                 10591,,                 14774,                 45890,                325726,,                 80216,                245510,                245510,,,                 80881,               -139409,,                    142,                -58386,                -58386,                187124,,                239452,                  6058,,                180255,                  6869,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,
9940,2013年第3季,,,,              3040973,              3040973,              3040973,,              2011119,              1029854,              1029854,,                313074,                716780,,,,                 14475,                 31524,                  5036,                 51035,,,,,                  8131,,                 19823,                 39343,                756123,,                154982,                601141,                601141,,,,,,,,                 45645,                646786,,                589683,                 11458,,                635351,                 11435,,,                              0.96,,,,                -54237,                100084,,,                   -202,
9940,2013年第2季,,,,              3408953,              3408953,              3408953,,              2192184,              1216769,              1216769,,                322765,                894004,,,,                 18195,                 31738,                 12727,                 62660,,,,,                100966,,                 11630,                151996,              1046000,,                180422,                865578,                865578,,,,,,,,                 53216,                918794,,                854993,                 10585,,                908018,                 10776,,                              1.39,                              1.39,,                              1.39,                              1.39,                  4765,                 48393,,,                     58,
9940,2013年度,,,,             12091555,             12091555,             12091555,,              8055844,              4035711,              4035711,,              1243905,              2791806,,,,                 53231,                121374,                 17923,                192528,,,,,                170533,,                 41907,                321154,              3112960,,                596662,              2516298,              2516298,,,,,,,,                374234,              2890532,,              2475027,                 41271,,              2849357,                 41175,,                              4.03,                              4.03,,                              4.03,                              4.03,                107926,                293249,                -42218,,                  8100,                  7177
9940,2013年07月01日至2013年09月30日,,,,              3040973,              3040973,              3040973,,              2011119,              1029854,              1029854,,                313074,                716780,,,,                 14475,                 31524,                  5036,                 51035,,,,,                  8131,,                 19823,                 39343,                756123,,                154982,                601141,                601141,,,,,,,,                 45645,                646786,,                589683,                 11458,,                635351,                 11435,,                              1.17,                              1.17,,                              1.17,                              1.17,                -54237,                 99882,,,,
9940,2013年04月01日至2013年06月30日,,,,              3408953,              3408953,              3408953,,              2192184,              1216769,              1216769,,                322765,                894004,,,,                 18195,                 31738,                 12727,                 62660,,,,,                100966,,                 11630,                151996,              1046000,,                180422,                865578,                865578,,,,,,,,                 53216,                918794,,                854993,                 10585,,                908018,                 10776,,                              1.70,                              1.70,,                              1.70,                              1.70,                  4765,                 48451,,,,
9940,2013年01月01日至2013年12月31日,,,,             12091555,             12091555,             12091555,,              8055844,              4035711,              4035711,,              1243905,              2791806,,,,                 53231,                121374,                 17923,                192528,,,,,                170533,,                 41907,                321154,              3112960,,                596662,              2516298,              2516298,,,,,,,,                374234,              2890532,,              2475027,                 41271,,              2849357,                 41175,,                              4.92,                              4.92,,                              4.92,                              4.92,                107926,                293249,                -42218,,                  8100,                  7177
9940,2013年01月01日至2013年09月30日,,,,              9003281,              9003281,              9003281,,              5923456,              3079825,              3079825,,                913302,              2166523,,,,                 40569,                 89684,                 17763,                148016,,,,,                127776,,                 39548,                236244,              2402767,,                457438,              1945329,              1945329,,,,,,,,                253081,              2198410,,              1913686,                 31643,,              2166599,                 31811,,,                              3.12,,,,                 33099,                219843,,,                    139,
