證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
3051,2013年第3季,,,,                887000,                    645,                  3876,                882479,                882479,,                689239,                193240,                193240,,,                 33849,,                 29708,,                 28838,                 92395,                100845,,,                 36644,,                -29089,,                 52668,                 52668,                -45113,                 55732,,                 -3672,                 59404,                 59404,,,,,,                 -2117,                 57287,,                 59404,                              0,,                 57287,                              0,,                              0.18,,,                 -2551,,                   -434,,,,,,
3051,2013年第2季,,,,              1160367,                  2297,                  8682,              1149388,              1149388,,                886213,                263175,                263175,,,                 40783,,                 35971,,                 25682,                102436,                160739,,,                 19285,,                 28376,,                 55086,                 55086,                 -7425,                153314,,                -57961,                211275,                211275,,,,,,                  3070,                214345,,                211275,                              0,,                214345,                              0,,                              0.65,,,                  3700,,                    630,,,,,,
3051,2013年度,,,,              4057724,                 10445,                 21459,              4025820,              4025820,,              3225999,                799821,                799821,,,                141211,,                133935,,                103321,                378467,                421354,,,                 99657,,                105907,,                214938,                214938,                 -9374,                411980,,               -124642,                536622,                536622,,,,,,                 10823,                547445,,                536622,                              0,,                547445,                              0,,                              1.65,,,                 12902,                    164,                  2243,,,,,,
3051,2013年07月01日至2013年09月30日,,,,                887000,                    645,                  3876,                882479,                882479,,                689239,                193240,                193240,,,                 33849,,                 29708,,                 28838,                 92395,                100845,,,                 36644,,                -29089,,                 52668,                 52668,                -45113,                 55732,,                 -3672,                 59404,                 59404,,,,,,                 -2117,                 57287,,                 59404,                              0,,                 57287,                              0,,                              0.18,,,                 -2551,,                   -434,,,,,,
3051,2013年04月01日至2013年06月30日,,,,              1160367,                  2297,                  8682,              1149388,              1149388,,                886213,                263175,                263175,,,                 40783,,                 35971,,                 25682,                102436,                160739,,,                 19285,,                 28376,,                 55086,                 55086,                 -7425,                153314,,                -57961,                211275,                211275,,,,,,                  3070,                214345,,                211275,                              0,,                214345,                              0,,                              0.65,,                              0,                  3700,,                    630,,                              0,,                              0,,                              0
3051,2013年01月01日至2013年12月31日,,,,              4057724,                 10445,                 21459,              4025820,              4025820,,              3225999,                799821,                799821,,,                141211,,                133935,,                103321,                378467,                421354,,,                 99657,,                105907,,                214938,                214938,                 -9374,                411980,,               -124642,                536622,                536622,,,,,,                 10823,                547445,,                536622,                              0,,                547445,                              0,,                              1.65,,,                 12902,                    164,                  2243,,,,,,
3051,2013年01月01日至2013年09月30日,,,,              3140799,                  8596,                 20080,              3112123,              3112123,,              2486570,                625553,                625553,,,                102765,,                 97894,,                 74757,                275416,                350137,,,                 77333,,                 91622,,                163250,                163250,                  5705,                355842,,               -120614,                476456,                476456,,,,,,                  7657,                484113,,                476456,                              0,,                484113,                              0,,                              1.46,,,                  9226,,                  1569,,,,,,
3051,2013年01月01日至2013年06月30日,,,,              2253799,                  7951,                 16204,              2229644,              2229644,,              1797331,                432313,                432313,,,                 68916,,                 68186,,                 45919,                183021,                249292,,,                 40689,,                120711,,                110582,                110582,                 50818,                300110,,               -116942,                417052,                417052,,,,,,                  9774,                426826,,                417052,                              0,,                426826,                              0,,                              1.28,,,                 11777,,                  2003,,,,,,
3051,2013年01月01日至2013年03月31日,,,,              1093432,                  5654,                  7522,              1080256,              1080256,,                911118,                169138,                169138,,,                 28133,,                 32215,,                 20237,                 80585,                 88553,,,                 21404,,                 92335,,                 55496,                 55496,                 58243,                146796,,                -58981,                205777,                205777,,,,,,                  6704,                212481,,                205777,                              0,,                212481,                              0,,                              0.63,,                              0,                  8077,,                  1373,,,,,,
3051,2012年07月01日至2012年09月30日,,,,              1155383,                  5029,                 20038,              1130316,              1130316,,                930900,                199416,                199416,,,                 33184,,                 44904,,                 20406,                 98494,                100922,,,                 -6922,,                -51957,,                 57716,                 57716,               -116595,                -15673,,                -36571,                 20898,                 20898,,,,,,                 -2204,                 18694,,                 20898,                              0,,                 18694,                              0,,                              0.06,,,                 -2656,,                   -452,,,,,,
3051,2012年04月01日至2012年06月30日,,,,                993129,                  6194,                 20443,                966492,                966492,,                818382,                148110,                148110,,,                 26131,,                 52779,,                 18711,                 97621,                 50489,,,                 10905,,                 61586,,                 57479,                 57479,                 15012,                 65501,,                 -3744,                 69245,                 69245,,,,,,                  1005,                 70250,,                 69245,                              0,,                 70250,                              0,,                              0.21,,                              0,                  1211,,                    206,,                              0,,                              0,,                              0
3051,2012年01月01日至2012年12月31日,,,,              4180588,                 76718,                 67354,              4036516,              4036516,,              3575505,                461011,                461011,,,                113919,,                165418,,                 89128,                368465,                 92546,,,                 49429,,                163724,,                229080,                229080,                -15927,                 76619,,                -22701,                 99320,                 99320,,,,,,                -12269,                 87051,,                 99320,                              0,,                 87051,                              0,,                              0.31,,,                -10109,                 -3879,                 -1719,,,,,,
3051,2012年01月01日至2012年09月30日,,,,              3126632,                 20760,                 55038,              3050834,              3050834,,              2615580,                435254,                435254,,,                 84763,,                144841,,                 65714,                295318,                139936,,,                 -5494,,                104744,,                171988,                171988,                -72738,                 67198,,                -18731,                 85929,                 85929,,,,,,                 -8432,                 77497,,                 85929,                              0,,                 77497,                              0,,                              0.26,,,                -10160,,                 -1728,,,,,,
3051,2012年01月01日至2012年06月30日,,,,              1971249,                 15731,                 35000,              1920518,              1920518,,              1684680,                235838,                235838,,,                 51579,,                 99937,,                 45308,                196824,                 39014,,,                  1428,,                156701,,                114272,                114272,                 43857,                 82871,,                 17840,                 65031,                 65031,,,,,,                 -6228,                 58803,,                 65031,                              0,,                 58803,                              0,,                              0.20,,                              0,                 -7504,,                 -1276,,                              0,,                              0,,                              0
3051,2012年01月01日至2012年03月31日,,,,                978120,                  9537,                 14557,                954026,                954026,,                866298,                 87728,                 87728,,,                 25448,,                 47158,,                 26597,                 99203,                -11475,,,                 -9477,,                 95115,,                 56793,                 56793,                 28845,                 17370,,                 21584,                 -4214,                 -4214,,,,,,                 -7233,                -11447,,                 -4214,                              0,,                -11447,                              0,,                             -0.01,,                              0,                 -8715,,                 -1482,,,,,,
