證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1410,2015年第3季,,                156140,,                 98600,                 57540,                 57540,,,                  1620,,                 17440,,                  2107,                 21167,                 36373,,,                  2432,,                  3706,,                     35,                  6103,                 42476,,                  6497,                 35979,                 35979,,,                 -3081,                 -3081,                 -3081,                 32898,,                 33879,                  2100,,                 30798,                  2100,,                              0.47,                              0.47,,,
1410,2015年第2季,,                177146,,                109874,                 67272,                 67272,,,                  1439,,                 16864,,                  2129,                 20432,                 46840,,,                  2196,,                   -829,,                     35,                  1332,                 48172,,                  7845,                 40327,                 40327,,,                 -1643,                 -1643,                 -1643,                 38684,,                 37283,                  3044,,                 35640,                  3044,,                              0.52,                              0.52,,,
1410,2015年01月01日至2015年09月30日,,                476102,,                304325,                171777,                171777,,,                  4533,,                 50190,,                  6236,                 60959,                110818,,,                  7011,,                  2039,,                    105,                  8945,                119763,,                 19534,                100229,                100229,,,                 -5646,                 -5646,                 -5646,                 94583,,                 92778,                  7451,,                 87132,                  7451,,                              1.29,                              1.29,,,
1410,2015年01月01日至2015年06月30日,,                319962,,                205725,                114237,                114237,,,                  2913,,                 32750,,                  4129,                 39792,                 74445,,,                  4579,,                 -1667,,                     70,                  2842,                 77287,,                 13037,                 64250,                 64250,,,                 -2565,                 -2565,                 -2565,                 61685,,                 58899,                  5351,,                 56334,                  5351,,                              0.82,                              0.82,,,
1410,2015年01月01日至2015年03月31日,,                142816,,                 95851,                 46965,                 46965,,,                  1474,,                 15886,,                  2000,                 19360,                 27605,,,                  2383,,                   -838,,                     35,                  1510,                 29115,,                  5192,                 23923,                 23923,,,                   -922,                   -922,                   -922,                 23001,,                 21616,                  2307,,                 20694,                  2307,,                              0.30,                              0.30,,,
1410,2014年第3季,,                177499,,                115952,                 61547,                 61547,,,                  1278,,                 15040,,                  2376,                 18694,                 42853,,,                  4511,,                  1000,,                     35,                  5476,                 48329,,                  7848,                 40481,                 40481,,,                   -871,                   -871,                   -871,                 39610,,                 37558,                  2923,,                 36687,                  2923,,                              0.42,                              0.42,,,
1410,2014年第2季,,                172470,,                120269,                 52201,                 52201,,,                  1634,,                 15681,,                  2529,                 19844,                 32357,,,                  1733,,                 -1577,,                     35,                    121,                 32478,,                  6020,                 26458,                 26458,,,                   -256,                   -256,                   -256,                 26202,,                 25109,                  1349,,                 24853,                  1349,,                              0.28,                              0.28,,,
1410,2014年度,,                637513,,                437424,                200089,                200089,,,                  5518,,                 61207,,                  9284,                 76009,                124080,,,                  9705,,                  1716,,                    140,                 11281,                135361,,                 23730,                111631,                111631,,,,,                  1267,                112898,,                104126,                  7505,,                105358,                  7540,,                              1.21,                              1.21,                     90,                  1268,                     91
1410,2014年01月01日至2014年09月30日,,                488822,,                338728,                150094,                150094,,,                  4281,,                 46158,,                  7377,                 57816,                 92278,,,                  8038,,                      8,,                    105,                  7941,                100219,,                 17105,                 83114,                 83114,,,                 -1268,                 -1268,                 -1268,                 81846,,                 77640,                  5474,,                 76372,                  5474,,                              0.86,                              0.86,,,
1410,2014年01月01日至2014年06月30日,,                311323,,                222776,                 88547,                 88547,,,                  3003,,                 31118,,                  5001,                 39122,                 49425,,,                  3527,,                   -992,,                     70,                  2465,                 51890,,                  9257,                 42633,                 42633,,,                   -397,                   -397,                   -397,                 42236,,                 40082,                  2551,,                 39685,                  2551,,                              0.45,                              0.45,,,
1410,2014年01月01日至2014年03月31日,,                138853,,                102507,                 36346,                 36346,,,                  1369,,                 15437,,                  2472,                 19278,                 17068,,,                  1794,,                    585,,                     35,                  2344,                 19412,,                  3237,                 16175,                 16175,,,                   -141,                   -141,                   -141,                 16034,,                 14973,                  1202,,                 14832,                  1202,,                              0.17,                              0.17,,,
1410,2013年第3季,,                154710,,                104516,                 50194,                 50194,,,                  1230,,                 14681,,                  2294,                 18205,                 31989,,,                  3341,,                 -1695,,                     35,                  1611,                 33600,,                  4177,                 29423,                 29423,,,,,                  2072,                 31495,,                 29148,                    275,,                 31220,                    275,,                              0.32,                              0.32,                  2072,,
1410,2013年第2季,,                159889,,                110703,                 49186,                 49186,,,                  1397,,                 15395,,                  2382,                 19174,                 30012,,,                  1839,,                   -271,,                     35,                  1533,                 31545,,                  1885,                 29660,                 29660,,,,,                   -911,                 28749,,                 28336,                  1324,,                 27425,                  1324,,                              0.31,                              0.31,                   -911,,
1410,2013年度,,                603295,,                425704,                177591,                177591,,,                  5477,,                 58588,,                  9199,                 73264,                104327,,,                  9503,,                   -437,,                    189,                  8877,                113204,,                 11453,                101751,                101751,,,,,                  2766,                104517,,                 96980,                  4771,,                 99705,                  4812,,                              1.08,                              1.08,                  2030,                    783,                     47
1410,2013年07月01日至2013年09月30日,,                154710,,                104516,                 50194,                 50194,,,                  1230,,                 14681,,                  2294,                 18205,                 31989,,,                  3341,,                 -1695,,                     35,                  1611,                 33600,,                  4177,                 29423,                 29423,,,,,                  2072,                 31495,,                 29148,                    275,,                 31220,                    275,,                              0.32,                              0.32,                  2072,,
1410,2013年04月01日至2013年06月30日,,                159889,,                110703,                 49186,                 49186,,,                  1397,,                 15395,,                  2382,                 19174,                 30012,,,                  1839,,                   -271,,                     35,                  1533,                 31545,,                  1885,                 29660,                 29660,,,,,                   -911,                 28749,,                 28336,                  1324,,                 27425,                  1324,,                              0.31,                              0.31,                   -911,,
1410,2013年01月01日至2013年12月31日,,                603295,,                425704,                177591,                177591,,,                  5477,,                 58588,,                  9199,                 73264,                104327,,,                  9503,,                   -437,,                    189,                  8877,                113204,,                 11453,                101751,                101751,,,,,                  2766,                104517,,                 96980,                  4771,,                 99705,                  4812,,                              1.08,                              1.08,                  2030,                    783,                     47
1410,2013年01月01日至2013年09月30日,,                453383,,                318032,                135351,                135351,,,                  4085,,                 45057,,                  6967,                 56109,                 79242,,,                  7567,,                 -1187,,                    105,                  6275,                 85517,,                  6908,                 78609,                 78609,,,,,                  2035,                 80644,,                 76263,                  2346,,                 78298,                  2346,,                              0.85,                              0.85,                  2035,,
1410,2013年01月01日至2013年06月30日,,                298673,,                213516,                 85157,                 85157,,,                  2855,,                 30376,,                  4673,                 37904,                 47253,,,                  4226,,                    508,,                     70,                  4664,                 51917,,                  2731,                 49186,                 49186,,,,,                    -37,                 49149,,                 47115,                  2071,,                 47078,                  2071,,                              0.52,                              0.52,                    -37,,
1410,2013年01月01日至2013年03月31日,,                138784,,                102813,                 35971,                 35971,,,                  1458,,                 14981,,                  2291,                 18730,                 17241,,,                  2387,,                    779,,                     35,                  3131,                 20372,,                    846,                 19526,                 19526,,,,,                    874,                 20400,,                 18779,                    747,,                 19653,                    747,,                              0.21,                              0.21,                    874,,
