證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9924,2015年第3季,,              2133918,,              1659440,                474478,                474478,,,                110309,,                 81868,,                 51365,                243542,                230936,,,                 41734,,                 52750,,                    218,,                 22685,                116951,                347887,,                 70728,                277159,                277159,,,                116161,                -19259,,                -21444,                 75458,                 75458,                352617,,                271441,                  5718,,                346583,                  6034,,                              1.44,                              1.44,,                              1.44,                              1.44,,,,,,,,,,
9924,2015年第2季,,              1970293,,              1537363,                432930,                432930,,,                 98740,,                105954,,                 45900,                250594,                182336,,,                  7042,,                 21197,,                    948,,                 17115,                 44406,                226742,,                 46210,                180532,                180532,,,                -33504,                  2265,,                   -137,                -31376,                -31376,                149156,,                175857,                  4675,,                144598,                  4558,,                              0.93,                              0.93,,                              0.93,                              0.93,,                              0,                              0,                              0,,,,,,
9924,2015年01月01日至2015年09月30日,,              6026016,,              4711414,              1314602,              1314602,,,                299956,,                278985,,                140799,                719740,                594862,,,                 55665,,                 95246,,                  1856,,                 49986,                199041,                793903,,                166418,                627485,                627485,,,                 56976,                  5665,,                -21069,                 41572,                 41572,                669057,,                613564,                 13921,,                655023,                 14034,,                              3.26,                              3.26,,                              3.25,                              3.25,,,,,,,,,,
9924,2015年01月01日至2015年06月30日,,              3892098,,              3051974,                840124,                840124,,,                189647,,                197117,,                 89434,                476198,                363926,,,                 13931,,                 42496,,                  1638,,                 27301,                 82090,                446016,,                 95690,                350326,                350326,,,                -59185,                 24924,,                    375,                -33886,                -33886,                316440,,                342123,                  8203,,                308440,                  8000,,                              1.82,                              1.82,,                              1.81,                              1.81,,                              0,                              0,                              0,,,,,,
9924,2015年01月01日至2015年03月31日,,              1921805,,              1514611,                407194,                407194,,,                 90907,,                 91163,,                 43534,                225604,                181590,,,                  6889,,                 21299,,                    690,,                 10186,                 37684,                219274,,                 49480,                169794,                169794,,,                -25681,                 22659,,                    512,                 -2510,                 -2510,                167284,,                166266,                  3528,,                163842,                  3442,,                              0.88,                              0.88,,                              0.88,                              0.88,,,,,,,,,,
9924,2014年第3季,,              1883536,,              1514623,                368913,                368913,,,                 98240,,                 79081,,                 57659,                234980,                133933,,,                 29220,,                 50242,,                  1211,,                 27558,                105809,                239742,,                 45416,                194326,                194326,,,                 55920,                -11707,,                  7038,                 51251,                 51251,                245577,,                189055,                  5271,,                240060,                  5517,,                              1.00,                              1.00,,                              1.00,                              1.00,,,,,,,,,,
9924,2014年第2季,,              1766059,,              1418211,                347848,                347848,,,                 89805,,                 73334,,                 45196,                208335,                139513,,,                 20128,,                 20358,,                  1669,,                  7189,                 46006,                185519,,                 43234,                142285,                142285,,,                -41943,                    756,,                  1431,                -39756,                -39756,                102529,,                138057,                  4228,,                 98457,                  4072,,                              0.73,                              0.73,,                              0.73,                              0.73,,                              0,                              0,                              0,,,,,,
9924,2014年度,,              7074752,,              5718366,              1356386,              1356386,,,                341462,,                314055,,                201436,                856953,                499433,,,                 56187,,                 63251,,                  3019,,                 55571,                171990,                671423,,                144705,                526718,                526718,,,,,,,,                 74912,                601630,,                507914,                 18804,,                585393,                 16237,,                              2.70,                              2.70,,                              2.68,                              2.68,,,,,                102017,                  4154,                -17989,,                -16328,                 -3058
9924,2014年01月01日至2014年09月30日,,              5197358,,              4209427,                987931,                987931,,,                258158,,                218094,,                144852,                621104,                366827,,,                 58263,,                 33225,,                  4000,,                 42224,                129712,                496539,,                105097,                391442,                391442,,,                 24751,                 41541,,                 -9285,                 57007,                 57007,                448449,,                379235,                 12207,,                436193,                 12256,,                              2.01,                              2.01,,                              2.00,                              2.00,,,,,,,,,,
9924,2014年01月01日至2014年06月30日,,              3313822,,              2694804,                619018,                619018,,,                159918,,                139013,,                 87193,                386124,                232894,,,                 29044,,                -17017,,                  2789,,                 14666,                 23904,                256798,,                 59681,                197117,                197117,,,                -31169,                 53248,,                -16323,                  5756,                  5756,                202873,,                190181,                  6936,,                196134,                  6739,,                              1.01,                              1.01,,                              1.01,                              1.01,,                              0,                              0,                              0,,,,,,
