證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 其他收入－其他,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2615,2015年第3季,,             15272014,,             14199153,              1072861,              1072861,,                979211,                 93650,,,                200183,,              1679168,,                131130,,                 10249,              1758470,              1852120,,                800330,              1051790,              1051790,,,              1110264,               -280567,                              0,                              0,                829697,                829697,              1881487,,              1055378,                 -3588,,              1883184,                 -1697,,                              0.48,,                              0.48,,,,,,,,,,,,,,,,
2615,2015年第2季,,             16497410,,             14213473,              2283937,              2283937,,                970036,              1313901,,,                 82308,,                301362,,                215012,,                 17742,                186400,              1500301,,                411850,              1088451,              1088451,,,               -183890,               -156856,,,               -340746,               -340746,                747705,,              1086314,                  2137,,                747764,                    -59,,                              0.49,,                              0.49,,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
2615,2015年01月01日至2015年09月30日,,             48930102,,             42141983,              6788119,              6788119,,              2984147,              3803972,,,                359196,,              2181034,,                552368,,                 39543,              2027405,              5831377,,              1615306,              4216071,              4216071,,,                716463,               -326916,                              0,                              0,                389547,                389547,              4605618,,              4215327,                    744,,              4607166,                 -1548,,                              1.90,,                              1.90,,,,,,,,,,,,,,,,
2615,2015年01月01日至2015年06月30日,,             33658088,,             27942830,              5715258,              5715258,,              2004936,              3710322,,,                159013,,                501866,,                421238,,                 29294,                268935,              3979257,,                814976,              3164281,              3164281,,,               -393801,                -46349,,,               -440150,               -440150,              2724131,,              3159949,                  4332,,              2723982,                    149,,                              1.42,,                              1.42,,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
2615,2015年01月01日至2015年03月31日,,             17160678,,             13729357,              3431321,              3431321,,              1034900,              2396421,,,                 76705,,                200504,,                206226,,                 11552,                 82535,              2478956,,                403126,              2075830,              2075830,,,               -209911,                110507,,                              0,                -99404,                -99404,              1976426,,              2073635,                  2195,,              1976218,                    208,,                              0.93,,,,,,,,,,                 76705,,,,,,,,
2615,2014年第3季,,             17608270,,             14984799,              2623471,              2623471,,                911872,              1711599,,,                171425,,                461920,,                202018,,                 15416,                446743,              2158342,,                330418,              1827924,              1827924,,,                265708,                -62153,                              0,                              0,                203555,                203555,              2031479,,              1810218,                 17706,,              2012069,                 19410,,                              0.82,,                              0.82,,,,,,,,,,,,,,,,
2615,2014年第2季,,             16656330,,             14206119,              2450211,              2450211,,                835451,              1614760,,,                 64647,,               -100162,,                207838,,                 15125,               -228228,              1386532,,                286114,              1100418,              1100418,,,               -313480,                145301,,,               -168179,               -168179,                932239,,              1076428,                 23990,,                909793,                 22446,,                              0.49,,                              0.48,,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
2615,2014年度,,             66974244,,             57830591,              9143653,              9143653,,              3739151,              5404502,,,                359752,,              1576236,,                820373,,                 59076,              1174691,              6579193,,              1261599,              5317594,              5317594,,,,,,,,              1118185,              6435779,,              5254074,                 63520,,              6367365,                 68414,,                              2.37,,                              2.37,,,,,,,,                359752,,                              0,,                              0,                928279,                132324,                 57606,                     24
2615,2014年01月01日至2014年09月30日,,             49018987,,             42577807,              6441180,              6441180,,              2651439,              3789741,,,                289955,,                796072,,                614339,,                 47191,                518879,              4308620,,                723710,              3584910,              3584910,,,                241472,                 74146,                              0,                              0,                315618,                315618,              3900528,,              3541951,                 42959,,              3856335,                 44193,,                              1.60,,                              1.59,,,,,,,,,,,,,,,,
2615,2014年01月01日至2014年06月30日,,             31410717,,             27593008,              3817709,              3817709,,              1739567,              2078142,,,                118530,,                334152,,                412321,,                 31775,                 72136,              2150278,,                393292,              1756986,              1756986,,,                -24236,                136299,,,                112063,                112063,              1869049,,              1731733,                 25253,,              1844266,                 24783,,                              0.78,,                              0.78,,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
