證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 外幣兌換損失,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 國外營運機構財務報表換算之兌換差額,　　　 處分不動產、廠房及設備利益,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本,　　　 其他費用-推銷費用,　　　 其他費用-管理費用,　　　 其他費用-研發費用,　　　　 銀行存款利息,　　 當期所得稅費用（利益）,　　 遞延所得稅費用（利益）
2929,2015年第3季,,,              1287912,              1287912,,,                768906,                768906,                519006,                519006,,,                270297,,                 42379,,                 15087,                327763,                191243,,,,                  5337,                 13833,                    562,                 19732,,                 14524,                              0,                              0,                 14524,                 34256,                225499,,                 70463,                155036,                155036,,,                128169,                128169,                128169,                283205,,                155036,,                283205,,                              2.67,,                              2.67,,,,,,,,,,,,,,,,,,,,
2929,2015年第2季,,,              1345730,              1345730,,,                799934,                799934,                545796,                545796,,,                224297,,                 42665,,                 16198,                283160,                262636,,,,                  4123,                 12816,                    554,                 17493,,                     27,                     16,                      4,                      7,                 17500,                280136,,                 93843,                186293,                186293,,,                -45624,                -45624,                -45624,                140669,,                186293,,                140669,,                              3.21,,                              3.21,,,,,,,,,,,,,,,,,,,,
2929,2015年01月01日至2015年09月30日,,,              3664703,              3664703,,,              2181474,              2181474,              1483229,              1483229,,,                616629,,                128111,,                 46607,                791347,                691882,,,,                 15639,                 38887,                  1679,                 56205,,                 14754,                     33,                     24,                 14697,                 70902,                762784,,                249785,                512999,                512999,,,                 52846,                 52846,                 52846,                565845,,                512999,,                565845,,                              8.83,,                              8.82,,,,,,,,,,,,,,,,,,,,
2929,2015年01月01日至2015年06月30日,,,              2376791,              2376791,,,              1412568,              1412568,                964223,                964223,,,                346332,,                 85732,,                 31520,                463584,                500639,,,,                 10302,                 25054,                  1117,                 36473,,                    230,                     33,                     24,                    173,                 36646,                537285,,                179322,                357963,                357963,,,                -75323,                -75323,                -75323,                282640,,                357963,,                282640,,                              6.16,,                              6.16,,,,,,,,,,,,,,,,,,,,
2929,2015年01月01日至2015年03月31日,,,              1031061,              1031061,,,                612634,                612634,                418427,                418427,,,                122035,,                 43067,,                 15322,                180424,                238003,,,,                  6179,                 12238,                    563,                 18980,,                    203,                     17,                     20,                    166,                 19146,                257149,,                 85479,                171670,                171670,,,                -29699,                -29699,                -29699,                141971,,                171670,,                141971,,                              2.96,,                              2.95,                              2.96,                              2.95,,,,,,,,,,,,,,,,,,
2929,2014年第3季,,,              1088932,              1088932,,,                652102,                652102,                436830,                436830,,,                202540,,                 38178,,                 11532,                252250,                184580,,,,                  1334,                  9015,                    397,                 10746,,                  2530,                              0,                     10,                  2520,                 13266,                197846,,                 65779,                132067,                132067,,,                 66877,                 66877,                 66877,                198944,,                132067,,                198944,,                              2.27,,                              2.27,,,,,,,,,,,,,,,,,,,,
2929,2014年第2季,,,              1130685,              1130685,,,                666179,                666179,                464506,                464506,,,                194895,,                 35140,,                 12278,                242313,                222193,,,,                  1199,                  8261,                    393,                  9853,,                     43,                              0,                      4,                     39,                  9892,                232085,,                 77080,                155005,                155005,,,                -48933,                -48933,                -48933,                106072,,                155005,,                106072,,                              2.67,,                              2.67,,,,,,,,,,,,,,,,,,,,
2929,2014年度,,,              4657001,              4657001,,,              2780781,              2780781,              1876220,              1876220,,,                575769,,                160722,,                 49490,                785981,              1090239,,,,                  7934,                 35035,                  1637,                 44606,,,                              0,                     16,                 -2304,                 42302,              1132541,,                378476,                754065,                754065,,,,,                101082,                855147,,                754065,,                855147,,                             12.98,,                             12.96,                             12.98,                             12.96,                  2288,,                              0,                              0,                101082,,,,,,,,,,,,,
2929,2014年01月01日至2014年09月30日,,,              3091981,              3091981,,,              1829448,              1829448,              1262533,              1262533,,,                462245,,                112644,,                 35929,                610818,                651715,,,,                  3441,                 25123,                  1195,                 29759,,                 -2123,                              0,                     16,                 -2139,                 27620,                679335,,                227868,                451467,                451467,,,                  5754,                  5754,                  5754,                457221,,                451467,,                457221,,                              7.77,,                              7.77,,,,,,,,,,,,,,,,,,,,
2929,2014年01月01日至2014年06月30日,,,              2003049,              2003049,,,              1177346,              1177346,                825703,                825703,,,                259705,,                 74466,,                 24397,                358568,                467135,,,,                  2107,                 16108,                    798,                 19013,,                 -4653,                              0,                      6,                 -4659,                 14354,                481489,,                162089,                319400,                319400,,,                -61123,                -61123,                -61123,                258277,,                319400,,                258277,,                              5.50,,                              5.50,,,,,,,,,,,,,,,,,,,,
