證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 非控制權益（淨利／損）
8261,2015年第3季,,,                386002,                386002,,,                306471,                306471,                 79531,                 79531,,,                 21894,,                 19815,,                 14691,                 56400,                 23131,,,                  3896,,                 11076,,                              0,                 14972,                 38103,,                  6191,                 31912,                 31912,,,                  1269,                 -5902,                 -4633,                 -4633,                 27279,,                 31912,,                 27279,,                              0.33,,                              0.33,,,,,,,,,,,,,,,
8261,2015年第2季,,,                381484,                381484,,,                298343,                298343,                 83141,                 83141,,,                 17831,,                 14992,,                 13855,                 46678,                 36463,,,                  4949,,                 -4737,,                              0,                    212,                 36675,,                 13283,                 23392,                 23392,,,                   -175,                 -1601,                 -1776,                 -1776,                 21616,,                 23392,,                 21616,,                              0.13,,                              0.13,,,,,,,,,,,,,,,
8261,2015年01月01日至2015年09月30日,,,              1196931,              1196931,,,                931390,                931390,                265541,                265541,,,                 56993,,                 52232,,                 43314,                152539,                113002,,,                 16362,,                  4118,,                              0,                 20480,                133482,,                 29454,                104028,                104028,,,                    873,                -13255,                -12382,                -12382,                 91646,,                104028,,                 91646,,                              0.68,,                              0.68,,,,,,,,,,,,,,,
8261,2015年01月01日至2015年06月30日,,,                810929,                810929,,,                624919,                624919,                186010,                186010,,,                 35099,,                 32417,,                 28623,                 96139,                 89871,,,                 12466,,                 -6958,,                              0,                  5508,                 95379,,                 23263,                 72116,                 72116,,,                   -396,                 -7353,                 -7749,                 -7749,                 64367,,                 72116,,                 64367,,                              0.40,,                              0.40,,,,,,,,,,,,,,,
8261,2015年01月01日至2015年03月31日,,,                429445,                429445,,,                326576,                326576,                102869,                102869,,,                 17268,,                 17425,,                 14768,                 49461,                 53408,,,                  7517,,                 -2221,,                              0,                  5296,                 58704,,                  9980,                 48724,                 48724,,,                   -221,                 -5752,                 -5973,                 -5973,                 42751,,                 48724,,                 42751,,                              0.27,,                              0.27,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,
8261,2014年第3季,,,                555894,                555894,,,                459505,                459505,                 96389,                 96389,,,                 22135,,                 15135,,                 14093,                 51363,                 45026,,,                  5313,,                 10249,,                              0,                 15562,                 60588,,                  9885,                 50703,                 50703,,,                     88,                 -3210,                 -3122,                 -3122,                 47581,,                 50703,,                 47581,,                              0.29,,                              0.28,,,,,,,,,,,,,,,
8261,2014年第2季,,,                546060,                546060,,,                464094,                464094,                 81966,                 81966,,,                 21072,,                 13943,,                 18529,                 53544,                 28422,,,                  3633,,                 -9588,,                              0,                 -5955,                 22467,,                  5170,                 17297,                 17297,,,                    -51,                -13956,                -14007,                -14007,                  3290,,                 17297,,                  3290,,                              0.10,,                              0.10,,,,,,,,,,,,,,,
8261,2014年度,,,              2061113,              2061113,,,              1670136,              1670136,                390977,                390977,,,                 90607,,                 69741,,                 72656,                233004,                157973,,,                 22219,,                 29556,,                              0,                 51775,                209748,,                 36327,                173421,                173421,,,,,,                 11017,                184438,,                173421,,                184438,,                              0.96,,                              0.95,,,,,,,,,,,,                  1030,                     38,                  9949,
8261,2014年01月01日至2014年09月30日,,,              1544862,              1544862,,,              1300719,              1300719,                244143,                244143,,,                 62262,,                 41326,,                 54085,                157673,                 86470,,,                 16903,,                 10470,,                              0,                 27373,                113843,,                 17588,                 96255,                 96255,,,                     93,                  3190,                  3283,                  3283,                 99538,,                 96255,,                 99538,,                              0.54,,                              0.53,,,,,,,,,,,,,,,
8261,2014年01月01日至2014年06月30日,,,                988968,                988968,,,                841214,                841214,                147754,                147754,,,                 40127,,                 26191,,                 39992,                106310,                 41444,,,                 11590,,                    221,,                              0,                 11811,                 53255,,                  7703,                 45552,                 45552,,,                      5,                  6400,                  6405,                  6405,                 51957,,                 45552,,                 51957,,                              0.25,,                              0.25,,,,,,,,,,,,,,,
