證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額
6108,2015年第3季,,              2023468,,              1767084,                256384,                256384,,,                 88797,,                 99254,                188051,                 68333,,,                 35017,,               -164810,,                 28405,               -158198,                -89865,,                 41641,               -131506,               -131506,,,                233028,                233028,                233028,                101522,,               -131506,,                101522,,                             -0.82,,                             -0.82,,,,,,,,,,,,
6108,2015年第2季,,              1938737,,              1660435,                278302,                278302,,,                 91250,,                105581,                196831,                 81471,,,                 30223,,               -139090,,                 26739,               -135606,                -54135,,                  6069,                -60204,                -60204,,,                -51691,                -51691,                -51691,               -111895,,                -60204,,               -111895,,                             -0.38,,                             -0.38,,,,,,,,,,,,
6108,2015年01月01日至2015年09月30日,,              5760237,,              5111803,                648434,                648434,,,                266493,,                302343,                568836,                 79598,,,                 94977,,               -284395,,                 78634,               -268052,               -188454,,                 50427,               -238881,               -238881,,,                133280,                133280,                133280,               -105601,,               -238881,,               -105601,,                             -1.49,,                             -1.49,,,,,,,,,,,,
6108,2015年01月01日至2015年06月30日,,              3736769,,              3344719,                392050,                392050,,,                177696,,                203089,                380785,                 11265,,,                 59960,,               -119585,,                 50229,               -109854,                -98589,,                  8786,               -107375,               -107375,,,                -99748,                -99748,                -99748,               -207123,,               -107375,,               -207123,,                             -0.67,,                             -0.67,,,,,,,,,,,,
6108,2015年01月01日至2015年03月31日,,              1798032,,              1684284,                113748,                113748,,,                 86446,,                 97508,                183954,                -70206,,,                 29737,,                 19505,,                 23490,                 25752,                -44454,,                  2717,                -47171,                -47171,,,                -48057,                -48057,                -48057,                -95228,,                -47171,,                -95228,,                             -0.30,,                             -0.30,                              0,,,,,,,,,,,
6108,2014年第3季,,              2289375,,              1906994,                382381,                382381,,,                 92359,,                115664,                208023,                174358,,,                 18473,,                 12994,,                 26205,                  5262,                179620,,                 35642,                143978,                143978,,,                106117,                106117,                106117,                250095,,                143978,,                250095,,                              0.90,,                              0.89,,,,,,,,,,,,
6108,2014年第2季,,              2336443,,              2044220,                292223,                292223,,,                 89293,,                 99074,                188367,                103856,,,                 35516,,                -28084,,                 25425,                -17993,                 85863,,                 14470,                 71393,                 71393,,,                -81864,                -81864,                -81864,                -10471,,                 71393,,                -10471,,                              0.45,,                              0.43,,,,,,,,,,,,
6108,2014年度,,              8958933,,              7765754,              1193179,              1193179,,,                351182,,                414694,                765876,                427303,,,                117958,,                -47972,,                 86943,                -16957,                410346,,                 79768,                330578,                330578,,,,,                171620,                502198,,                330578,,                502198,,                              2.07,,                              2.04,,                184172,                 22599,                 35151,,,,,,,,
6108,2014年01月01日至2014年09月30日,,              6777812,,              5828849,                948963,                948963,,,                251122,,                318142,                569264,                379699,,,                 79066,,                 18363,,                 77260,                 20169,                399868,,                 78474,                321394,                321394,,,                 30024,                 30024,                 30024,                351418,,                321394,,                351418,,                              2.01,,                              1.96,,,,,,,,,,,,
6108,2014年01月01日至2014年06月30日,,              4488437,,              3921855,                566582,                566582,,,                158763,,                202478,                361241,                205341,,,                 60593,,                  5369,,                 51055,                 14907,                220248,,                 42832,                177416,                177416,,,                -76093,                -76093,                -76093,                101323,,                177416,,                101323,,                              1.11,,                              1.07,,,,,,,,,,,,
6108,2014年01月01日至2014年03月31日,,              2151994,,              1877635,                274359,                274359,,,                 69470,,                103404,                172874,                101485,,,                 25077,,                 33453,,                 25630,                 32900,                134385,,                 28362,                106023,                106023,,,                  5771,                  5771,                  5771,                111794,,                106023,,                111794,,                              0.66,,                              0.64,                              0,,,,,,,,,,,
6108,2013年第3季,,              2041405,,              1753248,                288157,                288157,,,                 65641,,                107088,                172729,                115428,,,                 19621,,                -17792,,                 19328,                -17499,                 97929,,                 34297,                 63632,                 63632,,,,,                -48742,                 14890,,                 63632,,                 14890,,                              0.40,,                              0.39,,                -48742,,,,,,,,,,
6108,2013年第2季,,              2230004,,              1956364,                273640,                273640,,,                 61202,,                107079,                168281,                105359,,,                 11842,,                -91917,,                 15378,                -95453,                  9906,,                  1118,                  8788,                  8788,,,,,                 55180,                 63968,,                  8788,,                 63968,,                              0.05,,                              0.05,,                 55180,,,,,,,,,,
6108,2013年度,,              8047121,,              7173040,                874081,                874081,,,                280543,,                412467,                693010,                181071,,,                135693,,                -46900,,                 55618,                 33175,                214246,,                 56162,                158084,                158084,,,,,                145190,                303274,,                158084,,                303274,,                              0.99,,                              0.99,,                195539,                -18286,                 32063,,,,,,,,
6108,2013年07月01日至2013年09月30日,,              2041405,,              1753248,                288157,                288157,,,                 65641,,                107088,                172729,                115428,,,                 19621,,                -17792,,                 19328,                -17499,                 97929,,                 34297,                 63632,                 63632,,,,,                -48742,                 14890,,                 63632,,                 14890,,                              0.40,,                              0.39,,                -48742,,                              0,                              0,                              0,,,,,,
