證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 備供出售金融資產未實現評價損益,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）
8131,2015年第3季,,              2093266,,              1759778,                333488,                333488,,,                  4872,,                 14641,,                 13135,                 32648,                300840,,,                 21374,,                 31963,,                              0,                 53337,                354177,,                 60192,                293985,                293985,,,                -64325,                -64325,                -64325,                229660,,                              0.66,,,,,,,,
8131,2015年第2季,,              2099925,,              1633594,                466331,                466331,,,                  5135,,                 14624,,                 12539,                 32298,                434033,,,                 59137,,               -201701,,,               -142564,                291469,,                 61181,                230288,                230288,,,                -18688,                -18688,                -18688,                211600,,                              0.52,,,,,,,,
8131,2015年01月01日至2015年09月30日,,              6500691,,              5338007,              1162684,              1162684,,,                 14704,,                 43993,,                 38242,                 96939,              1065745,,,                128737,,               -205540,,                              0,                -76803,                988942,,                182641,                806301,                806301,,,                -56214,                -56214,                -56214,                750087,,                              1.82,,,,,,,,
8131,2015年01月01日至2015年06月30日,,              4407425,,              3578229,                829196,                829196,,,                  9832,,                 29352,,                 25107,                 64291,                764905,,,                107363,,               -237503,,,               -130140,                634765,,                122449,                512316,                512316,,,                  8111,                  8111,                  8111,                520427,,                              1.16,,,,,,,,
8131,2015年01月01日至2015年03月31日,,              2307500,,              1944635,                362865,                362865,,,                  4697,,                 14728,,                 12568,                 31993,                330872,,,                 48226,,                -35802,,,                 12424,                343296,,                 61268,                282028,                282028,,,                 26799,                 26799,                 26799,                308827,,                              0.64,,,                              0,                              0,                              0,,,
8131,2014年第3季,,              2381693,,              2109632,                272061,                272061,,,                  7247,,                 14307,,                 11573,                 33127,                238934,,,                 10071,,                  7516,,                      1,                 17586,                256520,,                 70575,                185945,                185945,,,                -28373,                -28373,                -28373,                157572,,                              0.42,,,,,,,,
8131,2014年第2季,,              2240047,,              1974253,                265794,                265794,,,                  6176,,                 14098,,                 11752,                 32026,                233768,,,                  5860,,                -24082,,,                -18222,                215546,,                 22298,                193248,                193248,,,                 48590,                 48590,                 48590,                241838,,                              0.44,,,,,,,,
8131,2014年度,,              9204384,,              8027632,              1176752,              1176752,,,                 29549,,                 55552,,                 50326,                135427,              1041325,,,                 76424,,                -46344,,                      1,                 30079,              1071404,,                227977,                843427,                843427,,,,,                 31651,                875078,,                              1.91,,,,,,                 31651,                              1.91,
8131,2014年01月01日至2014年09月30日,,              6782774,,              6022933,                759841,                759841,,,                 22362,,                 40463,,                 36516,                 99341,                660500,,,                 24297,,                -20722,,                      1,                  3574,                664074,,                150279,                513795,                513795,,,                 19326,                 19326,                 19326,                533121,,                              1.16,,,,,,,,
8131,2014年01月01日至2014年06月30日,,              4401081,,              3913301,                487780,                487780,,,                 15115,,                 26156,,                 24943,                 66214,                421566,,,                 14226,,                -28238,,,                -14012,                407554,,                 79704,                327850,                327850,,,                 47699,                 47699,                 47699,                375549,,                              0.74,,,,,,,,
8131,2014年01月01日至2014年03月31日,,              2161034,,              1939048,                221986,                221986,,,                  8939,,                 12058,,                 13191,                 34188,                187798,,,                  8366,,                 -4156,,,                  4210,                192008,,                 57406,                134602,                134602,,,                   -891,                   -891,                   -891,                133711,,                              0.30,,,                              0,                              0,                              0,,,
8131,2013年第3季,,              2076428,,              2137755,                -61327,                -61327,,,                  6095,,                 12043,,                 12510,                 30648,                -91975,,,                 11747,,                  2772,,                  3001,                 11518,                -80457,,                 -8029,                -72428,                -72428,,,,,                 36071,                -36357,,                             -0.16,,,,,,                 36071,,
8131,2013年第2季,,              2207641,,              2171817,                 35824,                 35824,,,                  4629,,                 12749,,                 11696,                 29074,                  6750,,,                  3239,,                 49768,,                  4807,                 48200,                 54950,,                 22770,                 32180,                 32180,,,,,                 59289,                 91469,,                              0.07,,,,,,                 59289,                              0.07,
8131,2013年度,,              8667155,,              8558224,                108931,                108931,,,                 23759,,                 49164,,                 48399,                121322,                -12391,,,                 23955,,                204193,,                 14728,                213420,                201029,,                 84093,                116936,                116936,,,,,                   -632,                116304,,                              0.26,,,,,,                   -632,                              0.26,
8131,2013年07月01日至2013年09月30日,,              2076428,,              2137755,                -61327,                -61327,,,                  6095,,                 12043,,                 12510,                 30648,                -91975,,,                 11747,,                  2772,,                  3001,                 11518,                -80457,,                 -8029,                -72428,                -72428,,,,,                 36071,                -36357,,                             -0.16,,,,,,                 36071,,
8131,2013年04月01日至2013年06月30日,,              2207641,,              2171817,                 35824,                 35824,,,                  4629,,                 12749,,                 11696,                 29074,                  6750,,,                  3239,,                 49768,,                  4807,                 48200,                 54950,,                 22770,                 32180,                 32180,,,,,                 59289,                 91469,,                              0.07,,,,,,                 59289,                              0.07,
8131,2013年01月01日至2013年12月31日,,              8667155,,              8558224,                108931,                108931,,,                 23759,,                 49164,,                 48399,                121322,                -12391,,,                 23955,,                204193,,                 14728,                213420,                201029,,                 84093,                116936,                116936,,,,,                   -632,                116304,,                              0.26,,,,,,                   -632,                              0.26,
8131,2013年01月01日至2013年09月30日,,              6462166,,              6413192,                 48974,                 48974,,,                 15405,,                 37202,,                 37041,                 89648,                -40674,,,                 20144,,                 67361,,                 13774,                 73731,                 33057,,                 27816,                  5241,                  5241,,,,,                 61493,                 66734,,                              0.01,,,,,,                 61493,,
