證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 管理費用,　　　 管理費用合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計
2608,2015年第3季,,,              2322371,,                 10280,              2332651,,,              1840085,              1840085,                492566,                              0,                              0,                492566,,                118924,                373642,,,                 14486,                 14486,,                    160,,                  2010,,                   -701,                 11935,                385577,,                 64146,                321431,                321431,,,                              0,,                              0,                              0,                              0,                321431,,                321125,                              0,                    306,,                321125,                              0,                    306,,                              0.66,,                              0.66,,,,,,,,,,,,,,,,,,,,,,
2608,2015年第2季,,,              2202985,,                  3840,              2206825,,,              1740705,              1740705,                466120,,,                466120,,                123687,                342433,,,,                  6494,,                246390,,                  2140,,                     61,                250805,                593238,,                159493,                433745,                433745,,,                              0,,,                              0,                              0,                433745,,                432246,                    549,                    950,,                432246,                    549,                    950,,                              0.89,,                              0.89,,,,,,,,,,,,,,,,,,,,,,
2608,2015年01月01日至2015年09月30日,,,              6629176,,                 17877,              6647053,,,              5247603,              5247603,              1399450,                              0,                              0,              1399450,,                356820,              1042630,,,                 24196,                 24196,,                246597,,                  7036,,                   -781,                262976,              1305606,,                279368,              1026238,              1026238,,,                              0,,                              0,                              0,                              0,              1026238,,              1019252,                  2934,                  4052,,              1019252,                  2934,                  4052,,                              2.11,,                              2.11,,,,,,,,,,,,,,,,,,,,,,
2608,2015年01月01日至2015年06月30日,,,              4306805,,                  7597,              4314402,,,              3407518,              3407518,                906884,,,                906884,,                237896,                668988,,,,                  9710,,                246437,,                  5026,,                    -80,                251041,                920029,,                215222,                704807,                704807,,,                              0,,,                              0,                              0,                704807,,                698127,                  2934,                  3746,,                698127,                  2934,                  3746,,                              1.44,,                              1.44,,,,,,,,,,,,,,,,,,,,,,
2608,2015年01月01日至2015年03月31日,,,              2021865,,,              2021865,,,,              1591556,                430309,,,                430309,,                109807,                320502,,,,                  4054,,                     57,,                  2619,,                   -141,                  1351,                321853,,                 55729,                266124,                266124,,,                              0,,,                              0,                              0,                266124,,                265881,,                    243,,                265881,,                    243,,                              0.55,,                              0.55,,                109807,,,,,,,,,,,,,,,,,,,,
2608,2014年第3季,,,              2232185,,                  3752,              2235937,,,              1776804,              1776804,                459133,                              0,                              0,                459133,,                118474,                340659,,,                 11513,                 11513,,                    -52,,                  2776,,                    661,                  9346,                350005,,                 59886,                290119,                290119,,,                    896,,                              0,                    896,                    896,                291015,,                285840,                    116,                  4163,,                286736,                    116,                  4163,,                              0.59,,                              0.59,,,,,,,,,,,,,,,,,,,,,,
2608,2014年第2季,,,              2078723,,                  3815,              2082538,,,              1681736,              1681736,                400802,,,                400802,,                111380,                289422,,,,                 10855,,                 -1207,,                  2225,,                    512,                  7935,                297357,,                 62576,                234781,                234781,,,                              0,,,                              0,                              0,                234781,,                235095,                 -1931,                  1617,,                235095,                 -1931,                  1617,,                              0.48,,                              0.48,,,,,,,,,,,,,,,,,,,,,,
2608,2014年度,,,              8184363,,                 23566,              8207929,,,              6559232,              6559232,              1648697,                              0,                              0,              1648697,,                465299,              1183398,,,,                 31446,,                 13485,,                  9690,,                  1537,                 36778,              1220176,,                218002,              1002174,              1002174,,,,,,,                   -666,              1001508,,                990119,,                 12055,,                990077,,                 11431,,                              2.05,,                              2.04,,                465299,                  1955,                 -8515,,                  5242,                   -652,                              2.05,                              0.00,                              2.04,                              0.00,,,,,,,,,,,
2608,2014年01月01日至2014年09月30日,,,              6266389,,                 11631,              6278020,,,              5058624,              5058624,              1219396,                              0,                              0,              1219396,,                345818,                873578,,,                 25862,                 25862,,                     -5,,                  7711,,                  1015,                 19161,                892739,,                165606,                727133,                727133,,,                    272,,                              0,                    272,                    272,                727405,,                729791,                 -6967,                  4309,,                730687,                 -6967,                  3685,,                              1.49,,                              1.49,,,,,,,,,,,,,,,,,,,,,,
2608,2014年01月01日至2014年06月30日,,,              4034204,,                  7879,              4042083,,,              3281820,              3281820,                760263,,,                760263,,                227344,                532919,,,,                 14349,,                     47,,                  4935,,                    354,                  9815,                542734,,                105720,                437014,                437014,,,                   -624,,,                   -624,                   -624,                436390,,                443951,                 -7083,                    146,,                443951,                 -7083,                   -478,,                              0.90,,                              0.90,,,,,,,,,,,,,,,,,,,,,,
