證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 其他營業成本,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計
2433,2015年第3季,,                757751,,                458724,                299027,                299027,,                177968,                121059,,,                137369,,                -24153,,                  7124,                106092,                227151,,                 18351,                208800,                208800,,,                 64083,                -65960,                 -1877,                 -1877,                206923,,                207361,                  1439,,                187842,                 19081,,                              1.44,                              1.44,,                              1.43,                              1.43,,,,,,,,,,,,,,,,,,,
2433,2015年第2季,,                717306,,                427632,                289674,                289674,,                172611,                117063,,,                  6142,,                 39724,,                  6426,                 39440,                156503,,                 18602,                137901,                137901,,,                -15634,               -145923,               -161557,               -161557,                -23656,,                132367,                  5534,,                -23327,                   -329,,                              0.92,                              0.92,,                              0.92,                              0.92,,,,,,,,,,,,,,,,,,,
2433,2015年01月01日至2015年09月30日,,              2139333,,              1274379,                864954,                864954,,                505104,                359850,,,                149498,,                 12427,,                 19478,                142447,                502297,,                 56056,                446241,                446241,,,                 41664,               -248662,               -206998,               -206998,                239243,,                436574,                  9667,,                211275,                 27968,,                              3.02,                              3.02,,                              3.02,                              3.02,,,,,,,,,,,,,,,,,,,
2433,2015年01月01日至2015年06月30日,,              1381582,,                815655,                565927,                565927,,                327136,                238791,,,                 12129,,                 36580,,                 12354,                 36355,                275146,,                 37705,                237441,                237441,,,                -22419,               -182702,               -205121,               -205121,                 32320,,                229213,                  8228,,                 23433,                  8887,,                              1.59,                              1.59,,                              1.58,                              1.58,,,,,,,,,,,,,,,,,,,
2433,2015年01月01日至2015年03月31日,,                664276,,                388023,                276253,                276253,,                154525,                121728,,,                  5987,,                 -3144,,                  5928,                 -3085,                118643,,                 19103,                 99540,                 99540,,,                 -6785,                -36779,                -43564,                -43564,                 55976,,                 96846,                  2694,,                 46760,                  9216,,                              0.67,                              0.67,,                              0.67,                              0.67,,,,,,,,,,,,,,,,,,,
2433,2014年第3季,,                605081,,                345781,                259300,                259300,,                158912,                100388,,,                142953,,                 -5924,,                  4773,                132256,                232644,,                 16340,                216304,                216304,,,                 22869,               -187036,               -164167,               -164167,                 52137,,                214644,                  1660,,                 46665,                  5472,,                              1.49,                              1.49,,                              1.49,                              1.49,,,,,,,,,,,,,,,,,,,
2433,2014年第2季,,                572060,,                316679,                255381,                255381,,                157325,                 98056,,,                  7671,,                 58720,,                  3790,                 62601,                160657,,                 31267,                129390,                129390,,,                -16307,                -68857,                -85164,                -85164,                 44226,,                128368,                  1022,,                 45922,                 -1696,,                              0.89,                              0.89,,                              0.89,                              0.89,,,,,,,,,,,,,,,,,,,
2433,2014年度,,              2373250,,              1334398,              1038852,              1038852,,                636935,                401917,,,                158536,,                 34026,,                 17325,                175237,                577154,,                 80288,                496866,                496866,,,,,,               -417677,                 79189,,                491571,                  5295,,                 66638,                 12551,,                              3.40,                              3.40,,                              3.40,                              3.40,                 32910,               -442461,                 -9790,                  1664,,,,,,,,,,,,,,,
2433,2014年01月01日至2014年09月30日,,              1713706,,                952512,                761194,                761194,,                469042,                292152,,,                153709,,                 41946,,                 11754,                183901,                476053,,                 62247,                413806,                413806,,,                  3128,               -596305,               -593177,               -593177,               -179371,,                411042,                  2764,,               -184426,                  5055,,                              2.84,                              2.84,,                              2.84,                              2.84,,,,,,,,,,,,,,,,,,,
2433,2014年01月01日至2014年06月30日,,              1108625,,                606731,                501894,                501894,,                310130,                191764,,,                 10756,,                 47870,,                  6981,                 51645,                243409,,                 45907,                197502,                197502,,,                -19741,               -409269,               -429010,               -429010,               -231508,,                196398,                  1104,,               -231091,                   -417,,                              1.36,                              1.36,,                              1.36,                              1.36,,,,,,,,,,,,,,,,,,,
2433,2014年01月01日至2014年03月31日,,                536565,,                290052,                246513,                246513,,                152805,                 93708,,,                  3085,,                -10850,,                  3191,                -10956,                 82752,,                 14640,                 68112,                 68112,,,                 -3434,               -340412,               -343846,               -343846,               -275734,,                 68030,                     82,,               -277013,                  1279,,                              0.47,                              0.47,,                              0.47,                              0.47,,,,,,,,,,,,,,,,,,,
2433,2013年第3季,,                501270,,                270025,                231245,                231245,,                142446,                 88799,,,                130371,,                 -9553,,                  3302,                117516,                206315,,                 19400,                186915,                186915,,,,,,                183073,                369988,,                186915,                              0,,                369988,                              0,,                              1.29,                              1.29,,                              1.29,                              1.29,                 -5176,                188249,,,,                264072,,                237198,,                106701,,                163324,,,,,,,
2433,2013年第2季,,                491800,,                264348,                227452,                227452,,                147984,                 79468,,,                 15654,,                309640,,                  2372,                322922,                402390,,                 22671,                379719,                379719,,,,,,               -188506,                191213,,                379719,                              0,,                191213,                              0,,                              2.63,                              2.63,,                              2.62,                              2.62,                  3233,               -191739,,,,                267940,,                223860,,                109173,,                155175,,,,,,,
2433,2013年度,,              1993592,,              1065693,                927899,                927899,,                577102,                350797,,,                157457,,                384985,,                 13309,                529133,                879930,,                 78424,                801506,                801506,,,,,,                544266,              1345772,,                801506,                              0,,              1345772,                              0,,                              5.55,                              5.55,,                              5.54,                              5.54,                 11166,                553457,                -24527,                  4170,,,,,,,,,,,,,,,
2433,2013年07月01日至2013年09月30日,,                501270,,                270025,                231245,                231245,,                142446,                 88799,,,                130371,,                 -9553,,                  3302,                117516,                206315,,                 19400,                186915,                186915,,,,,,                183073,                369988,,                186915,,,                369988,,,                              1.29,                              1.29,,                              1.29,                              1.29,                 -5176,                188249,,,,                193713,,                237198,,                 61565,,                163324,,                 70359,                 45136,,,,
2433,2013年04月01日至2013年06月30日,,                491800,,                264348,                227452,                227452,,                147984,                 79468,,,                 15654,,                309640,,                  2372,                322922,                402390,,                 22671,                379719,                379719,,,,,,               -188506,                191213,,                379719,,,                191213,,,                              2.63,                              2.63,,                              2.62,                              2.62,                  3233,               -191739,,,,                195083,,                223860,,                 64424,,                155175,,                 72857,                 44749,,,,
2433,2013年01月01日至2013年12月31日,,              1993592,,              1065693,                927899,                927899,,                577102,                350797,,,                157457,,                384985,,                 13309,                529133,                879930,,                 78424,                801506,                801506,,,,,,                544266,              1345772,,                801506,,,              1345772,,,                              5.55,                              5.55,,                              5.54,                              5.54,                 11166,                553457,                -24527,                  4170,,              1069832,,                923760,,                427220,,                638473,,                              0,                              0,,,,
2433,2013年01月01日至2013年09月30日,,              1461025,,                785848,                675177,                675177,,                427070,                248107,,,                151343,,                402144,,                  9848,                543639,                791746,,                 58129,                733617,                733617,,,,,,                446001,              1179618,,                733617,                              0,,              1179618,                              0,,                              5.08,                              5.08,,                              5.07,                              5.07,                    686,                445315,,,,                783324,,                677701,,                319284,,                466564,,,,,,,
2433,2013年01月01日至2013年06月30日,,                959755,,                515823,                443932,                443932,,                284624,                159308,,,                 20972,,                411697,,                  6546,                426123,                585431,,                 38729,                546702,                546702,,,,,,                262928,                809630,,                546702,                              0,,                809630,                              0,,                              3.78,                              3.78,,                              3.78,                              3.78,                  5862,                257066,,,,                519252,,                440503,,                212583,,                303240,,,,,,,
2433,2013年01月01日至2013年03月31日,,                467955,,                251475,                216480,                216480,,                136640,                 79840,,,                  5318,,                102057,,                  4174,                103201,                183041,,                 16058,                166983,                166983,,,,,,                451434,                618417,,                166983,                              0,,                618417,                              0,,                              1.16,                              1.16,,                              1.15,                              1.15,                  2629,                448805,,,,                251312,,                216643,,                103410,,                148065,,,,,,,
2433,2012年07月01日至2012年09月30日,,                469492,,                239283,                230209,                230209,,                137037,                 93172,,,                161734,,                   -241,,                  4626,                156867,                250039,,                 33167,                216872,                216872,,,,,,                 50204,                267076,,                216872,,,                267076,,,                              1.50,                              1.50,,                              1.50,                              1.50,                              0,                 50204,,,,                192020,,                202069,,                 57965,,                139754,,                 75403,                 41564,,,,
2433,2012年04月01日至2012年06月30日,,                473718,,                245027,                228691,                228691,,                138090,                 90601,,,                  5189,,                 16130,,                  3252,                 18067,                108668,,                 11626,                 97042,                 97042,,,,,,               -466778,               -369736,,                 97042,,,               -369736,,,                              0.67,                              0.67,,                              0.67,                              0.67,                              0,               -466778,,,,                195953,,                201158,,                 65054,,                138774,,                 76607,                 41199,,,,
2433,2012年01月01日至2012年12月31日,,              1887723,,                976185,                911538,                911538,,                551252,                360286,,,                175746,,                  5823,,                 15883,                165686,                525972,,                 73197,                452775,                452775,,,,,,               -234704,                218071,,                452775,,,                218071,,,                              3.13,                              3.13,,                              3.13,                              3.13,                   -550,               -222157,                -14454,                  2457,,              1078520,,                809203,,                418371,,                557814,,                              0,                              0,,,,
2433,2012年01月01日至2012年09月30日,,              1404455,,                722786,                681669,                681669,,                410037,                271632,,,                170718,,                 10045,,                 11245,                169518,                441150,,                 58609,                382541,                382541,,,,,,               -104042,                278499,,                382541,,,                278499,,,                              2.65,                              2.65,,                              2.64,                              2.64,                              0,               -104042,,,,                574225,,                607772,,                184678,,                415862,,                222458,                122246,,,,
2433,2012年01月01日至2012年06月30日,,                934963,,                483503,                451460,                451460,,                273000,                178460,,,                  8984,,                 10286,,                  6619,                 12651,                191111,,                 25442,                165669,                165669,,,,,,               -154246,                 11423,,                165669,,,                 11423,,,                              1.15,                              1.15,,                              1.14,                              1.14,                              0,               -154246,,,,                382205,,                405703,,                126713,,                276108,,                147055,                 80682,,,,
2433,2012年01月01日至2012年03月31日,,                461245,,                238476,                222769,                222769,,                134910,                 87859,,,                  3795,,                 -5844,,                  3367,                 -5416,                 82443,,                 13816,                 68627,                 68627,,,,,,                312532,                381159,,                 68627,,,                381159,,,                              0.47,                              0.47,,                              0.47,                              0.47,                              0,                312532,,,,                186252,,                204545,,                 61659,,                137334,,                 70448,                 39483,,                 86734,,                 48176
